,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('roll',)",181.0,0.013620287455790503,"('kiss', 'fire')",46.0,0.003461770018061409,"('kiss', 'fire', 'roll')",15,0.001128923007450892
1,"('great',)",162.0,0.01219053352396719,"('spicy', 'tuna')",33.0,0.0024834437086092716,"('tea', 'ice', 'cream')",12,0.0009031384059607134
2,"('fresh',)",127.0,0.009556776281134773,"('strip', 'mall')",30.0,0.0022576760987357016,"('green', 'tea', 'ice')",12,0.0009031384059607134
3,"('service',)",126.0,0.009481526074196705,"('kiss', 'death')",27.0,0.002031908488862131,"('white', 'tiger', 'roll')",11,0.000827876872130654
4,"('good',)",115.0,0.008653773797877944,"('white', 'tiger')",22.0,0.0016556291390728477,"('spicy', 'tuna', 'roll')",9,0.0006773538044705351
5,"('tuna',)",108.0,0.008127022349311461,"('green', 'tea')",21.0,0.001580373269114991,"('king', 'kong', 'roll')",8,0.0006020922706404757
6,"('will',)",88.0,0.006622018210550079,"('first', 'time')",20.0,0.0015051173991571343,"('like', 'much', 'outside')",6,0.0004515692029803567
7,"('time',)",79.0,0.0059447663481074576,"('will', 'definitely')",19.0,0.0014298615291992777,"('wait', 'go', 'back')",6,0.0004515692029803567
8,"('restaurant',)",78.0,0.005869516141169389,"('highly', 'recommend')",19.0,0.0014298615291992777,"('spicy', 'crunchy', 'tuna')",6,0.0004515692029803567
9,"('spicy',)",78.0,0.005869516141169389,"('plymouth', 'meeting')",18.0,0.0013546056592414208,"('shrimp', 'tempura', 'roll')",6,0.0004515692029803567
10,"('kiss',)",75.0,0.005643765520355181,"('great', 'service')",16.0,0.0012040939193257074,"('look', 'like', 'much')",6,0.0004515692029803567
11,"('delicious',)",74.0,0.005568515313417112,"('fire', 'roll')",16.0,0.0012040939193257074,"('fried', 'green', 'tea')",5,0.0003763076691502973
12,"('definitely',)",74.0,0.005568515313417112,"('tuna', 'munchkins')",16.0,0.0012040939193257074,"('north', 'shore', 'roll')",5,0.0003763076691502973
13,"('back',)",74.0,0.005568515313417112,"('king', 'kong')",15.0,0.0011288380493678508,"('judge', 'book', 'cover')",5,0.0003763076691502973
14,"('best',)",69.0,0.005192264278726767,"('even', 'better')",15.0,0.0011288380493678508,"('doesnt', 'look', 'like')",5,0.0003763076691502973
15,"('friendly',)",69.0,0.005192264278726767,"('ice', 'cream')",15.0,0.0011288380493678508,"('original', 'blue', 'fin')",5,0.0003763076691502973
16,"('go',)",69.0,0.005192264278726767,"('go', 'back')",14.0,0.001053582179409994,"('spicy', 'scallop', 'roll')",4,0.00030104613532023783
17,"('fish',)",68.0,0.005117014071788698,"('family', 'owned')",14.0,0.001053582179409994,"('death', 'kiss', 'fire')",4,0.00030104613532023783
18,"('family',)",68.0,0.005117014071788698,"('blue', 'fin')",14.0,0.001053582179409994,"('kiss', 'death', 'kiss')",4,0.00030104613532023783
19,"('like',)",67.0,0.005041763864850628,"('ive', 'ever')",13.0,0.0009783263094521374,"('dont', 'let', 'location')",4,0.00030104613532023783
20,"('amazing',)",65.0,0.00489126345097449,"('tuna', 'roll')",13.0,0.0009783263094521374,"('cant', 'wait', 'go')",4,0.00030104613532023783
21,"('staff',)",62.0,0.004665512830160283,"('tea', 'ice')",12.0,0.0009030704394942806,"('definitely', 'going', 'back')",4,0.00030104613532023783
22,"('always',)",61.0,0.004590262623222214,"('staff', 'friendly')",12.0,0.0009030704394942806,"('strip', 'mall', 'outside')",4,0.00030104613532023783
23,"('fire',)",59.0,0.004439762209346076,"('tiger', 'roll')",12.0,0.0009030704394942806,"('definitely', 'go', 'back')",4,0.00030104613532023783
24,"('also',)",58.0,0.004364512002408007,"('fish', 'fresh')",12.0,0.0009030704394942806,"('ordered', 'kiss', 'fire')",4,0.00030104613532023783
25,"('area',)",58.0,0.004364512002408007,"('fresh', 'fish')",11.0,0.0008278145695364238,"('dont', 'judge', 'book')",4,0.00030104613532023783
26,"('woojung',)",57.0,0.004289261795469937,"('wasabi', 'shumai')",11.0,0.0008278145695364238,"('back', 'next', 'time')",4,0.00030104613532023783
27,"('try',)",56.0,0.004214011588531868,"('coming', 'back')",11.0,0.0008278145695364238,"('white', 'tiger', 'kiss')",4,0.00030104613532023783
28,"('even',)",55.0,0.0041387613815937994,"('woo', 'jung')",11.0,0.0008278145695364238,"('kiss', 'fire', 'kiss')",4,0.00030104613532023783
29,"('sashimi',)",54.0,0.0040635111746557305,"('dining', 'experience')",10.0,0.0007525586995785671,"('definitely', 'come', 'back')",4,0.00030104613532023783
30,"('ordered',)",53.0,0.003988260967717662,"('next', 'time')",10.0,0.0007525586995785671,"('fire', 'kiss', 'death')",4,0.00030104613532023783
31,"('really',)",52.0,0.003913010760779592,"('come', 'back')",10.0,0.0007525586995785671,"('definitely', 'coming', 'back')",4,0.00030104613532023783
32,"('favorite',)",51.0,0.003837760553841523,"('miso', 'soup')",10.0,0.0007525586995785671,"('family', 'run', 'restaurant')",4,0.00030104613532023783
33,"('recommend',)",50.0,0.003762510346903454,"('great', 'experience')",10.0,0.0007525586995785671,"('soft', 'shell', 'crab')",4,0.00030104613532023783
34,"('ive',)",50.0,0.003762510346903454,"('5', 'stars')",9.0,0.0006773028296207104,"('plymouth', 'meeting', 'mall')",3,0.00022578460149017836
35,"('quality',)",49.0,0.0036872601399653847,"('really', 'good')",9.0,0.0006773028296207104,"('staff', 'extremely', 'friendly')",3,0.00022578460149017836
36,"('dont',)",48.0,0.003612009933027316,"('family', 'run')",9.0,0.0006773028296207104,"('will', 'definitely', 'going')",3,0.00022578460149017836
37,"('nice',)",48.0,0.003612009933027316,"('service', 'great')",9.0,0.0006773028296207104,"('tiger', 'roll', 'amazing')",3,0.00022578460149017836
38,"('get',)",48.0,0.003612009933027316,"('last', 'night')",9.0,0.0006773028296207104,"('new', 'rainbow', 'roll')",3,0.00022578460149017836
39,"('well',)",46.0,0.0034615095191511775,"('great', 'great')",9.0,0.0006773028296207104,"('cant', 'go', 'wrong')",3,0.00022578460149017836
40,"('love',)",45.0,0.0033862593122131086,"('going', 'back')",9.0,0.0006773028296207104,"('red', 'bean', 'mochi')",3,0.00022578460149017836
41,"('byob',)",45.0,0.0033862593122131086,"('kong', 'roll')",9.0,0.0006773028296207104,"('white', 'tuna', 'habanero')",3,0.00022578460149017836
42,"('excellent',)",45.0,0.0033862593122131086,"('fresh', 'delicious')",9.0,0.0006773028296207104,"('roll', 'white', 'tiger')",3,0.00022578460149017836
