,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('poke',)",58.0,0.025338575797291395,"('poke', 'bowl')",15.0,0.006555944055944056,"('yum', 'yum', 'chicken')",3,0.0013117621337997377
1,"('bowl',)",42.0,0.01834862385321101,"('sakana', 'express')",8.0,0.0034965034965034965,"('poke', 'bowl', 'fresh')",3,0.0013117621337997377
2,"('korean',)",27.0,0.011795543905635648,"('poke', 'bowls')",8.0,0.0034965034965034965,"('cant', 'wait', 'try')",3,0.0013117621337997377
3,"('toppings',)",26.0,0.011358671909130624,"('really', 'good')",5.0,0.0021853146853146855,"('working', 'kinks', 'use')",2,0.0008745080891998251
4,"('good',)",21.0,0.009174311926605505,"('yum', 'yum')",5.0,0.0021853146853146855,"('next', 'time', 'ill')",2,0.0008745080891998251
5,"('fresh',)",20.0,0.00873743993010048,"('poke', 'king')",4.0,0.0017482517482517483,"('finaly', 'someone', 'gets')",2,0.0008745080891998251
6,"('bowls',)",20.0,0.00873743993010048,"('cup', 'bop')",4.0,0.0017482517482517483,"('drinks', 'offer', 'water')",2,0.0008745080891998251
7,"('options',)",19.0,0.008300567933595456,"('korean', 'bbq')",4.0,0.0017482517482517483,"('many', 'protein', 'options')",2,0.0008745080891998251
8,"('sauce',)",18.0,0.007863695937090432,"('first', 'time')",4.0,0.0017482517482517483,"('ice', 'drinks', 'offer')",2,0.0008745080891998251
9,"('also',)",18.0,0.007863695937090432,"('fresh', 'delicious')",3.0,0.0013111888111888112,"('cups', 'ice', 'drinks')",2,0.0008745080891998251
10,"('spicy',)",18.0,0.007863695937090432,"('can', 'get')",3.0,0.0013111888111888112,"('use', 'cups', 'ice')",2,0.0008745080891998251
11,"('sakana',)",17.0,0.007426823940585408,"('bowl', 'fresh')",3.0,0.0013111888111888112,"('kinks', 'use', 'cups')",2,0.0008745080891998251
12,"('im',)",16.0,0.0069899519440803845,"('toppings', 'sauces')",3.0,0.0013111888111888112,"('along', 'burritosstill', 'working')",2,0.0008745080891998251
13,"('time',)",16.0,0.0069899519440803845,"('high', 'quality')",3.0,0.0013111888111888112,"('gets', 'poke', 'idea')",2,0.0008745080891998251
14,"('chicken',)",15.0,0.00655307994757536,"('regular', 'bowl')",3.0,0.0013111888111888112,"('someone', 'gets', 'poke')",2,0.0008745080891998251
15,"('delicious',)",15.0,0.00655307994757536,"('gluten', 'free')",3.0,0.0013111888111888112,"('tasty', 'along', 'burritosstill')",2,0.0008745080891998251
16,"('try',)",15.0,0.00655307994757536,"('many', 'different')",3.0,0.0013111888111888112,"('authentic', 'tasty', 'along')",2,0.0008745080891998251
17,"('great',)",14.0,0.0061162079510703364,"('korean', 'bowls')",3.0,0.0013111888111888112,"('bowls', 'authentic', 'tasty')",2,0.0008745080891998251
