,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('great',)",8.0,0.025559105431309903,"('fresh', 'tasty')",2.0,0.00641025641025641,"('impressed', 'snob', 'also')",1,0.003215434083601286
1,"('fresh',)",5.0,0.01597444089456869,"('highly', 'recommend')",2.0,0.00641025641025641,"('fresh', 'thing', 'wish')",1,0.003215434083601286
2,"('roll',)",4.0,0.012779552715654952,"('great', 'new')",2.0,0.00641025641025641,"('current', 'system', 'doesnt')",1,0.003215434083601286
3,"('ordered',)",4.0,0.012779552715654952,"('ordered', 'online')",2.0,0.00641025641025641,"('system', 'current', 'system')",1,0.003215434083601286
4,"('order',)",4.0,0.012779552715654952,"('fresh', 'thing')",2.0,0.00641025641025641,"('ordering', 'system', 'current')",1,0.003215434083601286
5,"('new',)",4.0,0.012779552715654952,"('everything', 'fresh')",2.0,0.00641025641025641,"('online', 'ordering', 'system')",1,0.003215434083601286
6,"('delicious',)",4.0,0.012779552715654952,"('loves', 'burritos')",1.0,0.003205128205128205,"('better', 'online', 'ordering')",1,0.003215434083601286
7,"('online',)",4.0,0.012779552715654952,"('better', 'online')",1.0,0.003205128205128205,"('wish', 'better', 'online')",1,0.003215434083601286
8,"('hibachi',)",3.0,0.009584664536741214,"('wish', 'better')",1.0,0.003205128205128205,"('thing', 'wish', 'better')",1,0.003215434083601286
9,"('overall',)",3.0,0.009584664536741214,"('thing', 'wish')",1.0,0.003205128205128205,"('variety', 'fresh', 'thing')",1,0.003215434083601286
10,"('go',)",3.0,0.009584664536741214,"('variety', 'fresh')",1.0,0.003205128205128205,"('amazing', 'sometimes', 'long')",1,0.003215434083601286
11,"('will',)",3.0,0.009584664536741214,"('wide', 'variety')",1.0,0.003205128205128205,"('wide', 'variety', 'fresh')",1,0.003215434083601286
12,"('recommend',)",3.0,0.009584664536741214,"('burritos', 'wide')",1.0,0.003205128205128205,"('burritos', 'wide', 'variety')",1,0.003215434083601286
13,"('nice',)",3.0,0.009584664536741214,"('worth', 'husband')",1.0,0.003205128205128205,"('loves', 'burritos', 'wide')",1,0.003215434083601286
14,"('got',)",3.0,0.009584664536741214,"('husband', 'loves')",1.0,0.003205128205128205,"('husband', 'loves', 'burritos')",1,0.003215434083601286
15,"('like',)",3.0,0.009584664536741214,"('ordering', 'system')",1.0,0.003205128205128205,"('worth', 'husband', 'loves')",1,0.003215434083601286
16,"('time',)",3.0,0.009584664536741214,"('wait', 'worth')",1.0,0.003205128205128205,"('wait', 'worth', 'husband')",1,0.003215434083601286
17,"('really',)",3.0,0.009584664536741214,"('long', 'wait')",1.0,0.003205128205128205,"('long', 'wait', 'worth')",1,0.003215434083601286
18,"('wasnt',)",3.0,0.009584664536741214,"('sometimes', 'long')",1.0,0.003205128205128205,"('system', 'doesnt', 'give')",1,0.003215434083601286
19,"('ready',)",3.0,0.009584664536741214,"('amazing', 'sometimes')",1.0,0.003205128205128205,"('doesnt', 'give', 'pickup')",1,0.003215434083601286
20,"('definitely',)",3.0,0.009584664536741214,"('trying', 'amazing')",1.0,0.003205128205128205,"('give', 'pickup', 'time')",1,0.003215434083601286
21,"('never',)",2.0,0.006389776357827476,"('online', 'ordering')",1.0,0.003205128205128205,"('pickup', 'time', 'call')",1,0.003215434083601286
22,"('gyoza',)",2.0,0.006389776357827476,"('impressed', 'snob')",1.0,0.003205128205128205,"('times', 'great', 'quality')",1,0.003215434083601286
23,"('try',)",2.0,0.006389776357827476,"('system', 'current')",1.0,0.003205128205128205,"('busy', 'times', 'great')",1,0.003215434083601286
24,"('system',)",2.0,0.006389776357827476,"('ready', 'usually')",1.0,0.003205128205128205,"('quicker', 'busy', 'times')",1,0.003215434083601286
25,"('tasty',)",2.0,0.006389776357827476,"('seems', 'quicker')",1.0,0.003205128205128205,"('seems', 'quicker', 'busy')",1,0.003215434083601286
26,"('fee',)",2.0,0.006389776357827476,"('since', 'seems')",1.0,0.003205128205128205,"('since', 'seems', 'quicker')",1,0.003215434083601286
27,"('highly',)",2.0,0.006389776357827476,"('wait', 'since')",1.0,0.003205128205128205,"('wait', 'since', 'seems')",1,0.003215434083601286
28,"('give',)",2.0,0.006389776357827476,"('go', 'wait')",1.0,0.003205128205128205,"('go', 'wait', 'since')",1,0.003215434083601286
