,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('service',)",24.0,0.01700921332388377,"('several', 'times')",7.0,0.004964539007092199,"('accused', 'drinking', 'age')",3,0.0021291696238466998
1,"('time',)",23.0,0.01630049610205528,"('drinking', 'age')",5.0,0.0035460992907801418,"('kinds', 'cant', 'seem')",2,0.0014194464158978
2,"('us',)",21.0,0.014883061658398299,"('20', 'minutes')",5.0,0.0035460992907801418,"('us', 'hate', 'wasabi')",2,0.0014194464158978
3,"('go',)",18.0,0.012756909992912827,"('provided', 'id')",4.0,0.0028368794326241137,"('time', 'wut', 'steve')",2,0.0014194464158978
4,"('wasabi',)",16.0,0.011339475549255847,"('accused', 'drinking')",4.0,0.0028368794326241137,"('wut', 'steve', 'worst')",2,0.0014194464158978
5,"('minutes',)",15.0,0.010630758327427357,"('happy', 'hour')",3.0,0.002127659574468085,"('steve', 'worst', 'manager')",2,0.0014194464158978
6,"('asked',)",14.0,0.009922041105598866,"('busy', 'honest')",3.0,0.002127659574468085,"('worst', 'manager', 'ever')",2,0.0014194464158978
7,"('order',)",13.0,0.009213323883770375,"('toward', 'us')",3.0,0.002127659574468085,"('manager', 'ever', 'interacted')",2,0.0014194464158978
8,"('good',)",12.0,0.008504606661941885,"('age', 'date')",3.0,0.002127659574468085,"('ever', 'interacted', 'life')",2,0.0014194464158978
9,"('never',)",11.0,0.007795889440113395,"('ordered', '2')",3.0,0.002127659574468085,"('interacted', 'life', 'single')",2,0.0014194464158978
10,"('even',)",11.0,0.007795889440113395,"('entire', 'time')",3.0,0.002127659574468085,"('single', 'handedly', 'made')",2,0.0014194464158978
11,"('will',)",11.0,0.007795889440113395,"('customer', 'service')",3.0,0.002127659574468085,"('handedly', 'made', 'us')",2,0.0014194464158978
12,"('date',)",10.0,0.007087172218284904,"('0', 'stars')",3.0,0.002127659574468085,"('made', 'us', 'hate')",2,0.0014194464158978
13,"('restaurant',)",10.0,0.007087172218284904,"('take', 'order')",3.0,0.002127659574468085,"('time', 'end', 'standing')",2,0.0014194464158978
14,"('times',)",10.0,0.007087172218284904,"('way', 'restaurant')",2.0,0.0014184397163120568,"('youre', 'busy', 'honest')",2,0.0014194464158978
15,"('take',)",10.0,0.007087172218284904,"('understand', 'youre')",2.0,0.0014184397163120568,"('end', 'standing', 'restaurant')",2,0.0014194464158978
16,"('wait',)",10.0,0.007087172218284904,"('glaring', 'us')",2.0,0.0014184397163120568,"('standing', 'restaurant', '30')",2,0.0014194464158978
17,"('busy',)",8.0,0.005669737774627924,"('kitchen', 'glaring')",2.0,0.0014184397163120568,"('restaurant', '30', 'minutes')",2,0.0014194464158978
18,"('close',)",8.0,0.005669737774627924,"('told', '2530')",2.0,0.0014184397163120568,"('30', 'minutes', 'tonight')",2,0.0014194464158978
19,"('always',)",8.0,0.005669737774627924,"('live', 'kirkwood')",2.0,0.0014184397163120568,"('minutes', 'tonight', 'told')",2,0.0014194464158978
20,"('seemed',)",7.0,0.004961020552799433,"('2530', 'ended')",2.0,0.0014184397163120568,"('tonight', 'told', '2530')",2,0.0014194464158978
21,"('several',)",7.0,0.004961020552799433,"('ended', 'close')",2.0,0.0014184397163120568,"('told', '2530', 'ended')",2,0.0014194464158978
22,"('id',)",7.0,0.004961020552799433,"('emerging', 'kitchen')",2.0,0.0014184397163120568,"('2530', 'ended', 'close')",2,0.0014194464158978
23,"('kirkwood',)",7.0,0.004961020552799433,"('close', 'hour')",2.0,0.0014184397163120568,"('ended', 'close', 'hour')",2,0.0014194464158978
24,"('provided',)",7.0,0.004961020552799433,"('hour', 'understand')",2.0,0.0014184397163120568,"('close', 'hour', 'understand')",2,0.0014194464158978
25,"('told',)",7.0,0.004961020552799433,"('youre', 'busy')",2.0,0.0014184397163120568,"('hour', 'understand', 'youre')",2,0.0014194464158978
26,"('age',)",7.0,0.004961020552799433,"('oh', 'way')",2.0,0.0014184397163120568,"('entire', 'time', 'wut')",2,0.0014194464158978
27,"('great',)",7.0,0.004961020552799433,"('kept', 'emerging')",2.0,0.0014184397163120568,"('empty', 'entire', 'time')",2,0.0014194464158978
28,"('roll',)",7.0,0.004961020552799433,"('honest', 'long')",2.0,0.0014184397163120568,"('restaurant', 'empty', 'entire')",2,0.0014194464158978
29,"('able',)",6.0,0.004252303330970942,"('long', 'going')",2.0,0.0014184397163120568,"('way', 'restaurant', 'empty')",2,0.0014194464158978
30,"('drinking',)",6.0,0.004252303330970942,"('going', 'id')",2.0,0.0014184397163120568,"('29', '27', 'respectively')",2,0.0014194464158978
31,"('entire',)",6.0,0.004252303330970942,"('id', 'rather')",2.0,0.0014184397163120568,"('27', 'respectively', 'stayed')",2,0.0014194464158978
32,"('ordered',)",6.0,0.004252303330970942,"('rather', 'wait')",2.0,0.0014184397163120568,"('respectively', 'stayed', 'restaurant')",2,0.0014194464158978
33,"('given',)",6.0,0.004252303330970942,"('customers', 'waited')",2.0,0.0014184397163120568,"('stayed', 'restaurant', 'extra')",2,0.0014194464158978
34,"('hour',)",6.0,0.004252303330970942,"('wait', 'home')",2.0,0.0014184397163120568,"('restaurant', 'extra', '20')",2,0.0014194464158978
35,"('see',)",6.0,0.004252303330970942,"('home', 'restaurantadditionally')",2.0,0.0014184397163120568,"('extra', '20', 'minutes')",2,0.0014194464158978
36,"('dont',)",6.0,0.004252303330970942,"('restaurantadditionally', 'almost')",2.0,0.0014184397163120568,"('20', 'minutes', 'see')",2,0.0014194464158978
37,"('accused',)",6.0,0.004252303330970942,"('us', 'never')",2.0,0.0014184397163120568,"('minutes', 'see', 'apologize')",2,0.0014194464158978
38,"('still',)",6.0,0.004252303330970942,"('never', 'acknowledged')",2.0,0.0014184397163120568,"('see', 'apologize', 'ignored')",2,0.0014194464158978
39,"('come',)",5.0,0.003543586109142452,"('tonight', 'told')",2.0,0.0014184397163120568,"('apologize', 'ignored', 'us')",2,0.0014194464158978
40,"('2',)",5.0,0.003543586109142452,"('minutes', 'tonight')",2.0,0.0014184397163120568,"('ignored', 'us', 'costs')",2,0.0014194464158978
41,"('really',)",5.0,0.003543586109142452,"('restaurant', 'empty')",2.0,0.0014184397163120568,"('us', 'costs', 'employees')",2,0.0014194464158978
42,"('orders',)",5.0,0.003543586109142452,"('empty', 'entire')",2.0,0.0014184397163120568,"('costs', 'employees', 'kept')",2,0.0014194464158978
43,"('many',)",5.0,0.003543586109142452,"('us', 'oh')",2.0,0.0014184397163120568,"('employees', 'kept', 'emerging')",2,0.0014194464158978
44,"('waiting',)",5.0,0.003543586109142452,"('time', 'wut')",2.0,0.0014184397163120568,"('kept', 'emerging', 'kitchen')",2,0.0014194464158978
45,"('wasnt',)",5.0,0.003543586109142452,"('wut', 'steve')",2.0,0.0014184397163120568,"('emerging', 'kitchen', 'glaring')",2,0.0014194464158978
46,"('said',)",5.0,0.003543586109142452,"('steve', 'worst')",2.0,0.0014184397163120568,"('kitchen', 'glaring', 'us')",2,0.0014194464158978
47,"('20',)",5.0,0.003543586109142452,"('worst', 'manager')",2.0,0.0014184397163120568,"('glaring', 'us', 'never')",2,0.0014194464158978
48,"('deal',)",5.0,0.003543586109142452,"('acknowledged', 'us')",2.0,0.0014184397163120568,"('us', 'never', 'acknowledged')",2,0.0014194464158978
49,"('seated',)",5.0,0.003543586109142452,"('manager', 'ever')",2.0,0.0014184397163120568,"('never', 'acknowledged', 'us')",2,0.0014194464158978
50,"('someone',)",5.0,0.003543586109142452,"('ever', 'interacted')",2.0,0.0014184397163120568,"('acknowledged', 'us', 'oh')",2,0.0014194464158978
51,"('tonight',)",5.0,0.003543586109142452,"('interacted', 'life')",2.0,0.0014184397163120568,"('us', 'oh', 'way')",2,0.0014194464158978
52,"('manager',)",5.0,0.003543586109142452,"('life', 'single')",2.0,0.0014184397163120568,"('oh', 'way', 'restaurant')",2,0.0014194464158978
53,"('got',)",5.0,0.003543586109142452,"('single', 'handedly')",2.0,0.0014184397163120568,"('understand', 'youre', 'busy')",2,0.0014194464158978
54,"('pickup',)",5.0,0.003543586109142452,"('handedly', 'made')",2.0,0.0014184397163120568,"('busy', 'honest', 'long')",2,0.0014194464158978
55,"('get',)",5.0,0.003543586109142452,"('made', 'us')",2.0,0.0014184397163120568,"('age', 'date', '29')",2,0.0014194464158978
56,"('back',)",5.0,0.003543586109142452,"('us', 'hate')",2.0,0.0014184397163120568,"('honest', 'long', 'going')",2,0.0014194464158978
57,"('give',)",5.0,0.003543586109142452,"('almost', 'always')",2.0,0.0014184397163120568,"('fish', 'poke', 'bowl')",2,0.0014194464158978
58,"('long',)",4.0,0.002834868887313962,"('hate', 'wasabi')",2.0,0.0014184397163120568,"('poke', 'bowl', 'ordered')",2,0.0014194464158978
59,"('tell',)",4.0,0.002834868887313962,"('wasabi', 'kirkwood')",2.0,0.0014184397163120568,"('bowl', 'ordered', '2')",2,0.0014194464158978
60,"('wrong',)",4.0,0.002834868887313962,"('standing', 'restaurant')",2.0,0.0014184397163120568,"('ordered', '2', 'kinds')",2,0.0014194464158978
61,"('trying',)",4.0,0.002834868887313962,"('30', 'minutes')",2.0,0.0014184397163120568,"('2', 'kinds', 'cant')",2,0.0014194464158978
62,"('location',)",4.0,0.002834868887313962,"('get', 'righti')",2.0,0.0014184397163120568,"('cant', 'seem', 'get')",2,0.0014194464158978
63,"('n',)",4.0,0.002834868887313962,"('whether', 'kind')",2.0,0.0014184397163120568,"('seem', 'get', 'righti')",2,0.0014194464158978
64,"('mess',)",4.0,0.002834868887313962,"('always', 'mess')",2.0,0.0014184397163120568,"('get', 'righti', 'wish')",2,0.0014194464158978
65,"('wanted',)",4.0,0.002834868887313962,"('mess', 'something')",2.0,0.0014184397163120568,"('righti', 'wish', 'knew')",2,0.0014194464158978
66,"('customer',)",4.0,0.002834868887313962,"('decent', 'pickup')",2.0,0.0014184397163120568,"('wish', 'knew', 'another')",2,0.0014194464158978
67,"('30',)",4.0,0.002834868887313962,"('pickup', 'area')",2.0,0.0014184397163120568,"('knew', 'another', 'decent')",2,0.0014194464158978
68,"('kind',)",4.0,0.002834868887313962,"('area', 'go')",2.0,0.0014184397163120568,"('another', 'decent', 'pickup')",2,0.0014194464158978
69,"('isnt',)",4.0,0.002834868887313962,"('go', 'instead')",2.0,0.0014184397163120568,"('decent', 'pickup', 'area')",2,0.0014194464158978
70,"('worst',)",4.0,0.002834868887313962,"('instead', 'will')",2.0,0.0014184397163120568,"('pickup', 'area', 'go')",2,0.0014194464158978
