,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('good',)",18.0,0.02538787023977433,"('will', 'definitely')",4.0,0.005649717514124294,"('will', 'definitely', 'back')",2,0.002828854314002829
1,"('great',)",15.0,0.021156558533145273,"('nice', 'interior')",3.0,0.00423728813559322,"('fried', 'philly', 'roll')",2,0.002828854314002829
2,"('roll',)",15.0,0.021156558533145273,"('happy', 'hour')",3.0,0.00423728813559322,"('long', 'story', 'short')",2,0.002828854314002829
3,"('service',)",11.0,0.015514809590973202,"('tuesday', 'nights')",3.0,0.00423728813559322,"('loves', 'time', 'seemed')",1,0.0014144271570014145
4,"('nice',)",9.0,0.012693935119887164,"('roll', 'favorite')",2.0,0.002824858757062147,"('home', 'eat', 'feed')",1,0.0014144271570014145
5,"('staff',)",8.0,0.011283497884344146,"('story', 'short')",2.0,0.002824858757062147,"('eat', 'feed', 'son')",1,0.0014144271570014145
6,"('location',)",8.0,0.011283497884344146,"('always', 'enjoy')",2.0,0.002824858757062147,"('feed', 'son', 'work')",1,0.0014144271570014145
7,"('will',)",7.0,0.009873060648801129,"('cant', 'beat')",2.0,0.002824858757062147,"('son', 'work', 'hes')",1,0.0014144271570014145
8,"('friendly',)",7.0,0.009873060648801129,"('st', 'louis')",2.0,0.002824858757062147,"('work', 'hes', '4')",1,0.0014144271570014145
9,"('got',)",6.0,0.00846262341325811,"('spicy', 'tuna')",2.0,0.002824858757062147,"('hes', '4', 'loves')",1,0.0014144271570014145
10,"('ordered',)",6.0,0.00846262341325811,"('help', 'great')",2.0,0.002824858757062147,"('4', 'loves', 'time')",1,0.0014144271570014145
11,"('always',)",6.0,0.00846262341325811,"('fried', 'philly')",2.0,0.002824858757062147,"('time', 'seemed', 'different')",1,0.0014144271570014145
12,"('6',)",6.0,0.00846262341325811,"('clean', 'good')",2.0,0.002824858757062147,"('roll', 'first', 'time')",1,0.0014144271570014145
13,"('really',)",6.0,0.00846262341325811,"('fried', 'rice')",2.0,0.002824858757062147,"('seemed', 'different', 'weird')",1,0.0014144271570014145
14,"('like',)",6.0,0.00846262341325811,"('great', 'service')",2.0,0.002824858757062147,"('different', 'weird', 'smell')",1,0.0014144271570014145
15,"('favorite',)",6.0,0.00846262341325811,"('worth', 'wait')",2.0,0.002824858757062147,"('weird', 'smell', 'didnt')",1,0.0014144271570014145
16,"('also',)",6.0,0.00846262341325811,"('6', 'roll')",2.0,0.002824858757062147,"('smell', 'didnt', 'seem')",1,0.0014144271570014145
17,"('tuesday',)",6.0,0.00846262341325811,"('philly', 'roll')",2.0,0.002824858757062147,"('didnt', 'seem', 'right')",1,0.0014144271570014145
18,"('time',)",5.0,0.007052186177715092,"('dragons', 'breath')",2.0,0.002824858757062147,"('seem', 'right', 'got')",1,0.0014144271570014145
19,"('try',)",5.0,0.007052186177715092,"('playboy', 'roll')",2.0,0.002824858757062147,"('right', 'got', 'fried')",1,0.0014144271570014145
20,"('lunch',)",5.0,0.007052186177715092,"('back', 'new')",2.0,0.002824858757062147,"('got', 'fried', 'philly')",1,0.0014144271570014145
21,"('happy',)",5.0,0.007052186177715092,"('service', 'prompt')",2.0,0.002824858757062147,"('get', 'home', 'eat')",1,0.0014144271570014145
