,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('bad',)",13.0,0.011764705882352941,"('mt', 'fuji')",7.0,0.006340579710144928,"('king', 'crab', 'roll')",2,0.001813236627379873
1,"('even',)",10.0,0.00904977375565611,"('king', 'crab')",4.0,0.0036231884057971015,"('new', 'years', 'eve')",2,0.001813236627379873
2,"('roll',)",10.0,0.00904977375565611,"('shrimp', 'tempura')",4.0,0.0036231884057971015,"('apart', 'told', 'apology')",1,0.0009066183136899365
3,"('shrimp',)",9.0,0.008144796380090498,"('crab', 'roll')",3.0,0.002717391304347826,"('check', 'chairs', 'every')",1,0.0009066183136899365
4,"('ive',)",9.0,0.008144796380090498,"('first', 'bite')",2.0,0.0018115942028985507,"('oh', 'check', 'chairs')",1,0.0009066183136899365
5,"('good',)",8.0,0.007239819004524887,"('opinion', 'deserved')",2.0,0.0018115942028985507,"('saying', 'oh', 'check')",1,0.0009066183136899365
6,"('fuji',)",8.0,0.007239819004524887,"('tempura', 'ordered')",2.0,0.0018115942028985507,"('top', 'saying', 'oh')",1,0.0009066183136899365
7,"('ordered',)",8.0,0.007239819004524887,"('years', 'eve')",2.0,0.0018115942028985507,"('apology', 'top', 'saying')",1,0.0009066183136899365
8,"('mt',)",7.0,0.006334841628959276,"('new', 'years')",2.0,0.0018115942028985507,"('told', 'apology', 'top')",1,0.0009066183136899365
9,"('went',)",7.0,0.006334841628959276,"('lunch', 'specials')",2.0,0.0018115942028985507,"('today', 'got', '6')",1,0.0009066183136899365
10,"('night',)",7.0,0.006334841628959276,"('falling', 'apart')",2.0,0.0018115942028985507,"('every', 'day', 'must')",1,0.0009066183136899365
11,"('got',)",7.0,0.006334841628959276,"('everything', 'else')",2.0,0.0018115942028985507,"('falling', 'apart', 'told')",1,0.0009066183136899365
12,"('looked',)",6.0,0.005429864253393665,"('night', 'ruined')",2.0,0.0018115942028985507,"('completely', 'falling', 'apart')",1,0.0009066183136899365
13,"('tempura',)",6.0,0.005429864253393665,"('didnt', 'even')",2.0,0.0018115942028985507,"('chair', 'completely', 'falling')",1,0.0009066183136899365
14,"('get',)",6.0,0.005429864253393665,"('bad', 'lobster')",2.0,0.0018115942028985507,"('high', 'chair', 'completely')",1,0.0009066183136899365
15,"('price',)",6.0,0.005429864253393665,"('good', 'never')",2.0,0.0018115942028985507,"('gave', 'high', 'chair')",1,0.0009066183136899365
16,"('order',)",6.0,0.005429864253393665,"('said', 'sorry')",2.0,0.0018115942028985507,"('importantly', 'gave', 'high')",1,0.0009066183136899365
17,"('lobster',)",6.0,0.005429864253393665,"('got', 'home')",2.0,0.0018115942028985507,"('chairs', 'every', 'day')",1,0.0009066183136899365
18,"('fish',)",6.0,0.005429864253393665,"('chicken', 'teriyaki')",2.0,0.0018115942028985507,"('day', 'must', 'child')",1,0.0009066183136899365
19,"('dinner',)",6.0,0.005429864253393665,"('big', 'deal')",2.0,0.0018115942028985507,"('better', 'placesecond', 'importantly')",1,0.0009066183136899365
20,"('crab',)",6.0,0.005429864253393665,"('15', 'tip')",2.0,0.0018115942028985507,"('must', 'child', 'child')",1,0.0009066183136899365
