,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('came',)",19.0,0.014200298953662182,"('dim', 'sum')",6.0,0.004487658937920718,"('party', 'four', 'two')",2,0.0014970059880239522
1,"('dumplings',)",17.0,0.012705530642750373,"('order', 'came')",4.0,0.0029917726252804786,"('hot', 'spicy', 'advertised')",2,0.0014970059880239522
2,"('like',)",15.0,0.011210762331838564,"('staff', 'friendly')",3.0,0.002243829468960359,"('yong', 'kang', 'street')",2,0.0014970059880239522
3,"('order',)",10.0,0.007473841554559043,"('party', 'four')",3.0,0.002243829468960359,"('first', 'got', 'item')",1,0.0007485029940119761
4,"('spicy',)",10.0,0.007473841554559043,"('fried', 'rice')",3.0,0.002243829468960359,"('lot', 'empty', 'tables')",1,0.0007485029940119761
5,"('two',)",9.0,0.006726457399103139,"('worth', 'price')",2.0,0.0014958863126402393,"('wasnt', 'busy', 'however')",1,0.0007485029940119761
6,"('menu',)",9.0,0.006726457399103139,"('spring', 'roll')",2.0,0.0014958863126402393,"('restaurant', 'wasnt', 'busy')",1,0.0007485029940119761
7,"('taiwanese',)",9.0,0.006726457399103139,"('spicy', 'advertised')",2.0,0.0014958863126402393,"('assumed', 'restaurant', 'wasnt')",1,0.0007485029940119761
8,"('asked',)",8.0,0.005979073243647235,"('style', 'wontons')",2.0,0.0014958863126402393,"('therefore', 'assumed', 'restaurant')",1,0.0007485029940119761
9,"('ramen',)",8.0,0.005979073243647235,"('manager', 'came')",2.0,0.0014958863126402393,"('got', 'item', 'missing')",1,0.0007485029940119761
10,"('us',)",8.0,0.005979073243647235,"('salt', 'pepper')",2.0,0.0014958863126402393,"('tables', 'therefore', 'assumed')",1,0.0007485029940119761
11,"('dont',)",8.0,0.005979073243647235,"('yong', 'kang')",2.0,0.0014958863126402393,"('empty', 'tables', 'therefore')",1,0.0007485029940119761
