,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('service',)",35.0,0.011558784676354029,"('customer', 'service')",7.0,0.0023125206475057814,"('sing', 'happy', 'birthday')",4,0.0013218770654329147
1,"('hibachi',)",30.0,0.009907529722589167,"('fried', 'rice')",7.0,0.0023125206475057814,"('tokyo', 'japanese', 'steak')",3,0.0009914077990746861
2,"('go',)",27.0,0.00891677675033025,"('dont', 'know')",5.0,0.0016518004625041295,"('japanese', 'steak', 'house')",3,0.0009914077990746861
3,"('restaurant',)",26.0,0.008586525759577279,"('go', 'back')",5.0,0.0016518004625041295,"('will', 'never', 'go')",2,0.0006609385327164573
4,"('said',)",25.0,0.008256274768824307,"('happy', 'birthday')",5.0,0.0016518004625041295,"('reasonably', 'good', 'ambience')",2,0.0006609385327164573
5,"('back',)",24.0,0.007926023778071334,"('10', 'minutes')",4.0,0.0013214403700033035,"('servers', 'pays', 'minimum')",2,0.0006609385327164573
6,"('time',)",24.0,0.007926023778071334,"('japanese', 'steak')",4.0,0.0013214403700033035,"('owner', 'restaurant', 'takes')",2,0.0006609385327164573
7,"('table',)",24.0,0.007926023778071334,"('will', 'never')",4.0,0.0013214403700033035,"('pays', 'minimum', 'wage')",2,0.0006609385327164573
8,"('us',)",23.0,0.007595772787318362,"('sing', 'happy')",4.0,0.0013214403700033035,"('minimum', 'wage', 'even')",2,0.0006609385327164573
9,"('will',)",22.0,0.00726552179656539,"('steak', 'house')",4.0,0.0013214403700033035,"('asked', 'speak', 'owner')",2,0.0006609385327164573
10,"('asked',)",22.0,0.00726552179656539,"('every', 'time')",3.0,0.0009910802775024777,"('wage', 'even', 'servers')",2,0.0006609385327164573
11,"('even',)",21.0,0.006935270805812417,"('didnt', 'even')",3.0,0.0009910802775024777,"('long', 'time', 'customer')",2,0.0006609385327164573
12,"('chef',)",20.0,0.0066050198150594455,"('hibachi', 'chef')",3.0,0.0009910802775024777,"('service', 'okay', 'however')",2,0.0006609385327164573
13,"('good',)",19.0,0.006274768824306473,"('will', 'return')",3.0,0.0009910802775024777,"('ambience', 'service', 'okay')",2,0.0006609385327164573
14,"('ordered',)",18.0,0.0059445178335535,"('first', 'time')",3.0,0.0009910802775024777,"('good', 'ambience', 'service')",2,0.0006609385327164573
15,"('dont',)",17.0,0.005614266842800529,"('tokyo', 'japanese')",3.0,0.0009910802775024777,"('tips', 'servers', 'pays')",2,0.0006609385327164573
16,"('never',)",17.0,0.005614266842800529,"('hibachi', 'restaurant')",3.0,0.0009910802775024777,"('experience', 'good', 'hibachi')",2,0.0006609385327164573
17,"('come',)",17.0,0.005614266842800529,"('long', 'time')",3.0,0.0009910802775024777,"('will', 'go', 'back')",2,0.0006609385327164573
18,"('rice',)",16.0,0.005284015852047556,"('whole', 'thing')",2.0,0.0006607201850016518,"('every', 'single', 'time')",2,0.0006609385327164573
19,"('told',)",15.0,0.004953764861294584,"('go', 'cheesecake')",2.0,0.0006607201850016518,"('never', 'go', 'back')",2,0.0006609385327164573
20,"('minutes',)",15.0,0.004953764861294584,"('front', 'us')",2.0,0.0006607201850016518,"('paid', '14', 'vegetables')",2,0.0006609385327164573
21,"('didnt',)",15.0,0.004953764861294584,"('waiter', 'brought')",2.0,0.0006607201850016518,"('good', 'hibachi', 'restaurant')",2,0.0006609385327164573
22,"('came',)",14.0,0.004623513870541612,"('filet', 'mignon')",2.0,0.0006607201850016518,"('go', 'cheesecake', 'factory')",2,0.0006609385327164573
23,"('like',)",14.0,0.004623513870541612,"('cook', 'front')",2.0,0.0006607201850016518,"('want', 'experience', 'good')",2,0.0006609385327164573
24,"('get',)",13.0,0.0042932628797886395,"('time', 'ordered')",2.0,0.0006607201850016518,"('ordinaryif', 'establishment', 'staff')",1,0.00033046926635822867
25,"('hostess',)",13.0,0.0042932628797886395,"('cheesecake', 'factory')",2.0,0.0006607201850016518,"('establishment', 'staff', 'owners')",1,0.00033046926635822867
26,"('got',)",13.0,0.0042932628797886395,"('onion', 'volcano')",2.0,0.0006607201850016518,"('supposed', 'piping', 'hot')",1,0.00033046926635822867
27,"('im',)",12.0,0.003963011889035667,"('go', 'orders')",2.0,0.0006607201850016518,"('less', 'tasteful', 'ordinaryif')",1,0.00033046926635822867
28,"('order',)",11.0,0.003632760898282695,"('miso', 'soup')",2.0,0.0006607201850016518,"('tasteful', 'ordinaryif', 'establishment')",1,0.00033046926635822867
29,"('went',)",11.0,0.003632760898282695,"('green', 'hills')",2.0,0.0006607201850016518,"('piping', 'hot', 'tastydinner')",1,0.00033046926635822867
30,"('japanese',)",11.0,0.003632760898282695,"('wont', 'back')",2.0,0.0006607201850016518,"('hot', 'tastydinner', 'less')",1,0.00033046926635822867
31,"('birthday',)",11.0,0.003632760898282695,"('said', 'refund')",2.0,0.0006607201850016518,"('tastydinner', 'less', 'tasteful')",1,0.00033046926635822867
32,"('staff',)",10.0,0.0033025099075297227,"('bill', 'told')",2.0,0.0006607201850016518,"('ive', 'never', 'terrible')",1,0.00033046926635822867
33,"('know',)",10.0,0.0033025099075297227,"('extremely', 'rude')",2.0,0.0006607201850016518,"('arrived', 'short', 'order')",1,0.00033046926635822867
34,"('shrimp',)",10.0,0.0033025099075297227,"('wasnt', 'even')",2.0,0.0006607201850016518,"('best', 'supposed', 'piping')",1,0.00033046926635822867
35,"('also',)",10.0,0.0033025099075297227,"('minute', 'mark')",2.0,0.0006607201850016518,"('warm', 'best', 'supposed')",1,0.00033046926635822867
36,"('grill',)",10.0,0.0033025099075297227,"('3', 'stars')",2.0,0.0006607201850016518,"('show', 'cooking', 'entire')",1,0.00033046926635822867
37,"('10',)",10.0,0.0033025099075297227,"('want', 'experience')",2.0,0.0006607201850016518,"('cooking', 'entire', 'table')",1,0.00033046926635822867
38,"('waiting',)",10.0,0.0033025099075297227,"('experience', 'good')",2.0,0.0006607201850016518,"('entire', 'table', 'finished')",1,0.00033046926635822867
39,"('people',)",10.0,0.0033025099075297227,"('good', 'hibachi')",2.0,0.0006607201850016518,"('table', 'finished', 'beginningsmy')",1,0.00033046926635822867
40,"('fried',)",9.0,0.00297225891677675,"('dont', 'get')",2.0,0.0006607201850016518,"('finished', 'beginningsmy', 'wife')",1,0.00033046926635822867
41,"('steak',)",9.0,0.00297225891677675,"('hibachi', 'salmon')",2.0,0.0006607201850016518,"('beginningsmy', 'wife', 'also')",1,0.00033046926635822867
42,"('sake',)",9.0,0.00297225891677675,"('asked', 'going')",2.0,0.0006607201850016518,"('wife', 'also', 'ordered')",1,0.00033046926635822867
43,"('really',)",9.0,0.00297225891677675,"('japanese', 'restaurant')",2.0,0.0006607201850016518,"('also', 'ordered', 'large')",1,0.00033046926635822867
44,"('thought',)",9.0,0.00297225891677675,"('least', 'make')",2.0,0.0006607201850016518,"('ordered', 'large', 'saki')",1,0.00033046926635822867
45,"('bad',)",9.0,0.00297225891677675,"('japanese', 'steakhouse')",2.0,0.0006607201850016518,"('large', 'saki', 'arrived')",1,0.00033046926635822867
46,"('look',)",9.0,0.00297225891677675,"('small', 'bowl')",2.0,0.0006607201850016518,"('saki', 'arrived', 'short')",1,0.00033046926635822867
47,"('dinner',)",9.0,0.00297225891677675,"('much', 'better')",2.0,0.0006607201850016518,"('owners', 'become', 'interested')",1,0.00033046926635822867
48,"('meal',)",9.0,0.00297225891677675,"('table', 'next')",2.0,0.0006607201850016518,"('short', 'order', 'luke')",1,0.00033046926635822867
49,"('front',)",9.0,0.00297225891677675,"('every', 'single')",2.0,0.0006607201850016518,"('order', 'luke', 'warm')",1,0.00033046926635822867
50,"('customer',)",9.0,0.00297225891677675,"('came', 'asked')",2.0,0.0006607201850016518,"('luke', 'warm', 'best')",1,0.00033046926635822867
51,"('much',)",9.0,0.00297225891677675,"('will', 'come')",2.0,0.0006607201850016518,"('staff', 'owners', 'become')",1,0.00033046926635822867
52,"('little',)",9.0,0.00297225891677675,"('give', 'thati')",2.0,0.0006607201850016518,"('become', 'interested', 'taking')",1,0.00033046926635822867
53,"('waiter',)",9.0,0.00297225891677675,"('even', 'servers')",2.0,0.0006607201850016518,"('requested', 'delay', 'show')",1,0.00033046926635822867
54,"('rude',)",9.0,0.00297225891677675,"('single', 'time')",2.0,0.0006607201850016518,"('hopes', 'owners', 'take')",1,0.00033046926635822867
55,"('ever',)",9.0,0.00297225891677675,"('multiple', 'times')",2.0,0.0006607201850016518,"('take', 'way', 'learn')",1,0.00033046926635822867
56,"('gave',)",8.0,0.002642007926023778,"('us', 'said')",2.0,0.0006607201850016518,"('way', 'learn', 'itwe')",1,0.00033046926635822867
57,"('say',)",8.0,0.002642007926023778,"('went', 'back')",2.0,0.0006607201850016518,"('learn', 'itwe', 'love')",1,0.00033046926635822867
