,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('good',)",10.0,0.012468827930174564,"('pork', 'belly')",7.0,0.008739076154806492,"('deep', 'fried', 'ginger')",2,0.0025
1,"('great',)",8.0,0.00997506234413965,"('next', 'door')",4.0,0.004993757802746567,"('golden', 'child', 'roll')",2,0.0025
2,"('night',)",7.0,0.008728179551122194,"('golden', 'child')",3.0,0.003745318352059925,"('suprising', 'didnt', 'order')",1,0.00125
3,"('roll',)",7.0,0.008728179551122194,"('good', 'happy')",2.0,0.0024968789013732834,"('decently', 'inexpensive', 'will')",1,0.00125
4,"('fish',)",7.0,0.008728179551122194,"('pretty', 'good')",2.0,0.0024968789013732834,"('inexpensive', 'will', 'going')",1,0.00125
5,"('pork',)",7.0,0.008728179551122194,"('first', 'time')",2.0,0.0024968789013732834,"('will', 'going', 'lot')",1,0.00125
6,"('menu',)",7.0,0.008728179551122194,"('miso', 'soup')",2.0,0.0024968789013732834,"('going', 'lot', 'coming')",1,0.00125
7,"('belly',)",7.0,0.008728179551122194,"('child', 'roll')",2.0,0.0024968789013732834,"('lot', 'coming', 'months')",1,0.00125
8,"('next',)",6.0,0.007481296758104738,"('pretty', 'cool')",2.0,0.0024968789013732834,"('coming', 'months', 'best')",1,0.00125
9,"('pretty',)",6.0,0.007481296758104738,"('house', 'salad')",2.0,0.0024968789013732834,"('months', 'best', 'fantastic')",1,0.00125
10,"('really',)",6.0,0.007481296758104738,"('st', 'louis')",2.0,0.0024968789013732834,"('best', 'fantastic', 'went')",1,0.00125
11,"('even',)",6.0,0.007481296758104738,"('lotus', 'chips')",2.0,0.0024968789013732834,"('fantastic', 'went', 'happy')",1,0.00125
12,"('hiro',)",5.0,0.006234413965087282,"('bulgogi', 'beef')",2.0,0.0024968789013732834,"('went', 'happy', 'hour')",1,0.00125
13,"('well',)",5.0,0.006234413965087282,"('deep', 'fried')",2.0,0.0024968789013732834,"('happy', 'hour', 'section')",1,0.00125
14,"('try',)",5.0,0.006234413965087282,"('crunchy', 'pig')",2.0,0.0024968789013732834,"('great', 'service', 'decently')",1,0.00125
15,"('tuna',)",5.0,0.006234413965087282,"('eel', 'sauce')",2.0,0.0024968789013732834,"('hour', 'section', 'menu')",1,0.00125
16,"('fresh',)",5.0,0.006234413965087282,"('happy', 'hour')",2.0,0.0024968789013732834,"('section', 'menu', '50')",1,0.00125
