,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('get',)",13.0,0.009558823529411765,"('hot', 'tuna')",5.0,0.003679175864606328,"('yogurt', 'dipping', 'sauce')",4,0.0029455081001472753
1,"('time',)",12.0,0.008823529411764706,"('dipping', 'sauce')",5.0,0.003679175864606328,"('tried', 'tried', 'tried')",3,0.0022091310751104565
2,"('roll',)",11.0,0.008088235294117648,"('yogurt', 'dipping')",4.0,0.0029433406916850625,"('happy', 'hour', 'specials')",3,0.0022091310751104565
3,"('restaurant',)",10.0,0.007352941176470588,"('tried', 'tried')",4.0,0.0029433406916850625,"('thought', 'chewing', 'seafood')",1,0.0007363770250368188
4,"('back',)",10.0,0.007352941176470588,"('last', 'time')",4.0,0.0029433406916850625,"('bc', 'something', 'didnt')",1,0.0007363770250368188
5,"('first',)",10.0,0.007352941176470588,"('happy', 'hour')",4.0,0.0029433406916850625,"('mouth', 'bc', 'something')",1,0.0007363770250368188
6,"('like',)",9.0,0.006617647058823529,"('sirloin', 'negimaki')",3.0,0.002207505518763797,"('took', 'mouth', 'bc')",1,0.0007363770250368188
7,"('order',)",9.0,0.006617647058823529,"('hour', 'specials')",3.0,0.002207505518763797,"('chewing', 'took', 'mouth')",1,0.0007363770250368188
8,"('tuna',)",9.0,0.006617647058823529,"('favorite', 'restaurant')",3.0,0.002207505518763797,"('swallow', 'chewing', 'took')",1,0.0007363770250368188
9,"('ordered',)",8.0,0.0058823529411764705,"('get', 'back')",3.0,0.002207505518763797,"('couldnt', 'swallow', 'chewing')",1,0.0007363770250368188
10,"('customer',)",8.0,0.0058823529411764705,"('lunch', 'special')",3.0,0.002207505518763797,"('seafood', 'couldnt', 'swallow')",1,0.0007363770250368188
11,"('go',)",8.0,0.0058823529411764705,"('first', 'time')",2.0,0.0014716703458425313,"('chewing', 'seafood', 'couldnt')",1,0.0007363770250368188
12,"('try',)",8.0,0.0058823529411764705,"('2', 'weeks')",2.0,0.0014716703458425313,"('wrote', 'review', 'long')",1,0.0007363770250368188
13,"('service',)",8.0,0.0058823529411764705,"('every', 'time')",2.0,0.0014716703458425313,"('something', 'didnt', 'seem')",1,0.0007363770250368188
14,"('tried',)",8.0,0.0058823529411764705,"('dont', 'offer')",2.0,0.0014716703458425313,"('story', 'short', 'thought')",1,0.0007363770250368188
15,"('great',)",8.0,0.0058823529411764705,"('far', 'east')",2.0,0.0014716703458425313,"('long', 'story', 'short')",1,0.0007363770250368188
16,"('two',)",8.0,0.0058823529411764705,"('parties', 'company')",2.0,0.0014716703458425313,"('soup', 'long', 'story')",1,0.0007363770250368188
17,"('sauce',)",7.0,0.005147058823529412,"('leave', 'two')",2.0,0.0014716703458425313,"('got', 'soup', 'long')",1,0.0007363770250368188
18,"('nice',)",7.0,0.005147058823529412,"('time', 'im')",2.0,0.0014716703458425313,"('past', 'got', 'soup')",1,0.0007363770250368188
19,"('hot',)",7.0,0.005147058823529412,"('samurai', 'blue')",2.0,0.0014716703458425313,"('looked', 'past', 'got')",1,0.0007363770250368188
20,"('went',)",7.0,0.005147058823529412,"('came', 'first')",2.0,0.0014716703458425313,"('standing', 'looked', 'past')",1,0.0007363770250368188
21,"('good',)",7.0,0.005147058823529412,"('think', 'ill')",2.0,0.0014716703458425313,"('short', 'thought', 'chewing')",1,0.0007363770250368188
22,"('even',)",6.0,0.004411764705882353,"('made', 'feel')",2.0,0.0014716703458425313,"('didnt', 'seem', 'right')",1,0.0007363770250368188
23,"('think',)",6.0,0.004411764705882353,"('roll', 'mexican')",2.0,0.0014716703458425313,"('seem', 'right', 'found')",1,0.0007363770250368188
24,"('manager',)",6.0,0.004411764705882353,"('trying', 'get')",2.0,0.0014716703458425313,"('right', 'found', 'purple')",1,0.0007363770250368188
25,"('dont',)",6.0,0.004411764705882353,"('without', 'scallions')",2.0,0.0014716703458425313,"('manager', 'apologize', 'compensated')",1,0.0007363770250368188
26,"('waitress',)",6.0,0.004411764705882353,"('told', 'phone')",2.0,0.0014716703458425313,"('disgusted', 'manager', 'apologize')",1,0.0007363770250368188
27,"('happy',)",6.0,0.004411764705882353,"('extremely', 'nice')",2.0,0.0014716703458425313,"('us', 'disgusted', 'manager')",1,0.0007363770250368188
28,"('hour',)",6.0,0.004411764705882353,"('patronized', 'establishment')",2.0,0.0014716703458425313,"('check', 'us', 'disgusted')",1,0.0007363770250368188
29,"('last',)",6.0,0.004411764705882353,"('felt', 'like')",2.0,0.0014716703458425313,"('forever', 'check', 'us')",1,0.0007363770250368188
30,"('salad',)",6.0,0.004411764705882353,"('new', 'potential')",2.0,0.0014716703458425313,"('took', 'forever', 'check')",1,0.0007363770250368188
31,"('business',)",5.0,0.003676470588235294,"('can', 'say')",2.0,0.0014716703458425313,"('waitress', 'took', 'forever')",1,0.0007363770250368188
32,"('actually',)",5.0,0.003676470588235294,"('different', 'options')",2.0,0.0014716703458425313,"('bc', 'waitress', 'took')",1,0.0007363770250368188
33,"('made',)",5.0,0.003676470588235294,"('swallow', 'chewing')",1.0,0.0007358351729212656,"('manager', 'bc', 'waitress')",1,0.0007363770250368188
34,"('2',)",5.0,0.003676470588235294,"('bc', 'something')",1.0,0.0007358351729212656,"('go', 'manager', 'bc')",1,0.0007363770250368188
35,"('will',)",5.0,0.003676470588235294,"('mouth', 'bc')",1.0,0.0007358351729212656,"('get', 'go', 'manager')",1,0.0007363770250368188
36,"('wasnt',)",5.0,0.003676470588235294,"('took', 'mouth')",1.0,0.0007358351729212656,"('ended', 'get', 'go')",1,0.0007363770250368188
37,"('taste',)",5.0,0.003676470588235294,"('something', 'didnt')",1.0,0.0007358351729212656,"('husband', 'ended', 'get')",1,0.0007363770250368188
38,"('ok',)",5.0,0.003676470588235294,"('chewing', 'took')",1.0,0.0007358351729212656,"('soup', 'husband', 'ended')",1,0.0007363770250368188
39,"('yogurt',)",5.0,0.003676470588235294,"('soup', 'husband')",1.0,0.0007358351729212656,"('rubberband', 'soup', 'husband')",1,0.0007363770250368188
40,"('got',)",5.0,0.003676470588235294,"('didnt', 'seem')",1.0,0.0007358351729212656,"('purple', 'rubberband', 'soup')",1,0.0007363770250368188
41,"('dressing',)",5.0,0.003676470588235294,"('seem', 'right')",1.0,0.0007358351729212656,"('found', 'purple', 'rubberband')",1,0.0007363770250368188
42,"('best',)",5.0,0.003676470588235294,"('disgusted', 'manager')",1.0,0.0007358351729212656,"('still', 'standing', 'looked')",1,0.0007363770250368188
43,"('review',)",5.0,0.003676470588235294,"('us', 'disgusted')",1.0,0.0007358351729212656,"('water', 'still', 'standing')",1,0.0007363770250368188
44,"('im',)",5.0,0.003676470588235294,"('check', 'us')",1.0,0.0007358351729212656,"('compensated', 'meal', 'couldnt')",1,0.0007363770250368188
45,"('bar',)",5.0,0.003676470588235294,"('forever', 'check')",1.0,0.0007358351729212656,"('crab', 'delight', 'amazing')",1,0.0007363770250368188
46,"('dipping',)",5.0,0.003676470588235294,"('took', 'forever')",1.0,0.0007358351729212656,"('back', 'husband', 'went')",1,0.0007363770250368188
47,"('long',)",5.0,0.003676470588235294,"('waitress', 'took')",1.0,0.0007358351729212656,"('go', 'back', 'husband')",1,0.0007363770250368188
48,"('server',)",4.0,0.0029411764705882353,"('bc', 'waitress')",1.0,0.0007358351729212656,"('ever', 'go', 'back')",1,0.0007363770250368188
49,"('ive',)",4.0,0.0029411764705882353,"('manager', 'bc')",1.0,0.0007358351729212656,"('suckedwill', 'ever', 'go')",1,0.0007363770250368188
50,"('pretty',)",4.0,0.0029411764705882353,"('go', 'manager')",1.0,0.0007358351729212656,"('absolutely', 'suckedwill', 'ever')",1,0.0007363770250368188
51,"('wings',)",4.0,0.0029411764705882353,"('get', 'go')",1.0,0.0007358351729212656,"('wakame', 'absolutely', 'suckedwill')",1,0.0007363770250368188
52,"('says',)",4.0,0.0029411764705882353,"('ended', 'get')",1.0,0.0007358351729212656,"('amazing', 'wakame', 'absolutely')",1,0.0007363770250368188
53,"('menu',)",4.0,0.0029411764705882353,"('husband', 'ended')",1.0,0.0007358351729212656,"('delight', 'amazing', 'wakame')",1,0.0007363770250368188
54,"('ill',)",4.0,0.0029411764705882353,"('seafood', 'couldnt')",1.0,0.0007358351729212656,"('outstanding', 'crab', 'delight')",1,0.0007363770250368188
55,"('something',)",4.0,0.0029411764705882353,"('rubberband', 'soup')",1.0,0.0007358351729212656,"('moist', 'water', 'still')",1,0.0007363770250368188
56,"('fish',)",4.0,0.0029411764705882353,"('purple', 'rubberband')",1.0,0.0007358351729212656,"('presentation', 'outstanding', 'crab')",1,0.0007363770250368188
57,"('since',)",4.0,0.0029411764705882353,"('found', 'purple')",1.0,0.0007358351729212656,"('foods', 'presentation', 'outstanding')",1,0.0007363770250368188
58,"('found',)",4.0,0.0029411764705882353,"('right', 'found')",1.0,0.0007358351729212656,"('say', 'foods', 'presentation')",1,0.0007363770250368188
59,"('looking',)",4.0,0.0029411764705882353,"('couldnt', 'swallow')",1.0,0.0007358351729212656,"('can', 'say', 'foods')",1,0.0007363770250368188
60,"('lunch',)",4.0,0.0029411764705882353,"('wrote', 'review')",1.0,0.0007358351729212656,"('something', 'can', 'say')",1,0.0007363770250368188
61,"('trying',)",4.0,0.0029411764705882353,"('chewing', 'seafood')",1.0,0.0007358351729212656,"('drafts', 'something', 'can')",1,0.0007363770250368188
62,"('special',)",4.0,0.0029411764705882353,"('first', 'glimpse')",1.0,0.0007358351729212656,"('review', 'drafts', 'something')",1,0.0007363770250368188
63,"('people',)",4.0,0.0029411764705882353,"('decided', 'try')",1.0,0.0007358351729212656,"('read', 'review', 'drafts')",1,0.0007363770250368188
64,"('must',)",4.0,0.0029411764705882353,"('tuna', 'decided')",1.0,0.0007358351729212656,"('husband', 'went', 'well')",1,0.0007363770250368188
65,"('took',)",4.0,0.0029411764705882353,"('suggested', 'hot')",1.0,0.0007358351729212656,"('went', 'well', 'needed')",1,0.0007363770250368188
66,"('negimaki',)",4.0,0.0029411764705882353,"('friend', 'suggested')",1.0,0.0007358351729212656,"('well', 'needed', 'date')",1,0.0007363770250368188
67,"('new',)",4.0,0.0029411764705882353,"('hubbys', 'friend')",1.0,0.0007358351729212656,"('needed', 'date', 'last')",1,0.0007363770250368188
68,"('thing',)",4.0,0.0029411764705882353,"('night', 'hubbys')",1.0,0.0007358351729212656,"('dishes', 'moist', 'water')",1,0.0007363770250368188
69,"('little',)",3.0,0.0022058823529411764,"('last', 'night')",1.0,0.0007358351729212656,"('starters', 'dishes', 'moist')",1,0.0007363770250368188
70,"('chef',)",3.0,0.0022058823529411764,"('date', 'last')",1.0,0.0007358351729212656,"('sit', 'starters', 'dishes')",1,0.0007363770250368188
71,"('favorite',)",3.0,0.0022058823529411764,"('needed', 'date')",1.0,0.0007358351729212656,"('nice', 'sit', 'starters')",1,0.0007363770250368188
72,"('bad',)",3.0,0.0022058823529411764,"('well', 'needed')",1.0,0.0007358351729212656,"('seems', 'nice', 'sit')",1,0.0007363770250368188
73,"('lost',)",3.0,0.0022058823529411764,"('went', 'well')",1.0,0.0007358351729212656,"('glimpse', 'seems', 'nice')",1,0.0007363770250368188
74,"('item',)",3.0,0.0022058823529411764,"('husband', 'went')",1.0,0.0007358351729212656,"('first', 'glimpse', 'seems')",1,0.0007363770250368188
