,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('us',)",21.0,0.014989293361884369,"('didnt', 'even')",3.0,0.002142857142857143,"('nothing', 'write', 'home')",2,0.0014295925661186562
1,"('roll',)",18.0,0.01284796573875803,"('last', 'night')",3.0,0.002142857142857143,"('green', 'hornet', 'roll')",2,0.0014295925661186562
2,"('get',)",15.0,0.010706638115631691,"('green', 'hornet')",2.0,0.0014285714285714286,"('waited', '10', 'minutes')",2,0.0014295925661186562
3,"('good',)",12.0,0.008565310492505354,"('collegeville', 'kumo')",2.0,0.0014285714285714286,"('mediocre', 'stick', 'fusion')",1,0.0007147962830593281
4,"('got',)",12.0,0.008565310492505354,"('took', 'forever')",2.0,0.0014285714285714286,"('concerns', 'pleasant', 'phone')",1,0.0007147962830593281
5,"('also',)",11.0,0.007851534618129907,"('soho', 'roll')",2.0,0.0014285714285714286,"('resolutions', 'disappointing', 'experience')",1,0.0007147962830593281
6,"('back',)",11.0,0.007851534618129907,"('wait', 'staff')",2.0,0.0014285714285714286,"('reasonable', 'resolutions', 'disappointing')",1,0.0007147962830593281
7,"('kumo',)",11.0,0.007851534618129907,"('customer', 'service')",2.0,0.0014285714285714286,"('offer', 'reasonable', 'resolutions')",1,0.0007147962830593281
8,"('service',)",10.0,0.007137758743754461,"('asked', 'moved')",2.0,0.0014285714285714286,"('rude', 'offer', 'reasonable')",1,0.0007147962830593281
9,"('ordered',)",10.0,0.007137758743754461,"('kumo', 'used')",2.0,0.0014285714285714286,"('extremely', 'rude', 'offer')",1,0.0007147962830593281
10,"('manager',)",10.0,0.007137758743754461,"('general', 'chicken')",2.0,0.0014285714285714286,"('phone', 'extremely', 'rude')",1,0.0007147962830593281
11,"('time',)",9.0,0.006423982869379015,"('ordered', '4')",2.0,0.0014285714285714286,"('pleasant', 'phone', 'extremely')",1,0.0007147962830593281
12,"('go',)",9.0,0.006423982869379015,"('crazy', 'roll')",2.0,0.0014285714285714286,"('kumo', 'address', 'concerns')",1,0.0007147962830593281
13,"('even',)",9.0,0.006423982869379015,"('wrong', 'table')",2.0,0.0014285714285714286,"('address', 'concerns', 'pleasant')",1,0.0007147962830593281
14,"('better',)",8.0,0.005710206995003569,"('sunday', 'afternoon')",2.0,0.0014285714285714286,"('experience', 'offered', 'bring')",1,0.0007147962830593281
