,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('chef',)",22.0,0.01049618320610687,"('pork', 'belly')",8.0,0.0038186157517899762,"('pork', 'belly', 'lollipops')",4,0.0019102196752626551
1,"('ramen',)",21.0,0.010019083969465648,"('belly', 'lollipops')",5.0,0.002386634844868735,"('head', 'chef', 'go')",4,0.0019102196752626551
2,"('menu',)",21.0,0.010019083969465648,"('head', 'chef')",5.0,0.002386634844868735,"('let', 'head', 'chef')",4,0.0019102196752626551
3,"('restaurant',)",18.0,0.008587786259541985,"('soft', 'opening')",5.0,0.002386634844868735,"('noble', 'pie', 'pizza')",3,0.0014326647564469914
4,"('bukko',)",17.0,0.008110687022900763,"('grand', 'opening')",4.0,0.0019093078758949881,"('first', 'time', 'went')",2,0.0009551098376313276
5,"('back',)",15.0,0.00715648854961832,"('let', 'head')",4.0,0.0019093078758949881,"('kobe', 'beef', 'burger')",2,0.0009551098376313276
6,"('even',)",15.0,0.00715648854961832,"('chef', 'go')",4.0,0.0019093078758949881,"('will', 'coming', 'back')",2,0.0009551098376313276
7,"('now',)",14.0,0.006679389312977099,"('first', 'time')",3.0,0.001431980906921241,"('prepare', 'grand', 'opening')",2,0.0009551098376313276
8,"('good',)",14.0,0.006679389312977099,"('noble', 'pie')",3.0,0.001431980906921241,"('1', 'star', 'good')",2,0.0009551098376313276
9,"('staff',)",13.0,0.006202290076335878,"('didnt', 'get')",3.0,0.001431980906921241,"('enough', 'steep', 'tea')",1,0.0004775549188156638
10,"('time',)",13.0,0.006202290076335878,"('justin', 'sanchez')",3.0,0.001431980906921241,"('looking', 'forward', 'eating')",1,0.0004775549188156638
11,"('didnt',)",13.0,0.006202290076335878,"('pie', 'pizza')",3.0,0.001431980906921241,"('say', 'otoro', 'looking')",1,0.0004775549188156638
12,"('will',)",12.0,0.0057251908396946565,"('chef', 'justin')",3.0,0.001431980906921241,"('can', 'say', 'otoro')",1,0.0004775549188156638
13,"('get',)",12.0,0.0057251908396946565,"('last', 'night')",3.0,0.001431980906921241,"('faster', 'can', 'say')",1,0.0004775549188156638
14,"('opening',)",11.0,0.005248091603053435,"('truly', 'special')",2.0,0.0009546539379474941,"('im', 'faster', 'can')",1,0.0004775549188156638
15,"('can',)",11.0,0.005248091603053435,"('changed', 'menu')",2.0,0.0009546539379474941,"('justin', 'im', 'faster')",1,0.0004775549188156638
16,"('like',)",11.0,0.005248091603053435,"('waitress', 'said')",2.0,0.0009546539379474941,"('waiter', 'brought', 'hot')",1,0.0004775549188156638
17,"('us',)",11.0,0.005248091603053435,"('chef', 'told')",2.0,0.0009546539379474941,"('back', 'justin', 'im')",1,0.0004775549188156638
18,"('week',)",10.0,0.004770992366412214,"('boiled', 'egg')",2.0,0.0009546539379474941,"('bring', 'back', 'justin')",1,0.0004775549188156638
19,"('best',)",10.0,0.004770992366412214,"('soft', 'boiled')",2.0,0.0009546539379474941,"('brought', 'hot', 'water')",1,0.0004775549188156638
20,"('service',)",10.0,0.004770992366412214,"('like', 'trying')",2.0,0.0009546539379474941,"('owner', 'bring', 'back')",1,0.0004775549188156638
21,"('go',)",10.0,0.004770992366412214,"('ramen', 'broth')",2.0,0.0009546539379474941,"('new', 'owner', 'bring')",1,0.0004775549188156638
22,"('quality',)",10.0,0.004770992366412214,"('chef', 'reno')",2.0,0.0009546539379474941,"('get', 'new', 'owner')",1,0.0004775549188156638
23,"('went',)",9.0,0.004293893129770993,"('now', 'generic')",2.0,0.0009546539379474941,"('back', 'get', 'new')",1,0.0004775549188156638
24,"('something',)",9.0,0.004293893129770993,"('week', 'went')",2.0,0.0009546539379474941,"('come', 'back', 'get')",1,0.0004775549188156638
25,"('great',)",9.0,0.004293893129770993,"('went', 'back')",2.0,0.0009546539379474941,"('ill', 'come', 'back')",1,0.0004775549188156638
26,"('pork',)",9.0,0.004293893129770993,"('want', 'go')",2.0,0.0009546539379474941,"('oh', 'ill', 'come')",1,0.0004775549188156638
27,"('owners',)",9.0,0.004293893129770993,"('didnt', 'know')",2.0,0.0009546539379474941,"('establishment', 'oh', 'ill')",1,0.0004775549188156638
28,"('last',)",9.0,0.004293893129770993,"('closing', 'time')",2.0,0.0009546539379474941,"('patronizing', 'establishment', 'oh')",1,0.0004775549188156638
29,"('belly',)",9.0,0.004293893129770993,"('prepare', 'grand')",2.0,0.0009546539379474941,"('stop', 'patronizing', 'establishment')",1,0.0004775549188156638
30,"('amazing',)",8.0,0.003816793893129771,"('didnt', 'even')",2.0,0.0009546539379474941,"('us', 'stop', 'patronizing')",1,0.0004775549188156638
31,"('business',)",8.0,0.003816793893129771,"('time', 'went')",2.0,0.0009546539379474941,"('asking', 'us', 'stop')",1,0.0004775549188156638
32,"('2',)",8.0,0.003816793893129771,"('original', 'review')",2.0,0.0009546539379474941,"('tone', 'asking', 'us')",1,0.0004775549188156638
33,"('review',)",8.0,0.003816793893129771,"('hot', 'water')",2.0,0.0009546539379474941,"('desperate', 'tone', 'asking')",1,0.0004775549188156638
34,"('soft',)",8.0,0.003816793893129771,"('looking', 'forward')",2.0,0.0009546539379474941,"('almost', 'desperate', 'tone')",1,0.0004775549188156638
35,"('closed',)",8.0,0.003816793893129771,"('even', 'though')",2.0,0.0009546539379474941,"('bartenders', 'almost', 'desperate')",1,0.0004775549188156638
36,"('first',)",8.0,0.003816793893129771,"('higher', 'end')",2.0,0.0009546539379474941,"('evidenced', 'bartenders', 'almost')",1,0.0004775549188156638
37,"('friendly',)",8.0,0.003816793893129771,"('kobe', 'beef')",2.0,0.0009546539379474941,"('otoro', 'looking', 'forward')",1,0.0004775549188156638
38,"('original',)",8.0,0.003816793893129771,"('go', 'back')",2.0,0.0009546539379474941,"('forward', 'eating', 'week')",1,0.0004775549188156638
39,"('im',)",8.0,0.003816793893129771,"('beef', 'burger')",2.0,0.0009546539379474941,"('hot', 'enough', 'steep')",1,0.0004775549188156638
40,"('reno',)",7.0,0.0033396946564885495,"('2', 'weeks')",2.0,0.0009546539379474941,"('items', 'crossed', 'menu')",1,0.0004775549188156638
41,"('dont',)",7.0,0.0033396946564885495,"('couldnt', 'even')",2.0,0.0009546539379474941,"('tea', 'hot', 'enough')",1,0.0004775549188156638
42,"('owner',)",7.0,0.0033396946564885495,"('coming', 'back')",2.0,0.0009546539379474941,"('steep', 'tea', 'really')",1,0.0004775549188156638
43,"('said',)",7.0,0.0033396946564885495,"('will', 'coming')",2.0,0.0009546539379474941,"('water', 'tea', 'hot')",1,0.0004775549188156638
44,"('disappointed',)",7.0,0.0033396946564885495,"('created', 'menu')",2.0,0.0009546539379474941,"('hot', 'water', 'tea')",1,0.0004775549188156638
45,"('going',)",7.0,0.0033396946564885495,"('time', 'visited')",2.0,0.0009546539379474941,"('disappointing', 'hot', 'water')",1,0.0004775549188156638
46,"('really',)",7.0,0.0033396946564885495,"('last', 'week')",2.0,0.0009546539379474941,"('came', 'disappointing', 'hot')",1,0.0004775549188156638
47,"('fish',)",7.0,0.0033396946564885495,"('staff', 'friendly')",2.0,0.0009546539379474941,"('really', 'came', 'disappointing')",1,0.0004775549188156638
48,"('made',)",7.0,0.0033396946564885495,"('4star', 'review')",2.0,0.0009546539379474941,"('lollipops', 'really', 'came')",1,0.0004775549188156638
49,"('open',)",6.0,0.0028625954198473282,"('train', 'wreck')",2.0,0.0009546539379474941,"('tea', 'really', 'waiter')",1,0.0004775549188156638
50,"('roll',)",6.0,0.0028625954198473282,"('best', 'ramen')",2.0,0.0009546539379474941,"('belly', 'lollipops', 'really')",1,0.0004775549188156638
51,"('seemed',)",6.0,0.0028625954198473282,"('organization', 'menu')",2.0,0.0009546539379474941,"('menu', 'pork', 'belly')",1,0.0004775549188156638
52,"('yelp',)",6.0,0.0028625954198473282,"('longer', 'company')",2.0,0.0009546539379474941,"('crossed', 'menu', 'pork')",1,0.0004775549188156638
53,"('let',)",6.0,0.0028625954198473282,"('star', 'good')",2.0,0.0009546539379474941,"('non', 'items', 'crossed')",1,0.0004775549188156638
54,"('know',)",6.0,0.0028625954198473282,"('1', 'star')",2.0,0.0009546539379474941,"('eating', 'week', 'took')",1,0.0004775549188156638
55,"('justin',)",6.0,0.0028625954198473282,"('minutes', 'seated')",2.0,0.0009546539379474941,"('30', 'non', 'items')",1,0.0004775549188156638
56,"('completely',)",6.0,0.0028625954198473282,"('20', 'minutes')",2.0,0.0009546539379474941,"('nice', '30', 'non')",1,0.0004775549188156638
57,"('want',)",6.0,0.0028625954198473282,"('super', 'fresh')",2.0,0.0009546539379474941,"('friendly', 'nice', '30')",1,0.0004775549188156638
58,"('new',)",6.0,0.0028625954198473282,"('shoyu', 'ramen')",2.0,0.0009546539379474941,"('staff', 'friendly', 'nice')",1,0.0004775549188156638
59,"('minutes',)",6.0,0.0028625954198473282,"('wait', 'staff')",2.0,0.0009546539379474941,"('spot', 'staff', 'friendly')",1,0.0004775549188156638
60,"('broth',)",6.0,0.0028625954198473282,"('last', 'time')",2.0,0.0009546539379474941,"('really', 'waiter', 'brought')",1,0.0004775549188156638
61,"('night',)",5.0,0.002385496183206107,"('come', 'back')",2.0,0.0009546539379474941,"('parking', 'spot', 'staff')",1,0.0004775549188156638
62,"('also',)",5.0,0.002385496183206107,"('can', 'eat')",2.0,0.0009546539379474941,"('find', 'parking', 'spot')",1,0.0004775549188156638
63,"('egg',)",5.0,0.002385496183206107,"('nice', '30')",1.0,0.00047732696897374703,"('hour', 'find', 'parking')",1,0.0004775549188156638
64,"('okay',)",5.0,0.002385496183206107,"('friendly', 'nice')",1.0,0.00047732696897374703,"('knew', 'evidenced', 'bartenders')",1,0.0004775549188156638
65,"('find',)",5.0,0.002385496183206107,"('spot', 'staff')",1.0,0.00047732696897374703,"('took', '12', 'hour')",1,0.0004775549188156638
66,"('well',)",5.0,0.002385496183206107,"('salvage', 'evening')",1.0,0.00047732696897374703,"('week', 'took', '12')",1,0.0004775549188156638
67,"('come',)",5.0,0.002385496183206107,"('evening', 'large')",1.0,0.00047732696897374703,"('12', 'hour', 'find')",1,0.0004775549188156638
68,"('head',)",5.0,0.002385496183206107,"('customers', 'well')",1.0,0.00047732696897374703,"('even', 'staff', 'knew')",1,0.0004775549188156638
69,"('found',)",5.0,0.002385496183206107,"('parking', 'spot')",1.0,0.00047732696897374703,"('staff', 'knew', 'evidenced')",1,0.0004775549188156638
70,"('told',)",5.0,0.002385496183206107,"('find', 'parking')",1.0,0.00047732696897374703,"('exactly', 'transpired', 'reeks')",1,0.0004775549188156638
71,"('though',)",5.0,0.002385496183206107,"('hour', 'find')",1.0,0.00047732696897374703,"('groupim', 'sure', 'exactly')",1,0.0004775549188156638
72,"('apparently',)",5.0,0.002385496183206107,"('large', 'groupim')",1.0,0.00047732696897374703,"('large', 'groupim', 'sure')",1,0.0004775549188156638
73,"('friends',)",5.0,0.002385496183206107,"('well', 'chef')",1.0,0.00047732696897374703,"('evening', 'large', 'groupim')",1,0.0004775549188156638
74,"('reason',)",5.0,0.002385496183206107,"('12', 'hour')",1.0,0.00047732696897374703,"('salvage', 'evening', 'large')",1,0.0004775549188156638
75,"('asked',)",5.0,0.002385496183206107,"('took', '12')",1.0,0.00047732696897374703,"('attempt', 'salvage', 'evening')",1,0.0004775549188156638
76,"('reviews',)",5.0,0.002385496183206107,"('week', 'took')",1.0,0.00047732696897374703,"('best', 'attempt', 'salvage')",1,0.0004775549188156638
77,"('grand',)",5.0,0.002385496183206107,"('groupim', 'sure')",1.0,0.00047732696897374703,"('clearly', 'best', 'attempt')",1,0.0004775549188156638
78,"('lollipops',)",5.0,0.002385496183206107,"('sure', 'exactly')",1.0,0.00047732696897374703,"('guy', 'clearly', 'best')",1,0.0004775549188156638
79,"('much',)",5.0,0.002385496183206107,"('eating', 'week')",1.0,0.00047732696897374703,"('new', 'guy', 'clearly')",1,0.0004775549188156638
80,"('day',)",5.0,0.002385496183206107,"('forward', 'eating')",1.0,0.00047732696897374703,"('service', 'new', 'guy')",1,0.0004775549188156638
81,"('table',)",5.0,0.002385496183206107,"('exactly', 'transpired')",1.0,0.00047732696897374703,"('earnest', 'service', 'new')",1,0.0004775549188156638
