,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('good',)",20.0,0.013679890560875513,"('ice', 'cream')",4.0,0.0027378507871321013,"('stars', 'coz', 'exceptional')",2,0.0013698630136986301
1,"('roll',)",19.0,0.012995896032831737,"('really', 'like')",3.0,0.002053388090349076,"('roll', 'weve', 'ordered')",2,0.0013698630136986301
2,"('service',)",19.0,0.012995896032831737,"('absolutely', 'delicious')",3.0,0.002053388090349076,"('well', 'every', 'roll')",2,0.0013698630136986301
3,"('great',)",18.0,0.012311901504787962,"('will', 'back')",3.0,0.002053388090349076,"('really', 'well', 'every')",2,0.0013698630136986301
4,"('friendly',)",15.0,0.010259917920656635,"('really', 'good')",3.0,0.002053388090349076,"('went', 'really', 'well')",2,0.0013698630136986301
5,"('like',)",15.0,0.010259917920656635,"('5', 'stars')",3.0,0.002053388090349076,"('believe', 'went', 'really')",2,0.0013698630136986301
6,"('definitely',)",14.0,0.009575923392612859,"('spicy', 'crab')",3.0,0.002053388090349076,"('side', 'believe', 'went')",2,0.0013698630136986301
7,"('really',)",14.0,0.009575923392612859,"('fast', 'service')",3.0,0.002053388090349076,"('sauce', 'side', 'believe')",2,0.0013698630136986301
8,"('sauce',)",13.0,0.008891928864569083,"('fish', 'fresh')",3.0,0.002053388090349076,"('dipping', 'sauce', 'side')",2,0.0013698630136986301
9,"('will',)",12.0,0.008207934336525308,"('wait', 'staff')",3.0,0.002053388090349076,"('jalapeo', 'dipping', 'sauce')",2,0.0013698630136986301
10,"('fresh',)",12.0,0.008207934336525308,"('dip', 'fiery')",2.0,0.0013689253935660506,"('fiery', 'jalapeo', 'dipping')",2,0.0013698630136986301
11,"('try',)",12.0,0.008207934336525308,"('habaero', 'dip')",2.0,0.0013689253935660506,"('dip', 'fiery', 'jalapeo')",2,0.0013698630136986301
12,"('favorite',)",11.0,0.007523939808481532,"('best', 'town')",2.0,0.0013689253935660506,"('habaero', 'dip', 'fiery')",2,0.0013698630136986301
13,"('staff',)",11.0,0.007523939808481532,"('fiery', 'jalapeo')",2.0,0.0013689253935660506,"('mango', 'habaero', 'dip')",2,0.0013698630136986301
