,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('good',)",19.0,0.021229050279329607,"('asian', 'cuisine')",4.0,0.0044742729306487695,"('shrimp', 'baby', 'shrimp')",2,0.0022396416573348264
1,"('great',)",17.0,0.01899441340782123,"('kung', 'pao')",3.0,0.003355704697986577,"('breaded', 'jumbo', 'shrimp')",2,0.0022396416573348264
2,"('chinese',)",15.0,0.01675977653631285,"('general', 'tso')",3.0,0.003355704697986577,"('good', 'order', 'general')",2,0.0022396416573348264
3,"('always',)",14.0,0.01564245810055866,"('great', 'service')",3.0,0.003355704697986577,"('order', 'general', 'tso')",2,0.0022396416573348264
4,"('service',)",14.0,0.01564245810055866,"('always', 'fresh')",3.0,0.003355704697986577,"('general', 'tso', 'shrimp')",2,0.0022396416573348264
5,"('order',)",11.0,0.012290502793296089,"('jumbo', 'shrimp')",2.0,0.0022371364653243847,"('tso', 'shrimp', 'best')",2,0.0022396416573348264
6,"('best',)",10.0,0.0111731843575419,"('shrimp', 'baby')",2.0,0.0022371364653243847,"('shrimp', 'best', 'ive')",2,0.0022396416573348264
7,"('restaurant',)",9.0,0.01005586592178771,"('baby', 'shrimp')",2.0,0.0022371364653243847,"('best', 'ive', 'actually')",2,0.0022396416573348264
8,"('fresh',)",9.0,0.01005586592178771,"('breaded', 'jumbo')",2.0,0.0022371364653243847,"('ive', 'actually', 'lightly')",2,0.0022396416573348264
9,"('harleysville',)",9.0,0.01005586592178771,"('tastes', 'fresh')",2.0,0.0022371364653243847,"('actually', 'lightly', 'breaded')",2,0.0022396416573348264
10,"('soup',)",9.0,0.01005586592178771,"('shrimp', 'dressed')",2.0,0.0022371364653243847,"('lightly', 'breaded', 'jumbo')",2,0.0022396416573348264
11,"('time',)",8.0,0.008938547486033519,"('entire', 'inch')",2.0,0.0022371364653243847,"('jumbo', 'shrimp', 'baby')",2,0.0022396416573348264
12,"('shrimp',)",8.0,0.008938547486033519,"('inch', 'breading')",2.0,0.0022371364653243847,"('best', 'chinese', 'around')",2,0.0022396416573348264
13,"('friendly',)",8.0,0.008938547486033519,"('lightly', 'breaded')",2.0,0.0022371364653243847,"('fresh', 'works', 'location')",2,0.0022396416573348264
14,"('asian',)",7.0,0.00782122905027933,"('breading', 'like')",2.0,0.0022371364653243847,"('baby', 'shrimp', 'dressed')",2,0.0022396416573348264
15,"('go',)",7.0,0.00782122905027933,"('like', 'places')",2.0,0.0022371364653243847,"('shrimp', 'dressed', 'entire')",2,0.0022396416573348264
16,"('excellent',)",7.0,0.00782122905027933,"('places', 'service')",2.0,0.0022371364653243847,"('dressed', 'entire', 'inch')",2,0.0022396416573348264
17,"('ive',)",7.0,0.00782122905027933,"('fast', 'tastes')",2.0,0.0022371364653243847,"('entire', 'inch', 'breading')",2,0.0022396416573348264
18,"('cuisine',)",6.0,0.0067039106145251395,"('works', 'location')",2.0,0.0022371364653243847,"('inch', 'breading', 'like')",2,0.0022396416573348264
19,"('chicken',)",6.0,0.0067039106145251395,"('fresh', 'works')",2.0,0.0022371364653243847,"('breading', 'like', 'places')",2,0.0022396416573348264
20,"('favorite',)",6.0,0.0067039106145251395,"('ive', 'actually')",2.0,0.0022371364653243847,"('like', 'places', 'service')",2,0.0022396416573348264
