,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('good',)",62.0,0.017658786670464256,"('hyatt', 'regency')",10.0,0.002849002849002849,"('sweet', 'potato', 'fries')",4,0.001139925904816187
1,"('great',)",56.0,0.015949871831387068,"('new', 'orleans')",9.0,0.002564102564102564,"('quick', 'late', 'lunch')",2,0.0005699629524080935
2,"('bar',)",40.0,0.011392765593847906,"('great', 'service')",9.0,0.002564102564102564,"('butternut', 'squash', 'pasta')",2,0.0005699629524080935
3,"('hotel',)",37.0,0.010538308174309313,"('really', 'good')",8.0,0.002279202279202279,"('didnt', 'like', 'much')",2,0.0005699629524080935
4,"('service',)",31.0,0.008829393335232128,"('vitascope', 'hall')",7.0,0.0019943019943019944,"('fritters', 'didnt', 'like')",2,0.0005699629524080935
5,"('really',)",25.0,0.007120478496154941,"('sweet', 'potato')",6.0,0.0017094017094017094,"('grits', 'fritters', 'didnt')",2,0.0005699629524080935
6,"('restaurant',)",25.0,0.007120478496154941,"('sports', 'bar')",6.0,0.0017094017094017094,"('shrimp', 'grits', 'fritters')",2,0.0005699629524080935
7,"('hyatt',)",24.0,0.006835659356308744,"('3rd', 'floor')",5.0,0.0014245014245014246,"('gulf', 'shrimp', 'grits')",2,0.0005699629524080935
8,"('well',)",22.0,0.006266021076616349,"('pretty', 'good')",5.0,0.0014245014245014246,"('amazing', 'gulf', 'shrimp')",2,0.0005699629524080935
9,"('ordered',)",19.0,0.005411563657077755,"('fish', 'chips')",5.0,0.0014245014245014246,"('pasta', 'amazing', 'gulf')",2,0.0005699629524080935
10,"('us',)",18.0,0.005126744517231558,"('homemade', 'chips')",4.0,0.0011396011396011395,"('squash', 'pasta', 'amazing')",2,0.0005699629524080935
11,"('like',)",17.0,0.00484192537738536,"('chicken', 'fingers')",4.0,0.0011396011396011395,"('papperdelle', 'butternut', 'squash')",2,0.0005699629524080935
12,"('also',)",17.0,0.00484192537738536,"('shrimp', 'grits')",4.0,0.0011396011396011395,"('jazz', 'music', 'weekends')",2,0.0005699629524080935
13,"('fries',)",17.0,0.00484192537738536,"('potato', 'fries')",4.0,0.0011396011396011395,"('youre', 'staying', 'hyatt')",2,0.0005699629524080935
14,"('time',)",17.0,0.00484192537738536,"('staying', 'hotel')",4.0,0.0011396011396011395,"('oyster', 'po', 'boy')",2,0.0005699629524080935
15,"('delicious',)",17.0,0.00484192537738536,"('avocado', 'salad')",4.0,0.0011396011396011395,"('pepper', 'jack', 'burger')",2,0.0005699629524080935
16,"('vitascope',)",16.0,0.004557106237539163,"('hotel', 'restaurant')",4.0,0.0011396011396011395,"('stay', 'hyatt', 'regency')",2,0.0005699629524080935
17,"('chips',)",16.0,0.004557106237539163,"('staying', 'hyatt')",4.0,0.0011396011396011395,"('sweet', 'potato', 'waffle')",2,0.0005699629524080935
18,"('burger',)",16.0,0.004557106237539163,"('gulf', 'shrimp')",3.0,0.0008547008547008547,"('potato', 'waffle', 'fries')",2,0.0005699629524080935
19,"('can',)",16.0,0.004557106237539163,"('brussel', 'sprouts')",3.0,0.0008547008547008547,"('best', 'customer', 'service')",2,0.0005699629524080935
20,"('back',)",15.0,0.004272287097692965,"('next', 'time')",3.0,0.0008547008547008547,"('great', 'service', 'zlata')",2,0.0005699629524080935
21,"('night',)",15.0,0.004272287097692965,"('good', 'well')",3.0,0.0008547008547008547,"('live', 'jazz', 'music')",2,0.0005699629524080935
22,"('order',)",15.0,0.004272287097692965,"('beer', 'selection')",3.0,0.0008547008547008547,"('alligator', 'sausage', 'crawfish')",2,0.0005699629524080935
23,"('beer',)",15.0,0.004272287097692965,"('potato', 'chips')",3.0,0.0008547008547008547,"('located', '3rd', 'floor')",2,0.0005699629524080935
24,"('im',)",15.0,0.004272287097692965,"('happy', 'hour')",3.0,0.0008547008547008547,"('wish', 'knew', 'name')",2,0.0005699629524080935
25,"('definitely',)",14.0,0.003987467957846767,"('customer', 'service')",3.0,0.0008547008547008547,"('great', 'beer', 'selection')",2,0.0005699629524080935
26,"('menu',)",13.0,0.00370264881800057,"('good', 'beer')",3.0,0.0008547008547008547,"('bartender', 'wish', 'knew')",2,0.0005699629524080935
27,"('little',)",13.0,0.00370264881800057,"('will', 'back')",3.0,0.0008547008547008547,"('regency', '3rd', 'floor')",2,0.0005699629524080935
28,"('fresh',)",13.0,0.00370264881800057,"('come', 'back')",3.0,0.0008547008547008547,"('hyatt', 'regency', '3rd')",2,0.0005699629524080935
29,"('chicken',)",13.0,0.00370264881800057,"('high', 'end')",3.0,0.0008547008547008547,"('inside', 'hyatt', 'regency')",2,0.0005699629524080935
30,"('meal',)",12.0,0.003417829678154372,"('waffle', 'fries')",3.0,0.0008547008547008547,"('located', 'inside', 'hyatt')",2,0.0005699629524080935
31,"('recommend',)",12.0,0.003417829678154372,"('good', 'great')",3.0,0.0008547008547008547,"('hot', 'sauce', 'like')",1,0.00028498147620404675
32,"('get',)",12.0,0.003417829678154372,"('room', 'service')",3.0,0.0008547008547008547,"('seafood', 'gumbo', 'roux')",1,0.00028498147620404675
33,"('room',)",12.0,0.003417829678154372,"('pizza', 'good')",3.0,0.0008547008547008547,"('done', 'seafood', 'gumbo')",1,0.00028498147620404675
