,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('us',)",43.0,0.012160633484162896,"('will', 'never')",6.0,0.0016973125884016972,"('salmon', 'skin', 'roll')",4,0.0011318619128466328
1,"('never',)",35.0,0.009898190045248868,"('wait', 'staff')",6.0,0.0016973125884016972,"('never', 'come', 'back')",3,0.0008488964346349745
2,"('time',)",32.0,0.00904977375565611,"('come', 'back')",5.0,0.0014144271570014145,"('bland', 'bland', 'bland')",3,0.0008488964346349745
3,"('hibachi',)",31.0,0.008766968325791855,"('go', 'back')",5.0,0.0014144271570014145,"('last', 'night', 'went')",3,0.0008488964346349745
4,"('like',)",30.0,0.008484162895927601,"('skin', 'roll')",4.0,0.0011315417256011315,"('want', 'go', 'back')",2,0.0005659309564233164
5,"('service',)",29.0,0.008201357466063349,"('last', 'night')",4.0,0.0011315417256011315,"('never', 'got', 'refills')",2,0.0005659309564233164
6,"('back',)",28.0,0.007918552036199095,"('never', 'got')",4.0,0.0011315417256011315,"('however', 'last', 'time')",2,0.0005659309564233164
7,"('get',)",27.0,0.007635746606334841,"('bland', 'bland')",4.0,0.0011315417256011315,"('charge', 'soda', 'refills')",2,0.0005659309564233164
8,"('restaurant',)",26.0,0.007352941176470588,"('salmon', 'skin')",4.0,0.0011315417256011315,"('time', 'look', 'menu')",2,0.0005659309564233164
9,"('asked',)",25.0,0.007070135746606335,"('last', 'time')",4.0,0.0011315417256011315,"('several', 'hibachi', 'restaurants')",2,0.0005659309564233164
10,"('dont',)",22.0,0.006221719457013574,"('friend', 'ordered')",4.0,0.0011315417256011315,"('good', 'experiences', 'however')",2,0.0005659309564233164
11,"('ordered',)",22.0,0.006221719457013574,"('restaurant', 'business')",3.0,0.0008486562942008486,"('chef', 'sprayed', 'water')",2,0.0005659309564233164
12,"('go',)",22.0,0.006221719457013574,"('20', 'minutes')",3.0,0.0008486562942008486,"('never', 'go', 'back')",2,0.0005659309564233164
13,"('table',)",21.0,0.005938914027149321,"('hibachi', 'restaurant')",3.0,0.0008486562942008486,"('get', 'restaurant', 'business')",2,0.0005659309564233164
14,"('got',)",21.0,0.005938914027149321,"('service', 'terrible')",3.0,0.0008486562942008486,"('sauce', 'boring', 'tuna')",1,0.0002829654782116582
15,"('staff',)",20.0,0.005656108597285068,"('many', 'people')",3.0,0.0008486562942008486,"('confusing', 'unappetizing', 'tempura')",1,0.0002829654782116582
16,"('will',)",20.0,0.005656108597285068,"('told', 'us')",3.0,0.0008486562942008486,"('bland', 'didnt', 'hibachi')",1,0.0002829654782116582
17,"('even',)",18.0,0.005090497737556561,"('never', 'come')",3.0,0.0008486562942008486,"('unappetizing', 'tempura', 'around')",1,0.0002829654782116582
18,"('people',)",18.0,0.005090497737556561,"('white', 'rice')",3.0,0.0008486562942008486,"('didnt', 'hibachi', 'sat')",1,0.0002829654782116582
19,"('meal',)",17.0,0.004807692307692308,"('night', 'went')",3.0,0.0008486562942008486,"('hibachi', 'sat', 'table')",1,0.0002829654782116582
20,"('said',)",17.0,0.004807692307692308,"('dont', 'care')",3.0,0.0008486562942008486,"('sat', 'table', 'service')",1,0.0002829654782116582
21,"('order',)",17.0,0.004807692307692308,"('never', 'go')",3.0,0.0008486562942008486,"('table', 'service', 'pepper')",1,0.0002829654782116582
22,"('rice',)",17.0,0.004807692307692308,"('1000', 'pm')",3.0,0.0008486562942008486,"('service', 'pepper', 'tuna')",1,0.0002829654782116582
23,"('customers',)",17.0,0.004807692307692308,"('tasted', 'like')",3.0,0.0008486562942008486,"('came', 'plate', 'confusing')",1,0.0002829654782116582
24,"('good',)",16.0,0.004524886877828055,"('take', 'order')",3.0,0.0008486562942008486,"('plate', 'confusing', 'unappetizing')",1,0.0002829654782116582
25,"('didnt',)",16.0,0.004524886877828055,"('get', 'restaurant')",3.0,0.0008486562942008486,"('martini', 'came', 'plate')",1,0.0002829654782116582
26,"('chef',)",15.0,0.004242081447963801,"('hibachi', 'chef')",3.0,0.0008486562942008486,"('pepper', 'tuna', 'heavy')",1,0.0002829654782116582
27,"('tip',)",15.0,0.004242081447963801,"('hibachi', 'table')",3.0,0.0008486562942008486,"('tuna', 'heavy', 'sauce')",1,0.0002829654782116582
28,"('told',)",14.0,0.003959276018099547,"('split', 'check')",3.0,0.0008486562942008486,"('heavy', 'sauce', 'boring')",1,0.0002829654782116582
29,"('steak',)",14.0,0.003959276018099547,"('fried', 'rice')",3.0,0.0008486562942008486,"('underwhelming', 'unseasoned', 'bland')",1,0.0002829654782116582
30,"('went',)",13.0,0.003676470588235294,"('closing', 'time')",3.0,0.0008486562942008486,"('tuna', 'martini', 'came')",1,0.0002829654782116582
31,"('put',)",13.0,0.003676470588235294,"('well', 'done')",3.0,0.0008486562942008486,"('boring', 'tuna', 'martini')",1,0.0002829654782116582
32,"('rude',)",13.0,0.003676470588235294,"('us', 'wanted')",2.0,0.0005657708628005657,"('unseasoned', 'bland', 'didnt')",1,0.0002829654782116582
33,"('manager',)",13.0,0.003676470588235294,"('fire', 'tricks')",2.0,0.0005657708628005657,"('stopped', 'bite', 'eat')",1,0.0002829654782116582
34,"('first',)",13.0,0.003676470588235294,"('table', '730')",2.0,0.0005657708628005657,"('bland', 'underwhelming', 'unseasoned')",1,0.0002829654782116582
35,"('really',)",12.0,0.003393665158371041,"('wont', 'back')",2.0,0.0005657708628005657,"('apologize', 'good', 'attitude')",1,0.0002829654782116582
36,"('came',)",12.0,0.003393665158371041,"('cooked', 'shrimp')",2.0,0.0005657708628005657,"('told', 'manage', 'happened')",1,0.0002829654782116582
37,"('waiter',)",12.0,0.003393665158371041,"('laughed', 'said')",2.0,0.0005657708628005657,"('manage', 'happened', 'asked')",1,0.0002829654782116582
38,"('wanted',)",12.0,0.003393665158371041,"('get', 'together')",2.0,0.0005657708628005657,"('happened', 'asked', 'get')",1,0.0002829654782116582
39,"('eating',)",12.0,0.003393665158371041,"('time', 'look')",2.0,0.0005657708628005657,"('asked', 'get', 'least')",1,0.0002829654782116582
40,"('cook',)",12.0,0.003393665158371041,"('coming', 'back')",2.0,0.0005657708628005657,"('get', 'least', 'apology')",1,0.0002829654782116582
41,"('going',)",12.0,0.003393665158371041,"('going', 'back')",2.0,0.0005657708628005657,"('least', 'apology', 'discount')",1,0.0002829654782116582
42,"('scallops',)",12.0,0.003393665158371041,"('three', 'times')",2.0,0.0005657708628005657,"('apology', 'discount', 'offered')",1,0.0002829654782116582
43,"('last',)",11.0,0.003110859728506787,"('returning', 'customer')",2.0,0.0005657708628005657,"('discount', 'offered', 'refused')",1,0.0002829654782116582
44,"('two',)",11.0,0.003110859728506787,"('wanted', 'hibachi')",2.0,0.0005657708628005657,"('offered', 'refused', 'apologize')",1,0.0002829654782116582
45,"('take',)",11.0,0.003110859728506787,"('fan', 'hibachi')",2.0,0.0005657708628005657,"('refused', 'apologize', 'good')",1,0.0002829654782116582
46,"('check',)",11.0,0.003110859728506787,"('ordered', 'chicken')",2.0,0.0005657708628005657,"('good', 'attitude', 'entire')",1,0.0002829654782116582
47,"('plate',)",11.0,0.003110859728506787,"('run', 'card')",2.0,0.0005657708628005657,"('bland', 'bland', 'underwhelming')",1,0.0002829654782116582
48,"('experience',)",11.0,0.003110859728506787,"('plate', 'put')",2.0,0.0005657708628005657,"('attitude', 'entire', 'time')",1,0.0002829654782116582
