,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('tuna',)",5.0,0.014792899408284023,"('crab', 'rangoon')",2.0,0.005934718100890208,"('see', 'soooo', 'many')",1,0.002976190476190476
1,"('like',)",4.0,0.011834319526627219,"('fried', 'rice')",2.0,0.005934718100890208,"('bad', 'evan', 'roll')",1,0.002976190476190476
2,"('good',)",4.0,0.011834319526627219,"('15', 'minutes')",2.0,0.005934718100890208,"('else', 'unfortunately', 'will')",1,0.002976190476190476
3,"('ordered',)",3.0,0.008875739644970414,"('bad', 'evan')",1.0,0.002967359050445104,"('anything', 'else', 'unfortunately')",1,0.002976190476190476
4,"('say',)",3.0,0.008875739644970414,"('anything', 'else')",1.0,0.002967359050445104,"('overpowered', 'anything', 'else')",1,0.002976190476190476
5,"('tasted',)",3.0,0.008875739644970414,"('overpowered', 'anything')",1.0,0.002967359050445104,"('spicy', 'overpowered', 'anything')",1,0.002976190476190476
6,"('eat',)",3.0,0.008875739644970414,"('spicy', 'overpowered')",1.0,0.002967359050445104,"('way', 'spicy', 'overpowered')",1,0.002976190476190476
7,"('wait',)",3.0,0.008875739644970414,"('way', 'spicy')",1.0,0.002967359050445104,"('ok', 'way', 'spicy')",1,0.002976190476190476
8,"('rice',)",3.0,0.008875739644970414,"('ok', 'way')",1.0,0.002967359050445104,"('roll', 'ok', 'way')",1,0.002976190476190476
9,"('ever',)",3.0,0.008875739644970414,"('roll', 'ok')",1.0,0.002967359050445104,"('evan', 'roll', 'ok')",1,0.002976190476190476
10,"('waitress',)",3.0,0.008875739644970414,"('evan', 'roll')",1.0,0.002967359050445104,"('good', 'bad', 'evan')",1,0.002976190476190476
11,"('go',)",3.0,0.008875739644970414,"('good', 'bad')",1.0,0.002967359050445104,"('soooo', 'many', 'great')",1,0.002976190476190476
12,"('roll',)",3.0,0.008875739644970414,"('unfortunately', 'will')",1.0,0.002967359050445104,"('difference', 'good', 'bad')",1,0.002976190476190476
13,"('since',)",3.0,0.008875739644970414,"('difference', 'good')",1.0,0.002967359050445104,"('know', 'difference', 'good')",1,0.002976190476190476
