,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('service',)",32.0,0.010478061558611657,"('can', 'eat')",12.0,0.003930560104814936,"('never', 'go', 'back')",3,0.000982961992136304
1,"('can',)",27.0,0.008840864440078585,"('15', 'tip')",6.0,0.001965280052407468,"('tip', 'already', 'included')",2,0.000655307994757536
2,"('good',)",26.0,0.008513425016371971,"('university', 'city')",5.0,0.0016377333770062235,"('15', 'tip', 'added')",2,0.000655307994757536
3,"('back',)",23.0,0.007531106745252128,"('spicy', 'tuna')",5.0,0.0016377333770062235,"('city', 'im', 'guessing')",2,0.000655307994757536
4,"('restaurant',)",23.0,0.007531106745252128,"('go', 'back')",5.0,0.0016377333770062235,"('ive', 'ever', 'experienced')",2,0.000655307994757536
5,"('rice',)",22.0,0.007203667321545514,"('soup', 'salad')",5.0,0.0016377333770062235,"('think', 'twice', 'coming')",2,0.000655307994757536
6,"('waitress',)",22.0,0.007203667321545514,"('can', 'get')",5.0,0.0016377333770062235,"('15', 'tip', 'already')",2,0.000655307994757536
7,"('eat',)",21.0,0.0068762278978389,"('last', 'time')",4.0,0.0013101867016049786,"('will', 'never', 'go')",2,0.000655307994757536
8,"('like',)",21.0,0.0068762278978389,"('credit', 'card')",4.0,0.0013101867016049786,"('bad', 'experiences', 'ive')",2,0.000655307994757536
9,"('get',)",21.0,0.0068762278978389,"('lunch', 'specials')",3.0,0.000982640026203734,"('spicy', 'tuna', 'roll')",2,0.000655307994757536
10,"('dont',)",20.0,0.006548788474132285,"('tuna', 'roll')",3.0,0.000982640026203734,"('go', 'fairly', 'often')",2,0.000655307994757536
11,"('go',)",19.0,0.006221349050425672,"('service', 'slow')",3.0,0.000982640026203734,"('can', 'eat', 'special')",2,0.000655307994757536
12,"('bad',)",18.0,0.005893909626719057,"('ever', 'ever')",3.0,0.000982640026203734,"('added', '15', 'tip')",2,0.000655307994757536
13,"('ajia',)",18.0,0.005893909626719057,"('pretty', 'good')",3.0,0.000982640026203734,"('ever', 'ever', 'ever')",2,0.000655307994757536
14,"('us',)",17.0,0.005566470203012442,"('didnt', 'taste')",3.0,0.000982640026203734,"('schuylkill', 'dont', 'know')",1,0.000327653997378768
15,"('tip',)",16.0,0.005239030779305829,"('japanese', 'restaurants')",3.0,0.000982640026203734,"('choose', 'japanese', 'restaurants')",1,0.000327653997378768
16,"('lunch',)",16.0,0.005239030779305829,"('ive', 'ever')",3.0,0.000982640026203734,"('away', 'schuylkill', 'dont')",1,0.000327653997378768
17,"('time',)",16.0,0.005239030779305829,"('wine', 'glasses')",3.0,0.000982640026203734,"('know', 'choose', 'japanese')",1,0.000327653997378768
18,"('never',)",15.0,0.004911591355599214,"('dont', 'know')",3.0,0.000982640026203734,"('far', 'away', 'schuylkill')",1,0.000327653997378768
19,"('ever',)",15.0,0.004911591355599214,"('pretty', 'much')",3.0,0.000982640026203734,"('dont', 'know', 'choose')",1,0.000327653997378768
20,"('didnt',)",15.0,0.004911591355599214,"('miso', 'soup')",3.0,0.000982640026203734,"('ive', 'aija', 'kind')",1,0.000327653997378768
21,"('15',)",14.0,0.0045841519318926,"('coming', 'back')",3.0,0.000982640026203734,"('japanese', 'restaurants', 'ugh')",1,0.000327653997378768
22,"('went',)",14.0,0.0045841519318926,"('lunch', 'special')",3.0,0.000982640026203734,"('restaurants', 'ugh', 'please')",1,0.000327653997378768
23,"('give',)",13.0,0.004256712508185986,"('wanted', 'us')",3.0,0.000982640026203734,"('please', 'ethnic', 'restaurant')",1,0.000327653997378768
24,"('japanese',)",13.0,0.004256712508185986,"('never', 'go')",3.0,0.000982640026203734,"('ethnic', 'restaurant', 'play')",1,0.000327653997378768
25,"('fish',)",13.0,0.004256712508185986,"('much', 'rice')",2.0,0.0006550933508024893,"('restaurant', 'play', 'ethnic')",1,0.000327653997378768
26,"('salad',)",12.0,0.003929273084479371,"('experiences', 'ive')",2.0,0.0006550933508024893,"('play', 'ethnic', 'music')",1,0.000327653997378768
27,"('came',)",12.0,0.003929273084479371,"('rude', 'service')",2.0,0.0006550933508024893,"('ethnic', 'music', 'american')",1,0.000327653997378768
