,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('ordered',)",8.0,0.017429193899782137,"('will', 'never')",3.0,0.006550218340611353,"('ordered', 'coconut', 'milk')",1,0.002188183807439825
1,"('came',)",7.0,0.015250544662309368,"('drunken', 'noodles')",2.0,0.004366812227074236,"('really', 'priced', 'portion')",1,0.002188183807439825
2,"('good',)",7.0,0.015250544662309368,"('took', 'hour')",2.0,0.004366812227074236,"('area', 'ok', 'really')",1,0.002188183807439825
3,"('order',)",7.0,0.015250544662309368,"('brought', 'missing')",2.0,0.004366812227074236,"('eaten', 'area', 'ok')",1,0.002188183807439825
4,"('will',)",6.0,0.013071895424836602,"('couple', 'ordered')",2.0,0.004366812227074236,"('can', 'eaten', 'area')",1,0.002188183807439825
5,"('time',)",5.0,0.010893246187363835,"('pad', 'thai')",2.0,0.004366812227074236,"('good', 'can', 'eaten')",1,0.002188183807439825
6,"('service',)",5.0,0.010893246187363835,"('math', 'came')",2.0,0.004366812227074236,"('sick', 'good', 'can')",1,0.002188183807439825
7,"('took',)",5.0,0.010893246187363835,"('came', 'shrimp')",2.0,0.004366812227074236,"('will', 'sick', 'good')",1,0.002188183807439825
8,"('never',)",5.0,0.010893246187363835,"('dont', 'feel')",1.0,0.002183406113537118,"('like', 'will', 'sick')",1,0.002188183807439825
9,"('thai',)",5.0,0.010893246187363835,"('feel', 'like')",1.0,0.002183406113537118,"('feel', 'like', 'will')",1,0.002188183807439825
10,"('restaurant',)",4.0,0.008714596949891068,"('like', 'will')",1.0,0.002183406113537118,"('dont', 'feel', 'like')",1,0.002188183807439825
11,"('slow',)",4.0,0.008714596949891068,"('will', 'sick')",1.0,0.002183406113537118,"('sign', 'dont', 'feel')",1,0.002188183807439825
12,"('back',)",4.0,0.008714596949891068,"('sick', 'good')",1.0,0.002183406113537118,"('first', 'sign', 'dont')",1,0.002188183807439825
13,"('noodles',)",4.0,0.008714596949891068,"('good', 'can')",1.0,0.002183406113537118,"('immediately', 'first', 'sign')",1,0.002188183807439825
