,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('fresh',)",79.0,0.016956428418115475,"('miso', 'soup')",25.0,0.0053671103477887505,"('free', 'miso', 'soup')",9,0.001932574618853339
1,"('roll',)",60.0,0.0128783000643915,"('jasons', 'toridasu')",14.0,0.0030055817947617003,"('definitely', 'going', 'back')",6,0.0012883830792355595
2,"('great',)",54.0,0.01159047005795235,"('customer', 'service')",11.0,0.0023615285530270503,"('spicy', 'tuna', 'roll')",4,0.0008589220528237063
3,"('jason',)",48.0,0.0103026400515132,"('rice', 'balls')",11.0,0.0023615285530270503,"('owner', 'super', 'friendly')",4,0.0008589220528237063
4,"('good',)",43.0,0.009229448379480575,"('free', 'miso')",9.0,0.0019321597252039502,"('tuna', 'rice', 'balls')",3,0.0006441915396177797
5,"('jasons',)",43.0,0.009229448379480575,"('main', 'line')",9.0,0.0019321597252039502,"('fresh', 'high', 'quality')",3,0.0006441915396177797
6,"('really',)",38.0,0.00815625670744795,"('high', 'quality')",9.0,0.0019321597252039502,"('roll', 'spicy', 'tuna')",3,0.0006441915396177797
7,"('will',)",37.0,0.007941618373041425,"('highly', 'recommend')",8.0,0.0017174753112924003,"('miso', 'soup', 'free')",3,0.0006441915396177797
8,"('back',)",36.0,0.0077269800386349004,"('first', 'time')",8.0,0.0017174753112924003,"('jason', 'owner', 'super')",3,0.0006441915396177797
9,"('delicious',)",34.0,0.00729770336982185,"('owner', 'super')",8.0,0.0017174753112924003,"('eel', 'cucumber', 'roll')",3,0.0006441915396177797
10,"('friendly',)",33.0,0.0070830650354153256,"('will', 'definitely')",7.0,0.0015027908973808501,"('roll', 'eel', 'cucumber')",3,0.0006441915396177797
11,"('service',)",32.0,0.0068684267010088,"('owner', 'jason')",7.0,0.0015027908973808501,"('spicy', 'salmon', 'roll')",3,0.0006441915396177797
12,"('soup',)",31.0,0.006653788366602275,"('ive', 'ever')",7.0,0.0015027908973808501,"('good', 'take', 'didnt')",2,0.00042946102641185313
13,"('miso',)",31.0,0.006653788366602275,"('fresh', 'delicious')",7.0,0.0015027908973808501,"('pretty', 'good', 'take')",2,0.00042946102641185313
14,"('owner',)",31.0,0.006653788366602275,"('shrimp', 'tempura')",6.0,0.0012881064834693002,"('enjoyed', 'shrimp', 'tempura')",2,0.00042946102641185313
15,"('salmon',)",30.0,0.00643915003219575,"('tuna', 'roll')",6.0,0.0012881064834693002,"('amazing', 'owner', 'super')",2,0.00042946102641185313
16,"('free',)",30.0,0.00643915003219575,"('give', 'try')",6.0,0.0012881064834693002,"('take', 'didnt', 'know')",2,0.00042946102641185313
17,"('order',)",29.0,0.006224511697789225,"('going', 'back')",6.0,0.0012881064834693002,"('attentive', 'gluten', 'free')",2,0.00042946102641185313
18,"('definitely',)",28.0,0.0060098733633827004,"('definitely', 'going')",6.0,0.0012881064834693002,"('highly', 'recommend', 'wow')",2,0.00042946102641185313
19,"('rice',)",27.0,0.005795235028976175,"('really', 'good')",6.0,0.0012881064834693002,"('didnt', 'know', 'attentive')",2,0.00042946102641185313
20,"('quality',)",26.0,0.00558059669456965,"('will', 'back')",6.0,0.0012881064834693002,"('know', 'attentive', 'gluten')",2,0.00042946102641185313
21,"('best',)",25.0,0.0053659583601631256,"('spicy', 'salmon')",6.0,0.0012881064834693002,"('gluten', 'free', 'requests')",2,0.00042946102641185313
22,"('tuna',)",25.0,0.0053659583601631256,"('spicy', 'tuna')",6.0,0.0012881064834693002,"('free', 'requests', 'heard')",2,0.00042946102641185313
23,"('takeout',)",25.0,0.0053659583601631256,"('super', 'friendly')",6.0,0.0012881064834693002,"('fresh', 'salmon', 'avocado')",2,0.00042946102641185313
24,"('super',)",24.0,0.0051513200257566,"('free', 'drink')",6.0,0.0012881064834693002,"('soup', 'bottled', 'water')",2,0.00042946102641185313
25,"('try',)",23.0,0.004936681691350075,"('definitely', 'back')",5.0,0.00107342206955775,"('jason', 'super', 'nice')",2,0.00042946102641185313
26,"('area',)",23.0,0.004936681691350075,"('cucumber', 'roll')",5.0,0.00107342206955775,"('owner', 'super', 'nice')",2,0.00042946102641185313
27,"('time',)",22.0,0.00472204335694355,"('dragon', 'roll')",5.0,0.00107342206955775,"('miso', 'soup', 'house')",2,0.00042946102641185313
28,"('spicy',)",22.0,0.00472204335694355,"('made', 'fresh')",5.0,0.00107342206955775,"('miso', 'soup', 'friendly')",2,0.00042946102641185313
29,"('like',)",22.0,0.00472204335694355,"('toridasu', 'roll')",5.0,0.00107342206955775,"('every', 'single', 'time')",2,0.00042946102641185313
30,"('can',)",22.0,0.00472204335694355,"('salmon', 'roll')",5.0,0.00107342206955775,"('shrimp', 'tempura', 'green')",2,0.00042946102641185313
31,"('go',)",22.0,0.00472204335694355,"('roll', 'spicy')",5.0,0.00107342206955775,"('requests', 'heard', 'expanding')",2,0.00042946102641185313
32,"('ive',)",21.0,0.004507405022537025,"('tuna', 'rice')",5.0,0.00107342206955775,"('tempura', 'green', 'dragon')",2,0.00042946102641185313
33,"('made',)",21.0,0.004507405022537025,"('salmon', 'avocado')",5.0,0.00107342206955775,"('going', 'back', 'fresh')",2,0.00042946102641185313
34,"('get',)",20.0,0.0042927666881305004,"('bottled', 'water')",4.0,0.0008587376556462001,"('freshwell', 'definitely', 'going')",2,0.00042946102641185313
35,"('toridasu',)",20.0,0.0042927666881305004,"('come', 'back')",4.0,0.0008587376556462001,"('great', 'addition', 'ardmore')",2,0.00042946102641185313
36,"('im',)",20.0,0.0042927666881305004,"('dont', 'think')",4.0,0.0008587376556462001,"('delicious', 'freshwell', 'definitely')",2,0.00042946102641185313
37,"('always',)",19.0,0.004078128353723975,"('super', 'nice')",4.0,0.0008587376556462001,"('3', 'delicious', 'freshwell')",2,0.00042946102641185313
38,"('nice',)",19.0,0.004078128353723975,"('seaweed', 'salad')",4.0,0.0008587376556462001,"('roll', '3', 'delicious')",2,0.00042946102641185313
39,"('take',)",19.0,0.004078128353723975,"('really', 'fresh')",4.0,0.0008587376556462001,"('well', 'definitely', 'back')",2,0.00042946102641185313
40,"('even',)",18.0,0.0038634900193174502,"('great', 'addition')",4.0,0.0008587376556462001,"('shrimp', 'tempura', 'roll')",2,0.00042946102641185313
41,"('ardmore',)",18.0,0.0038634900193174502,"('eel', 'cucumber')",4.0,0.0008587376556462001,"('cucumber', 'roll', '3')",2,0.00042946102641185313
42,"('well',)",18.0,0.0038634900193174502,"('fresh', 'salmon')",4.0,0.0008587376556462001,"('miso', 'soup', 'bottled')",2,0.00042946102641185313
43,"('fish',)",17.0,0.003648851684910925,"('california', 'roll')",4.0,0.0008587376556462001,"('heard', 'expanding', 'next')",2,0.00042946102641185313
44,"('dont',)",17.0,0.003648851684910925,"('spicy', 'mayo')",4.0,0.0008587376556462001,"('green', 'dragon', 'roll')",2,0.00042946102641185313
45,"('first',)",17.0,0.003648851684910925,"('free', 'drinks')",4.0,0.0008587376556462001,"('met', 'owner', 'jason')",2,0.00042946102641185313
46,"('staff',)",16.0,0.0034342133505044,"('nice', 'guy')",4.0,0.0008587376556462001,"('definitely', 'come', 'back')",2,0.00042946102641185313
47,"('also',)",16.0,0.0034342133505044,"('fresh', 'fish')",4.0,0.0008587376556462001,"('fresh', 'miso', 'soup')",2,0.00042946102641185313
48,"('special',)",16.0,0.0034342133505044,"('best', 'area')",3.0,0.0006440532417346501,"('right', 'around', 'corner')",2,0.00042946102641185313
49,"('small',)",16.0,0.0034342133505044,"('lunch', 'special')",3.0,0.0006440532417346501,"('soft', 'shell', 'crab')",2,0.00042946102641185313
50,"('give',)",16.0,0.0034342133505044,"('new', 'favorite')",3.0,0.0006440532417346501,"('will', 'definitely', 'going')",2,0.00042946102641185313
51,"('customer',)",16.0,0.0034342133505044,"('back', 'jasons')",3.0,0.0006440532417346501,"('eel', 'roll', 'spicy')",2,0.00042946102641185313
52,"('two',)",16.0,0.0034342133505044,"('fresh', 'high')",3.0,0.0006440532417346501,"('now', 'great', 'experiences')",2,0.00042946102641185313
53,"('recommend',)",15.0,0.003219575016097875,"('roll', 'eel')",3.0,0.0006440532417346501,"('salmon', 'avocado', 'roll')",2,0.00042946102641185313
54,"('love',)",15.0,0.003219575016097875,"('absolutely', 'delicious')",3.0,0.0006440532417346501,"('us', 'free', 'drink')",2,0.00042946102641185313
55,"('salad',)",15.0,0.003219575016097875,"('owner', 'friendly')",3.0,0.0006440532417346501,"('great', 'addition', 'neighborhood')",2,0.00042946102641185313
56,"('clean',)",14.0,0.0030049366816913502,"('friendly', 'service')",3.0,0.0006440532417346501,"('ready', 'go', 'containers')",2,0.00042946102641185313
57,"('see',)",14.0,0.0030049366816913502,"('hidden', 'gem')",3.0,0.0006440532417346501,"('red', 'dragon', 'roll')",2,0.00042946102641185313
58,"('every',)",14.0,0.0030049366816913502,"('tried', 'jasons')",3.0,0.0006440532417346501,"('jason', 'great', 'guy')",2,0.00042946102641185313
59,"('restaurant',)",14.0,0.0030049366816913502,"('jason', 'owner')",3.0,0.0006440532417346501,"('high', 'quality', 'takeout')",2,0.00042946102641185313
60,"('spot',)",14.0,0.0030049366816913502,"('5', 'stars')",3.0,0.0006440532417346501,"('dragon', 'roll', 'eel')",2,0.00042946102641185313
61,"('wait',)",13.0,0.002790298347284825,"('staff', 'super')",3.0,0.0006440532417346501,"('gem', 'main', 'line')",2,0.00042946102641185313
62,"('make',)",13.0,0.002790298347284825,"('well', 'prepared')",3.0,0.0006440532417346501,"('miso', 'soups', 'house')",2,0.00042946102641185313
