,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('ramen',)",23.0,0.02465166130760986,"('bento', 'boxes')",4.0,0.004291845493562232,"('bento', 'boxes', 'shumai')",2,0.0021482277121374865
1,"('good',)",16.0,0.01714898177920686,"('bento', 'box')",4.0,0.004291845493562232,"('ate', 'dinner', 'fuku')",1,0.0010741138560687433
2,"('got',)",9.0,0.00964630225080386,"('downtown', 'clearwater')",4.0,0.004291845493562232,"('downtown', 'area', 'service')",1,0.0010741138560687433
3,"('also',)",9.0,0.00964630225080386,"('spicy', 'ramen')",4.0,0.004291845493562232,"('combination', 'shumai', 'softshell')",1,0.0010741138560687433
4,"('like',)",8.0,0.00857449088960343,"('softshell', 'crab')",3.0,0.003218884120171674,"('shumai', 'softshell', 'crab')",1,0.0010741138560687433
5,"('amazing',)",8.0,0.00857449088960343,"('good', 'value')",2.0,0.002145922746781116,"('softshell', 'crab', 'bento')",1,0.0010741138560687433
6,"('bento',)",8.0,0.00857449088960343,"('yaki', 'niku')",2.0,0.002145922746781116,"('crab', 'bento', 'box')",1,0.0010741138560687433
7,"('spicy',)",7.0,0.007502679528403001,"('green', 'tea')",2.0,0.002145922746781116,"('bento', 'box', 'good')",1,0.0010741138560687433
8,"('fresh',)",7.0,0.007502679528403001,"('will', 'definitely')",2.0,0.002145922746781116,"('box', 'good', 'average')",1,0.0010741138560687433
9,"('pork',)",7.0,0.007502679528403001,"('fish', 'cake')",2.0,0.002145922746781116,"('good', 'average', 'like')",1,0.0010741138560687433
10,"('roll',)",7.0,0.007502679528403001,"('reviews', 'came')",2.0,0.002145922746781116,"('average', 'like', 'experience')",1,0.0010741138560687433
11,"('restaurant',)",6.0,0.006430868167202572,"('boxes', 'shumai')",2.0,0.002145922746781116,"('like', 'experience', 'good')",1,0.0010741138560687433
12,"('downtown',)",6.0,0.006430868167202572,"('pork', 'ramen')",2.0,0.002145922746781116,"('experience', 'good', 'value')",1,0.0010741138560687433
13,"('clearwater',)",6.0,0.006430868167202572,"('pork', 'egg')",2.0,0.002145922746781116,"('good', 'value', 'downtown')",1,0.0010741138560687433
14,"('came',)",5.0,0.0053590568060021436,"('everything', 'menu')",2.0,0.002145922746781116,"('value', 'downtown', 'area')",1,0.0010741138560687433
15,"('get',)",5.0,0.0053590568060021436,"('back', 'try')",2.0,0.002145922746781116,"('area', 'service', 'good')",1,0.0010741138560687433
16,"('back',)",5.0,0.0053590568060021436,"('ive', 'ever')",2.0,0.002145922746781116,"('tuna', 'sashimi', 'combination')",1,0.0010741138560687433
17,"('chef',)",5.0,0.0053590568060021436,"('ate', 'dinner')",1.0,0.001072961373390558,"('service', 'good', 'like')",1,0.0010741138560687433
18,"('service',)",5.0,0.0053590568060021436,"('experience', 'good')",1.0,0.001072961373390558,"('good', 'like', 'mom')",1,0.0010741138560687433
19,"('menu',)",5.0,0.0053590568060021436,"('value', 'downtown')",1.0,0.001072961373390558,"('like', 'mom', 'pop')",1,0.0010741138560687433
20,"('area',)",5.0,0.0053590568060021436,"('average', 'like')",1.0,0.001072961373390558,"('mom', 'pop', 'shop')",1,0.0010741138560687433
21,"('salmon',)",5.0,0.0053590568060021436,"('good', 'average')",1.0,0.001072961373390558,"('pop', 'shop', 'show')",1,0.0010741138560687433
22,"('time',)",5.0,0.0053590568060021436,"('box', 'good')",1.0,0.001072961373390558,"('shop', 'show', 'local')",1,0.0010741138560687433
23,"('best',)",5.0,0.0053590568060021436,"('like', 'experience')",1.0,0.001072961373390558,"('show', 'local', 'color')",1,0.0010741138560687433
24,"('fuku',)",5.0,0.0053590568060021436,"('service', 'good')",1.0,0.001072961373390558,"('local', 'color', 'good')",1,0.0010741138560687433
25,"('didnt',)",5.0,0.0053590568060021436,"('downtown', 'area')",1.0,0.001072961373390558,"('color', 'good', 'restaurant')",1,0.0010741138560687433
26,"('nice',)",4.0,0.004287245444801715,"('area', 'service')",1.0,0.001072961373390558,"('good', 'restaurant', 'area')",1,0.0010741138560687433
27,"('beef',)",4.0,0.004287245444801715,"('shumai', 'softshell')",1.0,0.001072961373390558,"('restaurant', 'area', 'treat')",1,0.0010741138560687433
28,"('making',)",4.0,0.004287245444801715,"('good', 'like')",1.0,0.001072961373390558,"('sashimi', 'combination', 'shumai')",1,0.0010741138560687433
29,"('will',)",4.0,0.004287245444801715,"('like', 'mom')",1.0,0.001072961373390558,"('spicy', 'tuna', 'sashimi')",1,0.0010741138560687433
30,"('ive',)",4.0,0.004287245444801715,"('mom', 'pop')",1.0,0.001072961373390558,"('treat', 'authentic', 'shusi')",1,0.0010741138560687433
31,"('try',)",4.0,0.004287245444801715,"('pop', 'shop')",1.0,0.001072961373390558,"('order', 'spicy', 'tuna')",1,0.0010741138560687433
32,"('two',)",4.0,0.004287245444801715,"('shop', 'show')",1.0,0.001072961373390558,"('seated', 'comfortable', 'came')",1,0.0010741138560687433
33,"('atmosphere',)",4.0,0.004287245444801715,"('show', 'local')",1.0,0.001072961373390558,"('comfortable', 'came', 'rather')",1,0.0010741138560687433
34,"('staff',)",4.0,0.004287245444801715,"('local', 'color')",1.0,0.001072961373390558,"('came', 'rather', 'quick')",1,0.0010741138560687433
35,"('know',)",4.0,0.004287245444801715,"('color', 'good')",1.0,0.001072961373390558,"('rather', 'quick', 'spicy')",1,0.0010741138560687433
36,"('great',)",4.0,0.004287245444801715,"('good', 'restaurant')",1.0,0.001072961373390558,"('quick', 'spicy', 'ramen')",1,0.0010741138560687433
