,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('bowl',)",22.0,0.013897662665824383,"('poke', 'king')",7.0,0.004424778761061947,"('two', 'times', 'unsanitary')",2,0.001265022137887413
1,"('poke',)",21.0,0.013265950726468731,"('customer', 'service')",5.0,0.0031605562579013905,"('options', 'poke', 'reno')",2,0.001265022137887413
2,"('fish',)",17.0,0.010739102969046115,"('last', 'two')",5.0,0.0031605562579013905,"('also', 'led', 'poising')",2,0.001265022137887413
3,"('like',)",15.0,0.009475679090334808,"('spicy', 'mayo')",5.0,0.0031605562579013905,"('led', 'poising', 'quality')",2,0.001265022137887413
4,"('time',)",15.0,0.009475679090334808,"('poke', 'bowl')",4.0,0.0025284450063211127,"('poising', 'quality', 'fish')",2,0.001265022137887413
5,"('dont',)",13.0,0.0082122552116235,"('crab', 'salad')",4.0,0.0025284450063211127,"('quality', 'fish', 'gone')",2,0.001265022137887413
6,"('rice',)",12.0,0.007580543272267846,"('every', 'time')",4.0,0.0025284450063211127,"('fish', 'gone', 'almost')",2,0.001265022137887413
7,"('quality',)",11.0,0.006948831332912192,"('dont', 'want')",3.0,0.0018963337547408343,"('gone', 'almost', 'every')",2,0.001265022137887413
8,"('service',)",11.0,0.006948831332912192,"('going', 'downhill')",3.0,0.0018963337547408343,"('almost', 'every', 'time')",2,0.001265022137887413
9,"('order',)",11.0,0.006948831332912192,"('quality', 'fish')",3.0,0.0018963337547408343,"('every', 'time', 'gone')",2,0.001265022137887413
10,"('now',)",10.0,0.006317119393556538,"('salmon', 'yt')",3.0,0.0018963337547408343,"('time', 'gone', 'day')",2,0.001265022137887413
11,"('last',)",10.0,0.006317119393556538,"('two', 'times')",2.0,0.0012642225031605564,"('gone', 'day', 'proved')",2,0.001265022137887413
12,"('customer',)",10.0,0.006317119393556538,"('restaurant', 'two')",2.0,0.0012642225031605564,"('day', 'proved', 'received')",2,0.001265022137887413
13,"('sauce',)",9.0,0.005685407454200884,"('two', 'years')",2.0,0.0012642225031605564,"('proved', 'received', 'poising')",2,0.001265022137887413
14,"('really',)",9.0,0.005685407454200884,"('years', 'now')",2.0,0.0012642225031605564,"('received', 'poising', 'restaurant')",2,0.001265022137887413
15,"('king',)",9.0,0.005685407454200884,"('almost', 'every')",2.0,0.0012642225031605564,"('poising', 'restaurant', 'worth')",2,0.001265022137887413
16,"('good',)",9.0,0.005685407454200884,"('now', 'worst')",2.0,0.0012642225031605564,"('restaurant', 'worth', 'time')",2,0.001265022137887413
17,"('better',)",8.0,0.00505369551484523,"('experience', 'last')",2.0,0.0012642225031605564,"('worth', 'time', 'money')",2,0.001265022137887413
18,"('two',)",8.0,0.00505369551484523,"('gone', 'day')",2.0,0.0012642225031605564,"('time', 'money', 'plenty')",2,0.001265022137887413
19,"('asked',)",7.0,0.004421983575489577,"('fish', 'gone')",2.0,0.0012642225031605564,"('overpriced', 'also', 'led')",2,0.001265022137887413
20,"('much',)",7.0,0.004421983575489577,"('poising', 'quality')",2.0,0.0012642225031605564,"('unsanitary', 'overpriced', 'also')",2,0.001265022137887413
21,"('us',)",7.0,0.004421983575489577,"('unsanitary', 'overpriced')",2.0,0.0012642225031605564,"('times', 'unsanitary', 'overpriced')",2,0.001265022137887413
22,"('go',)",7.0,0.004421983575489577,"('time', 'gone')",2.0,0.0012642225031605564,"('downhill', 'quick', 'customer')",2,0.001265022137887413
23,"('came',)",7.0,0.004421983575489577,"('gone', 'almost')",2.0,0.0012642225031605564,"('poke', 'king', 'favorite')",2,0.001265022137887413
24,"('going',)",7.0,0.004421983575489577,"('overpriced', 'also')",2.0,0.0012642225031605564,"('king', 'favorite', 'mine')",2,0.001265022137887413
25,"('salmon',)",6.0,0.003790271636133923,"('customer', 'restaurant')",2.0,0.0012642225031605564,"('favorite', 'mine', 'now')",2,0.001265022137887413
26,"('toppings',)",6.0,0.003790271636133923,"('also', 'led')",2.0,0.0012642225031605564,"('mine', 'now', 'theyre')",2,0.001265022137887413
27,"('fresh',)",6.0,0.003790271636133923,"('led', 'poising')",2.0,0.0012642225031605564,"('now', 'theyre', 'going')",2,0.001265022137887413
28,"('get',)",6.0,0.003790271636133923,"('times', 'unsanitary')",2.0,0.0012642225031605564,"('theyre', 'going', 'downhill')",2,0.001265022137887413
29,"('spicy',)",6.0,0.003790271636133923,"('worst', 'experience')",2.0,0.0012642225031605564,"('going', 'downhill', 'quick')",2,0.001265022137887413
30,"('since',)",6.0,0.003790271636133923,"('quick', 'customer')",2.0,0.0012642225031605564,"('quick', 'customer', 'restaurant')",2,0.001265022137887413
31,"('restaurant',)",6.0,0.003790271636133923,"('downhill', 'quick')",2.0,0.0012642225031605564,"('last', 'two', 'times')",2,0.001265022137887413
32,"('ive',)",6.0,0.003790271636133923,"('can', 'expect')",2.0,0.0012642225031605564,"('customer', 'restaurant', 'two')",2,0.001265022137887413
33,"('want',)",6.0,0.003790271636133923,"('proteins', 'toppings')",2.0,0.0012642225031605564,"('restaurant', 'two', 'years')",2,0.001265022137887413
34,"('salad',)",6.0,0.003790271636133923,"('will', 'return')",2.0,0.0012642225031605564,"('two', 'years', 'now')",2,0.001265022137887413
35,"('will',)",5.0,0.003158559696778269,"('pok', 'king')",2.0,0.0012642225031605564,"('years', 'now', 'worst')",2,0.001265022137887413
36,"('looked',)",5.0,0.003158559696778269,"('loco', 'ono')",2.0,0.0012642225031605564,"('now', 'worst', 'experience')",2,0.001265022137887413
37,"('3',)",5.0,0.003158559696778269,"('service', 'side')",2.0,0.0012642225031605564,"('worst', 'experience', 'last')",2,0.001265022137887413
