,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('great',)",59.0,0.016244493392070486,"('bento', 'box')",10.0,0.002754062241806665,"('egg', 'drop', 'soup')",5,0.0013774104683195593
1,"('good',)",56.0,0.015418502202643172,"('asian', 'kitchen')",8.0,0.002203249793445332,"('sweet', 'sour', 'chicken')",4,0.0011019283746556473
2,"('service',)",51.0,0.014041850220264317,"('fried', 'rice')",8.0,0.002203249793445332,"('seated', 'right', 'away')",3,0.0008264462809917355
3,"('roll',)",44.0,0.012114537444933921,"('egg', 'drop')",8.0,0.002203249793445332,"('asian', 'kitchen', 'bar')",3,0.0008264462809917355
4,"('time',)",28.0,0.007709251101321586,"('service', 'good')",7.0,0.0019278435692646654,"('great', 'service', 'good')",3,0.0008264462809917355
5,"('soup',)",28.0,0.007709251101321586,"('great', 'service')",7.0,0.0019278435692646654,"('hot', 'sour', 'soup')",3,0.0008264462809917355
6,"('well',)",27.0,0.007433920704845815,"('next', 'time')",7.0,0.0019278435692646654,"('forward', 'eating', 'often')",3,0.0008264462809917355
7,"('restaurant',)",26.0,0.007158590308370044,"('lunch', 'specials')",7.0,0.0019278435692646654,"('tried', 'first', 'time')",3,0.0008264462809917355
8,"('get',)",25.0,0.006883259911894273,"('miso', 'soup')",7.0,0.0019278435692646654,"('general', 'tsos', 'chicken')",2,0.0005509641873278236
9,"('will',)",25.0,0.006883259911894273,"('dont', 'know')",6.0,0.0016524373450839988,"('decided', 'get', 'bento')",2,0.0005509641873278236
10,"('fresh',)",25.0,0.006883259911894273,"('highly', 'recommend')",6.0,0.0016524373450839988,"('beef', 'said', 'tender')",2,0.0005509641873278236
11,"('back',)",24.0,0.006607929515418502,"('sweet', 'sour')",6.0,0.0016524373450839988,"('raved', 'beef', 'said')",2,0.0005509641873278236
12,"('chicken',)",22.0,0.006057268722466961,"('service', 'great')",6.0,0.0016524373450839988,"('husband', 'raved', 'beef')",2,0.0005509641873278236
13,"('asian',)",22.0,0.006057268722466961,"('strip', 'mall')",6.0,0.0016524373450839988,"('quickly', 'satisfaction', 'husband')",2,0.0005509641873278236
14,"('lunch',)",22.0,0.006057268722466961,"('drop', 'soup')",5.0,0.0013770311209033324,"('satisfaction', 'husband', 'raved')",2,0.0005509641873278236
15,"('chinese',)",22.0,0.006057268722466961,"('will', 'back')",5.0,0.0013770311209033324,"('rectified', 'quickly', 'satisfaction')",2,0.0005509641873278236
16,"('also',)",21.0,0.005781938325991189,"('soup', 'salad')",5.0,0.0013770311209033324,"('enough', 'rectified', 'quickly')",2,0.0005509641873278236
17,"('try',)",21.0,0.005781938325991189,"('ice', 'cream')",4.0,0.001101624896722666,"('cooked', 'enough', 'rectified')",2,0.0005509641873278236
18,"('bento',)",21.0,0.005781938325991189,"('go', 'back')",4.0,0.001101624896722666,"('beef', 'cooked', 'enough')",2,0.0005509641873278236
19,"('delicious',)",20.0,0.005506607929515419,"('crab', 'rangoon')",4.0,0.001101624896722666,"('said', 'tender', 'servers')",2,0.0005509641873278236
20,"('like',)",20.0,0.005506607929515419,"('general', 'tsos')",4.0,0.001101624896722666,"('service', 'great', 'highly')",2,0.0005509641873278236
21,"('order',)",19.0,0.0052312775330396475,"('dont', 'think')",4.0,0.001101624896722666,"('tender', 'servers', 'attentive')",2,0.0005509641873278236
22,"('friendly',)",19.0,0.0052312775330396475,"('service', 'friendly')",4.0,0.001101624896722666,"('great', 'highly', 'recommended')",2,0.0005509641873278236
23,"('dont',)",17.0,0.004680616740088106,"('nicely', 'decorated')",4.0,0.001101624896722666,"('problem', 'teriyaki', 'beef')",2,0.0005509641873278236
24,"('got',)",17.0,0.004680616740088106,"('sour', 'chicken')",4.0,0.001101624896722666,"('yet', 'service', 'great')",2,0.0005509641873278236
25,"('definitely',)",17.0,0.004680616740088106,"('reasonably', 'priced')",4.0,0.001101624896722666,"('night', 'yet', 'service')",2,0.0005509641873278236
26,"('go',)",17.0,0.004680616740088106,"('sour', 'soup')",4.0,0.001101624896722666,"('weekend', 'night', 'yet')",2,0.0005509641873278236
27,"('ordered',)",16.0,0.004405286343612335,"('right', 'away')",4.0,0.001101624896722666,"('gone', 'weekend', 'night')",2,0.0005509641873278236
28,"('fried',)",16.0,0.004405286343612335,"('first', 'time')",4.0,0.001101624896722666,"('havent', 'gone', 'weekend')",2,0.0005509641873278236
29,"('tried',)",15.0,0.004129955947136564,"('california', 'roll')",4.0,0.001101624896722666,"('though', 'havent', 'gone')",2,0.0005509641873278236
30,"('menu',)",15.0,0.004129955947136564,"('customer', 'service')",4.0,0.001101624896722666,"('go', 'though', 'havent')",2,0.0005509641873278236
31,"('nice',)",15.0,0.004129955947136564,"('excellent', 'service')",3.0,0.0008262186725419994,"('crowded', 'go', 'though')",2,0.0005509641873278236
32,"('really',)",15.0,0.004129955947136564,"('several', 'times')",3.0,0.0008262186725419994,"('never', 'crowded', 'go')",2,0.0005509641873278236
33,"('hot',)",15.0,0.004129955947136564,"('portions', 'generous')",3.0,0.0008262186725419994,"('cream', 'never', 'crowded')",2,0.0005509641873278236
34,"('options',)",14.0,0.003854625550660793,"('every', 'time')",3.0,0.0008262186725419994,"('ice', 'cream', 'never')",2,0.0005509641873278236
35,"('much',)",14.0,0.003854625550660793,"('indiana', 'roll')",3.0,0.0008262186725419994,"('fried', 'ice', 'cream')",2,0.0005509641873278236
36,"('us',)",14.0,0.003854625550660793,"('crab', 'rangoons')",3.0,0.0008262186725419994,"('teriyaki', 'beef', 'cooked')",2,0.0005509641873278236
37,"('rice',)",14.0,0.003854625550660793,"('also', 'good')",3.0,0.0008262186725419994,"('types', 'shows', 'minor')",2,0.0005509641873278236
38,"('everything',)",14.0,0.003854625550660793,"('definitely', 'back')",3.0,0.0008262186725419994,"('minor', 'problem', 'teriyaki')",2,0.0005509641873278236
39,"('recommend',)",14.0,0.003854625550660793,"('love', 'went')",3.0,0.0008262186725419994,"('steamed', 'arrived', 'nicely')",2,0.0005509641873278236
40,"('ive',)",14.0,0.003854625550660793,"('nice', 'atmosphere')",3.0,0.0008262186725419994,"('look', 'forward', 'eating')",2,0.0005509641873278236
