,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('chinese',)",23.0,0.018210609659540775,"('ginger', 'wok')",9.0,0.0071315372424722665,"('asian', 'restaurants', 'area')",2,0.0015860428231562252
1,"('good',)",19.0,0.015043547110055424,"('highly', 'recommend')",5.0,0.003961965134706815,"('chow', 'fun', 'noodles')",2,0.0015860428231562252
2,"('restaurant',)",16.0,0.012668250197941409,"('sesame', 'chicken')",4.0,0.003169572107765452,"('get', 'ginger', 'wok')",2,0.0015860428231562252
3,"('chicken',)",15.0,0.011876484560570071,"('pleasantly', 'surprised')",3.0,0.002377179080824089,"('consider', 'spots', 'yardleymorrisville')",1,0.0007930214115781126
4,"('delicious',)",14.0,0.011084718923198733,"('give', 'try')",3.0,0.002377179080824089,"('way', 'usually', 'drive')",1,0.0007930214115781126
5,"('really',)",12.0,0.009501187648456057,"('chow', 'fun')",3.0,0.002377179080824089,"('way', 'way', 'usually')",1,0.0007930214115781126
6,"('get',)",11.0,0.00870942201108472,"('will', 'back')",3.0,0.002377179080824089,"('slightly', 'way', 'way')",1,0.0007930214115781126
7,"('try',)",11.0,0.00870942201108472,"('staff', 'friendly')",3.0,0.002377179080824089,"('area', 'slightly', 'way')",1,0.0007930214115781126
8,"('best',)",10.0,0.00791765637371338,"('egg', 'roll')",3.0,0.002377179080824089,"('yardleymorrisville', 'area', 'slightly')",1,0.0007930214115781126
9,"('fresh',)",10.0,0.00791765637371338,"('got', 'take')",2.0,0.001584786053882726,"('spots', 'yardleymorrisville', 'area')",1,0.0007930214115781126
10,"('take',)",10.0,0.00791765637371338,"('bucks', 'county')",2.0,0.001584786053882726,"('reason', 'consider', 'spots')",1,0.0007930214115781126
11,"('also',)",10.0,0.00791765637371338,"('get', 'ginger')",2.0,0.001584786053882726,"('drive', 'often', 'drive')",1,0.0007930214115781126
12,"('ginger',)",9.0,0.007125890736342043,"('last', 'time')",2.0,0.001584786053882726,"('bucks', 'reason', 'consider')",1,0.0007930214115781126
13,"('go',)",9.0,0.007125890736342043,"('fried', 'rice')",2.0,0.001584786053882726,"('couple', 'bucks', 'reason')",1,0.0007930214115781126
14,"('wok',)",9.0,0.007125890736342043,"('fresh', 'tasty')",2.0,0.001584786053882726,"('within', 'couple', 'bucks')",1,0.0007930214115781126
15,"('roll',)",8.0,0.006334125098970704,"('general', 'tsos')",2.0,0.001584786053882726,"('bill', 'within', 'couple')",1,0.0007930214115781126
16,"('great',)",8.0,0.006334125098970704,"('high', 'end')",2.0,0.001584786053882726,"('total', 'bill', 'within')",1,0.0007930214115781126
17,"('back',)",8.0,0.006334125098970704,"('wonton', 'soup')",2.0,0.001584786053882726,"('distance', 'total', 'bill')",1,0.0007930214115781126
18,"('soup',)",8.0,0.006334125098970704,"('generals', 'chicken')",2.0,0.001584786053882726,"('usually', 'drive', 'often')",1,0.0007930214115781126
19,"('will',)",8.0,0.006334125098970704,"('sliced', 'beef')",2.0,0.001584786053882726,"('often', 'drive', 'way')",1,0.0007930214115781126
20,"('rice',)",7.0,0.0055423594615993665,"('take', 'chinese')",2.0,0.001584786053882726,"('joints', 'driving', 'distance')",1,0.0007930214115781126
21,"('order',)",7.0,0.0055423594615993665,"('try', 'wont')",2.0,0.001584786053882726,"('glad', 'town', 'look')",1,0.0007930214115781126
22,"('beef',)",7.0,0.0055423594615993665,"('good', 'local')",2.0,0.001584786053882726,"('covid', 'asian', 'restaurants')",1,0.0007930214115781126
23,"('egg',)",7.0,0.0055423594615993665,"('fun', 'noodles')",2.0,0.001584786053882726,"('post', 'covid', 'asian')",1,0.0007930214115781126
24,"('time',)",7.0,0.0055423594615993665,"('philly', 'roll')",2.0,0.001584786053882726,"('dining', 'post', 'covid')",1,0.0007930214115781126
25,"('always',)",7.0,0.0055423594615993665,"('asian', 'restaurants')",2.0,0.001584786053882726,"('opening', 'dining', 'post')",1,0.0007930214115781126
26,"('area',)",7.0,0.0055423594615993665,"('restaurants', 'area')",2.0,0.001584786053882726,"('forward', 'opening', 'dining')",1,0.0007930214115781126
27,"('sesame',)",6.0,0.004750593824228029,"('pretty', 'good')",2.0,0.001584786053882726,"('look', 'forward', 'opening')",1,0.0007930214115781126
28,"('way',)",6.0,0.004750593824228029,"('really', 'cool')",2.0,0.001584786053882726,"('town', 'look', 'forward')",1,0.0007930214115781126
29,"('everyone',)",6.0,0.004750593824228029,"('japanese', 'chinese')",2.0,0.001584786053882726,"('simplepolitevery', 'glad', 'town')",1,0.0007930214115781126
30,"('ordered',)",6.0,0.004750593824228029,"('restaurant', 'clean')",2.0,0.001584786053882726,"('drive', 'way', 'get')",1,0.0007930214115781126
31,"('new',)",6.0,0.004750593824228029,"('super', 'nice')",2.0,0.001584786053882726,"('fixing', 'simplepolitevery', 'glad')",1,0.0007930214115781126
32,"('recommend',)",6.0,0.004750593824228029,"('several', 'times')",2.0,0.001584786053882726,"('messed', 'fixing', 'simplepolitevery')",1,0.0007930214115781126
33,"('local',)",5.0,0.00395882818685669,"('also', 'delicious')",2.0,0.001584786053882726,"('orderbill', 'messed', 'fixing')",1,0.0007930214115781126
34,"('clean',)",5.0,0.00395882818685669,"('restaurant', 'take')",2.0,0.001584786053882726,"('stuffonly', 'orderbill', 'messed')",1,0.0007930214115781126
35,"('friendly',)",5.0,0.00395882818685669,"('never', 'disappointed')",2.0,0.001584786053882726,"('better', 'stuffonly', 'orderbill')",1,0.0007930214115781126
36,"('highly',)",5.0,0.00395882818685669,"('super', 'fresh')",2.0,0.001584786053882726,"('get', 'better', 'stuffonly')",1,0.0007930214115781126
37,"('super',)",5.0,0.00395882818685669,"('chicken', 'also')",2.0,0.001584786053882726,"('way', 'get', 'better')",1,0.0007930214115781126
38,"('bad',)",5.0,0.00395882818685669,"('local', 'chinese')",2.0,0.001584786053882726,"('driving', 'distance', 'total')",1,0.0007930214115781126
39,"('well',)",5.0,0.00395882818685669,"('rotationwe', 'usually')",1.0,0.000792393026941363,"('great', 'yardley', 'always')",1,0.0007930214115781126
40,"('got',)",5.0,0.00395882818685669,"('messed', 'fixing')",1.0,0.000792393026941363,"('restaurants', 'area', 'best')",1,0.0007930214115781126
41,"('decor',)",5.0,0.00395882818685669,"('town', 'look')",1.0,0.000792393026941363,"('friendly', 'prompt', 'location')",1,0.0007930214115781126
42,"('like',)",5.0,0.00395882818685669,"('usually', 'get')",1.0,0.000792393026941363,"('regularly', 'purchased', 'pickup')",1,0.0007930214115781126
43,"('sauce',)",5.0,0.00395882818685669,"('get', 'combosplatters')",1.0,0.000792393026941363,"('weve', 'regularly', 'purchased')",1,0.0007930214115781126
44,"('noodles',)",5.0,0.00395882818685669,"('orderbill', 'messed')",1.0,0.000792393026941363,"('recommend', 'weve', 'regularly')",1,0.0007930214115781126
45,"('vegetables',)",5.0,0.00395882818685669,"('simplepolitevery', 'glad')",1.0,0.000792393026941363,"('definitely', 'recommend', 'weve')",1,0.0007930214115781126
46,"('everything',)",5.0,0.00395882818685669,"('takeout', 'rotationwe')",1.0,0.000792393026941363,"('great', 'definitely', 'recommend')",1,0.0007930214115781126
