,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('time',)",50.0,0.016931933626820182,"('renee', 'chips')",10.0,0.0033875338753387536,"('chefs', 'specials', 'menu')",4,0.0013554727211114877
1,"('good',)",44.0,0.014900101591601761,"('can', 'eat')",7.0,0.0023712737127371273,"('13', 'ahi', 'platter')",2,0.0006777363605557439
2,"('menu',)",36.0,0.012190992211310531,"('ahi', 'special')",6.0,0.0020325203252032522,"('werent', 'even', 'menu')",2,0.0006777363605557439
3,"('go',)",30.0,0.01015916017609211,"('specials', 'menu')",5.0,0.0016937669376693768,"('nice', 'begets', 'nice')",2,0.0006777363605557439
4,"('can',)",28.0,0.009481882831019302,"('chefs', 'specials')",4.0,0.0013550135501355014,"('great', 'service', 'friendly')",2,0.0006777363605557439
5,"('roll',)",25.0,0.008465966813410091,"('last', 'time')",4.0,0.0013550135501355014,"('went', 'last', 'night')",2,0.0006777363605557439
6,"('great',)",24.0,0.008127328140873687,"('ive', 'ever')",4.0,0.0013550135501355014,"('service', 'outstanding', 'owner')",2,0.0006777363605557439
7,"('like',)",23.0,0.0077886894683372844,"('time', 'go')",4.0,0.0013550135501355014,"('owner', 'almost', 'always')",2,0.0006777363605557439
8,"('service',)",23.0,0.0077886894683372844,"('spicy', 'ahi')",3.0,0.0010162601626016261,"('best', 'mussels', 'town')",2,0.0006777363605557439
9,"('love',)",21.0,0.007111412123264477,"('chefs', 'always')",3.0,0.0010162601626016261,"('hand', 'long', 'lacks')",1,0.00033886818027787193
10,"('ahi',)",21.0,0.007111412123264477,"('feel', 'welcome')",3.0,0.0010162601626016261,"('long', 'lacks', 'consistency')",1,0.00033886818027787193
11,"('get',)",20.0,0.006772773450728073,"('cant', 'beat')",3.0,0.0010162601626016261,"('lacks', 'consistency', 'amongst')",1,0.00033886818027787193
12,"('always',)",20.0,0.006772773450728073,"('waiters', 'waitresses')",3.0,0.0010162601626016261,"('consistency', 'amongst', 'chefs')",1,0.00033886818027787193
