,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('roll',)",28.0,0.009950248756218905,"('private', 'room')",7.0,0.002488446498400284,"('take', 'shoes', 'sit')",2,0.0007112375533428165
1,"('got',)",25.0,0.008884150675195452,"('sake', 'bombs')",6.0,0.002132954141485958,"('rooms', 'take', 'shoes')",2,0.0007112375533428165
2,"('ordered',)",24.0,0.008528784648187633,"('cream', 'cheese')",4.0,0.0014219694276573053,"('last', 'time', 'came')",2,0.0007112375533428165
3,"('good',)",24.0,0.008528784648187633,"('got', 'home')",4.0,0.0014219694276573053,"('come', '3', 'minutes')",2,0.0007112375533428165
4,"('time',)",20.0,0.007107320540156361,"('dont', 'know')",4.0,0.0014219694276573053,"('horrible', 'stomach', 'ache')",2,0.0007112375533428165
5,"('us',)",20.0,0.007107320540156361,"('friends', 'birthday')",4.0,0.0014219694276573053,"('shoes', 'sit', 'floor')",2,0.0007112375533428165
6,"('like',)",20.0,0.007107320540156361,"('time', 'came')",3.0,0.001066477070742979,"('celebrate', 'friends', 'birthday')",2,0.0007112375533428165
7,"('restaurant',)",19.0,0.006751954513148543,"('needless', 'say')",3.0,0.001066477070742979,"('time', 'needed', 'order')",2,0.0007112375533428165
8,"('group',)",19.0,0.006751954513148543,"('chicken', 'teriyaki')",3.0,0.001066477070742979,"('dear', 'kyotos', 'please')",1,0.00035561877667140827
9,"('came',)",19.0,0.006751954513148543,"('santa', 'barbara')",3.0,0.001066477070742979,"('really', 'hard', 'servers')",1,0.00035561877667140827
10,"('order',)",17.0,0.006041222459132907,"('stomach', 'ache')",3.0,0.001066477070742979,"('hard', 'servers', 'bus')",1,0.00035561877667140827
11,"('really',)",16.0,0.005685856432125089,"('happy', 'hour')",3.0,0.001066477070742979,"('servers', 'bus', 'tables')",1,0.00035561877667140827
12,"('service',)",16.0,0.005685856432125089,"('coming', 'back')",3.0,0.001066477070742979,"('bus', 'tables', 'well')",1,0.00035561877667140827
13,"('dont',)",16.0,0.005685856432125089,"('saturday', 'night')",3.0,0.001066477070742979,"('tables', 'well', 'deserve')",1,0.00035561877667140827
14,"('back',)",15.0,0.005330490405117271,"('private', 'rooms')",3.0,0.001066477070742979,"('deserve', 'every', 'tip')",1,0.00035561877667140827
15,"('didnt',)",14.0,0.004975124378109453,"('menu', 'items')",3.0,0.001066477070742979,"('well', 'deserve', 'every')",1,0.00035561877667140827
16,"('sake',)",14.0,0.004975124378109453,"('nothing', 'wrong')",3.0,0.001066477070742979,"('every', 'tip', 'get')",1,0.00035561877667140827
17,"('people',)",14.0,0.004975124378109453,"('authentic', 'japanese')",3.0,0.001066477070742979,"('tip', 'get', 'restaurant')",1,0.00035561877667140827
18,"('know',)",14.0,0.004975124378109453,"('take', 'shoes')",3.0,0.001066477070742979,"('get', 'restaurant', 'served')",1,0.00035561877667140827
19,"('server',)",12.0,0.0042643923240938165,"('soy', 'sauce')",3.0,0.001066477070742979,"('restaurant', 'served', 'raw')",1,0.00035561877667140827
20,"('go',)",12.0,0.0042643923240938165,"('shoes', 'sit')",2.0,0.0007109847138286527,"('served', 'raw', 'chicken')",1,0.00035561877667140827
21,"('table',)",12.0,0.0042643923240938165,"('last', 'time')",2.0,0.0007109847138286527,"('raw', 'chicken', 'trying')",1,0.00035561877667140827
22,"('friends',)",11.0,0.0039090262970859985,"('whole', 'time')",2.0,0.0007109847138286527,"('chicken', 'trying', 'give')",1,0.00035561877667140827
23,"('come',)",11.0,0.0039090262970859985,"('didnt', 'bother')",2.0,0.0007109847138286527,"('trying', 'give', 'salmonella')",1,0.00035561877667140827
24,"('first',)",11.0,0.0039090262970859985,"('places', 'town')",2.0,0.0007109847138286527,"('work', 'really', 'hard')",1,0.00035561877667140827
25,"('bad',)",11.0,0.0039090262970859985,"('mean', 'pitcher')",2.0,0.0007109847138286527,"('customers', 'work', 'really')",1,0.00035561877667140827
26,"('minutes',)",11.0,0.0039090262970859985,"('711', 'quality')",2.0,0.0007109847138286527,"('salmonella', 'disgusted', 'fine')",1,0.00035561877667140827
27,"('another',)",11.0,0.0039090262970859985,"('time', 'service')",2.0,0.0007109847138286527,"('encourage', 'customers', 'work')",1,0.00035561877667140827
28,"('im',)",10.0,0.0035536602700781805,"('wont', 'back')",2.0,0.0007109847138286527,"('star', 'based', 'owners')",1,0.00035561877667140827
29,"('room',)",10.0,0.0035536602700781805,"('pitcher', 'sake')",2.0,0.0007109847138286527,"('based', 'owners', 'stealing')",1,0.00035561877667140827
30,"('get',)",10.0,0.0035536602700781805,"('2', 'stars')",2.0,0.0007109847138286527,"('owners', 'stealing', 'waiterswaitresses')",1,0.00035561877667140827
31,"('never',)",10.0,0.0035536602700781805,"('horrible', 'stomach')",2.0,0.0007109847138286527,"('stealing', 'waiterswaitresses', 'tipsmake')",1,0.00035561877667140827
32,"('sit',)",10.0,0.0035536602700781805,"('birthday', 'party')",2.0,0.0007109847138286527,"('waiterswaitresses', 'tipsmake', 'sure')",1,0.00035561877667140827
33,"('say',)",10.0,0.0035536602700781805,"('mediocre', 'good')",2.0,0.0007109847138286527,"('tipsmake', 'sure', 'tip')",1,0.00035561877667140827
34,"('even',)",10.0,0.0035536602700781805,"('outside', 'rooms')",2.0,0.0007109847138286527,"('sure', 'tip', 'server')",1,0.00035561877667140827
35,"('private',)",10.0,0.0035536602700781805,"('sit', 'floor')",2.0,0.0007109847138286527,"('tip', 'server', 'side')",1,0.00035561877667140827
36,"('can',)",10.0,0.0035536602700781805,"('recommend', 'anyone')",2.0,0.0007109847138286527,"('server', 'side', 'owners')",1,0.00035561877667140827
37,"('also',)",9.0,0.0031982942430703624,"('like', 'eating')",2.0,0.0007109847138286527,"('side', 'owners', 'keep')",1,0.00035561877667140827
