,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('good',)",37.0,0.013972809667673716,"('swanky', 'bubbles')",15.0,0.0056667925953910086,"('chicken', 'fried', 'rice')",4,0.0015117157974300832
1,"('great',)",32.0,0.012084592145015106,"('fried', 'rice')",7.0,0.0026445032111824707,"('great', 'champagne', 'list')",2,0.0007558578987150416
2,"('champagne',)",28.0,0.010574018126888218,"('goat', 'cheese')",6.0,0.0022667170381564035,"('spicy', 'sauce', 'really')",2,0.0007558578987150416
3,"('roll',)",22.0,0.008308157099697885,"('restaurant', 'week')",6.0,0.0022667170381564035,"('goat', 'cheese', 'crisps')",2,0.0007558578987150416
4,"('like',)",22.0,0.008308157099697885,"('chicken', 'tempura')",5.0,0.0018889308651303363,"('swanky', 'bubbles', 'little')",2,0.0007558578987150416
5,"('menu',)",22.0,0.008308157099697885,"('champagne', 'cocktails')",5.0,0.0018889308651303363,"('like', 'swanky', 'bubbles')",2,0.0007558578987150416
6,"('swanky',)",19.0,0.007175226586102719,"('mashed', 'potatoes')",4.0,0.001511144692104269,"('mashed', 'potatoes', 'wasabi')",2,0.0007558578987150416
7,"('ordered',)",18.0,0.006797583081570997,"('chicken', 'fried')",4.0,0.001511144692104269,"('wait', 'go', 'back')",2,0.0007558578987150416
8,"('little',)",18.0,0.006797583081570997,"('spicy', 'sauce')",4.0,0.001511144692104269,"('roll', 'chicken', 'tempura')",2,0.0007558578987150416
9,"('small',)",17.0,0.006419939577039275,"('go', 'back')",4.0,0.001511144692104269,"('baja', 'roll', 'chicken')",2,0.0007558578987150416
10,"('restaurant',)",17.0,0.006419939577039275,"('pretty', 'good')",4.0,0.001511144692104269,"('wasabi', 'mashed', 'potatoes')",2,0.0007558578987150416
11,"('bubbles',)",16.0,0.006042296072507553,"('best', 'ive')",3.0,0.0011333585190782018,"('restaurant', 'week', 'menu')",2,0.0007558578987150416
12,"('nice',)",16.0,0.006042296072507553,"('olde', 'city')",3.0,0.0011333585190782018,"('called', 'swanky', 'bubbles')",2,0.0007558578987150416
13,"('really',)",15.0,0.0056646525679758305,"('mixed', 'drinks')",3.0,0.0011333585190782018,"('surf', 'turf', 'roll')",2,0.0007558578987150416
14,"('chicken',)",15.0,0.0056646525679758305,"('youre', 'looking')",3.0,0.0011333585190782018,"('mixed', 'greens', 'salad')",2,0.0007558578987150416
15,"('time',)",15.0,0.0056646525679758305,"('cream', 'cheese')",3.0,0.0011333585190782018,"('bananas', 'deep', 'fried')",2,0.0007558578987150416
16,"('night',)",15.0,0.0056646525679758305,"('filet', 'mignon')",3.0,0.0011333585190782018,"('goat', 'cheese', 'tartlets')",2,0.0007558578987150416
17,"('love',)",15.0,0.0056646525679758305,"('red', 'velvet')",3.0,0.0011333585190782018,"('crying', 'shrimp', 'roll')",2,0.0007558578987150416
18,"('go',)",15.0,0.0056646525679758305,"('chocolate', 'fondue')",3.0,0.0011333585190782018,"('ordered', 'chocolate', 'cake')",2,0.0007558578987150416
19,"('think',)",13.0,0.004909365558912387,"('small', 'plates')",3.0,0.0011333585190782018,"('chicken', 'tempura', 'salad')",2,0.0007558578987150416
20,"('table',)",13.0,0.004909365558912387,"('crab', 'quesadillas')",3.0,0.0011333585190782018,"('friends', 'also', 'ordered')",1,0.0003779289493575208
21,"('pretty',)",13.0,0.004909365558912387,"('fish', 'eggs')",3.0,0.0011333585190782018,"('spicy', 'mustard', 'yeahit')",1,0.0003779289493575208
22,"('spicy',)",13.0,0.004909365558912387,"('sauce', 'really')",3.0,0.0011333585190782018,"('fries', 'dessert', 'ordered')",1,0.0003779289493575208
23,"('delicious',)",12.0,0.004531722054380665,"('great', 'champagne')",3.0,0.0011333585190782018,"('dessert', 'ordered', 'chocolate')",1,0.0003779289493575208
24,"('fried',)",12.0,0.004531722054380665,"('chocolate', 'cake')",3.0,0.0011333585190782018,"('chocolate', 'cake', 'wonderfully')",1,0.0003779289493575208
25,"('try',)",12.0,0.004531722054380665,"('name', 'like')",3.0,0.0011333585190782018,"('cake', 'wonderfully', 'moist')",1,0.0003779289493575208
