,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('poke',)",162.0,0.026852312282446545,"('shoyu', 'tuna')",23.0,0.003812997347480106,"('spicy', 'shoyu', 'tuna')",8,0.001326479854087216
1,"('tuna',)",105.0,0.0174042764793635,"('spicy', 'tuna')",20.0,0.0033156498673740055,"('will', 'definitely', 'back')",6,0.000994859890565412
2,"('great',)",68.0,0.011271340958063982,"('poke', 'cafe')",20.0,0.0033156498673740055,"('every', 'time', 'im')",3,0.000497429945282706
3,"('fresh',)",65.0,0.010774075915796454,"('will', 'definitely')",17.0,0.0028183023872679043,"('got', 'brown', 'rice')",3,0.000497429945282706
4,"('delicious',)",55.0,0.009116525774904691,"('first', 'time')",16.0,0.002652519893899204,"('tuna', 'zesty', 'salmon')",3,0.000497429945282706
5,"('good',)",55.0,0.009116525774904691,"('poke', 'bowl')",15.0,0.002486737400530504,"('bowl', 'spicy', 'shoyu')",3,0.000497429945282706
6,"('bowl',)",52.0,0.008619260732637163,"('poke', 'bowls')",13.0,0.0021551724137931034,"('rice', 'bowl', 'spicy')",3,0.000497429945282706
7,"('rice',)",52.0,0.008619260732637163,"('brown', 'rice')",13.0,0.0021551724137931034,"('first', 'time', 'poke')",3,0.000497429945282706
8,"('time',)",50.0,0.00828775070445881,"('jasmine', 'rice')",13.0,0.0021551724137931034,"('shoyu', 'tuna', 'zesty')",3,0.000497429945282706
9,"('will',)",46.0,0.007624730648102105,"('tuna', 'salmon')",12.0,0.001989389920424403,"('will', 'definitely', 'returning')",3,0.000497429945282706
10,"('try',)",45.0,0.007458975634012929,"('love', 'poke')",11.0,0.001823607427055703,"('brown', 'rice', 'bowl')",3,0.000497429945282706
11,"('like',)",44.0,0.0072932206199237525,"('seaweed', 'salad')",10.0,0.0016578249336870027,"('rice', 'brown', 'rice')",3,0.000497429945282706
12,"('spicy',)",43.0,0.0071274656058345764,"('spicy', 'shoyu')",10.0,0.0016578249336870027,"('shoyu', 'tuna', 'poke')",3,0.000497429945282706
13,"('love',)",43.0,0.0071274656058345764,"('sesame', 'noodles')",9.0,0.0014920424403183023,"('will', 'definitely', 'return')",3,0.000497429945282706
14,"('toppings',)",42.0,0.0069617105917454,"('definitely', 'back')",9.0,0.0014920424403183023,"('ill', 'definitely', 'back')",3,0.000497429945282706
15,"('salmon',)",40.0,0.006630200563567048,"('eel', 'sauce')",9.0,0.0014920424403183023,"('wait', 'go', 'back')",3,0.000497429945282706
16,"('amazing',)",38.0,0.006298690535388695,"('raw', 'fish')",9.0,0.0014920424403183023,"('spicy', 'tuna', 'wasabi')",3,0.000497429945282706
17,"('back',)",36.0,0.005967180507210343,"('strip', 'mall')",8.0,0.001326259946949602,"('cold', 'sesame', 'noodles')",3,0.000497429945282706
18,"('go',)",35.0,0.005801425493121167,"('pickled', 'ginger')",8.0,0.001326259946949602,"('also', 'delicious', 'fresh')",2,0.000331619963521804
