,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('like',)",21.0,0.013392857142857142,"('eel', 'sauce')",4.0,0.0025526483726866626,"('ice', 'cream', 'good')",2,0.001277139208173691
1,"('order',)",18.0,0.011479591836734694,"('fried', 'rice')",4.0,0.0025526483726866626,"('drove', '20', 'minutes')",2,0.001277139208173691
2,"('good',)",13.0,0.008290816326530613,"('lunch', 'special')",3.0,0.0019144862795149968,"('nice', 'restaurant', 'atmosphere')",1,0.0006385696040868455
3,"('ordered',)",13.0,0.008290816326530613,"('spicy', 'mayo')",3.0,0.0019144862795149968,"('isnt', 'ridiculous', 'im')",1,0.0006385696040868455
4,"('restaurant',)",12.0,0.007653061224489796,"('nothing', 'special')",3.0,0.0019144862795149968,"('dollar', 'sauce', 'isnt')",1,0.0006385696040868455
5,"('get',)",12.0,0.007653061224489796,"('like', 'water')",3.0,0.0019144862795149968,"('charge', 'dollar', 'sauce')",1,0.0006385696040868455
6,"('rice',)",10.0,0.006377551020408163,"('green', 'tea')",3.0,0.0019144862795149968,"('trying', 'charge', 'dollar')",1,0.0006385696040868455
7,"('go',)",10.0,0.006377551020408163,"('somewhere', 'else')",2.0,0.0012763241863433313,"('guy', 'trying', 'charge')",1,0.0006385696040868455
8,"('dont',)",9.0,0.005739795918367347,"('rang', 'rang')",2.0,0.0012763241863433313,"('another', 'guy', 'trying')",1,0.0006385696040868455
9,"('never',)",9.0,0.005739795918367347,"('dont', 'mind')",2.0,0.0012763241863433313,"('ask', 'another', 'guy')",1,0.0006385696040868455
10,"('said',)",9.0,0.005739795918367347,"('1st', 'order')",2.0,0.0012763241863433313,"('tried', 'ask', 'another')",1,0.0006385696040868455
11,"('us',)",8.0,0.00510204081632653,"('updated', 'reflect')",2.0,0.0012763241863433313,"('4', 'tried', 'ask')",1,0.0006385696040868455
12,"('came',)",8.0,0.00510204081632653,"('lunch', 'service')",2.0,0.0012763241863433313,"('mayo', '4', 'tried')",1,0.0006385696040868455
13,"('service',)",8.0,0.00510204081632653,"('order', 'uber')",2.0,0.0012763241863433313,"('spicy', 'mayo', '4')",1,0.0006385696040868455
14,"('avocado',)",8.0,0.00510204081632653,"('20', 'min')",2.0,0.0012763241863433313,"('gave', 'spicy', 'mayo')",1,0.0006385696040868455
15,"('asked',)",7.0,0.004464285714285714,"('delivered', 'get')",2.0,0.0012763241863433313,"('also', 'gave', 'spicy')",1,0.0006385696040868455
16,"('chicken',)",7.0,0.004464285714285714,"('total', 'bs')",2.0,0.0012763241863433313,"('order', 'also', 'gave')",1,0.0006385696040868455
17,"('minutes',)",7.0,0.004464285714285714,"('good', 'rice')",2.0,0.0012763241863433313,"('care', 'order', 'also')",1,0.0006385696040868455
18,"('special',)",7.0,0.004464285714285714,"('ever', 'since')",2.0,0.0012763241863433313,"('seem', 'care', 'order')",1,0.0006385696040868455
19,"('sauce',)",7.0,0.004464285714285714,"('20', 'minutes')",2.0,0.0012763241863433313,"('staff', 'seem', 'care')",1,0.0006385696040868455
20,"('fish',)",7.0,0.004464285714285714,"('even', 'wearing')",2.0,0.0012763241863433313,"('decent', 'staff', 'seem')",1,0.0006385696040868455
21,"('3',)",7.0,0.004464285714285714,"('yellow', 'tail')",2.0,0.0012763241863433313,"('supports', 'decent', 'staff')",1,0.0006385696040868455
22,"('lunch',)",7.0,0.004464285714285714,"('smelled', 'fishy')",2.0,0.0012763241863433313,"('loves', 'supports', 'decent')",1,0.0006385696040868455
23,"('time',)",7.0,0.004464285714285714,"('king', 'crab')",2.0,0.0012763241863433313,"('really', 'loves', 'supports')",1,0.0006385696040868455
24,"('close',)",6.0,0.003826530612244898,"('different', 'times')",2.0,0.0012763241863433313,"('community', 'really', 'loves')",1,0.0006385696040868455
25,"('tea',)",6.0,0.003826530612244898,"('ordered', 'three')",2.0,0.0012763241863433313,"('sauce', 'isnt', 'ridiculous')",1,0.0006385696040868455
26,"('well',)",6.0,0.003826530612244898,"('im', 'sure')",2.0,0.0012763241863433313,"('ridiculous', 'im', 'sure')",1,0.0006385696040868455
27,"('times',)",6.0,0.003826530612244898,"('area', 'ok')",2.0,0.0012763241863433313,"('bounces', 'back', 'community')",1,0.0006385696040868455
28,"('soup',)",6.0,0.003826530612244898,"('cream', 'good')",2.0,0.0012763241863433313,"('roll', 'sure', 'busy')",1,0.0006385696040868455
29,"('chefs',)",6.0,0.003826530612244898,"('ice', 'cream')",2.0,0.0012763241863433313,"('ive', 'never', 'waited')",1,0.0006385696040868455
30,"('water',)",6.0,0.003826530612244898,"('next', 'time')",2.0,0.0012763241863433313,"('orders', 'ive', 'never')",1,0.0006385696040868455
