,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('pho',)",76.0,0.017264879600181735,"('pad', 'thai')",14.0,0.003181095205635083,"('chicken', 'pad', 'thai')",6,0.0013636363636363637
1,"('thai',)",69.0,0.01567469332121763,"('viet', 'thai')",11.0,0.002499431947284708,"('tom', 'yum', 'soup')",4,0.0009090909090909091
2,"('good',)",63.0,0.014311676510676965,"('fortune', 'bags')",10.0,0.0022722108611679163,"('cozy', 'byo', 'awesome')",3,0.0006818181818181819
3,"('great',)",37.0,0.008405270331667424,"('drunken', 'noodles')",9.0,0.002044989775051125,"('friendly', 'nice', 'delicious')",3,0.0006818181818181819
4,"('chicken',)",37.0,0.008405270331667424,"('steak', 'pho')",9.0,0.002044989775051125,"('byo', 'awesome', 'server')",3,0.0006818181818181819
5,"('fresh',)",36.0,0.00817810086324398,"('really', 'good')",8.0,0.0018177686889343332,"('clean', 'cozy', 'byo')",3,0.0006818181818181819
6,"('will',)",32.0,0.007269422989550204,"('spring', 'roll')",8.0,0.0018177686889343332,"('love', 'clean', 'cozy')",3,0.0006818181818181819
7,"('lunch',)",32.0,0.007269422989550204,"('go', 'back')",6.0,0.0013633265167007499,"('friendly', 'owner', 'friendly')",3,0.0006818181818181819
8,"('really',)",31.0,0.007042253521126761,"('chicken', 'pad')",6.0,0.0013633265167007499,"('owner', 'friendly', 'nice')",3,0.0006818181818181819
9,"('delicious',)",29.0,0.006587914584279873,"('fried', 'rice')",6.0,0.0013633265167007499,"('nice', 'delicious', 'tasty')",3,0.0006818181818181819
10,"('restaurant',)",28.0,0.006360745115856429,"('fresh', 'spring')",6.0,0.0013633265167007499,"('server', 'friendly', 'owner')",3,0.0006818181818181819
11,"('get',)",28.0,0.006360745115856429,"('coming', 'back')",5.0,0.0011361054305839581,"('delicious', 'tasty', 'definitely')",3,0.0006818181818181819
12,"('vietnamese',)",28.0,0.006360745115856429,"('pretty', 'good')",5.0,0.0011361054305839581,"('tasty', 'definitely', 'coming')",3,0.0006818181818181819
13,"('ordered',)",27.0,0.006133575647432985,"('vietnamese', 'thai')",5.0,0.0011361054305839581,"('definitely', 'coming', 'back')",3,0.0006818181818181819
14,"('friendly',)",27.0,0.006133575647432985,"('really', 'enjoyed')",5.0,0.0011361054305839581,"('shrimp', 'spring', 'roll')",3,0.0006818181818181819
