,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('good',)",20.0,0.0129366106080207,"('potato', 'salad')",5.0,0.003236245954692557,"('side', 'spicy', 'mayo')",2,0.0012953367875647669
1,"('get',)",14.0,0.009055627425614488,"('spicy', 'mayo')",4.0,0.0025889967637540453,"('nothing', 'special', 'can')",2,0.0012953367875647669
2,"('roll',)",14.0,0.009055627425614488,"('order', 'sit')",4.0,0.0025889967637540453,"('terrible', 'flavor', 'beef')",1,0.0006476683937823834
3,"('service',)",13.0,0.008408796895213453,"('roll', 'ordered')",3.0,0.001941747572815534,"('werent', 'bad', 'ramen')",1,0.0006476683937823834
4,"('ordered',)",13.0,0.008408796895213453,"('came', 'asked')",3.0,0.001941747572815534,"('california', 'werent', 'bad')",1,0.0006476683937823834
5,"('like',)",13.0,0.008408796895213453,"('order', 'counter')",3.0,0.001941747572815534,"('machine', 'california', 'werent')",1,0.0006476683937823834
6,"('even',)",12.0,0.007761966364812419,"('rainbow', 'roll')",3.0,0.001941747572815534,"('soda', 'machine', 'california')",1,0.0006476683937823834
7,"('time',)",12.0,0.007761966364812419,"('nothing', 'special')",3.0,0.001941747572815534,"('next', 'soda', 'machine')",1,0.0006476683937823834
8,"('lunch',)",11.0,0.0071151358344113845,"('miso', 'soup')",3.0,0.001941747572815534,"('cooler', 'next', 'soda')",1,0.0006476683937823834
9,"('asked',)",11.0,0.0071151358344113845,"('even', 'though')",3.0,0.001941747572815534,"('kept', 'cooler', 'next')",1,0.0006476683937823834
10,"('spicy',)",11.0,0.0071151358344113845,"('will', 'never')",2.0,0.0012944983818770227,"('container', 'kept', 'cooler')",1,0.0006476683937823834
11,"('fish',)",10.0,0.00646830530401035,"('second', 'time')",2.0,0.0012944983818770227,"('walmart', 'container', 'kept')",1,0.0006476683937823834
12,"('order',)",10.0,0.00646830530401035,"('werent', 'busy')",2.0,0.0012944983818770227,"('buy', 'walmart', 'container')",1,0.0006476683937823834
13,"('took',)",9.0,0.005821474773609315,"('beef', 'teriyaki')",2.0,0.0012944983818770227,"('tea', 'buy', 'walmart')",1,0.0006476683937823834
14,"('sit',)",9.0,0.005821474773609315,"('california', 'roll')",2.0,0.0012944983818770227,"('ramen', 'abysmal', 'bad')",1,0.0006476683937823834
