,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('roll',)",19.0,0.017674418604651163,"('first', 'time')",7.0,0.006517690875232775,"('yum', 'yum', 'roll')",3,0.0027958993476234857
1,"('time',)",14.0,0.013023255813953489,"('crab', 'rangoon')",5.0,0.004655493482309125,"('crab', 'rangoon', 'roll')",2,0.001863932898415657
2,"('good',)",14.0,0.013023255813953489,"('spicy', 'tuna')",3.0,0.002793296089385475,"('even', 'gave', 'us')",2,0.001863932898415657
3,"('great',)",13.0,0.012093023255813953,"('miso', 'soup')",3.0,0.002793296089385475,"('like', 'crab', 'rangoon')",2,0.001863932898415657
4,"('spicy',)",11.0,0.010232558139534883,"('double', 'salmon')",3.0,0.002793296089385475,"('go', 'beyond', 'please')",2,0.001863932898415657
5,"('well',)",10.0,0.009302325581395349,"('will', 'definitely')",3.0,0.002793296089385475,"('spicy', 'double', 'salmon')",2,0.001863932898415657
6,"('will',)",10.0,0.009302325581395349,"('yum', 'yum')",3.0,0.002793296089385475,"('double', 'salmon', 'roll')",2,0.001863932898415657
7,"('came',)",10.0,0.009302325581395349,"('yum', 'roll')",3.0,0.002793296089385475,"('dont', 'recall', 'favorite')",1,0.0009319664492078285
8,"('delicious',)",9.0,0.008372093023255815,"('highly', 'recommend')",3.0,0.002793296089385475,"('finding', 'located', 'right')",1,0.0009319664492078285
9,"('service',)",9.0,0.008372093023255815,"('wait', 'staff')",2.0,0.00186219739292365,"('problem', 'finding', 'located')",1,0.0009319664492078285
10,"('friendly',)",9.0,0.008372093023255815,"('long', 'time')",2.0,0.00186219739292365,"('almost', 'problem', 'finding')",1,0.0009319664492078285
11,"('small',)",9.0,0.008372093023255815,"('tuna', 'salmon')",2.0,0.00186219739292365,"('430', 'almost', 'problem')",1,0.0009319664492078285
12,"('even',)",8.0,0.0074418604651162795,"('white', 'tuna')",2.0,0.00186219739292365,"('thursday', 'dinner', 'around')",1,0.0009319664492078285
13,"('got',)",8.0,0.0074418604651162795,"('delicious', 'service')",2.0,0.00186219739292365,"('around', '430', 'almost')",1,0.0009319664492078285
14,"('tuna',)",8.0,0.0074418604651162795,"('roll', 'spicy')",2.0,0.00186219739292365,"('dinner', 'around', '430')",1,0.0009319664492078285
15,"('crab',)",8.0,0.0074418604651162795,"('fast', 'friendly')",2.0,0.00186219739292365,"('right', 'shop', 'save')",1,0.0009319664492078285
16,"('go',)",8.0,0.0074418604651162795,"('quick', 'lunch')",2.0,0.00186219739292365,"('dad', 'thursday', 'dinner')",1,0.0009319664492078285
17,"('us',)",8.0,0.0074418604651162795,"('2', '20')",2.0,0.00186219739292365,"('went', 'dad', 'thursday')",1,0.0009319664492078285
18,"('recommend',)",7.0,0.0065116279069767444,"('second', 'time')",2.0,0.00186219739292365,"('today', 'went', 'dad')",1,0.0009319664492078285
19,"('nice',)",7.0,0.0065116279069767444,"('staff', 'super')",2.0,0.00186219739292365,"('located', 'right', 'shop')",1,0.0009319664492078285
20,"('ive',)",7.0,0.0065116279069767444,"('service', 'good')",2.0,0.00186219739292365,"('save', 'mercy', 'walked')",1,0.0009319664492078285
21,"('first',)",7.0,0.0065116279069767444,"('beyond', 'please')",2.0,0.00186219739292365,"('shop', 'save', 'mercy')",1,0.0009319664492078285
22,"('yum',)",6.0,0.005581395348837209,"('tuna', 'crab')",2.0,0.00186219739292365,"('lit', 'restaurant', 'instantly')",1,0.0009319664492078285
23,"('fresh',)",6.0,0.005581395348837209,"('will', 'back')",2.0,0.00186219739292365,"('seated', 'small', 'table')",1,0.0009319664492078285
24,"('lunch',)",6.0,0.005581395348837209,"('small', 'table')",2.0,0.00186219739292365,"('waitresses', 'seated', 'small')",1,0.0009319664492078285
25,"('staff',)",6.0,0.005581395348837209,"('even', 'gave')",2.0,0.00186219739292365,"('two', 'waitresses', 'seated')",1,0.0009319664492078285
26,"('try',)",6.0,0.005581395348837209,"('gave', 'us')",2.0,0.00186219739292365,"('greeted', 'two', 'waitresses')",1,0.0009319664492078285
27,"('definitely',)",6.0,0.005581395348837209,"('st', 'louis')",2.0,0.00186219739292365,"('instantly', 'greeted', 'two')",1,0.0009319664492078285
28,"('salmon',)",6.0,0.005581395348837209,"('great', 'fresh')",2.0,0.00186219739292365,"('restaurant', 'instantly', 'greeted')",1,0.0009319664492078285
29,"('back',)",6.0,0.005581395348837209,"('go', 'beyond')",2.0,0.00186219739292365,"('nicely', 'lit', 'restaurant')",1,0.0009319664492078285
30,"('rangoon',)",6.0,0.005581395348837209,"('service', 'great')",2.0,0.00186219739292365,"('got', 'around', 'today')",1,0.0009319664492078285
31,"('menu',)",6.0,0.005581395348837209,"('got', 'us')",2.0,0.00186219739292365,"('decorated', 'nicely', 'lit')",1,0.0009319664492078285
32,"('brains',)",5.0,0.004651162790697674,"('dont', 'drive')",2.0,0.00186219739292365,"('well', 'decorated', 'nicely')",1,0.0009319664492078285
33,"('two',)",5.0,0.004651162790697674,"('well', 'cooked')",2.0,0.00186219739292365,"('small', 'well', 'decorated')",1,0.0009319664492078285
34,"('rice',)",5.0,0.004651162790697674,"('looking', 'menu')",2.0,0.00186219739292365,"('decently', 'small', 'well')",1,0.0009319664492078285
35,"('fried',)",5.0,0.004651162790697674,"('fried', 'rice')",2.0,0.00186219739292365,"('walked', 'decently', 'small')",1,0.0009319664492078285
36,"('minutes',)",5.0,0.004651162790697674,"('came', 'quickly')",2.0,0.00186219739292365,"('mercy', 'walked', 'decently')",1,0.0009319664492078285
37,"('japanese',)",5.0,0.004651162790697674,"('spicy', 'double')",2.0,0.00186219739292365,"('around', 'today', 'went')",1,0.0009319664492078285
38,"('gyoza',)",5.0,0.004651162790697674,"('salmon', 'roll')",2.0,0.00186219739292365,"('weeks', 'now', 'finally')",1,0.0009319664492078285
39,"('double',)",5.0,0.004651162790697674,"('like', 'crab')",2.0,0.00186219739292365,"('finally', 'got', 'around')",1,0.0009319664492078285
40,"('selection',)",5.0,0.004651162790697674,"('fire', 'rainbow')",2.0,0.00186219739292365,"('will', 'definitely', 'visit')",1,0.0009319664492078285
41,"('little',)",5.0,0.004651162790697674,"('rangoon', 'roll')",2.0,0.00186219739292365,"('lunch', 'noodles', 'noodles')",1,0.0009319664492078285
42,"('table',)",5.0,0.004651162790697674,"('us', 'even')",2.0,0.00186219739292365,"('noodles', 'noodles', 'veggies')",1,0.0009319664492078285
43,"('bulgogi',)",5.0,0.004651162790697674,"('monkey', 'brains')",2.0,0.00186219739292365,"('noodles', 'veggies', 'delicious')",1,0.0009319664492078285
44,"('tasty',)",4.0,0.0037209302325581397,"('shop', 'save')",1.0,0.000931098696461825,"('veggies', 'delicious', 'chicken')",1,0.0009319664492078285
45,"('topped',)",4.0,0.0037209302325581397,"('definitely', 'visit')",1.0,0.000931098696461825,"('delicious', 'chicken', 'well')",1,0.0009319664492078285
46,"('really',)",4.0,0.0037209302325581397,"('finding', 'located')",1.0,0.000931098696461825,"('chicken', 'well', 'cooked')",1,0.0009319664492078285
47,"('always',)",4.0,0.0037209302325581397,"('japanese', 'meal')",1.0,0.000931098696461825,"('well', 'cooked', 'coating')",1,0.0009319664492078285
48,"('also',)",4.0,0.0037209302325581397,"('located', 'right')",1.0,0.000931098696461825,"('cooked', 'coating', 'crispy')",1,0.0009319664492078285
49,"('price',)",4.0,0.0037209302325581397,"('lunch', 'will')",1.0,0.000931098696461825,"('coating', 'crispy', 'nice')",1,0.0009319664492078285
50,"('still',)",4.0,0.0037209302325581397,"('nice', 'quick')",1.0,0.000931098696461825,"('crispy', 'nice', 'quick')",1,0.0009319664492078285
51,"('2',)",4.0,0.0037209302325581397,"('right', 'shop')",1.0,0.000931098696461825,"('nice', 'quick', 'lunch')",1,0.0009319664492078285
52,"('j',)",4.0,0.0037209302325581397,"('meal', 'ive')",1.0,0.000931098696461825,"('quick', 'lunch', 'will')",1,0.0009319664492078285
53,"('disappointed',)",4.0,0.0037209302325581397,"('weeks', 'now')",1.0,0.000931098696461825,"('lunch', 'will', 'definitely')",1,0.0009319664492078285
54,"('waitress',)",4.0,0.0037209302325581397,"('problem', 'finding')",1.0,0.000931098696461825,"('definitely', 'visit', 'glad')",1,0.0009319664492078285
55,"('dont',)",4.0,0.0037209302325581397,"('coating', 'crispy')",1.0,0.000931098696461825,"('now', 'finally', 'got')",1,0.0009319664492078285
56,"('favorite',)",4.0,0.0037209302325581397,"('save', 'mercy')",1.0,0.000931098696461825,"('visit', 'glad', 'dont')",1,0.0009319664492078285
57,"('loved',)",4.0,0.0037209302325581397,"('cooked', 'coating')",1.0,0.000931098696461825,"('glad', 'dont', 'drive')",1,0.0009319664492078285
58,"('left',)",4.0,0.0037209302325581397,"('mercy', 'walked')",1.0,0.000931098696461825,"('dont', 'drive', 'way')",1,0.0009319664492078285
59,"('like',)",4.0,0.0037209302325581397,"('walked', 'decently')",1.0,0.000931098696461825,"('drive', 'way', 'st')",1,0.0009319664492078285
60,"('rainbow',)",3.0,0.0027906976744186047,"('decently', 'small')",1.0,0.000931098696461825,"('way', 'st', 'louis')",1,0.0009319664492078285
61,"('restaurant',)",3.0,0.0027906976744186047,"('small', 'well')",1.0,0.000931098696461825,"('st', 'louis', 'nice')",1,0.0009319664492078285
62,"('super',)",3.0,0.0027906976744186047,"('crispy', 'nice')",1.0,0.000931098696461825,"('louis', 'nice', 'japanese')",1,0.0009319664492078285
63,"('fish',)",3.0,0.0027906976744186047,"('almost', 'problem')",1.0,0.000931098696461825,"('nice', 'japanese', 'meal')",1,0.0009319664492078285
64,"('served',)",3.0,0.0027906976744186047,"('well', 'decorated')",1.0,0.000931098696461825,"('japanese', 'meal', 'ive')",1,0.0009319664492078285
65,"('quick',)",3.0,0.0027906976744186047,"('dad', 'thursday')",1.0,0.000931098696461825,"('meal', 'ive', 'wanting')",1,0.0009319664492078285
66,"('get',)",3.0,0.0027906976744186047,"('finally', 'got')",1.0,0.000931098696461825,"('ive', 'wanting', 'try')",1,0.0009319664492078285
67,"('soup',)",3.0,0.0027906976744186047,"('try', 'weeks')",1.0,0.000931098696461825,"('wanting', 'try', 'weeks')",1,0.0009319664492078285
68,"('miso',)",3.0,0.0027906976744186047,"('got', 'around')",1.0,0.000931098696461825,"('try', 'weeks', 'now')",1,0.0009319664492078285
69,"('enjoyed',)",3.0,0.0027906976744186047,"('wanting', 'try')",1.0,0.000931098696461825,"('small', 'table', 'row')",1,0.0009319664492078285
70,"('20',)",3.0,0.0027906976744186047,"('around', 'today')",1.0,0.000931098696461825,"('back', 'bar', 'wasnt')",1,0.0009319664492078285
71,"('wasabi',)",3.0,0.0027906976744186047,"('nice', 'japanese')",1.0,0.000931098696461825,"('table', 'row', 'back')",1,0.0009319664492078285
72,"('expected',)",3.0,0.0027906976744186047,"('today', 'went')",1.0,0.000931098696461825,"('row', 'back', 'bar')",1,0.0009319664492078285
73,"('quickly',)",3.0,0.0027906976744186047,"('went', 'dad')",1.0,0.000931098696461825,"('us', 'drinks', 'menus')",1,0.0009319664492078285
74,"('atmosphere',)",3.0,0.0027906976744186047,"('thursday', 'dinner')",1.0,0.000931098696461825,"('drinks', 'menus', 'menus')",1,0.0009319664492078285
75,"('didnt',)",3.0,0.0027906976744186047,"('visit', 'glad')",1.0,0.000931098696461825,"('menus', 'menus', 'big')",1,0.0009319664492078285
76,"('weeks',)",3.0,0.0027906976744186047,"('louis', 'nice')",1.0,0.000931098696461825,"('menus', 'big', 'kind')",1,0.0009319664492078285
77,"('area',)",3.0,0.0027906976744186047,"('dinner', 'around')",1.0,0.000931098696461825,"('big', 'kind', 'overwhelming')",1,0.0009319664492078285
78,"('chicken',)",3.0,0.0027906976744186047,"('way', 'st')",1.0,0.000931098696461825,"('kind', 'overwhelming', 'lot')",1,0.0009319664492078285
79,"('cooked',)",3.0,0.0027906976744186047,"('drive', 'way')",1.0,0.000931098696461825,"('overwhelming', 'lot', 'good')",1,0.0009319664492078285
80,"('can',)",3.0,0.0027906976744186047,"('ive', 'wanting')",1.0,0.000931098696461825,"('lot', 'good', 'deals')",1,0.0009319664492078285
