,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('great',)",20.0,0.019120458891013385,"('will', 'back')",4.0,0.003827751196172249,"('last', '10', 'years')",2,0.0019157088122605363
1,"('will',)",15.0,0.014340344168260038,"('early', 'bird')",3.0,0.0028708133971291866,"('early', 'bird', 'special')",2,0.0019157088122605363
2,"('restaurant',)",14.0,0.01338432122370937,"('got', 'early')",3.0,0.0028708133971291866,"('kids', 'menu', 'anymore')",1,0.0009578544061302681
3,"('hibachi',)",10.0,0.009560229445506692,"('soup', 'salad')",3.0,0.0028708133971291866,"('bill', 'tip', 'pushing')",1,0.0009578544061302681
4,"('us',)",10.0,0.009560229445506692,"('tarpon', 'springs')",3.0,0.0028708133971291866,"('went', 'bill', 'tip')",1,0.0009578544061302681
5,"('better',)",9.0,0.008604206500956023,"('japanese', 'restaurant')",3.0,0.0028708133971291866,"('time', 'went', 'bill')",1,0.0009578544061302681
6,"('good',)",9.0,0.008604206500956023,"('salad', 'best')",2.0,0.0019138755980861245,"('last', 'time', 'went')",1,0.0009578544061302681
7,"('came',)",8.0,0.0076481835564053535,"('10', 'years')",2.0,0.0019138755980861245,"('anymore', 'last', 'time')",1,0.0009578544061302681
8,"('years',)",8.0,0.0076481835564053535,"('bird', 'specials')",2.0,0.0019138755980861245,"('menu', 'anymore', 'last')",1,0.0009578544061302681
9,"('back',)",8.0,0.0076481835564053535,"('hibachi', 'restaurant')",2.0,0.0019138755980861245,"('eat', 'kids', 'menu')",1,0.0009578544061302681
10,"('like',)",7.0,0.006692160611854685,"('cook', 'came')",2.0,0.0019138755980861245,"('pushing', '175', 'got')",1,0.0009578544061302681
11,"('go',)",7.0,0.006692160611854685,"('last', '10')",2.0,0.0019138755980861245,"('dont', 'eat', 'kids')",1,0.0009578544061302681
12,"('little',)",7.0,0.006692160611854685,"('great', 'prices')",2.0,0.0019138755980861245,"('older', 'dont', 'eat')",1,0.0009578544061302681
13,"('hiros',)",7.0,0.006692160611854685,"('highly', 'recommend')",2.0,0.0019138755980861245,"('little', 'older', 'dont')",1,0.0009578544061302681
14,"('always',)",7.0,0.006692160611854685,"('bird', 'special')",2.0,0.0019138755980861245,"('now', 'little', 'older')",1,0.0009578544061302681
15,"('staff',)",6.0,0.0057361376673040155,"('great', 'service')",2.0,0.0019138755980861245,"('kobe', 'now', 'little')",1,0.0009578544061302681
16,"('best',)",6.0,0.0057361376673040155,"('cucumber', 'roll')",2.0,0.0019138755980861245,"('tip', 'pushing', '175')",1,0.0009578544061302681
17,"('prices',)",6.0,0.0057361376673040155,"('people', 'always')",2.0,0.0019138755980861245,"('175', 'got', 'thing')",1,0.0009578544061302681
18,"('early',)",6.0,0.0057361376673040155,"('quick', 'ask')",2.0,0.0019138755980861245,"('will', 'back', 'sure')",1,0.0009578544061302681
