,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('us',)",77.0,0.011559825851974178,"('korean', 'bbq')",31.0,0.0046546546546546545,"('ayce', 'korean', 'bbq')",5,0.0007508634930169695
1,"('meat',)",69.0,0.010358804984236601,"('can', 'eat')",18.0,0.002702702702702703,"('will', 'never', 'go')",4,0.0006006907944135756
2,"('good',)",56.0,0.00840714607416304,"('customer', 'service')",11.0,0.0016516516516516516,"('never', 'go', 'back')",4,0.0006006907944135756
3,"('like',)",54.0,0.008106890857228644,"('told', 'us')",8.0,0.0012012012012012011,"('people', 'per', 'table')",3,0.0004505180958101817
4,"('korean',)",54.0,0.008106890857228644,"('quality', 'meat')",8.0,0.0012012012012012011,"('kimchi', 'fried', 'rice')",3,0.0004505180958101817
5,"('back',)",48.0,0.007206125206425462,"('dont', 'know')",8.0,0.0012012012012012011,"('2', 'year', 'old')",2,0.0003003453972067878
6,"('eat',)",41.0,0.0061552319471550815,"('side', 'dishes')",7.0,0.001051051051051051,"('say', 'yes', 'n')",2,0.0003003453972067878
7,"('table',)",39.0,0.005854976730220687,"('pork', 'belly')",7.0,0.001051051051051051,"('can', 'eat', 'can')",2,0.0003003453972067878
8,"('time',)",38.0,0.005704849121753491,"('per', 'person')",7.0,0.001051051051051051,"('first', 'round', 'meat')",2,0.0003003453972067878
9,"('service',)",38.0,0.005704849121753491,"('first', 'time')",7.0,0.001051051051051051,"('charging', 'dinner', 'price')",2,0.0003003453972067878
10,"('will',)",38.0,0.005704849121753491,"('ijji', '4')",6.0,0.0009009009009009009,"('cooking', 'add', 'ins')",2,0.0003003453972067878
11,"('dont',)",37.0,0.005554721513286293,"('go', 'back')",6.0,0.0009009009009009009,"('never', 'coming', 'back')",2,0.0003003453972067878
12,"('ordered',)",37.0,0.005554721513286293,"('year', 'old')",6.0,0.0009009009009009009,"('didnt', 'give', 'us')",2,0.0003003453972067878
13,"('order',)",37.0,0.005554721513286293,"('will', 'never')",6.0,0.0009009009009009009,"('fermented', 'soy', 'bean')",2,0.0003003453972067878
14,"('restaurant',)",37.0,0.005554721513286293,"('never', 'go')",5.0,0.0007507507507507507,"('soy', 'bean', 'paste')",2,0.0003003453972067878
15,"('can',)",36.0,0.0054045939048190965,"('7', 'us')",5.0,0.0007507507507507507,"('prove', 'us', 'wrong')",2,0.0003003453972067878
16,"('bbq',)",36.0,0.0054045939048190965,"('ayce', 'korean')",5.0,0.0007507507507507507,"('seafood', 'soft', 'tofu')",2,0.0003003453972067878
17,"('people',)",36.0,0.0054045939048190965,"('come', 'back')",5.0,0.0007507507507507507,"('table', '2', 'people')",2,0.0003003453972067878
18,"('get',)",35.0,0.005254466296351899,"('didnt', 'even')",5.0,0.0007507507507507507,"('sit', 'table', '2')",2,0.0003003453972067878
19,"('got',)",33.0,0.004954211079417505,"('really', 'good')",4.0,0.0006006006006006006,"('korean', 'bbq', 'reno')",2,0.0003003453972067878
20,"('told',)",33.0,0.004954211079417505,"('1', 'star')",4.0,0.0006006006006006006,"('im', 'chef', 'know')",2,0.0003003453972067878
21,"('server',)",33.0,0.004954211079417505,"('worth', 'price')",4.0,0.0006006006006006006,"('worst', 'korean', 'bbq')",2,0.0003003453972067878
22,"('didnt',)",33.0,0.004954211079417505,"('gon', 'na')",4.0,0.0006006006006006006,"('10', 'minutes', 'later')",2,0.0003003453972067878
23,"('even',)",33.0,0.004954211079417505,"('give', 'us')",4.0,0.0006006006006006006,"('accommodate', 'many', 'people')",2,0.0003003453972067878
24,"('meats',)",32.0,0.004804083470950308,"('coming', 'back')",4.0,0.0006006006006006006,"('thin', 'cuts', 'meat')",2,0.0003003453972067878
25,"('first',)",32.0,0.004804083470950308,"('hawaiian', 'beef')",4.0,0.0006006006006006006,"('sorry', 'ass', 'banchans')",2,0.0003003453972067878
26,"('experience',)",31.0,0.0046539558624831105,"('couldnt', 'eat')",4.0,0.0006006006006006006,"('paper', 'thin', 'cuts')",2,0.0003003453972067878
27,"('said',)",31.0,0.0046539558624831105,"('10', 'minutes')",4.0,0.0006006006006006006,"('high', 'quality', 'meat')",2,0.0003003453972067878
28,"('know',)",29.0,0.004353700645548716,"('la', 'galbi')",4.0,0.0006006006006006006,"('korean', 'bbq', 'places')",2,0.0003003453972067878
29,"('never',)",28.0,0.00420357303708152,"('will', 'back')",4.0,0.0006006006006006006,"('didnt', 'even', 'make')",2,0.0003003453972067878
30,"('really',)",28.0,0.00420357303708152,"('looking', 'forward')",4.0,0.0006006006006006006,"('gon', 'na', 'eat')",2,0.0003003453972067878
31,"('2',)",27.0,0.004053445428614322,"('im', 'sorry')",4.0,0.0006006006006006006,"('soft', 'tofu', 'stew')",2,0.0003003453972067878
32,"('dinner',)",27.0,0.004053445428614322,"('felt', 'like')",4.0,0.0006006006006006006,"('want', 'remove', 'napkin')",2,0.0003003453972067878
33,"('went',)",27.0,0.004053445428614322,"('kobe', 'beef')",4.0,0.0006006006006006006,"('experience', 'korean', 'bbq')",2,0.0003003453972067878
34,"('came',)",27.0,0.004053445428614322,"('seafood', 'pancake')",4.0,0.0006006006006006006,"('korean', 'bbq', 'many')",2,0.0003003453972067878
35,"('quality',)",26.0,0.003903317820147125,"('wasnt', 'sure')",4.0,0.0006006006006006006,"('20', 'per', 'person')",2,0.0003003453972067878
36,"('asked',)",25.0,0.003753190211679928,"('ive', 'ever')",4.0,0.0006006006006006006,"('love', 'pork', 'belly')",2,0.0003003453972067878
37,"('im',)",25.0,0.003753190211679928,"('wont', 'back')",4.0,0.0006006006006006006,"('us', 'kitchen', 'closing')",2,0.0003003453972067878
38,"('4',)",24.0,0.003603062603212731,"('made', 'reservation')",4.0,0.0006006006006006006,"('can', 'understand', 'maybe')",2,0.0003003453972067878
39,"('much',)",23.0,0.0034529349947455337,"('meat', 'appetizers')",3.0,0.00045045045045045046,"('15', 'minutes', 'seated')",2,0.0003003453972067878
40,"('grill',)",23.0,0.0034529349947455337,"('us', 'know')",3.0,0.00045045045045045046,"('3', 'people', 'per')",2,0.0003003453972067878
41,"('wait',)",22.0,0.0033028073862783366,"('charged', 'us')",3.0,0.00045045045045045046,"('asked', 'long', 'wait')",2,0.0003003453972067878
42,"('manager',)",22.0,0.0033028073862783366,"('3', 'people')",3.0,0.00045045045045045046,"('ordered', 'kimchi', 'fried')",2,0.0003003453972067878
43,"('beef',)",21.0,0.0031526797778111395,"('n', 'wait')",3.0,0.00045045045045045046,"('table', 'next', 'us')",2,0.0003003453972067878
44,"('great',)",21.0,0.0031526797778111395,"('came', 'back')",3.0,0.00045045045045045046,"('n', 'wait', 'n')",2,0.0003003453972067878
45,"('go',)",21.0,0.0031526797778111395,"('dinner', 'price')",3.0,0.00045045045045045046,"('better', 'korean', 'bbq')",2,0.0003003453972067878
46,"('person',)",20.0,0.0030025521693439424,"('feel', 'like')",3.0,0.00045045045045045046,"('korean', 'bbq', 'ever')",2,0.0003003453972067878
47,"('ok',)",20.0,0.0030025521693439424,"('pot', 'stickers')",3.0,0.00045045045045045046,"('wait', 'n', 'wait')",2,0.0003003453972067878
48,"('say',)",20.0,0.0030025521693439424,"('qpot', 'goku')",3.0,0.00045045045045045046,"('apart', 'grain', 'soups')",1,0.0001501726986033939
49,"('since',)",20.0,0.0030025521693439424,"('every', 'time')",3.0,0.00045045045045045046,"('subpar', 'particularly', 'hated')",1,0.0001501726986033939
50,"('better',)",19.0,0.0028524245608767453,"('table', '2')",3.0,0.00045045045045045046,"('particularly', 'hated', 'weird')",1,0.0001501726986033939
51,"('seated',)",19.0,0.0028524245608767453,"('per', 'table')",3.0,0.00045045045045045046,"('sucky', 'stuff', 'banchan')",1,0.0001501726986033939
52,"('come',)",19.0,0.0028524245608767453,"('change', 'grill')",3.0,0.00045045045045045046,"('another', 'rice', 'stickiness')",1,0.0001501726986033939
53,"('also',)",18.0,0.0027022969524095482,"('round', 'meat')",3.0,0.00045045045045045046,"('hated', 'weird', 'aftertaste')",1,0.0001501726986033939
54,"('menu',)",18.0,0.0027022969524095482,"('eat', 'much')",3.0,0.00045045045045045046,"('stuff', 'sucky', 'stuff')",1,0.0001501726986033939
55,"('3',)",18.0,0.0027022969524095482,"('people', 'per')",3.0,0.00045045045045045046,"('rice', 'stickiness', 'purple')",1,0.0001501726986033939
56,"('way',)",18.0,0.0027022969524095482,"('walk', 'away')",3.0,0.00045045045045045046,"('banchan', 'served', 'lazily')",1,0.0001501726986033939
57,"('kbbq',)",17.0,0.002552169343942351,"('different', 'people')",3.0,0.00045045045045045046,"('stickiness', 'purple', 'rice')",1,0.0001501726986033939
58,"('10',)",17.0,0.002552169343942351,"('anything', 'else')",3.0,0.00045045045045045046,"('want', 'stuff', 'sucky')",1,0.0001501726986033939
59,"('nice',)",17.0,0.002552169343942351,"('worst', 'korean')",3.0,0.00045045045045045046,"('purple', 'rice', 'completely')",1,0.0001501726986033939
60,"('everything',)",17.0,0.002552169343942351,"('im', 'sure')",3.0,0.00045045045045045046,"('imagine', 'want', 'stuff')",1,0.0001501726986033939
61,"('price',)",17.0,0.002552169343942351,"('told', 'wait')",3.0,0.00045045045045045046,"('others', 'imagine', 'want')",1,0.0001501726986033939
