,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('delicious',)",7.0,0.016706443914081145,"('new', 'restaurant')",2.0,0.004784688995215311,"('delicious', 'exceeded', 'expectations')",1,0.002398081534772182
1,"('pizza',)",7.0,0.016706443914081145,"('cheese', 'pizza')",2.0,0.004784688995215311,"('hot', 'cheese', 'melty')",1,0.002398081534772182
2,"('great',)",7.0,0.016706443914081145,"('cafe', 'coeur')",2.0,0.004784688995215311,"('bright', 'dining', 'area')",1,0.002398081534772182
3,"('good',)",5.0,0.011933174224343675,"('delicious', 'exceeded')",1.0,0.0023923444976076554,"('clean', 'bright', 'dining')",1,0.002398081534772182
4,"('new',)",5.0,0.011933174224343675,"('excellent', 'cheese')",1.0,0.0023923444976076554,"('enjoy', 'clean', 'bright')",1,0.002398081534772182
5,"('try',)",4.0,0.00954653937947494,"('bright', 'dining')",1.0,0.0023923444976076554,"('got', 'enjoy', 'clean')",1,0.002398081534772182
6,"('got',)",4.0,0.00954653937947494,"('clean', 'bright')",1.0,0.0023923444976076554,"('kids', 'got', 'enjoy')",1,0.002398081534772182
7,"('fusion',)",4.0,0.00954653937947494,"('enjoy', 'clean')",1.0,0.0023923444976076554,"('cheese', 'kids', 'got')",1,0.002398081534772182
8,"('back',)",4.0,0.00954653937947494,"('got', 'enjoy')",1.0,0.0023923444976076554,"('n', 'cheese', 'kids')",1,0.002398081534772182
9,"('excellent',)",4.0,0.00954653937947494,"('kids', 'got')",1.0,0.0023923444976076554,"('mac', 'n', 'cheese')",1,0.002398081534772182
10,"('dishes',)",4.0,0.00954653937947494,"('cheese', 'kids')",1.0,0.0023923444976076554,"('awesome', 'mac', 'n')",1,0.002398081534772182
11,"('cheese',)",4.0,0.00954653937947494,"('n', 'cheese')",1.0,0.0023923444976076554,"('pizza', 'awesome', 'mac')",1,0.002398081534772182
12,"('matcha',)",4.0,0.00954653937947494,"('mac', 'n')",1.0,0.0023923444976076554,"('cheese', 'pizza', 'awesome')",1,0.002398081534772182
13,"('will',)",3.0,0.007159904534606206,"('awesome', 'mac')",1.0,0.0023923444976076554,"('excellent', 'cheese', 'pizza')",1,0.002398081534772182
14,"('menu',)",3.0,0.007159904534606206,"('pizza', 'awesome')",1.0,0.0023923444976076554,"('loved', 'excellent', 'cheese')",1,0.002398081534772182
15,"('love',)",3.0,0.007159904534606206,"('children', 'loved')",1.0,0.0023923444976076554,"('children', 'loved', 'excellent')",1,0.002398081534772182
16,"('awesome',)",3.0,0.007159904534606206,"('loved', 'excellent')",1.0,0.0023923444976076554,"('even', 'children', 'loved')",1,0.002398081534772182
17,"('staff',)",3.0,0.007159904534606206,"('area', 'friendly')",1.0,0.0023923444976076554,"('delicious', 'even', 'children')",1,0.002398081534772182
18,"('really',)",3.0,0.007159904534606206,"('even', 'children')",1.0,0.0023923444976076554,"('order', 'delicious', 'even')",1,0.002398081534772182
19,"('service',)",3.0,0.007159904534606206,"('delicious', 'even')",1.0,0.0023923444976076554,"('able', 'order', 'delicious')",1,0.002398081534772182
20,"('prices',)",3.0,0.007159904534606206,"('order', 'delicious')",1.0,0.0023923444976076554,"('family', 'able', 'order')",1,0.002398081534772182
21,"('first',)",3.0,0.007159904534606206,"('able', 'order')",1.0,0.0023923444976076554,"('bringing', 'family', 'able')",1,0.002398081534772182
22,"('seated',)",3.0,0.007159904534606206,"('family', 'able')",1.0,0.0023923444976076554,"('comfortable', 'bringing', 'family')",1,0.002398081534772182
23,"('well',)",3.0,0.007159904534606206,"('bringing', 'family')",1.0,0.0023923444976076554,"('felt', 'comfortable', 'bringing')",1,0.002398081534772182
24,"('tea',)",3.0,0.007159904534606206,"('comfortable', 'bringing')",1.0,0.0023923444976076554,"('spot', 'felt', 'comfortable')",1,0.002398081534772182
25,"('think',)",3.0,0.007159904534606206,"('felt', 'comfortable')",1.0,0.0023923444976076554,"('dining', 'area', 'friendly')",1,0.002398081534772182
26,"('restaurant',)",3.0,0.007159904534606206,"('dining', 'area')",1.0,0.0023923444976076554,"('area', 'friendly', 'wait')",1,0.002398081534772182
27,"('creative',)",3.0,0.007159904534606206,"('friendly', 'wait')",1.0,0.0023923444976076554,"('friendly', 'wait', 'staff')",1,0.002398081534772182
28,"('nice',)",2.0,0.00477326968973747,"('lunch', 'spot')",1.0,0.0023923444976076554,"('opening', 'month', 'rave')",1,0.002398081534772182
29,"('lot',)",2.0,0.00477326968973747,"('wait', 'staff')",1.0,0.0023923444976076554,"('opened', 'stop', 'coming')",1,0.002398081534772182
30,"('without',)",2.0,0.00477326968973747,"('opened', 'stop')",1.0,0.0023923444976076554,"('first', 'opened', 'stop')",1,0.002398081534772182
31,"('skeptical',)",2.0,0.00477326968973747,"('first', 'opened')",1.0,0.0023923444976076554,"('check', 'first', 'opened')",1,0.002398081534772182
