,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('hibachi',)",67.0,0.009732713538640326,"('can', 'eat')",18.0,0.0026151387476391107,"('will', 'never', 'go')",6,0.0008718395815170009
1,"('us',)",58.0,0.0084253341080767,"('will', 'never')",10.0,0.001452854859799506,"('spicy', 'tuna', 'roll')",4,0.0005812263876780006
2,"('order',)",57.0,0.008280069726902964,"('rice', 'noodles')",7.0,0.0010169984018596541,"('never', 'go', 'back')",3,0.00043591979075850045
3,"('service',)",54.0,0.007844276583381755,"('last', 'time')",7.0,0.0010169984018596541,"('waited', '20', 'minutes')",3,0.00043591979075850045
4,"('roll',)",52.0,0.007553747821034283,"('spicy', 'tuna')",7.0,0.0010169984018596541,"('can', 'eat', 'option')",3,0.00043591979075850045
5,"('came',)",51.0,0.007408483439860546,"('dont', 'know')",7.0,0.0010169984018596541,"('get', 'moneys', 'worth')",3,0.00043591979075850045
6,"('like',)",50.0,0.00726321905868681,"('miso', 'soup')",7.0,0.0010169984018596541,"('pretty', 'much', 'everything')",3,0.00043591979075850045
7,"('good',)",50.0,0.00726321905868681,"('tasted', 'like')",7.0,0.0010169984018596541,"('30', 'minute', 'wait')",3,0.00043591979075850045
8,"('time',)",48.0,0.006972690296339338,"('never', 'go')",6.0,0.0008717129158797036,"('dont', 'waste', 'time')",3,0.00043591979075850045
9,"('eat',)",47.0,0.006827425915165601,"('going', 'back')",6.0,0.0008717129158797036,"('huh', 'three', 'groups')",2,0.0002906131938390003
10,"('table',)",45.0,0.006536897152818129,"('hibachi', 'table')",6.0,0.0008717129158797036,"('wont', 'going', 'back')",2,0.0002906131938390003
11,"('ordered',)",45.0,0.006536897152818129,"('come', 'back')",6.0,0.0008717129158797036,"('fresh', 'warm', 'different')",2,0.0002906131938390003
12,"('didnt',)",44.0,0.006391632771644393,"('la', 'carte')",5.0,0.000726427429899753,"('taste', 'fresh', 'warm')",2,0.0002906131938390003
13,"('dont',)",43.0,0.006246368390470656,"('came', 'back')",5.0,0.000726427429899753,"('doesnt', 'taste', 'fresh')",2,0.0002906131938390003
14,"('server',)",43.0,0.006246368390470656,"('customer', 'service')",5.0,0.000726427429899753,"('fish', 'doesnt', 'taste')",2,0.0002906131938390003
15,"('get',)",42.0,0.00610110400929692,"('didnt', 'even')",5.0,0.000726427429899753,"('nervous', 'fish', 'doesnt')",2,0.0002906131938390003
16,"('can',)",42.0,0.00610110400929692,"('service', 'terrible')",5.0,0.000726427429899753,"('make', 'nervous', 'fish')",2,0.0002906131938390003
17,"('come',)",40.0,0.005810575246949448,"('anything', 'else')",5.0,0.000726427429899753,"('gingersushi', 'make', 'nervous')",2,0.0002906131938390003
18,"('back',)",40.0,0.005810575246949448,"('go', 'back')",5.0,0.000726427429899753,"('cold', 'gingersushi', 'make')",2,0.0002906131938390003
19,"('never',)",39.0,0.005665310865775712,"('minute', 'wait')",5.0,0.000726427429899753,"('use', 'cold', 'gingersushi')",2,0.0002906131938390003
20,"('will',)",39.0,0.005665310865775712,"('15', 'minutes')",5.0,0.000726427429899753,"('warm', 'use', 'cold')",2,0.0002906131938390003
21,"('even',)",38.0,0.0055200464846019755,"('coming', 'back')",4.0,0.0005811419439198024,"('offginger', 'warm', 'use')",2,0.0002906131938390003
22,"('said',)",36.0,0.005229517722254503,"('time', 'went')",4.0,0.0005811419439198024,"('little', 'offginger', 'warm')",2,0.0002906131938390003
23,"('better',)",31.0,0.004503195816385822,"('told', 'us')",4.0,0.0005811419439198024,"('sauce', 'little', 'offginger')",2,0.0002906131938390003
24,"('asked',)",31.0,0.004503195816385822,"('ice', 'cream')",4.0,0.0005811419439198024,"('goodeel', 'sauce', 'little')",2,0.0002906131938390003
25,"('endless',)",30.0,0.004357931435212086,"('didnt', 'understand')",4.0,0.0005811419439198024,"('size', 'goodeel', 'sauce')",2,0.0002906131938390003
26,"('go',)",30.0,0.004357931435212086,"('grocery', 'store')",4.0,0.0005811419439198024,"('portion', 'size', 'goodeel')",2,0.0002906131938390003
27,"('waiter',)",29.0,0.00421266705403835,"('manager', 'said')",4.0,0.0005811419439198024,"('ive', 'portion', 'size')",2,0.0002906131938390003
28,"('restaurant',)",29.0,0.00421266705403835,"('20', 'minutes')",4.0,0.0005811419439198024,"('warm', 'different', 'taste')",2,0.0002906131938390003
29,"('minutes',)",28.0,0.004067402672864613,"('dont', 'finish')",4.0,0.0005811419439198024,"('different', 'taste', 'positive')",2,0.0002906131938390003
30,"('really',)",28.0,0.004067402672864613,"('dont', 'waste')",4.0,0.0005811419439198024,"('empty', 'huh', 'three')",2,0.0002906131938390003
31,"('wait',)",28.0,0.004067402672864613,"('cream', 'cheese')",4.0,0.0005811419439198024,"('groups', 'couples', 'came')",2,0.0002906131938390003
32,"('menu',)",27.0,0.0039221382916908775,"('dont', 'eat')",4.0,0.0005811419439198024,"('half', 'empty', 'huh')",2,0.0002906131938390003
33,"('quality',)",27.0,0.0039221382916908775,"('tuna', 'roll')",4.0,0.0005811419439198024,"('wait', 'half', 'empty')",2,0.0002906131938390003
34,"('got',)",26.0,0.0037768739105171413,"('pretty', 'much')",4.0,0.0005811419439198024,"('minute', 'wait', 'half')",2,0.0002906131938390003
35,"('experience',)",25.0,0.003631609529343405,"('wasnt', 'bad')",4.0,0.0005811419439198024,"('eat', '30', 'minute')",2,0.0002906131938390003
36,"('going',)",25.0,0.003631609529343405,"('seemed', 'like')",4.0,0.0005811419439198024,"('notes', 'eat', '30')",2,0.0002906131938390003
37,"('went',)",24.0,0.003486345148169669,"('much', 'better')",4.0,0.0005811419439198024,"('taking', 'notes', 'eat')",2,0.0002906131938390003
38,"('bad',)",24.0,0.003486345148169669,"('entire', 'time')",4.0,0.0005811419439198024,"('timer', 'taking', 'notes')",2,0.0002906131938390003
39,"('want',)",21.0,0.00305055200464846,"('5', 'minutes')",4.0,0.0005811419439198024,"('first', 'timer', 'taking')",2,0.0002906131938390003
40,"('made',)",21.0,0.00305055200464846,"('even', 'though')",4.0,0.0005811419439198024,"('friends', 'first', 'timer')",2,0.0002906131938390003
41,"('shrimp',)",20.0,0.002905287623474724,"('quality', 'good')",4.0,0.0005811419439198024,"('family', 'friends', 'first')",2,0.0002906131938390003
42,"('soup',)",20.0,0.002905287623474724,"('wait', 'half')",4.0,0.0005811419439198024,"('miso', 'soup', 'crab')",2,0.0002906131938390003
43,"('much',)",20.0,0.002905287623474724,"('soy', 'sauce')",3.0,0.0004358564579398518,"('soup', 'crab', 'rangoon')",2,0.0002906131938390003
44,"('fresh',)",20.0,0.002905287623474724,"('endless', 'hibachi')",3.0,0.0004358564579398518,"('note', 'comes', 'fast')",2,0.0002906131938390003
45,"('wanted',)",20.0,0.002905287623474724,"('waiter', 'really')",3.0,0.0004358564579398518,"('positive', 'note', 'comes')",2,0.0002906131938390003
46,"('rice',)",20.0,0.002905287623474724,"('ask', 'server')",3.0,0.0004358564579398518,"('three', 'groups', 'couples')",2,0.0002906131938390003
47,"('manager',)",19.0,0.0027600232423009878,"('finally', 'came')",3.0,0.0004358564579398518,"('receive', 'times', 'ive')",2,0.0002906131938390003
48,"('make',)",19.0,0.0027600232423009878,"('everything', 'served')",3.0,0.0004358564579398518,"('taste', 'positive', 'note')",2,0.0002906131938390003
49,"('seated',)",19.0,0.0027600232423009878,"('speak', 'manager')",3.0,0.0004358564579398518,"('times', 'ive', 'portion')",2,0.0002906131938390003
50,"('told',)",19.0,0.0027600232423009878,"('came', 'table')",3.0,0.0004358564579398518,"('hibachi', 'decentnot', 'completely')",2,0.0002906131938390003
51,"('tasted',)",19.0,0.0027600232423009878,"('hibachi', 'chef')",3.0,0.0004358564579398518,"('hot', 'receive', 'times')",2,0.0002906131938390003
