,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('stone',)",12.0,0.023622047244094488,"('hot', 'stone')",4.0,0.007889546351084813,"('decided', 'stop', 'receiving')",1,0.001976284584980237
1,"('great',)",9.0,0.017716535433070866,"('will', 'definitely')",3.0,0.005917159763313609,"('apologized', 'told', 'us')",1,0.001976284584980237
2,"('service',)",9.0,0.017716535433070866,"('soup', 'salad')",2.0,0.0039447731755424065,"('entertained', 'shortly', 'generously')",1,0.001976284584980237
3,"('also',)",8.0,0.015748031496062992,"('found', 'new')",2.0,0.0039447731755424065,"('wine', 'entertained', 'shortly')",1,0.001976284584980237
4,"('try',)",6.0,0.011811023622047244,"('new', 'restaurant')",2.0,0.0039447731755424065,"('byob', 'wine', 'entertained')",1,0.001976284584980237
5,"('steak',)",6.0,0.011811023622047244,"('two', 'sides')",2.0,0.0039447731755424065,"('drank', 'byob', 'wine')",1,0.001976284584980237
6,"('good',)",6.0,0.011811023622047244,"('come', 'back')",2.0,0.0039447731755424065,"('sat', 'drank', 'byob')",1,0.001976284584980237
7,"('little',)",6.0,0.011811023622047244,"('also', 'got')",2.0,0.0039447731755424065,"('showed', 'sat', 'drank')",1,0.001976284584980237
8,"('got',)",6.0,0.011811023622047244,"('little', 'gem')",2.0,0.0039447731755424065,"('never', 'showed', 'sat')",1,0.001976284584980237
9,"('ordered',)",5.0,0.00984251968503937,"('service', 'great')",2.0,0.0039447731755424065,"('come', 'never', 'showed')",1,0.001976284584980237
10,"('hot',)",5.0,0.00984251968503937,"('happy', 'found')",2.0,0.0039447731755424065,"('supposed', 'come', 'never')",1,0.001976284584980237
11,"('come',)",5.0,0.00984251968503937,"('give', 'try')",2.0,0.0039447731755424065,"('else', 'supposed', 'come')",1,0.001976284584980237
12,"('definitely',)",5.0,0.00984251968503937,"('really', 'good')",2.0,0.0039447731755424065,"('someone', 'else', 'supposed')",1,0.001976284584980237
13,"('will',)",5.0,0.00984251968503937,"('moms', 'birthday')",2.0,0.0039447731755424065,"('us', 'someone', 'else')",1,0.001976284584980237
14,"('fresh',)",5.0,0.00984251968503937,"('great', 'service')",2.0,0.0039447731755424065,"('told', 'us', 'someone')",1,0.001976284584980237
15,"('meal',)",4.0,0.007874015748031496,"('byob', 'wine')",1.0,0.0019723865877712033,"('plates', 'apologized', 'told')",1,0.001976284584980237
16,"('hibachi',)",4.0,0.007874015748031496,"('wine', 'entertained')",1.0,0.0019723865877712033,"('generously', 'gave', 'us')",1,0.001976284584980237
17,"('new',)",4.0,0.007874015748031496,"('drank', 'byob')",1.0,0.0019723865877712033,"('running', 'plates', 'apologized')",1,0.001976284584980237
18,"('birthday',)",4.0,0.007874015748031496,"('entertained', 'shortly')",1.0,0.0019723865877712033,"('also', 'running', 'plates')",1,0.001976284584980237
19,"('found',)",4.0,0.007874015748031496,"('shortly', 'generously')",1.0,0.0019723865877712033,"('server', 'also', 'running')",1,0.001976284584980237
20,"('restaurant',)",4.0,0.007874015748031496,"('sat', 'drank')",1.0,0.0019723865877712033,"('realized', 'server', 'also')",1,0.001976284584980237
21,"('really',)",4.0,0.007874015748031496,"('decided', 'stop')",1.0,0.0019723865877712033,"('order', 'realized', 'server')",1,0.001976284584980237
22,"('came',)",4.0,0.007874015748031496,"('showed', 'sat')",1.0,0.0019723865877712033,"('took', 'order', 'realized')",1,0.001976284584980237
23,"('nice',)",4.0,0.007874015748031496,"('never', 'showed')",1.0,0.0019723865877712033,"('finally', 'took', 'order')",1,0.001976284584980237
24,"('moms',)",4.0,0.007874015748031496,"('come', 'never')",1.0,0.0019723865877712033,"('beginning', 'finally', 'took')",1,0.001976284584980237
25,"('back',)",4.0,0.007874015748031496,"('gave', 'us')",1.0,0.0019723865877712033,"('slow', 'beginning', 'finally')",1,0.001976284584980237
26,"('delicious',)",3.0,0.005905511811023622,"('supposed', 'come')",1.0,0.0019723865877712033,"('little', 'slow', 'beginning')",1,0.001976284584980237
27,"('well',)",3.0,0.005905511811023622,"('else', 'supposed')",1.0,0.0019723865877712033,"('service', 'little', 'slow')",1,0.001976284584980237
28,"('friendly',)",3.0,0.005905511811023622,"('someone', 'else')",1.0,0.0019723865877712033,"('7', 'service', 'little')",1,0.001976284584980237
29,"('staff',)",3.0,0.005905511811023622,"('us', 'someone')",1.0,0.0019723865877712033,"('group', '7', 'service')",1,0.001976284584980237
30,"('know',)",3.0,0.005905511811023622,"('told', 'us')",1.0,0.0019723865877712033,"('shortly', 'generously', 'gave')",1,0.001976284584980237
31,"('cooked',)",3.0,0.005905511811023622,"('apologized', 'told')",1.0,0.0019723865877712033,"('gave', 'us', 'extra')",1,0.001976284584980237
32,"('chinese',)",3.0,0.005905511811023622,"('plates', 'apologized')",1.0,0.0019723865877712033,"('big', 'chunks', 'lobster')",1,0.001976284584980237
33,"('lobster',)",3.0,0.005905511811023622,"('running', 'plates')",1.0,0.0019723865877712033,"('got', 'sashimi', 'combo')",1,0.001976284584980237
34,"('two',)",3.0,0.005905511811023622,"('also', 'running')",1.0,0.0019723865877712033,"('speciality', 'roll', 'big')",1,0.001976284584980237
35,"('side',)",3.0,0.005905511811023622,"('generously', 'gave')",1.0,0.0019723865877712033,"('cuts', 'speciality', 'roll')",1,0.001976284584980237
36,"('menu',)",3.0,0.005905511811023622,"('fish', 'appetizer')",1.0,0.0019723865877712033,"('thick', 'cuts', 'speciality')",1,0.001976284584980237
37,"('put',)",3.0,0.005905511811023622,"('us', 'extra')",1.0,0.0019723865877712033,"('long', 'thick', 'cuts')",1,0.001976284584980237
38,"('eat',)",3.0,0.005905511811023622,"('got', 'sashimi')",1.0,0.0019723865877712033,"('sashimi', 'long', 'thick')",1,0.001976284584980237
39,"('plates',)",3.0,0.005905511811023622,"('cuts', 'speciality')",1.0,0.0019723865877712033,"('fresh', 'sashimi', 'long')",1,0.001976284584980237
