,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('can',)",41.0,0.020039100684261974,"('can', 'eat')",26.0,0.012713936430317848,"('1999', 'can', 'eat')",4,0.0019569471624266144
1,"('eat',)",39.0,0.01906158357771261,"('crab', 'rangoon')",11.0,0.0053789731051344745,"('can', 'eat', 'option')",4,0.0019569471624266144
2,"('good',)",28.0,0.013685239491691105,"('miso', 'soup')",9.0,0.004400977995110024,"('can', 'eat', 'dinner')",3,0.0014677103718199608
3,"('service',)",22.0,0.010752688172043012,"('st', 'louis')",5.0,0.0024449877750611247,"('can', 'eat', 'good')",2,0.0009784735812133072
4,"('great',)",22.0,0.010752688172043012,"('conveyor', 'belt')",5.0,0.0024449877750611247,"('service', 'can', 'eat')",2,0.0009784735812133072
5,"('order',)",17.0,0.008308895405669599,"('eat', 'option')",5.0,0.0024449877750611247,"('can', 'eat', 'also')",2,0.0009784735812133072
6,"('time',)",15.0,0.007331378299120235,"('will', 'back')",4.0,0.0019559902200488996,"('20', 'can', 'eat')",2,0.0009784735812133072
7,"('get',)",15.0,0.007331378299120235,"('1999', 'can')",4.0,0.0019559902200488996,"('menu', 'can', 'order')",2,0.0009784735812133072
8,"('also',)",15.0,0.007331378299120235,"('first', 'time')",4.0,0.0019559902200488996,"('first', 'time', 'today')",2,0.0009784735812133072
9,"('really',)",15.0,0.007331378299120235,"('will', 'definitely')",4.0,0.0019559902200488996,"('ate', 'first', 'time')",2,0.0009784735812133072
10,"('will',)",15.0,0.007331378299120235,"('california', 'roll')",4.0,0.0019559902200488996,"('will', 'definitely', 'back')",2,0.0009784735812133072
11,"('back',)",14.0,0.006842619745845552,"('makes', 'sense')",4.0,0.0019559902200488996,"('ordered', 'dinner', 'bento')",2,0.0009784735812133072
12,"('go',)",14.0,0.006842619745845552,"('cant', 'wait')",3.0,0.001466992665036675,"('rangoon', 'know', 'pretty')",1,0.0004892367906066536
13,"('much',)",14.0,0.006842619745845552,"('eat', 'dinner')",3.0,0.001466992665036675,"('get', 'crab', 'rangoon')",1,0.0004892367906066536
14,"('amazing',)",14.0,0.006842619745845552,"('best', 'ive')",3.0,0.001466992665036675,"('crab', 'rangoon', 'know')",1,0.0004892367906066536
15,"('crab',)",14.0,0.006842619745845552,"('service', 'can')",3.0,0.001466992665036675,"('first', 'visit', 'loved')",1,0.0004892367906066536
16,"('always',)",13.0,0.00635386119257087,"('make', 'sure')",3.0,0.001466992665036675,"('timeif', 'get', 'crab')",1,0.0004892367906066536
17,"('ive',)",13.0,0.00635386119257087,"('bento', 'boxes')",3.0,0.001466992665036675,"('pretty', 'sweet', 'ais')",1,0.0004892367906066536
18,"('roll',)",13.0,0.00635386119257087,"('ive', 'coming')",2.0,0.0009779951100244498,"('sweet', 'ais', 'favorite')",1,0.0004892367906066536
19,"('fresh',)",13.0,0.00635386119257087,"('plenty', 'parking')",2.0,0.0009779951100244498,"('ais', 'favorite', 'fresher')",1,0.0004892367906066536
20,"('ordered',)",12.0,0.005865102639296188,"('regular', 'menu')",2.0,0.0009779951100244498,"('favorite', 'fresher', 'good')",1,0.0004892367906066536
21,"('restaurant',)",12.0,0.005865102639296188,"('made', 'fresh')",2.0,0.0009779951100244498,"('fresher', 'good', 'service')",1,0.0004892367906066536
22,"('menu',)",12.0,0.005865102639296188,"('get', 'fix')",2.0,0.0009779951100244498,"('know', 'pretty', 'sweet')",1,0.0004892367906066536
23,"('rangoon',)",11.0,0.005376344086021506,"('never', 'really')",2.0,0.0009779951100244498,"('always', 'good', 'quality')",1,0.0004892367906066536
24,"('best',)",11.0,0.005376344086021506,"('lunch', 'time')",2.0,0.0009779951100244498,"('ready', 'timeif', 'get')",1,0.0004892367906066536
25,"('option',)",11.0,0.005376344086021506,"('break', 'bank')",2.0,0.0009779951100244498,"('quality', 'ready', 'timeif')",1,0.0004892367906066536
26,"('20',)",11.0,0.005376344086021506,"('order', 'lot')",2.0,0.0009779951100244498,"('good', 'quality', 'ready')",1,0.0004892367906066536
27,"('definitely',)",11.0,0.005376344086021506,"('service', 'like')",2.0,0.0009779951100244498,"('months', 'always', 'good')",1,0.0004892367906066536
28,"('japan',)",10.0,0.004887585532746823,"('also', 'include')",2.0,0.0009779951100244498,"('carry', 'months', 'always')",1,0.0004892367906066536
29,"('nice',)",10.0,0.004887585532746823,"('allyoucan', 'eat')",2.0,0.0009779951100244498,"('weve', 'carry', 'months')",1,0.0004892367906066536
30,"('miso',)",10.0,0.004887585532746823,"('ginger', 'dressing')",2.0,0.0009779951100244498,"('good', 'weve', 'carry')",1,0.0004892367906066536
31,"('fish',)",10.0,0.004887585532746823,"('eaten', 'several')",2.0,0.0009779951100244498,"('consistently', 'good', 'weve')",1,0.0004892367906066536
32,"('well',)",10.0,0.004887585532746823,"('service', 'great')",2.0,0.0009779951100244498,"('see', 'consistently', 'good')",1,0.0004892367906066536
33,"('soup',)",10.0,0.004887585532746823,"('honey', 'roll')",2.0,0.0009779951100244498,"('wait', 'see', 'consistently')",1,0.0004892367906066536
34,"('lot',)",9.0,0.004398826979472141,"('good', 'quality')",2.0,0.0009779951100244498,"('cant', 'wait', 'see')",1,0.0004892367906066536
35,"('recommend',)",9.0,0.004398826979472141,"('can', 'order')",2.0,0.0009779951100244498,"('used', 'cant', 'wait')",1,0.0004892367906066536
36,"('nigiri',)",9.0,0.004398826979472141,"('menu', 'can')",2.0,0.0009779951100244498,"('better', 'used', 'cant')",1,0.0004892367906066536
37,"('super',)",9.0,0.004398826979472141,"('top', 'notch')",2.0,0.0009779951100244498,"('lot', 'better', 'used')",1,0.0004892367906066536
38,"('like',)",9.0,0.004398826979472141,"('second', 'order')",2.0,0.0009779951100244498,"('good', 'service', 'can')",1,0.0004892367906066536
39,"('now',)",9.0,0.004398826979472141,"('west', 'county')",2.0,0.0009779951100244498,"('price', 'rangoons', 'awesome')",1,0.0004892367906066536
40,"('ai',)",9.0,0.004398826979472141,"('super', 'fast')",2.0,0.0009779951100244498,"('can', 'eat', 'great')",1,0.0004892367906066536
41,"('pretty',)",9.0,0.004398826979472141,"('restaurant', 'super')",2.0,0.0009779951100244498,"('eat', 'great', 'price')",1,0.0004892367906066536
