,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('great',)",67.0,0.016535044422507403,"('will', 'definitely')",14.0,0.003455936805726981,"('will', 'definitely', 'back')",6,0.0014814814814814814
1,"('good',)",65.0,0.016041461006910167,"('mt', 'juliet')",12.0,0.0029622315477659837,"('angry', 'lobster', 'roll')",4,0.0009876543209876543
2,"('roll',)",56.0,0.013820335636722606,"('mori', 'mori')",9.0,0.002221673660824488,"('definitely', 'coming', 'back')",3,0.0007407407407407407
3,"('service',)",51.0,0.012586377097729516,"('fried', 'rice')",9.0,0.002221673660824488,"('spicy', 'pork', 'bulgogi')",3,0.0007407407407407407
4,"('will',)",42.0,0.010365251727541954,"('avocado', 'bomb')",9.0,0.002221673660824488,"('best', 'mt', 'juliet')",3,0.0007407407407407407
5,"('back',)",38.0,0.009378084896347482,"('great', 'service')",8.0,0.001974821031843989,"('fond', 'memories', 'street')",2,0.0004938271604938272
6,"('fresh',)",34.0,0.00839091806515301,"('angry', 'lobster')",7.0,0.0017279684028634905,"('bulgogi', 'korea', 'offer')",2,0.0004938271604938272
7,"('delicious',)",33.0,0.008144126357354392,"('definitely', 'back')",7.0,0.0017279684028634905,"('plate', 'okay', 'expectations')",2,0.0004938271604938272
8,"('korean',)",33.0,0.008144126357354392,"('mount', 'juliet')",7.0,0.0017279684028634905,"('okay', 'expectations', 'based')",2,0.0004938271604938272
9,"('amazing',)",30.0,0.007403751233958539,"('first', 'time')",7.0,0.0017279684028634905,"('expectations', 'based', 'eating')",2,0.0004938271604938272
10,"('ordered',)",30.0,0.007403751233958539,"('go', 'back')",7.0,0.0017279684028634905,"('based', 'eating', 'bulgogi')",2,0.0004938271604938272
11,"('also',)",29.0,0.007156959526159921,"('really', 'good')",6.0,0.0014811157738829918,"('eating', 'bulgogi', 'korea')",2,0.0004938271604938272
12,"('best',)",28.0,0.006910167818361303,"('best', 'ive')",6.0,0.0014811157738829918,"('korea', 'offer', 'gyoza')",2,0.0004938271604938272
13,"('definitely',)",27.0,0.006663376110562685,"('highly', 'recommend')",6.0,0.0014811157738829918,"('sizzling', 'hot', 'plate')",2,0.0004938271604938272
14,"('got',)",27.0,0.006663376110562685,"('will', 'back')",6.0,0.0014811157738829918,"('offer', 'gyoza', 'prefer')",2,0.0004938271604938272
15,"('well',)",27.0,0.006663376110562685,"('crunch', 'mania')",6.0,0.0014811157738829918,"('gyoza', 'prefer', 'korean')",2,0.0004938271604938272
16,"('restaurant',)",26.0,0.006416584402764067,"('miso', 'soup')",6.0,0.0014811157738829918,"('prefer', 'korean', 'yakimandeu')",2,0.0004938271604938272
