,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('us',)",119.0,0.009703987604990623,"('can', 'eat')",36.0,0.002935899526993965,"('kung', 'pao', 'chicken')",9,0.0007340347443112308
1,"('service',)",106.0,0.008643888118731142,"('fried', 'rice')",30.0,0.0024465829391616374,"('grand', 'sierra', 'resort')",8,0.0006524753282766496
2,"('like',)",100.0,0.008154611432765229,"('tasted', 'like')",21.0,0.0017126080574131463,"('hot', 'sour', 'soup')",6,0.0004893564962074871
3,"('eat',)",94.0,0.007665334746799315,"('told', 'us')",16.0,0.0013048442342195401,"('palais', 'de', 'jade')",5,0.00040779708017290596
4,"('good',)",87.0,0.007094511946505749,"('come', 'back')",16.0,0.0013048442342195401,"('u', 'can', 'eat')",5,0.00040779708017290596
5,"('rice',)",86.0,0.007012965832178097,"('didnt', 'even')",15.0,0.0012232914695808187,"('shrimp', 'fried', 'rice')",4,0.0003262376641383248
6,"('came',)",85.0,0.006931419717850444,"('chow', 'mein')",14.0,0.0011417387049420975,"('bbq', 'pork', 'ribs')",4,0.0003262376641383248
7,"('ordered',)",79.0,0.006442143031884531,"('grand', 'sierra')",14.0,0.0011417387049420975,"('didnt', 'even', 'get')",4,0.0003262376641383248
8,"('didnt',)",79.0,0.006442143031884531,"('chow', 'fun')",11.0,0.0008970804110259337,"('honey', 'walnut', 'shrimp')",4,0.0003262376641383248
9,"('chicken',)",78.0,0.006360596917556878,"('kung', 'pao')",11.0,0.0008970804110259337,"('give', 'negative', 'stars')",3,0.00024467824810374357
10,"('get',)",78.0,0.006360596917556878,"('mongolian', 'beef')",11.0,0.0008970804110259337,"('salt', 'pepper', 'calamari')",3,0.00024467824810374357
11,"('can',)",74.0,0.006034412460246269,"('sweet', 'sour')",9.0,0.0007339748817484913,"('chicken', 'lettuce', 'wraps')",3,0.00024467824810374357
12,"('back',)",70.0,0.0057082280029356605,"('customer', 'service')",9.0,0.0007339748817484913,"('rice', 'fried', 'rice')",3,0.00024467824810374357
