,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('best',)",76.0,0.013664149586479683,"('st', 'pete')",18.0,0.0032368279086495235,"('tampa', 'bay', 'area')",7,0.0012589928057553956
1,"('experience',)",74.0,0.013304566702624955,"('tampa', 'bay')",17.0,0.003057004135946772,"('worth', 'every', 'penny')",5,0.0008992805755395684
2,"('omakase',)",68.0,0.01222581805106077,"('highly', 'recommend')",14.0,0.002517532817838518,"('cant', 'wait', 'go')",4,0.0007194244604316547
3,"('fish',)",64.0,0.011506652283351312,"('sake', 'pairing')",14.0,0.002517532817838518,"('tuna', 'hand', 'roll')",4,0.0007194244604316547
4,"('sake',)",50.0,0.008989572096368213,"('tasting', 'menu')",13.0,0.002337709045135767,"('sure', 'make', 'reservation')",4,0.0007194244604316547
5,"('restaurant',)",45.0,0.008090614886731391,"('soy', 'sauce')",12.0,0.002157885272433016,"('spicy', 'tuna', 'hand')",4,0.0007194244604316547
6,"('good',)",45.0,0.008090614886731391,"('dining', 'experience')",11.0,0.0019780614997302643,"('150', 'per', 'person')",3,0.000539568345323741
7,"('amazing',)",38.0,0.0068320747932398415,"('make', 'reservation')",11.0,0.0019780614997302643,"('wait', 'go', 'back')",3,0.000539568345323741
8,"('chef',)",37.0,0.0066522833513124775,"('bay', 'area')",10.0,0.0017982377270275131,"('order', 'la', 'carte')",3,0.000539568345323741
9,"('ive',)",33.0,0.005933117583603021,"('best', 'ever')",9.0,0.0016184139543247618,"('restaurant', 'tampa', 'bay')",3,0.000539568345323741
10,"('fresh',)",31.0,0.005573534699748292,"('omakase', 'experience')",9.0,0.0016184139543247618,"('sake', 'pairing', 'also')",2,0.00035971223021582735
11,"('also',)",31.0,0.005573534699748292,"('ive', 'ever')",8.0,0.0014385901816220104,"('love', 'sure', 'make')",2,0.00035971223021582735
12,"('sho',)",31.0,0.005573534699748292,"('nigiri', 'omakase')",8.0,0.0014385901816220104,"('love', 'love', 'sure')",2,0.00035971223021582735
13,"('service',)",31.0,0.005573534699748292,"('per', 'person')",7.0,0.001258766408919259,"('aged', 'soy', 'sauce')",2,0.00035971223021582735
14,"('menu',)",30.0,0.005393743257820928,"('cant', 'wait')",7.0,0.001258766408919259,"('love', 'love', 'love')",2,0.00035971223021582735
15,"('will',)",28.0,0.005034160373966199,"('best', 'ive')",7.0,0.001258766408919259,"('pairing', 'love', 'love')",2,0.00035971223021582735
16,"('really',)",28.0,0.005034160373966199,"('ive', 'never')",7.0,0.001258766408919259,"('ive', 'omakase', 'experiences')",2,0.00035971223021582735
17,"('can',)",27.0,0.0048543689320388345,"('sure', 'make')",6.0,0.001078942636216508,"('can', 'honestly', 'say')",2,0.00035971223021582735
18,"('make',)",27.0,0.0048543689320388345,"('monkfish', 'liver')",6.0,0.001078942636216508,"('addition', 'downtown', 'st')",2,0.00035971223021582735
19,"('tasting',)",27.0,0.0048543689320388345,"('la', 'carte')",6.0,0.001078942636216508,"('omakase', 'dining', 'experience')",2,0.00035971223021582735
20,"('like',)",27.0,0.0048543689320388345,"('hand', 'roll')",6.0,0.001078942636216508,"('downtown', 'st', 'pete')",2,0.00035971223021582735
21,"('great',)",27.0,0.0048543689320388345,"('absolutely', 'amazing')",6.0,0.001078942636216508,"('omakase', 'saki', 'pairing')",2,0.00035971223021582735
22,"('nigiri',)",27.0,0.0048543689320388345,"('hands', 'best')",5.0,0.0008991188635137566,"('dining', 'experience', 'fish')",2,0.00035971223021582735
23,"('quality',)",25.0,0.004494786048184107,"('make', 'reservations')",5.0,0.0008991188635137566,"('menu', 'either', '80')",2,0.00035971223021582735
24,"('get',)",25.0,0.004494786048184107,"('youre', 'looking')",5.0,0.0008991188635137566,"('either', '80', '150')",2,0.00035971223021582735
25,"('time',)",24.0,0.004314994606256742,"('chef', 'rexley')",5.0,0.0008991188635137566,"('fresh', 'melted', 'mouth')",2,0.00035971223021582735
26,"('everything',)",24.0,0.004314994606256742,"('come', 'back')",5.0,0.0008991188635137566,"('meaning', 'chefs', 'choice')",2,0.00035971223021582735
27,"('tampa',)",24.0,0.004314994606256742,"('piece', 'fish')",5.0,0.0008991188635137566,"('can', 'order', 'la')",2,0.00035971223021582735
28,"('ever',)",24.0,0.004314994606256742,"('sake', 'pairings')",5.0,0.0008991188635137566,"('dishes', 'first', 'time')",2,0.00035971223021582735
29,"('reservation',)",24.0,0.004314994606256742,"('go', 'back')",5.0,0.0008991188635137566,"('wasabi', 'paste', 'get')",2,0.00035971223021582735
30,"('back',)",24.0,0.004314994606256742,"('every', 'penny')",5.0,0.0008991188635137566,"('best', 'tampa', 'bay')",2,0.00035971223021582735
31,"('area',)",23.0,0.004135203164329378,"('worth', 'every')",5.0,0.0008991188635137566,"('will', 'definitely', 'back')",2,0.00035971223021582735
32,"('dont',)",23.0,0.004135203164329378,"('fish', 'fresh')",5.0,0.0008991188635137566,"('four', 'stars', 'instead')",2,0.00035971223021582735
33,"('go',)",23.0,0.004135203164329378,"('top', 'notch')",4.0,0.0007192950908110052,"('80', 'nigiri', 'omakase')",2,0.00035971223021582735
34,"('recommend',)",22.0,0.003955411722402014,"('really', 'good')",4.0,0.0007192950908110052,"('saki', 'pairing', 'love')",2,0.00035971223021582735
