,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('good',)",538.0,0.01457204767063922,"('can', 'eat')",326.0,0.008830141661475121,"('quail', 'egg', 'shooters')",30,0.0008126117341134406
1,"('can',)",488.0,0.013217768147345613,"('quail', 'egg')",66.0,0.0017876973915869876,"('quail', 'egg', 'shooter')",16,0.00043339292486050166
2,"('eat',)",465.0,0.012594799566630552,"('come', 'back')",52.0,0.0014084888539776267,"('can', 'eat', 'lunch')",15,0.0004063058670567203
3,"('great',)",407.0,0.011023835319609968,"('sit', 'bar')",45.0,0.0012188845851729463,"('definitely', 'come', 'back')",13,0.0003521317514491576
4,"('reno',)",379.0,0.010265438786565547,"('hand', 'roll')",44.0,0.0011917982610579918,"('will', 'definitely', 'back')",12,0.00032504469364537625
5,"('roll',)",308.0,0.008342361863488624,"('really', 'good')",44.0,0.0011917982610579918,"('got', 'can', 'eat')",12,0.00032504469364537625
6,"('pier',)",281.0,0.007611050920910076,"('sat', 'bar')",37.0,0.0010021939922533114,"('back', 'next', 'time')",11,0.0002979576358415949
7,"('service',)",276.0,0.007475622968580715,"('pretty', 'good')",37.0,0.0010021939922533114,"('will', 'coming', 'back')",11,0.0002979576358415949
8,"('time',)",258.0,0.006988082340195016,"('fish', 'fresh')",36.0,0.0009751076681383569,"('good', 'can', 'eat')",11,0.0002979576358415949
9,"('fresh',)",241.0,0.0065276273022751895,"('great', 'service')",35.0,0.0009480213440234026,"('salmon', 'skin', 'hand')",10,0.0002708705780378135
10,"('get',)",239.0,0.0064734561213434455,"('egg', 'shooters')",33.0,0.0008938486957934938,"('can', 'eat', 'dinner')",10,0.0002708705780378135
11,"('go',)",231.0,0.006256771397616468,"('first', 'time')",33.0,0.0008938486957934938,"('can', 'eat', 'deal')",10,0.0002708705780378135
12,"('like',)",227.0,0.006148429035752979,"('next', 'time')",33.0,0.0008938486957934938,"('can', 'eat', 'option')",9,0.00024378352023403217
13,"('bar',)",212.0,0.005742145178764897,"('salmon', 'skin')",30.0,0.0008125897234486308,"('can', 'eat', 'places')",9,0.00024378352023403217
14,"('order',)",210.0,0.005687973997833153,"('good', 'service')",28.0,0.000758417075218722,"('get', 'can', 'eat')",9,0.00024378352023403217
15,"('us',)",206.0,0.005579631635969664,"('bay', 'area')",28.0,0.000758417075218722,"('time', 'im', 'reno')",9,0.00024378352023403217
16,"('ayce',)",205.0,0.005552546045503792,"('coming', 'back')",28.0,0.000758417075218722,"('can', 'eat', 'menu')",9,0.00024378352023403217
17,"('best',)",203.0,0.005498374864572048,"('miso', 'soup')",27.0,0.0007313307511037677,"('best', 'can', 'eat')",8,0.00021669646243025083
18,"('really',)",202.0,0.005471289274106175,"('happy', 'ending')",26.0,0.0007042444269888134,"('scallop', 'hand', 'roll')",8,0.00021669646243025083
19,"('back',)",198.0,0.005362946912242687,"('every', 'time')",26.0,0.0007042444269888134,"('next', 'time', 'im')",8,0.00021669646243025083
20,"('fish',)",190.0,0.0051462621885157095,"('upside', 'shrimp')",26.0,0.0007042444269888134,"('happy', 'ending', 'dessert')",8,0.00021669646243025083
21,"('always',)",189.0,0.0051191765980498375,"('service', 'great')",25.0,0.000677158102873859,"('definitely', 'coming', 'back')",7,0.00018960940462646946
22,"('nigiri',)",179.0,0.004848320693391116,"('can', 'get')",25.0,0.000677158102873859,"('price', 'can', 'eat')",7,0.00018960940462646946
23,"('will',)",174.0,0.004712892741061755,"('will', 'definitely')",25.0,0.000677158102873859,"('miso', 'soup', 'salad')",7,0.00018960940462646946
24,"('lunch',)",172.0,0.004658721560130011,"('make', 'sure')",24.0,0.0006500717787589046,"('next', 'time', 'reno')",6,0.00016252234682268812
25,"('try',)",171.0,0.004631635969664138,"('go', 'back')",22.0,0.0005958991305289959,"('fish', 'rice', 'ratio')",6,0.00016252234682268812
26,"('menu',)",167.0,0.00452329360780065,"('sitting', 'bar')",21.0,0.0005688128064140416,"('sit', 'bar', 'chefs')",6,0.00016252234682268812
27,"('come',)",158.0,0.004279523293607801,"('pier', '2')",21.0,0.0005688128064140416,"('can', 'eat', 'reno')",6,0.00016252234682268812
28,"('dinner',)",156.0,0.004225352112676056,"('fresh', 'fish')",19.0,0.0005146401581841328,"('great', 'can', 'eat')",6,0.00016252234682268812
29,"('ordered',)",150.0,0.004062838569880823,"('egg', 'shooter')",18.0,0.00048755383406917847,"('will', 'come', 'back')",6,0.00016252234682268812
30,"('friendly',)",149.0,0.004035752979414951,"('seared', 'tuna')",18.0,0.00048755383406917847,"('rock', 'n', 'roll')",6,0.00016252234682268812
31,"('also',)",141.0,0.003819068255687974,"('spicy', 'tuna')",18.0,0.00048755383406917847,"('make', 'something', 'special')",6,0.00016252234682268812
32,"('hand',)",140.0,0.003791982665222102,"('best', 'reno')",17.0,0.00046046750995422413,"('will', 'definitely', 'come')",6,0.00016252234682268812
33,"('definitely',)",140.0,0.003791982665222102,"('4', 'stars')",17.0,0.00046046750995422413,"('lunch', 'can', 'eat')",6,0.00016252234682268812
34,"('chef',)",132.0,0.0035752979414951248,"('friendly', 'staff')",17.0,0.00046046750995422413,"('cant', 'go', 'wrong')",6,0.00016252234682268812
35,"('got',)",132.0,0.0035752979414951248,"('can', 'order')",17.0,0.00046046750995422413,"('tea', 'ice', 'cream')",6,0.00016252234682268812
36,"('dont',)",130.0,0.0035211267605633804,"('back', 'next')",17.0,0.00046046750995422413,"('green', 'tea', 'ice')",6,0.00016252234682268812
37,"('wait',)",128.0,0.003466955579631636,"('lunch', 'dinner')",17.0,0.00046046750995422413,"('fish', 'always', 'fresh')",6,0.00016252234682268812
38,"('im',)",128.0,0.003466955579631636,"('will', 'back')",17.0,0.00046046750995422413,"('time', 'visit', 'reno')",5,0.00013543528901890676
39,"('chefs',)",127.0,0.003439869989165764,"('im', 'reno')",16.0,0.00043338118583926974,"('tempura', 'stuffed', 'calamari')",5,0.00013543528901890676
40,"('even',)",126.0,0.0034127843986998915,"('even', 'though')",16.0,0.00043338118583926974,"('decided', 'give', 'try')",5,0.00013543528901890676
41,"('made',)",125.0,0.0033856988082340196,"('definitely', 'come')",16.0,0.00043338118583926974,"('skin', 'hand', 'roll')",5,0.00013543528901890676
42,"('love',)",124.0,0.003358613217768147,"('customer', 'service')",16.0,0.00043338118583926974,"('fish', 'fresh', 'tasty')",5,0.00013543528901890676
43,"('came',)",123.0,0.003331527627302275,"('pier', '1')",16.0,0.00043338118583926974,"('coming', 'back', 'next')",5,0.00013543528901890676
44,"('pretty',)",123.0,0.003331527627302275,"('definitely', 'back')",15.0,0.0004062948617243154,"('u', 'can', 'eat')",5,0.00013543528901890676
45,"('make',)",120.0,0.0032502708559046588,"('5', 'stars')",15.0,0.0004062948617243154,"('can', 'eat', 'price')",5,0.00013543528901890676
46,"('restaurant',)",119.0,0.0032231852654387868,"('highly', 'recommend')",15.0,0.0004062948617243154,"('san', 'francisco', 'roll')",5,0.00013543528901890676
47,"('little',)",117.0,0.0031690140845070424,"('made', 'order')",15.0,0.0004062948617243154,"('im', 'big', 'fan')",5,0.00013543528901890676
48,"('favorite',)",116.0,0.00314192849404117,"('ice', 'cream')",15.0,0.0004062948617243154,"('can', 'eat', 'good')",5,0.00013543528901890676
49,"('first',)",115.0,0.003114842903575298,"('staff', 'friendly')",15.0,0.0004062948617243154,"('good', 'quail', 'egg')",5,0.00013543528901890676
50,"('rice',)",108.0,0.0029252437703141928,"('moneys', 'worth')",15.0,0.0004062948617243154,"('salmon', 'skin', 'roll')",5,0.00013543528901890676
51,"('quality',)",107.0,0.0028981581798483208,"('eat', 'lunch')",15.0,0.0004062948617243154,"('pay', 'dinner', 'price')",5,0.00013543528901890676
52,"('everything',)",106.0,0.0028710725893824483,"('right', 'away')",15.0,0.0004062948617243154,"('didnt', 'even', 'order')",5,0.00013543528901890676
53,"('staff',)",106.0,0.0028710725893824483,"('fresh', 'tasty')",15.0,0.0004062948617243154,"('come', 'back', 'reno')",5,0.00013543528901890676
54,"('much',)",105.0,0.0028439869989165764,"('go', 'wrong')",14.0,0.000379208537609361,"('didnt', 'care', 'much')",5,0.00013543528901890676
55,"('price',)",105.0,0.0028439869989165764,"('dinner', 'menu')",14.0,0.000379208537609361,"('get', 'moneys', 'worth')",5,0.00013543528901890676
56,"('delicious',)",104.0,0.0028169014084507044,"('fresh', 'delicious')",14.0,0.000379208537609361,"('raw', 'quail', 'egg')",5,0.00013543528901890676
57,"('salmon',)",99.0,0.0026814734561213436,"('service', 'good')",13.0,0.0003521222134944067,"('sat', 'bar', 'chef')",5,0.00013543528901890676
58,"('nice',)",99.0,0.0026814734561213436,"('cant', 'beat')",13.0,0.0003521222134944067,"('two', 'people', 'time')",4,0.00010834823121512542
59,"('went',)",98.0,0.002654387865655471,"('crystal', 'shrimp')",13.0,0.0003521222134944067,"('miso', 'soup', 'hot')",4,0.00010834823121512542
60,"('amazing',)",97.0,0.002627302275189599,"('trip', 'reno')",13.0,0.0003521222134944067,"('pricechicken', 'plenty', 'nicely')",4,0.00010834823121512542
61,"('since',)",97.0,0.002627302275189599,"('ayce', 'lunch')",13.0,0.0003521222134944067,"('good', 'pricechicken', 'plenty')",4,0.00010834823121512542
62,"('long',)",97.0,0.002627302275189599,"('strip', 'mall')",13.0,0.0003521222134944067,"('really', 'good', 'pricechicken')",4,0.00010834823121512542
63,"('didnt',)",96.0,0.002600216684723727,"('fried', 'banana')",13.0,0.0003521222134944067,"('meal', 'really', 'good')",4,0.00010834823121512542
64,"('2',)",96.0,0.002600216684723727,"('raw', 'fish')",13.0,0.0003521222134944067,"('flavor', 'meal', 'really')",4,0.00010834823121512542
65,"('never',)",94.0,0.0025460455037919828,"('best', 'ive')",13.0,0.0003521222134944067,"('miso', 'flavor', 'meal')",4,0.00010834823121512542
66,"('ive',)",92.0,0.0024918743228602384,"('good', 'can')",13.0,0.0003521222134944067,"('amount', 'tofu', 'miso')",4,0.00010834823121512542
67,"('small',)",92.0,0.0024918743228602384,"('titan', 'roll')",13.0,0.0003521222134944067,"('right', 'amount', 'tofu')",4,0.00010834823121512542
68,"('worth',)",90.0,0.002437703141928494,"('visit', 'reno')",13.0,0.0003521222134944067,"('hot', 'right', 'amount')",4,0.00010834823121512542
69,"('places',)",88.0,0.0023835319609967496,"('super', 'friendly')",13.0,0.0003521222134944067,"('soup', 'hot', 'right')",4,0.00010834823121512542
70,"('right',)",84.0,0.002275189599133261,"('unagi', 'sauce')",13.0,0.0003521222134944067,"('got', 'moneys', 'worth')",4,0.00010834823121512542
71,"('well',)",83.0,0.0022481040086673888,"('will', 'coming')",12.0,0.0003250358893794523,"('allows', 'two', 'people')",4,0.00010834823121512542
72,"('appetizers',)",82.0,0.0022210184182015168,"('go', 'pier')",12.0,0.0003250358893794523,"('tipthe', 'miso', 'soup')",4,0.00010834823121512542
73,"('egg',)",82.0,0.0022210184182015168,"('time', 'im')",12.0,0.0003250358893794523,"('people', 'time', 'orders')",4,0.00010834823121512542
74,"('cant',)",82.0,0.0022210184182015168,"('wait', 'staff')",12.0,0.0003250358893794523,"('500', 'tipthe', 'miso')",4,0.00010834823121512542
75,"('people',)",81.0,0.002193932827735645,"('quality', 'fish')",12.0,0.0003250358893794523,"('come', 'back', 'next')",4,0.00010834823121512542
76,"('awesome',)",79.0,0.0021397616468039004,"('got', 'can')",12.0,0.0003250358893794523,"('nicely', 'prepared', 'without')",4,0.00010834823121512542
77,"('lot',)",78.0,0.002112676056338028,"('seated', 'bar')",12.0,0.0003250358893794523,"('39', '500', 'tipthe')",4,0.00010834823121512542
78,"('sure',)",78.0,0.002112676056338028,"('mountain', 'roll')",12.0,0.0003250358893794523,"('came', '39', '500')",4,0.00010834823121512542
79,"('next',)",78.0,0.002112676056338028,"('mickey', 'donald')",12.0,0.0003250358893794523,"('meal', 'came', '39')",4,0.00010834823121512542
