,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('great',)",31.0,0.014846743295019157,"('pool', 'tables')",6.0,0.0028749401054144704,"('hyde', 'park', 'cafe')",3,0.0014381591562799617
1,"('good',)",28.0,0.013409961685823755,"('hyde', 'park')",6.0,0.0028749401054144704,"('go', 'early', 'enough')",2,0.0009587727708533077
2,"('really',)",27.0,0.01293103448275862,"('really', 'good')",6.0,0.0028749401054144704,"('pretty', 'much', 'always')",2,0.0009587727708533077
3,"('bar',)",27.0,0.01293103448275862,"('south', 'tampa')",5.0,0.0023957834211787254,"('rack', 'pretty', 'much')",2,0.0009587727708533077
4,"('rack',)",23.0,0.011015325670498084,"('ive', 'never')",4.0,0.0019166267369429804,"('pool', 'hall', 'bar')",2,0.0009587727708533077
5,"('like',)",22.0,0.01053639846743295,"('can', 'get')",4.0,0.0019166267369429804,"('saturday', 'night', 'ladies')",2,0.0009587727708533077
6,"('roll',)",20.0,0.009578544061302681,"('pool', 'hall')",4.0,0.0019166267369429804,"('good', 'like', 'rack')",2,0.0009587727708533077
7,"('night',)",18.0,0.008620689655172414,"('rack', 'pretty')",3.0,0.0014374700527072352,"('told', 'awesome', 'im')",1,0.00047938638542665386
8,"('pool',)",18.0,0.008620689655172414,"('shoot', 'pool')",3.0,0.0014374700527072352,"('waitresses', 'cute', 'fine')",1,0.00047938638542665386
9,"('menu',)",17.0,0.008141762452107279,"('pretty', 'much')",3.0,0.0014374700527072352,"('absurdly', 'overstaffed', 'waitresses')",1,0.00047938638542665386
10,"('get',)",17.0,0.008141762452107279,"('bar', 'great')",3.0,0.0014374700527072352,"('overstaffed', 'waitresses', 'cute')",1,0.00047938638542665386
11,"('time',)",16.0,0.007662835249042145,"('across', 'street')",3.0,0.0014374700527072352,"('fine', 'mei', 'recommend')",1,0.00047938638542665386
12,"('pretty',)",14.0,0.006704980842911878,"('saturday', 'night')",3.0,0.0014374700527072352,"('cute', 'fine', 'mei')",1,0.00047938638542665386
13,"('people',)",14.0,0.006704980842911878,"('park', 'cafe')",3.0,0.0014374700527072352,"('brandon', 'fyi', 'absurdly')",1,0.00047938638542665386
14,"('can',)",13.0,0.006226053639846743,"('much', 'always')",2.0,0.0009583133684714902,"('mei', 'recommend', 'options')",1,0.00047938638542665386
15,"('tables',)",12.0,0.005747126436781609,"('area', 'can')",2.0,0.0009583133684714902,"('recommend', 'options', 'ive')",1,0.00047938638542665386
16,"('go',)",12.0,0.005747126436781609,"('thats', 'kind')",2.0,0.0009583133684714902,"('options', 'ive', 'never')",1,0.00047938638542665386
17,"('even',)",12.0,0.005747126436781609,"('can', 'easily')",2.0,0.0009583133684714902,"('fyi', 'absurdly', 'overstaffed')",1,0.00047938638542665386
18,"('drinks',)",11.0,0.005268199233716475,"('times', 'ive')",2.0,0.0009583133684714902,"('location', 'brandon', 'fyi')",1,0.00047938638542665386
19,"('friends',)",11.0,0.005268199233716475,"('bomber', 'roll')",2.0,0.0009583133684714902,"('never', 'something', 'didnt')",1,0.00047938638542665386
20,"('im',)",10.0,0.004789272030651341,"('hall', 'bar')",2.0,0.0009583133684714902,"('new', 'location', 'brandon')",1,0.00047938638542665386
21,"('always',)",9.0,0.004310344827586207,"('night', 'ladies')",2.0,0.0009583133684714902,"('going', 'new', 'location')",1,0.00047938638542665386
22,"('ive',)",9.0,0.004310344827586207,"('dont', 'know')",2.0,0.0009583133684714902,"('ive', 'going', 'new')",1,0.00047938638542665386
23,"('tampa',)",9.0,0.004310344827586207,"('early', 'enough')",2.0,0.0009583133684714902,"('enjoy', 'ive', 'going')",1,0.00047938638542665386
24,"('little',)",9.0,0.004310344827586207,"('seems', 'little')",2.0,0.0009583133684714902,"('certainly', 'enjoy', 'ive')",1,0.00047938638542665386
25,"('much',)",9.0,0.004310344827586207,"('hawaii', '50')",2.0,0.0009583133684714902,"('will', 'certainly', 'enjoy')",1,0.00047938638542665386
26,"('fresh',)",9.0,0.004310344827586207,"('best', 'thing')",2.0,0.0009583133684714902,"('adventure', 'will', 'certainly')",1,0.00047938638542665386
27,"('will',)",8.0,0.0038314176245210726,"('really', 'great')",2.0,0.0009583133684714902,"('menu', 'adventure', 'will')",1,0.00047938638542665386
28,"('crowd',)",8.0,0.0038314176245210726,"('cool', 'hang')",2.0,0.0009583133684714902,"('everything', 'menu', 'adventure')",1,0.00047938638542665386
29,"('want',)",8.0,0.0038314176245210726,"('like', 'rack')",2.0,0.0009583133684714902,"('try', 'everything', 'menu')",1,0.00047938638542665386
30,"('also',)",8.0,0.0038314176245210726,"('good', 'like')",2.0,0.0009583133684714902,"('time', 'try', 'everything')",1,0.00047938638542665386
31,"('nice',)",8.0,0.0038314176245210726,"('first', 'time')",2.0,0.0009583133684714902,"('take', 'time', 'try')",1,0.00047938638542665386
32,"('chill',)",8.0,0.0038314176245210726,"('beer', 'selection')",2.0,0.0009583133684714902,"('will', 'take', 'time')",1,0.00047938638542665386
33,"('hyde',)",7.0,0.003352490421455939,"('spicy', 'mayo')",2.0,0.0009583133684714902,"('ive', 'never', 'something')",1,0.00047938638542665386
34,"('especially',)",7.0,0.003352490421455939,"('friends', 'wanted')",2.0,0.0009583133684714902,"('didnt', 'enjoy', 'typically')",1,0.00047938638542665386
35,"('parking',)",7.0,0.003352490421455939,"('sauce', 'spicy')",2.0,0.0009583133684714902,"('something', 'didnt', 'enjoy')",1,0.00047938638542665386
36,"('dont',)",7.0,0.003352490421455939,"('eel', 'sauce')",2.0,0.0009583133684714902,"('great', 'optionsit', 'will')",1,0.00047938638542665386
37,"('never',)",7.0,0.003352490421455939,"('caterpillar', 'roll')",2.0,0.0009583133684714902,"('everywhere', 'go', 'soho')",1,0.00047938638542665386
38,"('make',)",7.0,0.003352490421455939,"('happy', 'hour')",2.0,0.0009583133684714902,"('almost', 'everywhere', 'go')",1,0.00047938638542665386
39,"('usually',)",7.0,0.003352490421455939,"('seems', 'like')",2.0,0.0009583133684714902,"('drinkers', 'almost', 'everywhere')",1,0.00047938638542665386
40,"('soho',)",7.0,0.003352490421455939,"('volcano', 'roll')",2.0,0.0009583133684714902,"('top', 'drinkers', 'almost')",1,0.00047938638542665386
41,"('nights',)",7.0,0.003352490421455939,"('get', 'table')",2.0,0.0009583133684714902,"('will', 'top', 'drinkers')",1,0.00047938638542665386
