,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('great',)",8.0,0.025157232704402517,"('friendly', 'staff')",2,0.006309148264984227,"('amazing', 'quality', 'great')",1,0.0031645569620253164
1,"('ordered',)",7.0,0.0220125786163522,"('amazing', 'quality')",1,0.0031545741324921135,"('first', 'time', 'delicious')",1,0.0031645569620253164
2,"('try',)",5.0,0.015723270440251572,"('reasonable', 'prices')",1,0.0031545741324921135,"('shrimp', 'crispy', 'perfectly')",1,0.0031645569620253164
3,"('excellent',)",4.0,0.012578616352201259,"('crispy', 'perfectly')",1,0.0031545741324921135,"('tsos', 'shrimp', 'crispy')",1,0.0031645569620253164
4,"('delivery',)",4.0,0.012578616352201259,"('shrimp', 'crispy')",1,0.0031545741324921135,"('general', 'tsos', 'shrimp')",1,0.0031645569620253164
5,"('friendly',)",4.0,0.012578616352201259,"('tsos', 'shrimp')",1,0.0031545741324921135,"('ordered', 'general', 'tsos')",1,0.0031645569620253164
6,"('restaurant',)",4.0,0.012578616352201259,"('general', 'tsos')",1,0.0031545741324921135,"('special', 'ordered', 'general')",1,0.0031645569620253164
7,"('chinese',)",4.0,0.012578616352201259,"('ordered', 'general')",1,0.0031545741324921135,"('delicious', 'special', 'ordered')",1,0.0031645569620253164
8,"('take',)",3.0,0.009433962264150943,"('special', 'ordered')",1,0.0031545741324921135,"('time', 'delicious', 'special')",1,0.0031645569620253164
9,"('nice',)",3.0,0.009433962264150943,"('delicious', 'special')",1,0.0031545741324921135,"('ordered', 'first', 'time')",1,0.0031645569620253164
10,"('woodbury',)",3.0,0.009433962264150943,"('time', 'delicious')",1,0.0031545741324921135,"('perfectly', 'cooked', 'lots')",1,0.0031645569620253164
11,"('get',)",3.0,0.009433962264150943,"('first', 'time')",1,0.0031545741324921135,"('tasty', 'ordered', 'first')",1,0.0031645569620253164
12,"('new',)",3.0,0.009433962264150943,"('ordered', 'first')",1,0.0031545741324921135,"('meaty', 'tasty', 'ordered')",1,0.0031645569620253164
13,"('shrimp',)",3.0,0.009433962264150943,"('tasty', 'ordered')",1,0.0031545741324921135,"('area', 'meaty', 'tasty')",1,0.0031645569620253164
14,"('tried',)",3.0,0.009433962264150943,"('meaty', 'tasty')",1,0.0031545741324921135,"('best', 'area', 'meaty')",1,0.0031645569620253164
15,"('quick',)",2.0,0.006289308176100629,"('area', 'meaty')",1,0.0031545741324921135,"('ribs', 'best', 'area')",1,0.0031645569620253164
16,"('cooked',)",2.0,0.006289308176100629,"('best', 'area')",1,0.0031545741324921135,"('bonein', 'ribs', 'best')",1,0.0031645569620253164
17,"('recommend',)",2.0,0.006289308176100629,"('ribs', 'best')",1,0.0031545741324921135,"('prices', 'bonein', 'ribs')",1,0.0031645569620253164
18,"('sushisashimi',)",2.0,0.006289308176100629,"('bonein', 'ribs')",1,0.0031545741324921135,"('crispy', 'perfectly', 'cooked')",1,0.0031645569620253164
19,"('right',)",2.0,0.006289308176100629,"('perfectly', 'cooked')",1,0.0031545741324921135,"('cooked', 'lots', 'yummy')",1,0.0031645569620253164
20,"('crispy',)",2.0,0.006289308176100629,"('cooked', 'lots')",1,0.0031545741324921135,"('excellent', 'reasonable', 'prices')",1,0.0031645569620253164
21,"('nicely',)",2.0,0.006289308176100629,"('lots', 'yummy')",1,0.0031545741324921135,"('making', 'think', 'enjoyed')",1,0.0031645569620253164
22,"('staff',)",2.0,0.006289308176100629,"('think', 'enjoyed')",1,0.0031545741324921135,"('sauceboth', 'egg', 'shrimp')",1,0.0031645569620253164
23,"('now',)",2.0,0.006289308176100629,"('egg', 'shrimp')",1,0.0031545741324921135,"('spicy', 'sauceboth', 'egg')",1,0.0031645569620253164
24,"('good',)",2.0,0.006289308176100629,"('sauceboth', 'egg')",1,0.0031545741324921135,"('onions', 'spicy', 'sauceboth')",1,0.0031645569620253164
25,"('order',)",2.0,0.006289308176100629,"('spicy', 'sauceboth')",1,0.0031545741324921135,"('peppers', 'onions', 'spicy')",1,0.0031645569620253164
26,"('area',)",2.0,0.006289308176100629,"('onions', 'spicy')",1,0.0031545741324921135,"('beef', 'peppers', 'onions')",1,0.0031645569620253164
27,"('beef',)",2.0,0.006289308176100629,"('peppers', 'onions')",1,0.0031545741324921135,"('enjoyed', 'beef', 'peppers')",1,0.0031645569620253164
28,"('wonton',)",2.0,0.006289308176100629,"('beef', 'peppers')",1,0.0031545741324921135,"('think', 'enjoyed', 'beef')",1,0.0031645569620253164
29,"('back',)",2.0,0.006289308176100629,"('enjoyed', 'beef')",1,0.0031545741324921135,"('plate', 'making', 'think')",1,0.0031645569620253164
30,"('thing',)",2.0,0.006289308176100629,"('making', 'think')",1,0.0031545741324921135,"('lots', 'yummy', 'brocolli')",1,0.0031645569620253164
31,"('hot',)",2.0,0.006289308176100629,"('yummy', 'brocolli')",1,0.0031545741324921135,"('face', 'plate', 'making')",1,0.0031645569620253164
32,"('got',)",2.0,0.006289308176100629,"('plate', 'making')",1,0.0031545741324921135,"('kept', 'face', 'plate')",1,0.0031645569620253164
33,"('menu',)",2.0,0.006289308176100629,"('face', 'plate')",1,0.0031545741324921135,"('beef', 'kept', 'face')",1,0.0031645569620253164
34,"('fresh',)",2.0,0.006289308176100629,"('kept', 'face')",1,0.0031545741324921135,"('szechuan', 'beef', 'kept')",1,0.0031645569620253164
35,"('even',)",2.0,0.006289308176100629,"('beef', 'kept')",1,0.0031545741324921135,"('husbands', 'szechuan', 'beef')",1,0.0031645569620253164
36,"('wish',)",2.0,0.006289308176100629,"('szechuan', 'beef')",1,0.0031545741324921135,"('brocolli', 'husbands', 'szechuan')",1,0.0031645569620253164
37,"('amazing',)",2.0,0.006289308176100629,"('husbands', 'szechuan')",1,0.0031545741324921135,"('yummy', 'brocolli', 'husbands')",1,0.0031645569620253164
38,"('people',)",2.0,0.006289308176100629,"('brocolli', 'husbands')",1,0.0031545741324921135,"('reasonable', 'prices', 'bonein')",1,0.0031645569620253164
39,"('well',)",2.0,0.006289308176100629,"('prices', 'bonein')",1,0.0031545741324921135,"('provide', 'excellent', 'reasonable')",1,0.0031645569620253164
40,"('time',)",2.0,0.006289308176100629,"('excellent', 'reasonable')",1,0.0031545741324921135,"('quality', 'great', 'officially')",1,0.0031645569620253164
41,"('house',)",2.0,0.006289308176100629,"('rice', 'got')",1,0.0031545741324921135,"('ordered', 'via', 'yelp')",1,0.0031645569620253164
42,"('special',)",2.0,0.006289308176100629,"('yelp', 'love')",1,0.0031545741324921135,"('ill', 'try', 'post')",1,0.0031645569620253164
43,"('lo',)",2.0,0.006289308176100629,"('post', 'try')",1,0.0031545741324921135,"('option', 'ill', 'try')",1,0.0031645569620253164
44,"('pretty',)",2.0,0.006289308176100629,"('try', 'post')",1,0.0031545741324921135,"('ordering', 'option', 'ill')",1,0.0031645569620253164
45,"('better',)",2.0,0.006289308176100629,"('ill', 'try')",1,0.0031545741324921135,"('online', 'ordering', 'option')",1,0.0031645569620253164
46,"('much',)",2.0,0.006289308176100629,"('option', 'ill')",1,0.0031545741324921135,"('love', 'online', 'ordering')",1,0.0031645569620253164
47,"('ill',)",2.0,0.006289308176100629,"('ordering', 'option')",1,0.0031545741324921135,"('yelp', 'love', 'online')",1,0.0031645569620253164
48,"('online',)",2.0,0.006289308176100629,"('online', 'ordering')",1,0.0031545741324921135,"('via', 'yelp', 'love')",1,0.0031645569620253164
49,"('im',)",2.0,0.006289308176100629,"('love', 'online')",1,0.0031545741324921135,"('tho', 'ordered', 'via')",1,0.0031645569620253164
