,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('eat',)",42.0,0.011102299762093577,"('can', 'eat')",28.0,0.007403490216816499,"('will', 'never', 'go')",5,0.0013224014810896587
1,"('can',)",41.0,0.010837959291567539,"('will', 'never')",10.0,0.0026441036488630354,"('can', 'eat', 'deal')",3,0.0007934408886537953
2,"('order',)",33.0,0.008723235527359239,"('miso', 'soup')",9.0,0.002379693283976732,"('person', 'can', 'eat')",2,0.0005289605924358636
3,"('good',)",31.0,0.008194554586307164,"('customer', 'service')",5.0,0.0013220518244315177,"('can', 'eat', 'lunch')",2,0.0005289605924358636
4,"('like',)",31.0,0.008194554586307164,"('much', 'better')",5.0,0.0013220518244315177,"('roll', 'cream', 'cheese')",2,0.0005289605924358636
5,"('time',)",31.0,0.008194554586307164,"('told', 'us')",5.0,0.0013220518244315177,"('time', 'will', 'never')",2,0.0005289605924358636
6,"('service',)",31.0,0.008194554586307164,"('dont', 'know')",5.0,0.0013220518244315177,"('go', 'can', 'eat')",2,0.0005289605924358636
7,"('much',)",29.0,0.007665873645255088,"('cream', 'cheese')",5.0,0.0013220518244315177,"('never', 'go', 'back')",2,0.0005289605924358636
8,"('dont',)",29.0,0.007665873645255088,"('never', 'go')",5.0,0.0013220518244315177,"('went', 'sunday', 'lunch')",2,0.0005289605924358636
9,"('even',)",29.0,0.007665873645255088,"('told', 'waitress')",4.0,0.0010576414595452142,"('get', 'back', 'work')",2,0.0005289605924358636
10,"('will',)",28.0,0.007401533174729051,"('go', 'back')",4.0,0.0010576414595452142,"('say', 'can', 'eat')",2,0.0005289605924358636
11,"('never',)",27.0,0.007137192704203013,"('didnt', 'even')",4.0,0.0010576414595452142,"('lanterns', 'prep', 'area')",2,0.0005289605924358636
12,"('us',)",27.0,0.007137192704203013,"('cant', 'finish')",4.0,0.0010576414595452142,"('red', 'lanterns', 'prep')",2,0.0005289605924358636
13,"('go',)",26.0,0.006872852233676976,"('spicy', 'tuna')",4.0,0.0010576414595452142,"('st', 'louis', 'roll')",2,0.0005289605924358636
14,"('ordered',)",25.0,0.006608511763150938,"('even', 'though')",4.0,0.0010576414595452142,"('spicy', 'crab', 'roll')",2,0.0005289605924358636
15,"('get',)",25.0,0.006608511763150938,"('pretty', 'good')",4.0,0.0010576414595452142,"('much', 'cant', 'finish')",2,0.0005289605924358636
16,"('restaurant',)",23.0,0.006079830822098863,"('st', 'louis')",3.0,0.0007932310946589106,"('st', 'peters', 'location')",2,0.0005289605924358636
