,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('great',)",118.0,0.02219714070729872,"('86', 'west')",49.0,0.009219190968955786,"('great', 'dont', 'miss')",6,0.0011290929619872036
1,"('good',)",77.0,0.014484574868322046,"('happy', 'hour')",15.0,0.0028222013170272815,"('everyone', 'really', 'nice')",5,0.000940910801656003
2,"('86',)",64.0,0.012039127163280662,"('friday', 'night')",12.0,0.002257761053621825,"('bed', 'cauliflower', 'great')",5,0.000940910801656003
3,"('service',)",56.0,0.010534236267870579,"('highly', 'recommend')",9.0,0.0016933207902163688,"('scollops', 'size', 'small')",5,0.000940910801656003
4,"('west',)",53.0,0.0099699021820918,"('will', 'definitely')",9.0,0.0016933207902163688,"('size', 'small', 'filet')",5,0.000940910801656003
5,"('bar',)",50.0,0.009405568096313018,"('service', 'great')",9.0,0.0016933207902163688,"('filet', 'perfect', 'caramelized')",5,0.000940910801656003
6,"('back',)",46.0,0.008653122648607976,"('really', 'good')",8.0,0.0015051740357478834,"('perfect', 'caramelized', 'sear')",5,0.000940910801656003
7,"('night',)",43.0,0.008088788562829194,"('last', 'night')",8.0,0.0015051740357478834,"('caramelized', 'sear', 'also')",5,0.000940910801656003
8,"('time',)",40.0,0.007524454477050414,"('outdoor', 'seating')",8.0,0.0015051740357478834,"('sear', 'also', 'duck')",5,0.000940910801656003
9,"('really',)",36.0,0.006772009029345372,"('first', 'time')",7.0,0.001317027281279398,"('also', 'duck', 'served')",5,0.000940910801656003
10,"('best',)",35.0,0.006583897667419112,"('dont', 'miss')",7.0,0.001317027281279398,"('duck', 'served', 'bed')",5,0.000940910801656003
11,"('love',)",35.0,0.006583897667419112,"('bucks', 'county')",7.0,0.001317027281279398,"('served', 'bed', 'cauliflower')",5,0.000940910801656003
12,"('drinks',)",34.0,0.006395786305492852,"('cooked', 'perfectly')",7.0,0.001317027281279398,"('cauliflower', 'great', 'dont')",5,0.000940910801656003
13,"('nice',)",32.0,0.006019563581640331,"('go', 'back')",6.0,0.0011288805268109125,"('answer', 'sea', 'scollops')",5,0.000940910801656003
14,"('roll',)",30.0,0.0056433408577878106,"('pretty', 'good')",6.0,0.0011288805268109125,"('dont', 'miss', 'buffalo')",5,0.000940910801656003
15,"('well',)",29.0,0.00545522949586155,"('oyster', 'shooters')",6.0,0.0011288805268109125,"('miss', 'buffalo', 'shrimp')",5,0.000940910801656003
16,"('always',)",29.0,0.00545522949586155,"('godzilla', 'roll')",6.0,0.0011288805268109125,"('buffalo', 'shrimp', 'appetizer')",5,0.000940910801656003
17,"('will',)",29.0,0.00545522949586155,"('cauliflower', 'great')",6.0,0.0011288805268109125,"('shrimp', 'appetizer', 'everyone')",5,0.000940910801656003
18,"('restaurant',)",28.0,0.005267118133935289,"('prepared', 'perfectly')",6.0,0.0011288805268109125,"('appetizer', 'everyone', 'really')",5,0.000940910801656003
19,"('menu',)",28.0,0.005267118133935289,"('really', 'nice')",6.0,0.0011288805268109125,"('really', 'nice', 'best')",5,0.000940910801656003
20,"('doylestown',)",27.0,0.005079006772009029,"('great', 'dont')",6.0,0.0011288805268109125,"('nice', 'best', 'martinis')",5,0.000940910801656003
21,"('go',)",26.0,0.004890895410082769,"('mac', 'cheese')",6.0,0.0011288805268109125,"('best', 'martinis', 'bucks')",5,0.000940910801656003
22,"('us',)",25.0,0.004702784048156509,"('server', 'terrific')",6.0,0.0011288805268109125,"('martinis', 'bucks', 'county')",5,0.000940910801656003
23,"('friendly',)",25.0,0.004702784048156509,"('miss', 'buffalo')",5.0,0.0009407337723424271,"('sea', 'scollops', 'size')",5,0.000940910801656003
24,"('definitely',)",25.0,0.004702784048156509,"('buffalo', 'shrimp')",5.0,0.0009407337723424271,"('small', 'filet', 'perfect')",5,0.000940910801656003
25,"('awesome',)",24.0,0.004514672686230248,"('shrimp', 'appetizer')",5.0,0.0009407337723424271,"('perfectly', 'answer', 'sea')",5,0.000940910801656003
26,"('delicious',)",24.0,0.004514672686230248,"('appetizer', 'everyone')",5.0,0.0009407337723424271,"('terrific', 'well', 'want')",5,0.000940910801656003
27,"('atmosphere',)",23.0,0.004326561324303988,"('everyone', 'really')",5.0,0.0009407337723424271,"('prepared', 'perfectly', 'answer')",5,0.000940910801656003
28,"('also',)",23.0,0.004326561324303988,"('nice', 'best')",5.0,0.0009407337723424271,"('friday', 'night', 'shane')",5,0.000940910801656003
29,"('server',)",23.0,0.004326561324303988,"('best', 'martinis')",5.0,0.0009407337723424271,"('night', 'shane', 'server')",5,0.000940910801656003
30,"('get',)",23.0,0.004326561324303988,"('martinis', 'bucks')",5.0,0.0009407337723424271,"('shane', 'server', 'terrific')",5,0.000940910801656003
31,"('better',)",22.0,0.004138449962377728,"('outdoor', 'bar')",5.0,0.0009407337723424271,"('server', 'terrific', 'well')",5,0.000940910801656003
32,"('recommend',)",21.0,0.0039503386004514675,"('great', 'atmosphere')",5.0,0.0009407337723424271,"('86', 'friday', 'night')",5,0.000940910801656003
33,"('burger',)",21.0,0.0039503386004514675,"('friendly', 'attentive')",5.0,0.0009407337723424271,"('want', 'best', 'scollops')",5,0.000940910801656003
34,"('happy',)",20.0,0.003762227238525207,"('ive', 'ever')",5.0,0.0009407337723424271,"('best', 'scollops', 'prepared')",5,0.000940910801656003
35,"('staff',)",20.0,0.003762227238525207,"('great', 'server')",5.0,0.0009407337723424271,"('scollops', 'prepared', 'perfectly')",5,0.000940910801656003
36,"('dinner',)",20.0,0.003762227238525207,"('wait', 'staff')",5.0,0.0009407337723424271,"('well', 'want', 'best')",5,0.000940910801656003
37,"('area',)",20.0,0.003762227238525207,"('bar', 'area')",5.0,0.0009407337723424271,"('86', 'west', 'last')",4,0.0007527286413248024
38,"('outdoor',)",20.0,0.003762227238525207,"('flat', 'bread')",5.0,0.0009407337723424271,"('better', 'freshest', 'cooked')",3,0.0005645464809936018
39,"('even',)",20.0,0.003762227238525207,"('gluten', 'free')",5.0,0.0009407337723424271,"('dinner', '86', 'west')",3,0.0005645464809936018
40,"('experience',)",19.0,0.0035741158765989467,"('small', 'plates')",5.0,0.0009407337723424271,"('experience', '86', 'west')",3,0.0005645464809936018
