,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('service',)",20.0,0.012269938650306749,"('spicy', 'tuna')",4.0,0.0024554941682013503,"('spicy', 'tuna', 'roll')",3,0.0018427518427518428
1,"('us',)",16.0,0.0098159509202454,"('poor', 'service')",4.0,0.0024554941682013503,"('roll', 'spicy', 'tuna')",2,0.0012285012285012285
2,"('hibachi',)",13.0,0.007975460122699387,"('dont', 'know')",3.0,0.001841620626151013,"('past', '20', 'years')",2,0.0012285012285012285
3,"('roll',)",13.0,0.007975460122699387,"('told', 'didnt')",3.0,0.001841620626151013,"('didnt', 'enough', 'chicken')",1,0.0006142506142506142
4,"('really',)",12.0,0.007361963190184049,"('tuna', 'roll')",3.0,0.001841620626151013,"('woman', 'also', 'making')",1,0.0006142506142506142
5,"('tuna',)",12.0,0.007361963190184049,"('first', 'time')",3.0,0.001841620626151013,"('served', 'woman', 'also')",1,0.0006142506142506142
6,"('restaurant',)",12.0,0.007361963190184049,"('soy', 'sauce')",3.0,0.001841620626151013,"('plate', 'served', 'woman')",1,0.0006142506142506142
7,"('chicken',)",11.0,0.006748466257668712,"('ate', 'ginza')",2.0,0.0012277470841006752,"('boyfriends', 'plate', 'served')",1,0.0006142506142506142
8,"('im',)",11.0,0.006748466257668712,"('people', 'come')",2.0,0.0012277470841006752,"('took', 'boyfriends', 'plate')",1,0.0006142506142506142
9,"('good',)",11.0,0.006748466257668712,"('enough', 'chicken')",2.0,0.0012277470841006752,"('literally', 'took', 'boyfriends')",1,0.0006142506142506142
10,"('chef',)",10.0,0.006134969325153374,"('thousand', 'island')",2.0,0.0012277470841006752,"('us', 'literally', 'took')",1,0.0006142506142506142
11,"('come',)",10.0,0.006134969325153374,"('dragon', 'roll')",2.0,0.0012277470841006752,"('serving', 'us', 'literally')",1,0.0006142506142506142
12,"('wasnt',)",10.0,0.006134969325153374,"('togo', 'orders')",2.0,0.0012277470841006752,"('chicken', 'serving', 'us')",1,0.0006142506142506142
13,"('shrimp',)",10.0,0.006134969325153374,"('im', 'sitting')",2.0,0.0012277470841006752,"('enough', 'chicken', 'serving')",1,0.0006142506142506142
14,"('ordered',)",9.0,0.005521472392638037,"('hit', 'wonder')",2.0,0.0012277470841006752,"('realized', 'didnt', 'enough')",1,0.0006142506142506142
15,"('said',)",9.0,0.005521472392638037,"('new', 'management')",2.0,0.0012277470841006752,"('making', 'togo', 'orders')",1,0.0006142506142506142
16,"('salad',)",9.0,0.005521472392638037,"('chef', 'okay')",2.0,0.0012277470841006752,"('chicken', 'realized', 'didnt')",1,0.0006142506142506142
17,"('didnt',)",9.0,0.005521472392638037,"('soup', 'salad')",2.0,0.0012277470841006752,"('ordered', 'chicken', 'realized')",1,0.0006142506142506142
18,"('can',)",9.0,0.005521472392638037,"('18', 'fee')",2.0,0.0012277470841006752,"('chicken', 'ordered', 'chicken')",1,0.0006142506142506142
19,"('even',)",9.0,0.005521472392638037,"('bad', 'really')",2.0,0.0012277470841006752,"('steak', 'chicken', 'ordered')",1,0.0006142506142506142
20,"('ginza',)",9.0,0.005521472392638037,"('wasnt', 'even')",2.0,0.0012277470841006752,"('ordered', 'steak', 'chicken')",1,0.0006142506142506142
21,"('like',)",9.0,0.005521472392638037,"('sat', 'bar')",2.0,0.0012277470841006752,"('woman', 'ordered', 'steak')",1,0.0006142506142506142
22,"('sauce',)",8.0,0.0049079754601227,"('steak', 'chicken')",2.0,0.0012277470841006752,"('another', 'woman', 'ordered')",1,0.0006142506142506142
23,"('eat',)",8.0,0.0049079754601227,"('steak', 'shrimp')",2.0,0.0012277470841006752,"('end', 'another', 'woman')",1,0.0006142506142506142
