,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('back',)",18.0,0.012684989429175475,"('go', 'back')",4.0,0.0028208744710860366,"('shrimp', 'chicken', 'dish')",2,0.0014114326040931546
1,"('service',)",14.0,0.009866102889358703,"('going', 'back')",4.0,0.0028208744710860366,"('minutes', 'later', 'said')",2,0.0014114326040931546
2,"('two',)",12.0,0.008456659619450317,"('next', 'time')",3.0,0.0021156558533145277,"('hot', 'sour', 'soup')",2,0.0014114326040931546
3,"('basil',)",11.0,0.007751937984496124,"('wild', 'ginger')",3.0,0.0021156558533145277,"('couple', 'years', 'ago')",2,0.0014114326040931546
4,"('good',)",10.0,0.007047216349541931,"('years', 'ago')",3.0,0.0021156558533145277,"('back', 'basil', 'hope')",1,0.0007057163020465773
5,"('order',)",10.0,0.007047216349541931,"('sesame', 'oil')",3.0,0.0021156558533145277,"('go', 'back', 'basil')",1,0.0007057163020465773
6,"('time',)",10.0,0.007047216349541931,"('noodle', 'dish')",2.0,0.0014104372355430183,"('want', 'go', 'back')",1,0.0007057163020465773
7,"('go',)",10.0,0.007047216349541931,"('went', 'bar')",2.0,0.0014104372355430183,"('dont', 'want', 'go')",1,0.0007057163020465773
8,"('will',)",9.0,0.006342494714587738,"('california', 'roll')",2.0,0.0014104372355430183,"('constantly', 'dont', 'want')",1,0.0007057163020465773
9,"('dish',)",9.0,0.006342494714587738,"('minutes', 'later')",2.0,0.0014104372355430183,"('table', 'constantly', 'dont')",1,0.0007057163020465773
10,"('pretty',)",8.0,0.005637773079633545,"('chicken', 'dish')",2.0,0.0014104372355430183,"('reason', 'table', 'constantly')",1,0.0007057163020465773
11,"('going',)",8.0,0.005637773079633545,"('will', 'returning')",2.0,0.0014104372355430183,"('hospitable', 'reason', 'table')",1,0.0007057163020465773
12,"('restaurant',)",8.0,0.005637773079633545,"('shrimp', 'chicken')",2.0,0.0014104372355430183,"('hes', 'hospitable', 'reason')",1,0.0007057163020465773
13,"('get',)",8.0,0.005637773079633545,"('will', 'definitely')",2.0,0.0014104372355430183,"('hope', 'friends', 'dont')",1,0.0007057163020465773
14,"('much',)",8.0,0.005637773079633545,"('folks', 'waiting')",2.0,0.0014104372355430183,"('authoritybut', 'hes', 'hospitable')",1,0.0007057163020465773
15,"('table',)",7.0,0.004933051444679351,"('two', 'hostesses')",2.0,0.0014104372355430183,"('seems', 'authoritybut', 'hes')",1,0.0007057163020465773
16,"('im',)",7.0,0.004933051444679351,"('later', 'said')",2.0,0.0014104372355430183,"('lot', 'seems', 'authoritybut')",1,0.0007057163020465773
17,"('came',)",7.0,0.004933051444679351,"('get', 'two')",2.0,0.0014104372355430183,"('guy', 'lot', 'seems')",1,0.0007057163020465773
18,"('really',)",7.0,0.004933051444679351,"('long', 'time')",2.0,0.0014104372355430183,"('gone', 'guy', 'lot')",1,0.0007057163020465773
19,"('dont',)",7.0,0.004933051444679351,"('dinning', 'room')",2.0,0.0014104372355430183,"('wants', 'gone', 'guy')",1,0.0007057163020465773
20,"('chicken',)",7.0,0.004933051444679351,"('customer', 'service')",2.0,0.0014104372355430183,"('clearly', 'wants', 'gone')",1,0.0007057163020465773
21,"('crab',)",7.0,0.004933051444679351,"('server', 'polite')",2.0,0.0014104372355430183,"('guy', 'clearly', 'wants')",1,0.0007057163020465773
22,"('said',)",6.0,0.004228329809725159,"('pretty', 'bland')",2.0,0.0014104372355430183,"('helpfulother', 'guy', 'clearly')",1,0.0007057163020465773
23,"('3',)",6.0,0.004228329809725159,"('two', 'servers')",2.0,0.0014104372355430183,"('basil', 'hope', 'friends')",1,0.0007057163020465773
24,"('minutes',)",6.0,0.004228329809725159,"('appetizer', 'drink')",2.0,0.0014104372355430183,"('nothing', 'particularly', 'bad')",1,0.0007057163020465773
25,"('appetizer',)",6.0,0.004228329809725159,"('couple', 'years')",2.0,0.0014104372355430183,"('friends', 'dont', 'choose')",1,0.0007057163020465773
26,"('roll',)",6.0,0.004228329809725159,"('wanted', 'try')",2.0,0.0014104372355430183,"('stirfry', 'edamame', 'lacked')",1,0.0007057163020465773
27,"('soup',)",6.0,0.004228329809725159,"('hot', 'sour')",2.0,0.0014104372355430183,"('decore', 'quite', 'pleasant')",1,0.0007057163020465773
28,"('menu',)",6.0,0.004228329809725159,"('wont', 'back')",2.0,0.0014104372355430183,"('servers', 'decore', 'quite')",1,0.0007057163020465773
29,"('server',)",6.0,0.004228329809725159,"('sour', 'soup')",2.0,0.0014104372355430183,"('two', 'servers', 'decore')",1,0.0007057163020465773
30,"('take',)",6.0,0.004228329809725159,"('im', 'sorry')",2.0,0.0014104372355430183,"('friendly', 'two', 'servers')",1,0.0007057163020465773
31,"('took',)",6.0,0.004228329809725159,"('egg', 'thing')",2.0,0.0014104372355430183,"('service', 'friendly', 'two')",1,0.0007057163020465773
