,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('burrito',)",10.0,0.022779043280182234,"('first', 'time')",4.0,0.0091324200913242,"('first', 'tried', 'ny')",1,0.002288329519450801
1,"('good',)",9.0,0.02050113895216401,"('hai', 'street')",3.0,0.00684931506849315,"('roll', 'think', 'sushirito')",1,0.002288329519450801
2,"('first',)",7.0,0.015945330296127564,"('slammin', 'salmon')",3.0,0.00684931506849315,"('app', 'really', 'liked')",1,0.002288329519450801
3,"('time',)",6.0,0.01366742596810934,"('matcha', 'green')",2.0,0.0045662100456621,"('ritual', 'app', 'really')",1,0.002288329519450801
4,"('definitely',)",6.0,0.01366742596810934,"('eat', 'fish')",2.0,0.0045662100456621,"('discount', 'ritual', 'app')",1,0.002288329519450801
5,"('delicious',)",4.0,0.009111617312072893,"('best', 'part')",2.0,0.0045662100456621,"('time', 'discount', 'ritual')",1,0.002288329519450801
6,"('big',)",4.0,0.009111617312072893,"('ill', 'definitely')",2.0,0.0045662100456621,"('first', 'time', 'discount')",1,0.002288329519450801
7,"('location',)",3.0,0.00683371298405467,"('came', 'philly')",2.0,0.0045662100456621,"('tried', 'first', 'time')",1,0.002288329519450801
8,"('4',)",3.0,0.00683371298405467,"('poke', 'bowl')",2.0,0.0045662100456621,"('though', 'tried', 'first')",1,0.002288329519450801
9,"('portion',)",3.0,0.00683371298405467,"('god', 'bless')",2.0,0.0045662100456621,"('taste', 'though', 'tried')",1,0.002288329519450801
10,"('god',)",3.0,0.00683371298405467,"('reminds', 'chipotle')",1.0,0.00228310502283105,"('couldve', 'taste', 'though')",1,0.002288329519450801
11,"('fresh',)",3.0,0.00683371298405467,"('think', 'sushirito')",1.0,0.00228310502283105,"('sushirito', 'couldve', 'taste')",1,0.002288329519450801
12,"('truck',)",3.0,0.00683371298405467,"('app', 'really')",1.0,0.00228310502283105,"('think', 'sushirito', 'couldve')",1,0.002288329519450801
13,"('reason',)",3.0,0.00683371298405467,"('ritual', 'app')",1.0,0.00228310502283105,"('tempura', 'roll', 'think')",1,0.002288329519450801
14,"('try',)",3.0,0.00683371298405467,"('discount', 'ritual')",1.0,0.00228310502283105,"('portion', 'size', 'big')",1,0.002288329519450801
15,"('eat',)",3.0,0.00683371298405467,"('time', 'discount')",1.0,0.00228310502283105,"('shrimp', 'tempura', 'roll')",1,0.002288329519450801
16,"('get',)",3.0,0.00683371298405467,"('tried', 'first')",1.0,0.00228310502283105,"('pictured', 'shrimp', 'tempura')",1,0.002288329519450801
17,"('fish',)",3.0,0.00683371298405467,"('though', 'tried')",1.0,0.00228310502283105,"('chipotle', 'pictured', 'shrimp')",1,0.002288329519450801
18,"('tried',)",3.0,0.00683371298405467,"('taste', 'though')",1.0,0.00228310502283105,"('reminds', 'chipotle', 'pictured')",1,0.002288329519450801
19,"('bowl',)",3.0,0.00683371298405467,"('couldve', 'taste')",1.0,0.00228310502283105,"('kind', 'reminds', 'chipotle')",1,0.002288329519450801
20,"('came',)",3.0,0.00683371298405467,"('sushirito', 'couldve')",1.0,0.00228310502283105,"('line', 'kind', 'reminds')",1,0.002288329519450801
21,"('got',)",3.0,0.00683371298405467,"('price', 'great')",1.0,0.00228310502283105,"('clean', 'line', 'kind')",1,0.002288329519450801
22,"('shrimp',)",3.0,0.00683371298405467,"('kind', 'reminds')",1.0,0.00228310502283105,"('fast', 'clean', 'line')",1,0.002288329519450801
23,"('street',)",3.0,0.00683371298405467,"('great', 'fast')",1.0,0.00228310502283105,"('great', 'fast', 'clean')",1,0.002288329519450801
24,"('hai',)",3.0,0.00683371298405467,"('roll', 'think')",1.0,0.00228310502283105,"('price', 'great', 'fast')",1,0.002288329519450801
25,"('slammin',)",3.0,0.00683371298405467,"('fast', 'clean')",1.0,0.00228310502283105,"('big', 'price', 'great')",1,0.002288329519450801
26,"('salmon',)",3.0,0.00683371298405467,"('tempura', 'roll')",1.0,0.00228310502283105,"('really', 'liked', 'everything')",1,0.002288329519450801
27,"('now',)",2.0,0.004555808656036446,"('shrimp', 'tempura')",1.0,0.00228310502283105,"('liked', 'everything', 'correct')",1,0.002288329519450801
28,"('can',)",2.0,0.004555808656036446,"('pictured', 'shrimp')",1.0,0.00228310502283105,"('everything', 'correct', 'order')",1,0.002288329519450801
29,"('large',)",2.0,0.004555808656036446,"('clean', 'line')",1.0,0.00228310502283105,"('correct', 'order', 'good')",1,0.002288329519450801
30,"('love',)",2.0,0.004555808656036446,"('line', 'kind')",1.0,0.00228310502283105,"('workers', 'pretty', 'messy')",1,0.002288329519450801
31,"('burritos',)",2.0,0.004555808656036446,"('chipotle', 'pictured')",1.0,0.00228310502283105,"('stars', 'workers', 'pretty')",1,0.002288329519450801
32,"('packets',)",2.0,0.004555808656036446,"('really', 'liked')",1.0,0.00228310502283105,"('5', 'stars', 'workers')",1,0.002288329519450801
33,"('dinner',)",2.0,0.004555808656036446,"('first', 'tried')",1.0,0.00228310502283105,"('full', '5', 'stars')",1,0.002288329519450801
34,"('ill',)",2.0,0.004555808656036446,"('liked', 'everything')",1.0,0.00228310502283105,"('give', 'full', '5')",1,0.002288329519450801
35,"('recommend',)",2.0,0.004555808656036446,"('everything', 'correct')",1.0,0.00228310502283105,"('didnt', 'give', 'full')",1,0.002288329519450801
36,"('im',)",2.0,0.004555808656036446,"('workers', 'pretty')",1.0,0.00228310502283105,"('reason', 'didnt', 'give')",1,0.002288329519450801
37,"('new',)",2.0,0.004555808656036446,"('stars', 'workers')",1.0,0.00228310502283105,"('perfect', 'reason', 'didnt')",1,0.002288329519450801
38,"('though',)",2.0,0.004555808656036446,"('5', 'stars')",1.0,0.00228310502283105,"('tasted', 'perfect', 'reason')",1,0.002288329519450801
39,"('dont',)",2.0,0.004555808656036446,"('full', '5')",1.0,0.00228310502283105,"('burrito', 'tasted', 'perfect')",1,0.002288329519450801
40,"('live',)",2.0,0.004555808656036446,"('give', 'full')",1.0,0.00228310502283105,"('loved', 'burrito', 'tasted')",1,0.002288329519450801
41,"('chicken',)",2.0,0.004555808656036446,"('didnt', 'give')",1.0,0.00228310502283105,"('coming', 'loved', 'burrito')",1,0.002288329519450801
42,"('poke',)",2.0,0.004555808656036446,"('reason', 'didnt')",1.0,0.00228310502283105,"('time', 'coming', 'loved')",1,0.002288329519450801
43,"('back',)",2.0,0.004555808656036446,"('perfect', 'reason')",1.0,0.00228310502283105,"('first', 'time', 'coming')",1,0.002288329519450801
44,"('coming',)",2.0,0.004555808656036446,"('tasted', 'perfect')",1.0,0.00228310502283105,"('watered', 'first', 'time')",1,0.002288329519450801
45,"('meat',)",2.0,0.004555808656036446,"('burrito', 'tasted')",1.0,0.00228310502283105,"('tasting', 'watered', 'first')",1,0.002288329519450801
46,"('even',)",2.0,0.004555808656036446,"('loved', 'burrito')",1.0,0.00228310502283105,"('instead', 'tasting', 'watered')",1,0.002288329519450801
47,"('veggies',)",2.0,0.004555808656036446,"('coming', 'loved')",1.0,0.00228310502283105,"('flavor', 'instead', 'tasting')",1,0.002288329519450801
48,"('options',)",2.0,0.004555808656036446,"('time', 'coming')",1.0,0.00228310502283105,"('actual', 'flavor', 'instead')",1,0.002288329519450801
49,"('least',)",2.0,0.004555808656036446,"('watered', 'first')",1.0,0.00228310502283105,"('soupit', 'actual', 'flavor')",1,0.002288329519450801
50,"('wasabi',)",2.0,0.004555808656036446,"('tasting', 'watered')",1.0,0.00228310502283105,"('miso', 'soupit', 'actual')",1,0.002288329519450801
51,"('green',)",2.0,0.004555808656036446,"('instead', 'tasting')",1.0,0.00228310502283105,"('good', 'miso', 'soupit')",1,0.002288329519450801
52,"('wrapped',)",2.0,0.004555808656036446,"('flavor', 'instead')",1.0,0.00228310502283105,"('order', 'good', 'miso')",1,0.002288329519450801
53,"('sauce',)",2.0,0.004555808656036446,"('actual', 'flavor')",1.0,0.00228310502283105,"('size', 'big', 'price')",1,0.002288329519450801
54,"('tasty',)",2.0,0.004555808656036446,"('soupit', 'actual')",1.0,0.00228310502283105,"('eat', 'portion', 'size')",1,0.002288329519450801
55,"('bless',)",2.0,0.004555808656036446,"('miso', 'soupit')",1.0,0.00228310502283105,"('deeds', 'dont', 'know')",1,0.002288329519450801
56,"('meal',)",2.0,0.004555808656036446,"('good', 'miso')",1.0,0.00228310502283105,"('trying', 'hai', 'street')",1,0.002288329519450801
57,"('always',)",2.0,0.004555808656036446,"('order', 'good')",1.0,0.00228310502283105,"('clutch', 'lovers', 'go')",1,0.002288329519450801
58,"('matcha',)",2.0,0.004555808656036446,"('big', 'price')",1.0,0.00228310502283105,"('concept', 'clutch', 'lovers')",1,0.002288329519450801
59,"('manager',)",2.0,0.004555808656036446,"('correct', 'order')",1.0,0.00228310502283105,"('burrito', 'concept', 'clutch')",1,0.002288329519450801
60,"('ordered',)",2.0,0.004555808656036446,"('going', 'eat')",1.0,0.00228310502283105,"('since', 'burrito', 'concept')",1,0.002288329519450801
61,"('actual',)",2.0,0.004555808656036446,"('size', 'big')",1.0,0.00228310502283105,"('hoooked', 'since', 'burrito')",1,0.002288329519450801
62,"('must',)",2.0,0.004555808656036446,"('festival', 'years')",1.0,0.00228310502283105,"('ago', 'hoooked', 'since')",1,0.002288329519450801
63,"('philly',)",2.0,0.004555808656036446,"('always', 'fresh')",1.0,0.00228310502283105,"('years', 'ago', 'hoooked')",1,0.002288329519450801
64,"('also',)",2.0,0.004555808656036446,"('go', 'always')",1.0,0.00228310502283105,"('festival', 'years', 'ago')",1,0.002288329519450801
65,"('way',)",2.0,0.004555808656036446,"('lovers', 'go')",1.0,0.00228310502283105,"('truck', 'festival', 'years')",1,0.002288329519450801
66,"('part',)",2.0,0.004555808656036446,"('clutch', 'lovers')",1.0,0.00228310502283105,"('street', 'truck', 'festival')",1,0.002288329519450801
67,"('best',)",2.0,0.004555808656036446,"('concept', 'clutch')",1.0,0.00228310502283105,"('hai', 'street', 'truck')",1,0.002288329519450801
68,"('great',)",2.0,0.004555808656036446,"('burrito', 'concept')",1.0,0.00228310502283105,"('first', 'trying', 'hai')",1,0.002288329519450801
69,"('went',)",2.0,0.004555808656036446,"('since', 'burrito')",1.0,0.00228310502283105,"('going', 'eat', 'portion')",1,0.002288329519450801
70,"('eating',)",2.0,0.004555808656036446,"('hoooked', 'since')",1.0,0.00228310502283105,"('remember', 'first', 'trying')",1,0.002288329519450801
71,"('stars',)",2.0,0.004555808656036446,"('ago', 'hoooked')",1.0,0.00228310502283105,"('bless', 'remember', 'first')",1,0.002288329519450801
72,"('check',)",2.0,0.004555808656036446,"('years', 'ago')",1.0,0.00228310502283105,"('god', 'bless', 'remember')",1,0.002288329519450801
73,"('kind',)",2.0,0.004555808656036446,"('truck', 'festival')",1.0,0.00228310502283105,"('men', 'god', 'bless')",1,0.002288329519450801
74,"('court',)",2.0,0.004555808656036446,"('portion', 'size')",1.0,0.00228310502283105,"('bless', 'men', 'god')",1,0.002288329519450801
75,"('asked',)",2.0,0.004555808656036446,"('street', 'truck')",1.0,0.00228310502283105,"('god', 'bless', 'men')",1,0.002288329519450801
76,"('work',)",2.0,0.004555808656036446,"('trying', 'hai')",1.0,0.00228310502283105,"('anymore', 'god', 'bless')",1,0.002288329519450801
77,"('app',)",1.0,0.002277904328018223,"('first', 'trying')",1.0,0.00228310502283105,"('world', 'anymore', 'god')",1,0.002288329519450801
78,"('soupit',)",1.0,0.002277904328018223,"('remember', 'first')",1.0,0.00228310502283105,"('live', 'world', 'anymore')",1,0.002288329519450801
79,"('really',)",1.0,0.002277904328018223,"('bless', 'remember')",1.0,0.00228310502283105,"('can', 'live', 'world')",1,0.002288329519450801
80,"('taste',)",1.0,0.002277904328018223,"('men', 'god')",1.0,0.00228310502283105,"('know', 'can', 'live')",1,0.002288329519450801
81,"('ritual',)",1.0,0.002277904328018223,"('bless', 'men')",1.0,0.00228310502283105,"('lovers', 'go', 'always')",1,0.002288329519450801
82,"('discount',)",1.0,0.002277904328018223,"('anymore', 'god')",1.0,0.00228310502283105,"('go', 'always', 'fresh')",1,0.002288329519450801
83,"('order',)",1.0,0.002277904328018223,"('world', 'anymore')",1.0,0.00228310502283105,"('always', 'fresh', 'tasty')",1,0.002288329519450801
84,"('correct',)",1.0,0.002277904328018223,"('live', 'world')",1.0,0.00228310502283105,"('fresh', 'tasty', 'filling')",1,0.002288329519450801
85,"('liked',)",1.0,0.002277904328018223,"('fresh', 'tasty')",1.0,0.00228310502283105,"('definitely', 'going', 'eat')",1,0.002288329519450801
86,"('couldve',)",1.0,0.002277904328018223,"('tasty', 'filling')",1.0,0.00228310502283105,"('im', 'definitely', 'going')",1,0.002288329519450801
87,"('miso',)",1.0,0.002277904328018223,"('filling', 'keep')",1.0,0.00228310502283105,"('pleasure', 'im', 'definitely')",1,0.002288329519450801
88,"('flavor',)",1.0,0.002277904328018223,"('keep', 'great')",1.0,0.00228310502283105,"('antoine', 'pleasure', 'im')",1,0.002288329519450801
89,"('sushirito',)",1.0,0.002277904328018223,"('eat', 'portion')",1.0,0.00228310502283105,"('delicious', 'antoine', 'pleasure')",1,0.002288329519450801
90,"('everything',)",1.0,0.002277904328018223,"('messy', 'cashier')",1.0,0.00228310502283105,"('bowl', 'delicious', 'antoine')",1,0.002288329519450801
91,"('going',)",1.0,0.002277904328018223,"('definitely', 'going')",1.0,0.00228310502283105,"('build', 'bowl', 'delicious')",1,0.002288329519450801
92,"('think',)",1.0,0.002277904328018223,"('im', 'definitely')",1.0,0.00228310502283105,"('eating', 'build', 'bowl')",1,0.002288329519450801
93,"('roll',)",1.0,0.002277904328018223,"('pleasure', 'im')",1.0,0.00228310502283105,"('time', 'eating', 'build')",1,0.002288329519450801
94,"('lovers',)",1.0,0.002277904328018223,"('antoine', 'pleasure')",1.0,0.00228310502283105,"('first', 'time', 'eating')",1,0.002288329519450801
95,"('go',)",1.0,0.002277904328018223,"('delicious', 'antoine')",1.0,0.00228310502283105,"('asap', 'first', 'time')",1,0.002288329519450801
96,"('clutch',)",1.0,0.002277904328018223,"('bowl', 'delicious')",1.0,0.00228310502283105,"('check', 'asap', 'first')",1,0.002288329519450801
97,"('filling',)",1.0,0.002277904328018223,"('build', 'bowl')",1.0,0.00228310502283105,"('company', 'check', 'asap')",1,0.002288329519450801
98,"('keep',)",1.0,0.002277904328018223,"('eating', 'build')",1.0,0.00228310502283105,"('expansion', 'company', 'check')",1,0.002288329519450801
99,"('guys',)",1.0,0.002277904328018223,"('time', 'eating')",1.0,0.00228310502283105,"('rapid', 'expansion', 'company')",1,0.002288329519450801
