,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",4.0,0.04597701149425287,"('dining', 'room')",1,0.011627906976744186,"('dining', 'room', 'upstairs')",1.0,0.011764705882352941
1,"('best',)",3.0,0.034482758620689655,"('deliver', 'fresh')",1,0.011627906976744186,"('deliver', 'fresh', 'consistent')",1.0,0.011764705882352941
2,"('taste',)",2.0,0.022988505747126436,"('great', 'service')",1,0.011627906976744186,"('great', 'service', 'small')",1.0,0.011764705882352941
3,"('delivery',)",2.0,0.022988505747126436,"('amazing', 'great')",1,0.011627906976744186,"('amazing', 'great', 'service')",1.0,0.011764705882352941
4,"('good',)",2.0,0.022988505747126436,"('great', 'amazing')",1,0.011627906976744186,"('great', 'amazing', 'great')",1.0,0.011764705882352941
5,"('people',)",2.0,0.022988505747126436,"('taste', 'great')",1,0.011627906976744186,"('taste', 'great', 'amazing')",1.0,0.011764705882352941
6,"('nice',)",2.0,0.022988505747126436,"('service', 'taste')",1,0.011627906976744186,"('service', 'taste', 'great')",1.0,0.011764705882352941
7,"('service',)",2.0,0.022988505747126436,"('excellent', 'service')",1,0.011627906976744186,"('excellent', 'service', 'taste')",1.0,0.011764705882352941
8,"('dining',)",2.0,0.022988505747126436,"('consistent', 'excellent')",1,0.011627906976744186,"('consistent', 'excellent', 'service')",1.0,0.011764705882352941
9,"('bar',)",2.0,0.022988505747126436,"('fresh', 'consistent')",1,0.011627906976744186,"('fresh', 'consistent', 'excellent')",1.0,0.011764705882352941
10,"('parking',)",2.0,0.022988505747126436,"('love', 'deliver')",1,0.011627906976744186,"('love', 'deliver', 'fresh')",1.0,0.011764705882352941
11,"('amazing',)",2.0,0.022988505747126436,"('small', 'suitable')",1,0.011627906976744186,"('fullest', 'great', 'sitting')",1.0,0.011764705882352941
12,"('fish',)",1.0,0.011494252873563218,"('town', 'love')",1,0.011627906976744186,"('town', 'love', 'deliver')",1.0,0.011764705882352941
13,"('deliver',)",1.0,0.011494252873563218,"('option', 'town')",1,0.011627906976744186,"('option', 'town', 'love')",1.0,0.011764705882352941
14,"('20',)",1.0,0.011494252873563218,"('grubhub', 'option')",1,0.011627906976744186,"('grubhub', 'option', 'town')",1.0,0.011764705882352941
15,"('sitting',)",1.0,0.011494252873563218,"('best', 'grubhub')",1,0.011627906976744186,"('best', 'grubhub', 'option')",1.0,0.011764705882352941
16,"('outside',)",1.0,0.011494252873563218,"('fast', 'best')",1,0.011627906976744186,"('fast', 'best', 'grubhub')",1.0,0.011764705882352941
17,"('like',)",1.0,0.011494252873563218,"('delivery', 'fast')",1,0.011627906976744186,"('delivery', 'fast', 'best')",1.0,0.011764705882352941
18,"('fast',)",1.0,0.011494252873563218,"('outside', 'delivery')",1,0.011627906976744186,"('outside', 'delivery', 'fast')",1.0,0.011764705882352941
19,"('weve',)",1.0,0.011494252873563218,"('sitting', 'outside')",1,0.011627906976744186,"('sitting', 'outside', 'delivery')",1.0,0.011764705882352941
20,"('grubhub',)",1.0,0.011494252873563218,"('service', 'small')",1,0.011627906976744186,"('service', 'small', 'suitable')",1.0,0.011764705882352941
21,"('option',)",1.0,0.011494252873563218,"('suitable', 'delivery')",1,0.011627906976744186,"('small', 'suitable', 'delivery')",1.0,0.011764705882352941
22,"('town',)",1.0,0.011494252873563218,"('room', 'upstairs')",1,0.011627906976744186,"('suitable', 'delivery', 'delicious')",1.0,0.011764705882352941
23,"('love',)",1.0,0.011494252873563218,"('order', 'dinner')",1,0.011627906976744186,"('delivery', 'delicious', 'byob')",1.0,0.011764705882352941
24,"('fishy',)",1.0,0.011494252873563218,"('20', 'times')",1,0.011627906976744186,"('like', '20', 'times')",1.0,0.011764705882352941
25,"('fresh',)",1.0,0.011494252873563218,"('like', '20')",1,0.011627906976744186,"('weve', 'like', '20')",1.0,0.011764705882352941
26,"('today',)",1.0,0.011494252873563218,"('weve', 'like')",1,0.011627906976744186,"('fishy', 'weve', 'like')",1.0,0.011764705882352941
27,"('consistent',)",1.0,0.011494252873563218,"('fishy', 'weve')",1,0.011627906976744186,"('taste', 'fishy', 'weve')",1.0,0.011764705882352941
28,"('excellent',)",1.0,0.011494252873563218,"('taste', 'fishy')",1,0.011627906976744186,"('fish', 'taste', 'fishy')",1.0,0.011764705882352941
29,"('fullest',)",1.0,0.011494252873563218,"('fish', 'taste')",1,0.011627906976744186,"('today', 'fish', 'taste')",1.0,0.011764705882352941
30,"('suitable',)",1.0,0.011494252873563218,"('today', 'fish')",1,0.011627906976744186,"('dinner', 'today', 'fish')",1.0,0.011764705882352941
31,"('delicious',)",1.0,0.011494252873563218,"('dinner', 'today')",1,0.011627906976744186,"('order', 'dinner', 'today')",1.0,0.011764705882352941
