,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('roll',)",8.0,0.04597701149425287,"('best', 'town')",2.0,0.011560693641618497,"('11', 'sashimi', 'lunch')",1,0.005813953488372093
1,"('best',)",5.0,0.028735632183908046,"('new', 'orleans')",2.0,0.011560693641618497,"('terrible', 'service', 'will')",1,0.005813953488372093
2,"('service',)",5.0,0.028735632183908046,"('11', 'sashimi')",1.0,0.005780346820809248,"('huge', 'expect', '23x')",1,0.005813953488372093
3,"('huge',)",3.0,0.017241379310344827,"('awful', 'terrible')",1.0,0.005780346820809248,"('expect', '23x', 'size')",1,0.005813953488372093
4,"('ive',)",3.0,0.017241379310344827,"('size', 'huge')",1.0,0.005780346820809248,"('23x', 'size', 'normal')",1,0.005813953488372093
5,"('go',)",3.0,0.017241379310344827,"('huge', 'expect')",1.0,0.005780346820809248,"('size', 'normal', 'roll')",1,0.005813953488372093
6,"('dont',)",2.0,0.011494252873563218,"('expect', '23x')",1.0,0.005780346820809248,"('normal', 'roll', 'another')",1,0.005813953488372093
7,"('fresh',)",2.0,0.011494252873563218,"('23x', 'size')",1.0,0.005780346820809248,"('roll', 'another', 'awful')",1,0.005813953488372093
8,"('little',)",2.0,0.011494252873563218,"('size', 'normal')",1.0,0.005780346820809248,"('another', 'awful', 'terrible')",1,0.005813953488372093
9,"('delicious',)",2.0,0.011494252873563218,"('normal', 'roll')",1.0,0.005780346820809248,"('awful', 'terrible', 'service')",1,0.005813953488372093
10,"('town',)",2.0,0.011494252873563218,"('roll', 'another')",1.0,0.005780346820809248,"('service', 'will', 'definitely')",1,0.005813953488372093
11,"('size',)",2.0,0.011494252873563218,"('another', 'awful')",1.0,0.005780346820809248,"('already', 'size', 'huge')",1,0.005813953488372093
12,"('new',)",2.0,0.011494252873563218,"('terrible', 'service')",1.0,0.005780346820809248,"('will', 'definitely', 'never')",1,0.005813953488372093
13,"('try',)",2.0,0.011494252873563218,"('go', 'already')",1.0,0.005780346820809248,"('definitely', 'never', 'come')",1,0.005813953488372093
14,"('amazing',)",2.0,0.011494252873563218,"('service', 'will')",1.0,0.005780346820809248,"('never', 'come', 'baby')",1,0.005813953488372093
15,"('prices',)",2.0,0.011494252873563218,"('will', 'definitely')",1.0,0.005780346820809248,"('come', 'baby', 'crabs')",1,0.005813953488372093
16,"('around',)",2.0,0.011494252873563218,"('definitely', 'never')",1.0,0.005780346820809248,"('baby', 'crabs', 'engage')",1,0.005813953488372093
17,"('orleans',)",2.0,0.011494252873563218,"('never', 'come')",1.0,0.005780346820809248,"('crabs', 'engage', 'go')",1,0.005813953488372093
18,"('always',)",2.0,0.011494252873563218,"('come', 'baby')",1.0,0.005780346820809248,"('engage', 'go', 'noodle')",1,0.005813953488372093
19,"('several',)",2.0,0.011494252873563218,"('baby', 'crabs')",1.0,0.005780346820809248,"('go', 'noodle', 'salad')",1,0.005813953488372093
20,"('great',)",2.0,0.011494252873563218,"('crabs', 'engage')",1.0,0.005780346820809248,"('size', 'huge', 'expect')",1,0.005813953488372093
21,"('uptown',)",2.0,0.011494252873563218,"('already', 'size')",1.0,0.005780346820809248,"('go', 'already', 'size')",1,0.005813953488372093
22,"('pretty',)",2.0,0.011494252873563218,"('amazing', 'go')",1.0,0.005780346820809248,"('sashimi', 'lunch', 'best')",1,0.005813953488372093
23,"('lunch',)",2.0,0.011494252873563218,"('go', 'noodle')",1.0,0.005780346820809248,"('nola', 'love', 'old')",1,0.005813953488372093
24,"('good',)",2.0,0.011494252873563218,"('amazing', 'amazing')",1.0,0.005780346820809248,"('reasonable', 'prices', 'several')",1,0.005813953488372093
25,"('found',)",2.0,0.011494252873563218,"('reasonable', 'prices')",1.0,0.005780346820809248,"('prices', 'several', 'times')",1,0.005813953488372093
26,"('quality',)",1.0,0.005747126436781609,"('prices', 'several')",1.0,0.005780346820809248,"('several', 'times', 'always')",1,0.005813953488372093
27,"('expect',)",1.0,0.005747126436781609,"('several', 'times')",1.0,0.005780346820809248,"('times', 'always', 'pleasant')",1,0.005813953488372093
28,"('favorite',)",1.0,0.005747126436781609,"('times', 'always')",1.0,0.005780346820809248,"('always', 'pleasant', 'experience')",1,0.005813953488372093
29,"('already',)",1.0,0.005747126436781609,"('always', 'pleasant')",1.0,0.005780346820809248,"('pleasant', 'experience', 'pick')",1,0.005813953488372093
30,"('spot',)",1.0,0.005747126436781609,"('pleasant', 'experience')",1.0,0.005780346820809248,"('experience', 'pick', 'nola')",1,0.005813953488372093
31,"('eel',)",1.0,0.005747126436781609,"('experience', 'pick')",1.0,0.005780346820809248,"('pick', 'nola', 'love')",1,0.005813953488372093
32,"('trendy',)",1.0,0.005747126436781609,"('pick', 'nola')",1.0,0.005780346820809248,"('love', 'old', 'school')",1,0.005813953488372093
33,"('specials',)",1.0,0.005747126436781609,"('nola', 'love')",1.0,0.005780346820809248,"('amazing', 'go', 'already')",1,0.005813953488372093
34,"('forever',)",1.0,0.005747126436781609,"('love', 'old')",1.0,0.005780346820809248,"('old', 'school', 'quality')",1,0.005813953488372093
35,"('big',)",1.0,0.005747126436781609,"('old', 'school')",1.0,0.005780346820809248,"('school', 'quality', 'around')",1,0.005813953488372093
36,"('normal',)",1.0,0.005747126436781609,"('school', 'quality')",1.0,0.005780346820809248,"('quality', 'around', 'forever')",1,0.005813953488372093
37,"('school',)",1.0,0.005747126436781609,"('quality', 'around')",1.0,0.005780346820809248,"('around', 'forever', 'trendy')",1,0.005813953488372093
38,"('old',)",1.0,0.005747126436781609,"('around', 'forever')",1.0,0.005780346820809248,"('forever', 'trendy', 'eel')",1,0.005813953488372093
39,"('love',)",1.0,0.005747126436781609,"('forever', 'trendy')",1.0,0.005780346820809248,"('trendy', 'eel', 'amazing')",1,0.005813953488372093
40,"('nola',)",1.0,0.005747126436781609,"('trendy', 'eel')",1.0,0.005780346820809248,"('eel', 'amazing', 'amazing')",1,0.005813953488372093
41,"('pick',)",1.0,0.005747126436781609,"('eel', 'amazing')",1.0,0.005780346820809248,"('amazing', 'amazing', 'go')",1,0.005813953488372093
42,"('hawiian',)",1.0,0.005747126436781609,"('engage', 'go')",1.0,0.005780346820809248,"('noodle', 'salad', 'glorious')",1,0.005813953488372093
43,"('experience',)",1.0,0.005747126436781609,"('noodle', 'salad')",1.0,0.005780346820809248,"('salad', 'glorious', 'best')",1,0.005813953488372093
44,"('pleasant',)",1.0,0.005747126436781609,"('uptown', 'area')",1.0,0.005780346820809248,"('glorious', 'best', 'town')",1,0.005813953488372093
45,"('amazing1',)",1.0,0.005747126436781609,"('anyday', 'favorite')",1.0,0.005780346820809248,"('anyday', 'favorite', 'spot')",1,0.005813953488372093
46,"('times',)",1.0,0.005747126436781609,"('big', 'best')",1.0,0.005780346820809248,"('big', 'best', 'utah')",1,0.005813953488372093
47,"('23x',)",1.0,0.005747126436781609,"('best', 'utah')",1.0,0.005780346820809248,"('best', 'utah', 'role')",1,0.005813953488372093
48,"('another',)",1.0,0.005747126436781609,"('utah', 'role')",1.0,0.005780346820809248,"('utah', 'role', 'glad')",1,0.005813953488372093
49,"('utah',)",1.0,0.005747126436781609,"('role', 'glad')",1.0,0.005780346820809248,"('role', 'glad', 'ive')",1,0.005813953488372093
