,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",19.0,0.051630434782608696,"('great', 'service')",4.0,0.010899182561307902,"('service', 'good', 'good')",2,0.00546448087431694
1,"('service',)",13.0,0.035326086956521736,"('service', 'good')",3.0,0.008174386920980926,"('patio', 'people', 'traffic')",2,0.00546448087431694
2,"('good',)",13.0,0.035326086956521736,"('downtown', 'scene')",2.0,0.005449591280653951,"('people', 'traffic', 'watch')",2,0.00546448087431694
3,"('ramen',)",7.0,0.019021739130434784,"('really', 'good')",2.0,0.005449591280653951,"('traffic', 'watch', 'downtown')",2,0.00546448087431694
4,"('tucson',)",4.0,0.010869565217391304,"('go', 'back')",2.0,0.005449591280653951,"('watch', 'downtown', 'scene')",2,0.00546448087431694
5,"('love',)",4.0,0.010869565217391304,"('good', 'good')",2.0,0.005449591280653951,"('ramen', 'incredible', 'nice')",1,0.00273224043715847
6,"('friendly',)",4.0,0.010869565217391304,"('friendly', 'service')",2.0,0.005449591280653951,"('amazing', 'mix', 'favors')",1,0.00273224043715847
7,"('try',)",4.0,0.010869565217391304,"('happy', 'hour')",2.0,0.005449591280653951,"('done', 'really', 'good')",1,0.00273224043715847
8,"('awesome',)",4.0,0.010869565217391304,"('good', 'great')",2.0,0.005449591280653951,"('well', 'done', 'really')",1,0.00273224043715847
9,"('back',)",4.0,0.010869565217391304,"('come', 'back')",2.0,0.005449591280653951,"('ambiance', 'well', 'done')",1,0.00273224043715847
10,"('drinks',)",3.0,0.008152173913043478,"('watch', 'downtown')",2.0,0.005449591280653951,"('great', 'ambiance', 'well')",1,0.00273224043715847
11,"('cant',)",3.0,0.008152173913043478,"('people', 'traffic')",2.0,0.005449591280653951,"('service', 'great', 'ambiance')",1,0.00273224043715847
12,"('atmosphere',)",3.0,0.008152173913043478,"('patio', 'people')",2.0,0.005449591280653951,"('excellent', 'service', 'great')",1,0.00273224043715847
13,"('delicious',)",3.0,0.008152173913043478,"('traffic', 'watch')",2.0,0.005449591280653951,"('favors', 'excellent', 'service')",1,0.00273224043715847
14,"('owner',)",3.0,0.008152173913043478,"('done', 'really')",1.0,0.0027247956403269754,"('mix', 'favors', 'excellent')",1,0.00273224043715847
15,"('priced',)",3.0,0.008152173913043478,"('good', 'will')",1.0,0.0027247956403269754,"('always', 'friendly', 'amazing')",1,0.00273224043715847
16,"('amazing',)",3.0,0.008152173913043478,"('good', 'service')",1.0,0.0027247956403269754,"('friendly', 'amazing', 'mix')",1,0.00273224043715847
17,"('downtown',)",3.0,0.008152173913043478,"('location', 'staff')",1.0,0.0027247956403269754,"('good', 'service', 'good')",1,0.00273224043715847
18,"('staff',)",3.0,0.008152173913043478,"('staff', 'always')",1.0,0.0027247956403269754,"('staff', 'always', 'friendly')",1,0.00273224043715847
19,"('nice',)",3.0,0.008152173913043478,"('always', 'friendly')",1.0,0.0027247956403269754,"('location', 'staff', 'always')",1,0.00273224043715847
20,"('traffic',)",3.0,0.008152173913043478,"('friendly', 'amazing')",1.0,0.0027247956403269754,"('great', 'location', 'staff')",1,0.00273224043715847
21,"('sit',)",3.0,0.008152173913043478,"('ambiance', 'well')",1.0,0.0027247956403269754,"('ramen', 'great', 'location')",1,0.00273224043715847
22,"('will',)",3.0,0.008152173913043478,"('well', 'done')",1.0,0.0027247956403269754,"('love', 'ramen', 'great')",1,0.00273224043715847
23,"('nearby',)",2.0,0.005434782608695652,"('great', 'ambiance')",1.0,0.0027247956403269754,"('ramen', 'love', 'ramen')",1,0.00273224043715847
24,"('tip',)",2.0,0.005434782608695652,"('service', 'great')",1.0,0.0027247956403269754,"('good', 'ramen', 'love')",1,0.00273224043715847
25,"('offerings',)",2.0,0.005434782608695652,"('excellent', 'service')",1.0,0.0027247956403269754,"('really', 'good', 'service')",1,0.00273224043715847
26,"('services',)",2.0,0.005434782608695652,"('will', 'go')",1.0,0.0027247956403269754,"('will', 'go', 'back')",1,0.00273224043715847
27,"('ive',)",2.0,0.005434782608695652,"('mix', 'favors')",1.0,0.0027247956403269754,"('good', 'good', 'will')",1,0.00273224043715847
28,"('little',)",2.0,0.005434782608695652,"('amazing', 'mix')",1.0,0.0027247956403269754,"('overpriced', 'shitbar', 'service')",1,0.00273224043715847
29,"('excellent',)",2.0,0.005434782608695652,"('favors', 'excellent')",1.0,0.0027247956403269754,"('tucson', 'recommend', 'anyone')",1,0.00273224043715847
30,"('yelp',)",2.0,0.005434782608695652,"('ramen', 'incredible')",1.0,0.0027247956403269754,"('freshest', 'tucson', 'recommend')",1,0.00273224043715847
31,"('tasty',)",2.0,0.005434782608695652,"('back', 'still')",1.0,0.0027247956403269754,"('always', 'freshest', 'tucson')",1,0.00273224043715847
32,"('may',)",2.0,0.005434782608695652,"('service', 'ok')",1.0,0.0027247956403269754,"('joke', 'always', 'freshest')",1,0.00273224043715847
33,"('come',)",2.0,0.005434782608695652,"('recommend', 'anyone')",1.0,0.0027247956403269754,"('owner', 'joke', 'always')",1,0.00273224043715847
34,"('dont',)",2.0,0.005434782608695652,"('tucson', 'recommend')",1.0,0.0027247956403269754,"('ok', 'owner', 'joke')",1,0.00273224043715847
35,"('can',)",2.0,0.005434782608695652,"('freshest', 'tucson')",1.0,0.0027247956403269754,"('service', 'ok', 'owner')",1,0.00273224043715847
36,"('bowl',)",2.0,0.005434782608695652,"('always', 'freshest')",1.0,0.0027247956403269754,"('shitbar', 'service', 'ok')",1,0.00273224043715847
37,"('prices',)",2.0,0.005434782608695652,"('joke', 'always')",1.0,0.0027247956403269754,"('thanks', 'overpriced', 'shitbar')",1,0.00273224043715847
38,"('bao',)",2.0,0.005434782608695652,"('owner', 'joke')",1.0,0.0027247956403269754,"('good', 'will', 'go')",1,0.00273224043715847
39,"('wonderful',)",2.0,0.005434782608695652,"('ok', 'owner')",1.0,0.0027247956403269754,"('patrons', 'thanks', 'overpriced')",1,0.00273224043715847
40,"('happy',)",2.0,0.005434782608695652,"('shitbar', 'service')",1.0,0.0027247956403269754,"('staff', 'patrons', 'thanks')",1,0.00273224043715847
41,"('hour',)",2.0,0.005434782608695652,"('still', 'requiring')",1.0,0.0027247956403269754,"('masks', 'staff', 'patrons')",1,0.00273224043715847
42,"('really',)",2.0,0.005434782608695652,"('overpriced', 'shitbar')",1.0,0.0027247956403269754,"('requiring', 'masks', 'staff')",1,0.00273224043715847
43,"('bad',)",2.0,0.005434782608695652,"('thanks', 'overpriced')",1.0,0.0027247956403269754,"('still', 'requiring', 'masks')",1,0.00273224043715847
44,"('ambience',)",2.0,0.005434782608695652,"('patrons', 'thanks')",1.0,0.0027247956403269754,"('back', 'still', 'requiring')",1,0.00273224043715847
45,"('well',)",2.0,0.005434782608695652,"('staff', 'patrons')",1.0,0.0027247956403269754,"('go', 'back', 'still')",1,0.00273224043715847
46,"('always',)",2.0,0.005434782608695652,"('masks', 'staff')",1.0,0.0027247956403269754,"('meal', 'pretty', 'good')",1,0.00273224043715847
47,"('beat',)",2.0,0.005434782608695652,"('ramen', 'great')",1.0,0.0027247956403269754,"('pretty', 'good', 'ramen')",1,0.00273224043715847
48,"('favorite',)",2.0,0.005434782608695652,"('requiring', 'masks')",1.0,0.0027247956403269754,"('ive', 'never', 'bad')",1,0.00273224043715847
49,"('experience',)",2.0,0.005434782608695652,"('great', 'location')",1.0,0.0027247956403269754,"('bad', 'meal', 'pretty')",1,0.00273224043715847
50,"('go',)",2.0,0.005434782608695652,"('meal', 'pretty')",1.0,0.0027247956403269754,"('never', 'bad', 'meal')",1,0.00273224043715847
51,"('people',)",2.0,0.005434782608695652,"('love', 'ramen')",1.0,0.0027247956403269754,"('happy', 'hour', 'dumplings')",1,0.00273224043715847
52,"('scene',)",2.0,0.005434782608695652,"('interesting', 'menu')",1.0,0.0027247956403269754,"('great', 'happy', 'hour')",1,0.00273224043715847
53,"('patio',)",2.0,0.005434782608695652,"('cant', 'beat')",1.0,0.0027247956403269754,"('quality', 'great', 'happy')",1,0.00273224043715847
54,"('pretty',)",2.0,0.005434782608695652,"('great', 'cant')",1.0,0.0027247956403269754,"('great', 'quality', 'great')",1,0.00273224043715847
55,"('selection',)",2.0,0.005434782608695652,"('dumplings', 'great')",1.0,0.0027247956403269754,"('menu', 'great', 'quality')",1,0.00273224043715847
