,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",8.0,0.021917808219178082,"('happy', 'hour')",5.0,0.013736263736263736,"('awesome', 'great', 'service')",2,0.005509641873278237
1,"('good',)",7.0,0.019178082191780823,"('great', 'service')",2.0,0.005494505494505495,"('happy', 'hour', '6')",2,0.005509641873278237
2,"('hibachi',)",6.0,0.01643835616438356,"('beautiful', 'decor')",2.0,0.005494505494505495,"('good', 'angel', 'can')",1,0.0027548209366391185
3,"('chef',)",6.0,0.01643835616438356,"('awesome', 'beautiful')",2.0,0.005494505494505495,"('decor', 'wonderful', 'ambiance')",1,0.0027548209366391185
4,"('happy',)",6.0,0.01643835616438356,"('hibachi', 'chef')",2.0,0.005494505494505495,"('beautiful', 'decor', 'wonderful')",1,0.0027548209366391185
5,"('service',)",6.0,0.01643835616438356,"('hour', '6')",2.0,0.005494505494505495,"('awesome', 'beautiful', 'decor')",1,0.0027548209366391185
6,"('hour',)",5.0,0.0136986301369863,"('awesome', 'great')",2.0,0.005494505494505495,"('try', 'awesome', 'beautiful')",1,0.0027548209366391185
7,"('atmosphere',)",5.0,0.0136986301369863,"('chef', 'staff')",1.0,0.0027472527472527475,"('need', 'try', 'awesome')",1,0.0027548209366391185
8,"('fresh',)",5.0,0.0136986301369863,"('find', 'need')",1.0,0.0027472527472527475,"('find', 'need', 'try')",1,0.0027548209366391185
9,"('awesome',)",5.0,0.0136986301369863,"('hibachi', 'flies')",1.0,0.0027472527472527475,"('can', 'find', 'need')",1,0.0027548209366391185
10,"('delicious',)",5.0,0.0136986301369863,"('favorite', 'hibachi')",1.0,0.0027472527472527475,"('angel', 'can', 'find')",1,0.0027548209366391185
11,"('best',)",4.0,0.010958904109589041,"('now', 'favorite')",1.0,0.0027472527472527475,"('2019', 'good', 'angel')",1,0.0027548209366391185
12,"('love',)",4.0,0.010958904109589041,"('ambiance', 'now')",1.0,0.0027472527472527475,"('ambiance', 'now', 'favorite')",1,0.0027548209366391185
13,"('table',)",4.0,0.010958904109589041,"('wonderful', 'ambiance')",1.0,0.0027472527472527475,"('november', '2019', 'good')",1,0.0027548209366391185
14,"('amazing',)",4.0,0.010958904109589041,"('decor', 'wonderful')",1.0,0.0027472527472527475,"('1595', 'november', '2019')",1,0.0027548209366391185
15,"('clean',)",4.0,0.010958904109589041,"('try', 'awesome')",1.0,0.0027472527472527475,"('lunch', '1595', 'november')",1,0.0027548209366391185
16,"('staff',)",3.0,0.00821917808219178,"('need', 'try')",1.0,0.0027472527472527475,"('eat', 'lunch', '1595')",1,0.0027548209366391185
17,"('menu',)",3.0,0.00821917808219178,"('can', 'find')",1.0,0.0027472527472527475,"('can', 'eat', 'lunch')",1,0.0027548209366391185
18,"('can',)",3.0,0.00821917808219178,"('staff', 'seemed')",1.0,0.0027472527472527475,"('friendly', 'can', 'eat')",1,0.0027548209366391185
19,"('restaurant',)",3.0,0.00821917808219178,"('angel', 'can')",1.0,0.0027472527472527475,"('clean', 'friendly', 'can')",1,0.0027548209366391185
