,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('hour',)",3.0,0.041666666666666664,"('parking', 'garage')",2,0.028169014084507043,"('free', 'hour', 'parking')",1,0.014285714285714285
1,"('2',)",3.0,0.041666666666666664,"('free', 'hour')",1,0.014084507042253521,"('want', 'try', 'amazing')",1,0.014285714285714285
2,"('amazing',)",3.0,0.041666666666666664,"('amazing', 'happy')",1,0.014084507042253521,"('mf', '46pm', 'best')",1,0.014285714285714285
3,"('pork',)",2.0,0.027777777777777776,"('best', 'great')",1,0.014084507042253521,"('menu', 'mf', '46pm')",1,0.014285714285714285
4,"('ask',)",2.0,0.027777777777777776,"('46pm', 'best')",1,0.014084507042253521,"('hour', 'menu', 'mf')",1,0.014285714285714285
5,"('hours',)",2.0,0.027777777777777776,"('mf', '46pm')",1,0.014084507042253521,"('happy', 'hour', 'menu')",1,0.014285714285714285
6,"('free',)",2.0,0.027777777777777776,"('menu', 'mf')",1,0.014084507042253521,"('amazing', 'happy', 'hour')",1,0.014285714285714285
7,"('4',)",2.0,0.027777777777777776,"('hour', 'menu')",1,0.014084507042253521,"('try', 'amazing', 'happy')",1,0.014285714285714285
8,"('great',)",2.0,0.027777777777777776,"('happy', 'hour')",1,0.014084507042253521,"('chicken', 'want', 'try')",1,0.014285714285714285
9,"('garage',)",2.0,0.027777777777777776,"('try', 'amazing')",1,0.014084507042253521,"('best', 'great', 'drinks')",1,0.014285714285714285
10,"('parking',)",2.0,0.027777777777777776,"('drinks', 'good')",1,0.014084507042253521,"('hot', 'chicken', 'want')",1,0.014285714285714285
11,"('good',)",2.0,0.027777777777777776,"('want', 'try')",1,0.014084507042253521,"('2', 'hot', 'chicken')",1,0.014285714285714285
12,"('try',)",1.0,0.013888888888888888,"('chicken', 'want')",1,0.014084507042253521,"('pork', '2', 'hot')",1,0.014285714285714285
13,"('drinks',)",1.0,0.013888888888888888,"('hot', 'chicken')",1,0.014084507042253521,"('2', 'pork', '2')",1,0.014285714285714285
14,"('want',)",1.0,0.013888888888888888,"('2', 'hot')",1,0.014084507042253521,"('get', '2', 'pork')",1,0.014285714285714285
15,"('happy',)",1.0,0.013888888888888888,"('pork', '2')",1,0.014084507042253521,"('can', 'get', '2')",1,0.014285714285714285
16,"('menu',)",1.0,0.013888888888888888,"('2', 'pork')",1,0.014084507042253521,"('46pm', 'best', 'great')",1,0.014285714285714285
17,"('mf',)",1.0,0.013888888888888888,"('great', 'drinks')",1,0.014084507042253521,"('great', 'drinks', 'good')",1,0.014285714285714285
18,"('46pm',)",1.0,0.013888888888888888,"('good', 'atmosphere')",1,0.014084507042253521,"('hour', 'parking', 'garage')",1,0.014285714285714285
19,"('best',)",1.0,0.013888888888888888,"('can', 'get')",1,0.014084507042253521,"('located', 'cantina', 'laredo')",1,0.014285714285714285
20,"('recommend',)",1.0,0.013888888888888888,"('atmosphere', 'high')",1,0.014084507042253521,"('amazing', 'staff', 'strongly')",1,0.014285714285714285
21,"('atmosphere',)",1.0,0.013888888888888888,"('high', 'recommend')",1,0.014084507042253521,"('good', 'amazing', 'staff')",1,0.014285714285714285
22,"('high',)",1.0,0.013888888888888888,"('recommend', 'ask')",1,0.014084507042253521,"('amazing', 'good', 'amazing')",1,0.014285714285714285
23,"('hot',)",1.0,0.013888888888888888,"('ask', 'jessica')",1,0.014084507042253521,"('gulch', 'amazing', 'good')",1,0.014285714285714285
24,"('jessica',)",1.0,0.013888888888888888,"('jessica', 'server')",1,0.014084507042253521,"('laredo', 'gulch', 'amazing')",1,0.014285714285714285
25,"('server',)",1.0,0.013888888888888888,"('server', 'located')",1,0.014084507042253521,"('cantina', 'laredo', 'gulch')",1,0.014285714285714285
26,"('located',)",1.0,0.013888888888888888,"('located', 'cantina')",1,0.014084507042253521,"('server', 'located', 'cantina')",1,0.014285714285714285
27,"('cantina',)",1.0,0.013888888888888888,"('cantina', 'laredo')",1,0.014084507042253521,"('drinks', 'good', 'atmosphere')",1,0.014285714285714285
28,"('laredo',)",1.0,0.013888888888888888,"('laredo', 'gulch')",1,0.014084507042253521,"('jessica', 'server', 'located')",1,0.014285714285714285
29,"('gulch',)",1.0,0.013888888888888888,"('gulch', 'amazing')",1,0.014084507042253521,"('ask', 'jessica', 'server')",1,0.014285714285714285
30,"('staff',)",1.0,0.013888888888888888,"('amazing', 'good')",1,0.014084507042253521,"('recommend', 'ask', 'jessica')",1,0.014285714285714285
31,"('strongly',)",1.0,0.013888888888888888,"('good', 'amazing')",1,0.014084507042253521,"('high', 'recommend', 'ask')",1,0.014285714285714285
32,"('chicken',)",1.0,0.013888888888888888,"('amazing', 'staff')",1,0.014084507042253521,"('atmosphere', 'high', 'recommend')",1,0.014285714285714285
33,"('steamed',)",1.0,0.013888888888888888,"('staff', 'strongly')",1,0.014084507042253521,"('good', 'atmosphere', 'high')",1,0.014285714285714285
34,"('get',)",1.0,0.013888888888888888,"('get', '2')",1,0.014084507042253521,"('4', 'can', 'get')",1,0.014285714285714285
35,"('white',)",1.0,0.013888888888888888,"('4', 'can')",1,0.014084507042253521,"('great', '4', 'can')",1,0.014285714285714285
36,"('next',)",1.0,0.013888888888888888,"('hour', 'parking')",1,0.014084507042253521,"('buns', 'great', '4')",1,0.014285714285714285
37,"('door',)",1.0,0.013888888888888888,"('three', 'hours')",1,0.014084507042253521,"('6', 'three', 'hours')",1,0.014285714285714285
38,"('6',)",1.0,0.013888888888888888,"('w', 'hour')",1,0.014084507042253521,"('parking', 'garage', 'w')",1,0.014285714285714285
39,"('three',)",1.0,0.013888888888888888,"('garage', 'w')",1,0.014084507042253521,"('cash', 'parking', 'garage')",1,0.014285714285714285
40,"('valet',)",1.0,0.013888888888888888,"('cash', 'parking')",1,0.014084507042253521,"('12', 'cash', 'parking')",1,0.014285714285714285
41,"('12',)",1.0,0.013888888888888888,"('12', 'cash')",1,0.014084507042253521,"('valet', '12', 'cash')",1,0.014285714285714285
42,"('cash',)",1.0,0.013888888888888888,"('valet', '12')",1,0.014084507042253521,"('hours', 'valet', '12')",1,0.014285714285714285
43,"('w',)",1.0,0.013888888888888888,"('hours', 'valet')",1,0.014084507042253521,"('three', 'hours', 'valet')",1,0.014285714285714285
44,"('side',)",1.0,0.013888888888888888,"('6', 'three')",1,0.014084507042253521,"('hours', '6', 'three')",1,0.014285714285714285
45,"('rice',)",1.0,0.013888888888888888,"('great', '4')",1,0.014084507042253521,"('steamed', 'buns', 'great')",1,0.014285714285714285
46,"('can',)",1.0,0.013888888888888888,"('hours', '6')",1,0.014084507042253521,"('2', 'hours', '6')",1,0.014285714285714285
47,"('sisig',)",1.0,0.013888888888888888,"('2', 'hours')",1,0.014084507042253521,"('4', '2', 'hours')",1,0.014285714285714285
48,"('adobo',)",1.0,0.013888888888888888,"('4', '2')",1,0.014084507042253521,"('door', '4', '2')",1,0.014285714285714285
49,"('belly',)",1.0,0.013888888888888888,"('door', '4')",1,0.014084507042253521,"('next', 'door', '4')",1,0.014285714285714285
50,"('eat',)",1.0,0.013888888888888888,"('next', 'door')",1,0.014084507042253521,"('garage', 'next', 'door')",1,0.014285714285714285
51,"('fork',)",1.0,0.013888888888888888,"('garage', 'next')",1,0.014084507042253521,"('parking', 'garage', 'next')",1,0.014285714285714285
52,"('spoon',)",1.0,0.013888888888888888,"('hour', 'free')",1,0.014084507042253521,"('garage', 'w', 'hour')",1,0.014285714285714285
53,"('sarap',)",1.0,0.013888888888888888,"('free', 'ask')",1,0.014084507042253521,"('w', 'hour', 'free')",1,0.014285714285714285
54,"('naman',)",1.0,0.013888888888888888,"('ask', 'side')",1,0.014084507042253521,"('hour', 'free', 'ask')",1,0.014285714285714285
55,"('buns',)",1.0,0.013888888888888888,"('side', 'white')",1,0.014084507042253521,"('free', 'ask', 'side')",1,0.014285714285714285
56,"('recommended',)",1.0,0.013888888888888888,"('white', 'rice')",1,0.014084507042253521,"('ask', 'side', 'white')",1,0.014285714285714285
57,,,,"('rice', 'sisig')",1,0.014084507042253521,"('side', 'white', 'rice')",1,0.014285714285714285
58,,,,"('sisig', 'adobo')",1,0.014084507042253521,"('white', 'rice', 'sisig')",1,0.014285714285714285
59,,,,"('adobo', 'pork')",1,0.014084507042253521,"('rice', 'sisig', 'adobo')",1,0.014285714285714285
60,,,,"('pork', 'belly')",1,0.014084507042253521,"('sisig', 'adobo', 'pork')",1,0.014285714285714285
61,,,,"('belly', 'eat')",1,0.014084507042253521,"('adobo', 'pork', 'belly')",1,0.014285714285714285
62,,,,"('eat', 'fork')",1,0.014084507042253521,"('pork', 'belly', 'eat')",1,0.014285714285714285
63,,,,"('fork', 'spoon')",1,0.014084507042253521,"('belly', 'eat', 'fork')",1,0.014285714285714285
64,,,,"('spoon', 'sarap')",1,0.014084507042253521,"('eat', 'fork', 'spoon')",1,0.014285714285714285
65,,,,"('sarap', 'naman')",1,0.014084507042253521,"('fork', 'spoon', 'sarap')",1,0.014285714285714285
66,,,,"('naman', 'steamed')",1,0.014084507042253521,"('spoon', 'sarap', 'naman')",1,0.014285714285714285
67,,,,"('steamed', 'buns')",1,0.014084507042253521,"('sarap', 'naman', 'steamed')",1,0.014285714285714285
68,,,,"('buns', 'great')",1,0.014084507042253521,"('naman', 'steamed', 'buns')",1,0.014285714285714285
69,,,,"('strongly', 'recommended')",1,0.014084507042253521,"('staff', 'strongly', 'recommended')",1,0.014285714285714285
