,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",11.0,0.03089887640449438,"('great', 'service')",4.0,0.011267605633802818,"('double', 'spicy', 'tuna')",2,0.005649717514124294
1,"('roll',)",9.0,0.025280898876404494,"('dont', 'forget')",3.0,0.008450704225352112,"('call', 'ahead', 'ppl')",1,0.002824858757062147
2,"('good',)",8.0,0.02247191011235955,"('call', 'ahead')",2.0,0.005633802816901409,"('wine', 'decant', 'special')",1,0.002824858757062147
3,"('amazing',)",6.0,0.016853932584269662,"('spicy', 'tuna')",2.0,0.005633802816901409,"('menu', 'edamame', 'sweet')",1,0.002824858757062147
4,"('service',)",6.0,0.016853932584269662,"('make', 'sure')",2.0,0.005633802816901409,"('put', 'menu', 'edamame')",1,0.002824858757062147
5,"('go',)",6.0,0.016853932584269662,"('bring', 'wine')",2.0,0.005633802816901409,"('need', 'put', 'menu')",1,0.002824858757062147
6,"('tuna',)",5.0,0.014044943820224719,"('roll', 'good')",2.0,0.005633802816901409,"('really', 'need', 'put')",1,0.002824858757062147
7,"('dont',)",4.0,0.011235955056179775,"('medusa', 'roll')",2.0,0.005633802816901409,"('yummy', 'really', 'need')",1,0.002824858757062147
8,"('byob',)",4.0,0.011235955056179775,"('korean', 'tacos')",2.0,0.005633802816901409,"('sooo', 'yummy', 'really')",1,0.002824858757062147
9,"('medusa',)",4.0,0.011235955056179775,"('service', 'good')",2.0,0.005633802816901409,"('salmon', 'sooo', 'yummy')",1,0.002824858757062147
10,"('much',)",4.0,0.011235955056179775,"('really', 'good')",2.0,0.005633802816901409,"('special', 'salmon', 'sooo')",1,0.002824858757062147
11,"('best',)",4.0,0.011235955056179775,"('double', 'spicy')",2.0,0.005633802816901409,"('decant', 'special', 'salmon')",1,0.002824858757062147
12,"('try',)",3.0,0.008426966292134831,"('many', 'vegan')",2.0,0.005633802816901409,"('bring', 'wine', 'decant')",1,0.002824858757062147
13,"('menu',)",3.0,0.008426966292134831,"('go', 'fabulous')",1.0,0.0028169014084507044,"('sweet', 'potato', 'tempura')",1,0.002824858757062147
14,"('really',)",3.0,0.008426966292134831,"('sooo', 'yummy')",1.0,0.0028169014084507044,"('roll', 'bring', 'wine')",1,0.002824858757062147
15,"('bring',)",3.0,0.008426966292134831,"('sweet', 'potato')",1.0,0.0028169014084507044,"('medusa', 'roll', 'bring')",1,0.002824858757062147
16,"('make',)",3.0,0.008426966292134831,"('edamame', 'sweet')",1.0,0.0028169014084507044,"('try', 'medusa', 'roll')",1,0.002824858757062147
17,"('love',)",3.0,0.008426966292134831,"('menu', 'edamame')",1.0,0.0028169014084507044,"('dragon', 'try', 'medusa')",1,0.002824858757062147
18,"('must',)",3.0,0.008426966292134831,"('put', 'menu')",1.0,0.0028169014084507044,"('medusa', 'dragon', 'try')",1,0.002824858757062147
19,"('wine',)",3.0,0.008426966292134831,"('need', 'put')",1.0,0.0028169014084507044,"('love', 'medusa', 'dragon')",1,0.002824858757062147
20,"('forget',)",3.0,0.008426966292134831,"('really', 'need')",1.0,0.0028169014084507044,"('question', 'love', 'medusa')",1,0.002824858757062147
21,"('spicy',)",3.0,0.008426966292134831,"('yummy', 'really')",1.0,0.0028169014084507044,"('without', 'question', 'love')",1,0.002824858757062147
22,"('like',)",3.0,0.008426966292134831,"('salmon', 'sooo')",1.0,0.0028169014084507044,"('edamame', 'sweet', 'potato')",1,0.002824858757062147
23,"('many',)",3.0,0.008426966292134831,"('tempura', 'ok')",1.0,0.0028169014084507044,"('potato', 'tempura', 'ok')",1,0.002824858757062147
24,"('bottle',)",2.0,0.0056179775280898875,"('special', 'salmon')",1.0,0.0028169014084507044,"('best', 'philly', 'without')",1,0.002824858757062147
25,"('dinner',)",2.0,0.0056179775280898875,"('decant', 'special')",1.0,0.0028169014084507044,"('inviting', 'great', 'dinner')",1,0.002824858757062147
26,"('prices',)",2.0,0.0056179775280898875,"('wine', 'decant')",1.0,0.0028169014084507044,"('good', 'tempura', 'regular')",1,0.002824858757062147
27,"('tempura',)",2.0,0.0056179775280898875,"('vegetarian', 'overwhelmed')",1.0,0.0028169014084507044,"('ttekbokki', 'good', 'tempura')",1,0.002824858757062147
28,"('recommend',)",2.0,0.0056179775280898875,"('roll', 'bring')",1.0,0.0028169014084507044,"('amazing', 'ttekbokki', 'good')",1,0.002824858757062147
29,"('rice',)",2.0,0.0056179775280898875,"('try', 'medusa')",1.0,0.0028169014084507044,"('great', 'amazing', 'ttekbokki')",1,0.002824858757062147
30,"('clean',)",2.0,0.0056179775280898875,"('potato', 'tempura')",1.0,0.0028169014084507044,"('word', 'great', 'amazing')",1,0.002824858757062147
31,"('can',)",2.0,0.0056179775280898875,"('nothing', 'fancy')",1.0,0.0028169014084507044,"('cole', 'word', 'great')",1,0.002824858757062147
32,"('ok',)",2.0,0.0056179775280898875,"('ok', 'nothing')",1.0,0.0028169014084507044,"('dinner', 'cole', 'word')",1,0.002824858757062147
33,"('delicious',)",2.0,0.0056179775280898875,"('medusa', 'dragon')",1.0,0.0028169014084507044,"('great', 'dinner', 'cole')",1,0.002824858757062147
34,"('sure',)",2.0,0.0056179775280898875,"('amazing', 'ttekbokki')",1.0,0.0028169014084507044,"('alone', 'inviting', 'great')",1,0.002824858757062147
35,"('call',)",2.0,0.0056179775280898875,"('great', 'amazing')",1.0,0.0028169014084507044,"('tempura', 'ok', 'nothing')",1,0.002824858757062147
36,"('better',)",2.0,0.0056179775280898875,"('word', 'great')",1.0,0.0028169014084507044,"('decor', 'alone', 'inviting')",1,0.002824858757062147
37,"('korean',)",2.0,0.0056179775280898875,"('cole', 'word')",1.0,0.0028169014084507044,"('love', 'decor', 'alone')",1,0.002824858757062147
38,"('ready',)",2.0,0.0056179775280898875,"('dinner', 'cole')",1.0,0.0028169014084507044,"('others', 'love', 'decor')",1,0.002824858757062147
39,"('decor',)",2.0,0.0056179775280898875,"('great', 'dinner')",1.0,0.0028169014084507044,"('recommend', 'others', 'love')",1,0.002824858757062147
40,"('ambiance',)",2.0,0.0056179775280898875,"('vegan', 'vegetarian')",1.0,0.0028169014084507044,"('still', 'recommend', 'others')",1,0.002824858757062147
41,"('double',)",2.0,0.0056179775280898875,"('inviting', 'great')",1.0,0.0028169014084507044,"('fancy', 'still', 'recommend')",1,0.002824858757062147
42,"('last',)",2.0,0.0056179775280898875,"('alone', 'inviting')",1.0,0.0028169014084507044,"('nothing', 'fancy', 'still')",1,0.002824858757062147
43,"('salad',)",2.0,0.0056179775280898875,"('decor', 'alone')",1.0,0.0028169014084507044,"('ok', 'nothing', 'fancy')",1,0.002824858757062147
44,"('price',)",2.0,0.0056179775280898875,"('love', 'decor')",1.0,0.0028169014084507044,"('philly', 'without', 'question')",1,0.002824858757062147
45,"('reasonable',)",2.0,0.0056179775280898875,"('others', 'love')",1.0,0.0028169014084507044,"('sushis', 'best', 'philly')",1,0.002824858757062147
46,"('philly',)",2.0,0.0056179775280898875,"('recommend', 'others')",1.0,0.0028169014084507044,"('regular', 'chocolate', 'lava')",1,0.002824858757062147
47,"('ahead',)",2.0,0.0056179775280898875,"('still', 'recommend')",1.0,0.0028169014084507044,"('service', 'attractive', 'decor')",1,0.002824858757062147
48,"('tacos',)",2.0,0.0056179775280898875,"('fancy', 'still')",1.0,0.0028169014084507044,"('hamachi', 'verde', 'medusa')",1,0.002824858757062147
49,"('vegan',)",2.0,0.0056179775280898875,"('dragon', 'try')",1.0,0.0028169014084507044,"('tacos', 'hamachi', 'verde')",1,0.002824858757062147
50,"('fabulous',)",2.0,0.0056179775280898875,"('love', 'medusa')",1.0,0.0028169014084507044,"('korean', 'tacos', 'hamachi')",1,0.002824858757062147
51,"('45',)",2.0,0.0056179775280898875,"('fabulous', 'great')",1.0,0.0028169014084507044,"('salad', 'korean', 'tacos')",1,0.002824858757062147
52,"('back',)",2.0,0.0056179775280898875,"('chloe', 'roll')",1.0,0.0028169014084507044,"('calamari', 'salad', 'korean')",1,0.002824858757062147
53,"('sweet',)",1.0,0.0028089887640449437,"('tuna', 'excellent')",1.0,0.0028169014084507044,"('try', 'calamari', 'salad')",1,0.002824858757062147
54,"('choices',)",1.0,0.0028089887640449437,"('naked', 'tuna')",1.0,0.0028169014084507044,"('decor', 'try', 'calamari')",1,0.002824858757062147
55,"('put',)",1.0,0.0028089887640449437,"('roll', 'naked')",1.0,0.0028169014084507044,"('attractive', 'decor', 'try')",1,0.002824858757062147
56,"('edamame',)",1.0,0.0028089887640449437,"('vegan', 'choices')",1.0,0.0028169014084507044,"('great', 'service', 'attractive')",1,0.002824858757062147
57,"('excellent',)",1.0,0.0028089887640449437,"('verde', 'medusa')",1.0,0.0028169014084507044,"('medusa', 'roll', 'naked')",1,0.002824858757062147
58,"('nothing',)",1.0,0.0028089887640449437,"('hamachi', 'verde')",1.0,0.0028169014084507044,"('fabulous', 'great', 'service')",1,0.002824858757062147
59,"('overwhelmed',)",1.0,0.0028089887640449437,"('tacos', 'hamachi')",1.0,0.0028169014084507044,"('go', 'fabulous', 'great')",1,0.002824858757062147
