,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('best',)",5.0,0.029940119760479042,"('alex', 'genius')",2,0.012048192771084338,"('edamame', 'perfect', 'try')",1,0.006060606060606061
1,"('roll',)",5.0,0.029940119760479042,"('edamame', 'perfect')",1,0.006024096385542169,"('far', 'philly', 'spicy')",1,0.006060606060606061
2,"('byob',)",4.0,0.023952095808383235,"('far', 'philly')",1,0.006024096385542169,"('spicy', 'rainbow', 'roll')",1,0.006060606060606061
3,"('special',)",4.0,0.023952095808383235,"('spicy', 'rainbow')",1,0.006024096385542169,"('rainbow', 'roll', 'simply')",1,0.006060606060606061
4,"('maki',)",4.0,0.023952095808383235,"('rainbow', 'roll')",1,0.006024096385542169,"('roll', 'simply', 'fantastic')",1,0.006060606060606061
5,"('anywhere',)",3.0,0.017964071856287425,"('roll', 'simply')",1,0.006024096385542169,"('simply', 'fantastic', 'byob')",1,0.006060606060606061
6,"('philly',)",3.0,0.017964071856287425,"('simply', 'fantastic')",1,0.006024096385542169,"('fantastic', 'byob', 'make')",1,0.006060606060606061
7,"('spicy',)",3.0,0.017964071856287425,"('fantastic', 'byob')",1,0.006024096385542169,"('byob', 'make', 'sure')",1,0.006060606060606061
8,"('kisso',)",3.0,0.017964071856287425,"('byob', 'make')",1,0.006024096385542169,"('make', 'sure', 'bring')",1,0.006060606060606061
9,"('get',)",2.0,0.011976047904191617,"('make', 'sure')",1,0.006024096385542169,"('sure', 'bring', 'level')",1,0.006060606060606061
10,"('good',)",2.0,0.011976047904191617,"('sure', 'bring')",1,0.006024096385542169,"('bring', 'level', 'believe')",1,0.006060606060606061
11,"('great',)",2.0,0.011976047904191617,"('bring', 'level')",1,0.006024096385542169,"('level', 'believe', 'best')",1,0.006060606060606061
12,"('freshest',)",2.0,0.011976047904191617,"('level', 'believe')",1,0.006024096385542169,"('believe', 'best', 'town')",1,0.006060606060606061
13,"('really',)",2.0,0.011976047904191617,"('believe', 'best')",1,0.006024096385542169,"('best', 'town', 'ask')",1,0.006060606060606061
14,"('alex',)",2.0,0.011976047904191617,"('best', 'town')",1,0.006024096385542169,"('town', 'ask', 'chun')",1,0.006060606060606061
15,"('genius',)",2.0,0.011976047904191617,"('town', 'ask')",1,0.006024096385542169,"('ask', 'chun', 'goon')",1,0.006060606060606061
16,"('service',)",2.0,0.011976047904191617,"('ask', 'chun')",1,0.006024096385542169,"('chun', 'goon', 'chefs')",1,0.006060606060606061
17,"('specials',)",2.0,0.011976047904191617,"('chun', 'goon')",1,0.006024096385542169,"('goon', 'chefs', 'special')",1,0.006060606060606061
18,"('ask',)",2.0,0.011976047904191617,"('goon', 'chefs')",1,0.006024096385542169,"('chefs', 'special', 'kisso')",1,0.006060606060606061
19,"('bring',)",2.0,0.011976047904191617,"('philly', 'spicy')",1,0.006024096385542169,"('philly', 'spicy', 'rainbow')",1,0.006060606060606061
20,"('fantastic',)",2.0,0.011976047904191617,"('ive', 'far')",1,0.006024096385542169,"('ive', 'far', 'philly')",1,0.006060606060606061
21,"('delicious',)",2.0,0.011976047904191617,"('special', 'kisso')",1,0.006024096385542169,"('sauce', 'know', 'pink')",1,0.006060606060606061
22,"('simple',)",2.0,0.011976047904191617,"('best', 'ive')",1,0.006024096385542169,"('best', 'ive', 'far')",1,0.006060606060606061
23,"('will',)",1.0,0.005988023952095809,"('pink', 'stuff')",1,0.006024096385542169,"('pink', 'stuff', 'places')",1,0.006060606060606061
24,"('stuff',)",1.0,0.005988023952095809,"('stuff', 'places')",1,0.006024096385542169,"('stuff', 'places', 'roll')",1,0.006060606060606061
25,"('make',)",1.0,0.005988023952095809,"('places', 'roll')",1,0.006024096385542169,"('places', 'roll', 'combo')",1,0.006060606060606061
26,"('sauce',)",1.0,0.005988023952095809,"('roll', 'combo')",1,0.006024096385542169,"('roll', 'combo', 'amazing')",1,0.006060606060606061
27,"('know',)",1.0,0.005988023952095809,"('combo', 'amazing')",1,0.006024096385542169,"('combo', 'amazing', 'go')",1,0.006060606060606061
28,"('pink',)",1.0,0.005988023952095809,"('amazing', 'go')",1,0.006024096385542169,"('amazing', 'go', 'omakase')",1,0.006060606060606061
29,"('simply',)",1.0,0.005988023952095809,"('go', 'omakase')",1,0.006024096385542169,"('go', 'omakase', 'will')",1,0.006060606060606061
30,"('rainbow',)",1.0,0.005988023952095809,"('omakase', 'will')",1,0.006024096385542169,"('omakase', 'will', 'get')",1,0.006060606060606061
31,"('far',)",1.0,0.005988023952095809,"('will', 'get')",1,0.006024096385542169,"('will', 'get', 'special')",1,0.006060606060606061
32,"('ive',)",1.0,0.005988023952095809,"('get', 'special')",1,0.006024096385542169,"('get', 'special', 'creations')",1,0.006060606060606061
33,"('places',)",1.0,0.005988023952095809,"('special', 'creations')",1,0.006024096385542169,"('special', 'creations', 'menu')",1,0.006060606060606061
34,"('level',)",1.0,0.005988023952095809,"('creations', 'menu')",1,0.006024096385542169,"('creations', 'menu', 'really')",1,0.006060606060606061
35,"('maybe',)",1.0,0.005988023952095809,"('menu', 'really')",1,0.006024096385542169,"('menu', 'really', 'really')",1,0.006060606060606061
36,"('menu',)",1.0,0.005988023952095809,"('really', 'really')",1,0.006024096385542169,"('really', 'really', 'good')",1,0.006060606060606061
37,"('combo',)",1.0,0.005988023952095809,"('really', 'good')",1,0.006024096385542169,"('really', 'good', 'maybe')",1,0.006060606060606061
38,"('amazing',)",1.0,0.005988023952095809,"('good', 'maybe')",1,0.006024096385542169,"('good', 'maybe', 'best')",1,0.006060606060606061
39,"('go',)",1.0,0.005988023952095809,"('maybe', 'best')",1,0.006024096385542169,"('maybe', 'best', 'ive')",1,0.006060606060606061
40,"('omakase',)",1.0,0.005988023952095809,"('chefs', 'special')",1,0.006024096385542169,"('special', 'kisso', 'maki')",1,0.006060606060606061
41,"('creations',)",1.0,0.005988023952095809,"('kisso', 'maki')",1,0.006024096385542169,"('kisso', 'maki', 'surprise')",1,0.006060606060606061
42,"('sure',)",1.0,0.005988023952095809,"('sauce', 'know')",1,0.006024096385542169,"('maki', 'surprise', 'nothing')",1,0.006060606060606061
43,"('edamame',)",1.0,0.005988023952095809,"('maki', 'surprise')",1,0.006024096385542169,"('surprise', 'nothing', 'like')",1,0.006060606060606061
44,"('believe',)",1.0,0.005988023952095809,"('freshest', 'incredible')",1,0.006024096385542169,"('freshest', 'incredible', 'anywhere')",1,0.006060606060606061
45,"('town',)",1.0,0.005988023952095809,"('incredible', 'anywhere')",1,0.006024096385542169,"('incredible', 'anywhere', 'alex')",1,0.006060606060606061
46,"('skin',)",1.0,0.005988023952095809,"('anywhere', 'alex')",1,0.006024096385542169,"('anywhere', 'alex', 'genius')",1,0.006060606060606061
47,"('salmon',)",1.0,0.005988023952095809,"('genius', 'pretty')",1,0.006024096385542169,"('alex', 'genius', 'pretty')",1,0.006060606060606061
48,"('gem',)",1.0,0.005988023952095809,"('pretty', 'inside')",1,0.006024096385542169,"('genius', 'pretty', 'inside')",1,0.006060606060606061
49,"('hidden',)",1.0,0.005988023952095809,"('inside', 'service')",1,0.006024096385542169,"('pretty', 'inside', 'service')",1,0.006060606060606061
50,"('favorite',)",1.0,0.005988023952095809,"('service', 'decent')",1,0.006024096385542169,"('inside', 'service', 'decent')",1,0.006060606060606061
51,"('decent',)",1.0,0.005988023952095809,"('decent', 'favorite')",1,0.006024096385542169,"('service', 'decent', 'favorite')",1,0.006060606060606061
52,"('inside',)",1.0,0.005988023952095809,"('favorite', 'philly')",1,0.006024096385542169,"('decent', 'favorite', 'philly')",1,0.006060606060606061
53,"('pretty',)",1.0,0.005988023952095809,"('philly', 'hidden')",1,0.006024096385542169,"('favorite', 'philly', 'hidden')",1,0.006060606060606061
54,"('incredible',)",1.0,0.005988023952095809,"('hidden', 'gem')",1,0.006024096385542169,"('philly', 'hidden', 'gem')",1,0.006060606060606061
55,"('absolute',)",1.0,0.005988023952095809,"('gem', 'byob')",1,0.006024096385542169,"('hidden', 'gem', 'byob')",1,0.006060606060606061
56,"('high',)",1.0,0.005988023952095809,"('byob', 'great')",1,0.006024096385542169,"('gem', 'byob', 'great')",1,0.006060606060606061
57,"('prices',)",1.0,0.005988023952095809,"('great', 'salmon')",1,0.006024096385542169,"('byob', 'great', 'salmon')",1,0.006060606060606061
58,"('small',)",1.0,0.005988023952095809,"('salmon', 'skin')",1,0.006024096385542169,"('great', 'salmon', 'skin')",1,0.006060606060606061
59,"('portions',)",1.0,0.005988023952095809,"('skin', 'roll')",1,0.006024096385542169,"('salmon', 'skin', 'roll')",1,0.006060606060606061
60,"('slow',)",1.0,0.005988023952095809,"('roll', 'tastes')",1,0.006024096385542169,"('skin', 'roll', 'tastes')",1,0.006060606060606061
61,"('presented',)",1.0,0.005988023952095809,"('absolute', 'freshest')",1,0.006024096385542169,"('absolute', 'freshest', 'incredible')",1,0.006060606060606061
62,"('beautifully',)",1.0,0.005988023952095809,"('high', 'absolute')",1,0.006024096385542169,"('high', 'absolute', 'freshest')",1,0.006060606060606061
63,"('fresh',)",1.0,0.005988023952095809,"('prices', 'high')",1,0.006024096385542169,"('prices', 'high', 'absolute')",1,0.006060606060606061
64,"('design',)",1.0,0.005988023952095809,"('best', 'anywhere')",1,0.006024096385542169,"('anywhere', 'fresh', 'beautifully')",1,0.006060606060606061
65,"('like',)",1.0,0.005988023952095809,"('surprise', 'nothing')",1,0.006024096385542169,"('nothing', 'like', 'anywhere')",1,0.006060606060606061
66,"('nothing',)",1.0,0.005988023952095809,"('nothing', 'like')",1,0.006024096385542169,"('like', 'anywhere', 'simple')",1,0.006060606060606061
67,"('surprise',)",1.0,0.005988023952095809,"('like', 'anywhere')",1,0.006024096385542169,"('anywhere', 'simple', 'design')",1,0.006060606060606061
68,"('mayo',)",1.0,0.005988023952095809,"('anywhere', 'simple')",1,0.006024096385542169,"('simple', 'design', 'freshest')",1,0.006060606060606061
69,"('goon',)",1.0,0.005988023952095809,"('simple', 'design')",1,0.006024096385542169,"('design', 'freshest', 'best')",1,0.006060606060606061
70,"('chun',)",1.0,0.005988023952095809,"('design', 'freshest')",1,0.006024096385542169,"('freshest', 'best', 'anywhere')",1,0.006060606060606061
71,"('chefs',)",1.0,0.005988023952095809,"('freshest', 'best')",1,0.006024096385542169,"('best', 'anywhere', 'fresh')",1,0.006060606060606061
72,"('kevin',)",1.0,0.005988023952095809,"('anywhere', 'fresh')",1,0.006024096385542169,"('fresh', 'beautifully', 'presented')",1,0.006060606060606061
73,"('squid',)",1.0,0.005988023952095809,"('small', 'prices')",1,0.006024096385542169,"('small', 'prices', 'high')",1,0.006060606060606061
74,"('bet',)",1.0,0.005988023952095809,"('fresh', 'beautifully')",1,0.006024096385542169,"('beautifully', 'presented', 'alex')",1,0.006060606060606061
75,"('long',)",1.0,0.005988023952095809,"('beautifully', 'presented')",1,0.006024096385542169,"('presented', 'alex', 'genius')",1,0.006060606060606061
76,"('spot',)",1.0,0.005988023952095809,"('presented', 'alex')",1,0.006024096385542169,"('alex', 'genius', 'service')",1,0.006060606060606061
77,"('liberties',)",1.0,0.005988023952095809,"('genius', 'service')",1,0.006024096385542169,"('genius', 'service', 'slow')",1,0.006060606060606061
78,"('northern',)",1.0,0.005988023952095809,"('service', 'slow')",1,0.006024096385542169,"('service', 'slow', 'portions')",1,0.006060606060606061
79,"('koi',)",1.0,0.005988023952095809,"('slow', 'portions')",1,0.006024096385542169,"('slow', 'portions', 'small')",1,0.006060606060606061
80,"('years',)",1.0,0.005988023952095809,"('portions', 'small')",1,0.006024096385542169,"('portions', 'small', 'prices')",1,0.006060606060606061
81,"('10',)",1.0,0.005988023952095809,"('know', 'pink')",1,0.006024096385542169,"('know', 'pink', 'stuff')",1,0.006060606060606061
82,"('eaten',)",1.0,0.005988023952095809,"('spicy', 'sauce')",1,0.006024096385542169,"('spicy', 'sauce', 'know')",1,0.006060606060606061
83,"('havent',)",1.0,0.005988023952095809,"('perfect', 'try')",1,0.006024096385542169,"('perfect', 'try', 'music')",1,0.006060606060606061
84,"('whatever',)",1.0,0.005988023952095809,"('bring', 'whatever')",1,0.006024096385542169,"('bring', 'whatever', 'specials')",1,0.006060606060606061
85,"('say',)",1.0,0.005988023952095809,"('specials', 'havent')",1,0.006024096385542169,"('specials', 'havent', 'eaten')",1,0.006060606060606061
86,"('safe',)",1.0,0.005988023952095809,"('havent', 'eaten')",1,0.006024096385542169,"('havent', 'eaten', '10')",1,0.006060606060606061
87,"('closed',)",1.0,0.005988023952095809,"('eaten', '10')",1,0.006024096385542169,"('eaten', '10', 'years')",1,0.006060606060606061
88,"('cards',)",1.0,0.005988023952095809,"('10', 'years')",1,0.006024096385542169,"('10', 'years', 'koi')",1,0.006060606060606061
89,"('credit',)",1.0,0.005988023952095809,"('years', 'koi')",1,0.006024096385542169,"('years', 'koi', 'northern')",1,0.006060606060606061
90,"('accept',)",1.0,0.005988023952095809,"('koi', 'northern')",1,0.006024096385542169,"('koi', 'northern', 'liberties')",1,0.006060606060606061
91,"('marvelous',)",1.0,0.005988023952095809,"('northern', 'liberties')",1,0.006024096385542169,"('northern', 'liberties', 'spot')",1,0.006060606060606061
92,"('imo',)",1.0,0.005988023952095809,"('liberties', 'spot')",1,0.006024096385542169,"('liberties', 'spot', 'long')",1,0.006060606060606061
93,"('awesome',)",1.0,0.005988023952095809,"('spot', 'long')",1,0.006024096385542169,"('spot', 'long', 'time')",1,0.006060606060606061
94,"('crab',)",1.0,0.005988023952095809,"('long', 'time')",1,0.006024096385542169,"('long', 'time', 'closed')",1,0.006060606060606061
95,"('baked',)",1.0,0.005988023952095809,"('time', 'closed')",1,0.006024096385542169,"('time', 'closed', 'renovations')",1,0.006060606060606061
96,"('box',)",1.0,0.005988023952095809,"('closed', 'renovations')",1,0.006024096385542169,"('closed', 'renovations', 'figures')",1,0.006060606060606061
97,"('music',)",1.0,0.005988023952095809,"('renovations', 'figures')",1,0.006024096385542169,"('renovations', 'figures', 'give')",1,0.006060606060606061
98,"('try',)",1.0,0.005988023952095809,"('figures', 'give')",1,0.006024096385542169,"('figures', 'give', 'kisso')",1,0.006060606060606061
99,"('time',)",1.0,0.005988023952095809,"('give', 'kisso')",1,0.006024096385542169,"('give', 'kisso', 'shot')",1,0.006060606060606061
