,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('good',)",6.0,0.03468208092485549,"('fairly', 'okay')",3.0,0.01744186046511628,"('ate', 'chowcom', 'recommendation')",1,0.005847953216374269
1,"('korean',)",5.0,0.028901734104046242,"('service', 'great')",2.0,0.011627906976744186,"('korean', 'fast', 'service')",1,0.005847953216374269
2,"('great',)",5.0,0.028901734104046242,"('fast', 'service')",1.0,0.005813953488372093,"('korean', 'fairly', 'okay')",1,0.005847953216374269
3,"('service',)",5.0,0.028901734104046242,"('okay', 'korean')",1.0,0.005813953488372093,"('fairly', 'okay', 'variety')",1,0.005847953216374269
4,"('okay',)",3.0,0.017341040462427744,"('korean', 'fairly')",1.0,0.005813953488372093,"('okay', 'variety', 'fairly')",1,0.005847953216374269
5,"('always',)",3.0,0.017341040462427744,"('okay', 'variety')",1.0,0.005813953488372093,"('variety', 'fairly', 'okay')",1,0.005847953216374269
6,"('best',)",3.0,0.017341040462427744,"('variety', 'fairly')",1.0,0.005813953488372093,"('fairly', 'okay', 'service')",1,0.005847953216374269
7,"('area',)",3.0,0.017341040462427744,"('okay', 'service')",1.0,0.005813953488372093,"('okay', 'service', 'great')",1,0.005847953216374269
8,"('fairly',)",3.0,0.017341040462427744,"('great', 'korean')",1.0,0.005813953488372093,"('service', 'great', 'korean')",1,0.005847953216374269
9,"('lunch',)",2.0,0.011560693641618497,"('korean', 'fast')",1.0,0.005813953488372093,"('great', 'korean', 'fast')",1,0.005847953216374269
10,"('sashimi',)",2.0,0.011560693641618497,"('ate', 'chowcom')",1.0,0.005813953488372093,"('fast', 'service', 'wide')",1,0.005847953216374269
11,"('roll',)",2.0,0.011560693641618497,"('ratio', 'koreans')",1.0,0.005813953488372093,"('higher', 'ratio', 'koreans')",1,0.005847953216374269
12,"('kalbi',)",2.0,0.011560693641618497,"('wide', 'choice')",1.0,0.005813953488372093,"('service', 'wide', 'choice')",1,0.005847953216374269
13,"('awesome',)",2.0,0.011560693641618497,"('choice', 'proper')",1.0,0.005813953488372093,"('wide', 'choice', 'proper')",1,0.005847953216374269
14,"('excellent',)",2.0,0.011560693641618497,"('proper', 'measurement')",1.0,0.005813953488372093,"('choice', 'proper', 'measurement')",1,0.005847953216374269
15,"('restaurant',)",2.0,0.011560693641618497,"('measurement', 'good')",1.0,0.005813953488372093,"('proper', 'measurement', 'good')",1,0.005847953216374269
16,"('recommendation',)",2.0,0.011560693641618497,"('good', 'asian')",1.0,0.005813953488372093,"('measurement', 'good', 'asian')",1,0.005847953216374269
17,"('fast',)",1.0,0.005780346820809248,"('asian', 'restaurant')",1.0,0.005813953488372093,"('good', 'asian', 'restaurant')",1,0.005847953216374269
18,"('wide',)",1.0,0.005780346820809248,"('restaurant', 'mirim')",1.0,0.005813953488372093,"('asian', 'restaurant', 'mirim')",1,0.005847953216374269
19,"('proper',)",1.0,0.005780346820809248,"('mirim', 'higher')",1.0,0.005813953488372093,"('restaurant', 'mirim', 'higher')",1,0.005847953216374269
20,"('variety',)",1.0,0.005780346820809248,"('service', 'wide')",1.0,0.005813953488372093,"('okay', 'korean', 'fairly')",1,0.005847953216374269
21,"('measurement',)",1.0,0.005780346820809248,"('outstanding', 'fairly')",1.0,0.005813953488372093,"('fairly', 'okay', 'korean')",1,0.005847953216374269
