,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('service',)",2,0.05555555555555555,"('open', 'air')",1,0.02857142857142857,"('open', 'air', 'comfy')",1.0,0.029411764705882353
1,"('happy',)",1,0.027777777777777776,"('happy', 'service')",1,0.02857142857142857,"('whole', 'happy', 'service')",1.0,0.029411764705882353
2,"('tonight',)",1,0.027777777777777776,"('tonight', 'pork')",1,0.02857142857142857,"('special', 'tonight', 'pork')",1.0,0.029411764705882353
3,"('pork',)",1,0.027777777777777776,"('pork', 'belly')",1,0.02857142857142857,"('tonight', 'pork', 'belly')",1.0,0.029411764705882353
4,"('belly',)",1,0.027777777777777776,"('belly', 'holy')",1,0.02857142857142857,"('pork', 'belly', 'holy')",1.0,0.029411764705882353
5,"('holy',)",1,0.027777777777777776,"('holy', 'crap')",1,0.02857142857142857,"('belly', 'holy', 'crap')",1.0,0.029411764705882353
6,"('crap',)",1,0.027777777777777776,"('crap', 'whole')",1,0.02857142857142857,"('holy', 'crap', 'whole')",1.0,0.029411764705882353
7,"('whole',)",1,0.027777777777777776,"('whole', 'happy')",1,0.02857142857142857,"('crap', 'whole', 'happy')",1.0,0.029411764705882353
8,"('open',)",1,0.027777777777777776,"('service', 'great')",1,0.02857142857142857,"('happy', 'service', 'great')",1.0,0.029411764705882353
9,"('chefs',)",1,0.027777777777777776,"('chefs', 'special')",1,0.02857142857142857,"('air', 'comfy', 'seats')",1.0,0.029411764705882353
10,"('great',)",1,0.027777777777777776,"('great', 'use')",1,0.02857142857142857,"('service', 'great', 'use')",1.0,0.029411764705882353
11,"('use',)",1,0.027777777777777776,"('use', 'work')",1,0.02857142857142857,"('great', 'use', 'work')",1.0,0.029411764705882353
12,"('work',)",1,0.027777777777777776,"('work', 'service')",1,0.02857142857142857,"('use', 'work', 'service')",1.0,0.029411764705882353
13,"('slow',)",1,0.027777777777777776,"('service', 'slow')",1,0.02857142857142857,"('work', 'service', 'slow')",1.0,0.029411764705882353
14,"('treat',)",1,0.027777777777777776,"('slow', 'treat')",1,0.02857142857142857,"('service', 'slow', 'treat')",1.0,0.029411764705882353
15,"('like',)",1,0.027777777777777776,"('treat', 'like')",1,0.02857142857142857,"('slow', 'treat', 'like')",1.0,0.029411764705882353
16,"('special',)",1,0.027777777777777776,"('special', 'tonight')",1,0.02857142857142857,"('chefs', 'special', 'tonight')",1.0,0.029411764705882353
17,"('amaze',)",1,0.027777777777777776,"('amaze', 'chefs')",1,0.02857142857142857,"('amaze', 'chefs', 'special')",1.0,0.029411764705882353
18,"('air',)",1,0.027777777777777776,"('air', 'comfy')",1,0.02857142857142857,"('help', 'amaze', 'chefs')",1.0,0.029411764705882353
19,"('11212020',)",1,0.027777777777777776,"('11212020', 'means')",1,0.02857142857142857,"('servers', 'help', 'amaze')",1.0,0.029411764705882353
20,"('comfy',)",1,0.027777777777777776,"('comfy', 'seats')",1,0.02857142857142857,"('friendly', 'servers', 'help')",1.0,0.029411764705882353
21,"('seats',)",1,0.027777777777777776,"('seats', 'good')",1,0.02857142857142857,"('ask', 'friendly', 'servers')",1.0,0.029411764705882353
22,"('good',)",1,0.027777777777777776,"('good', 'wine')",1,0.02857142857142857,"('glass', 'ask', 'friendly')",1.0,0.029411764705882353
23,"('wine',)",1,0.027777777777777776,"('wine', 'phase')",1,0.02857142857142857,"('pour', 'glass', 'ask')",1.0,0.029411764705882353
24,"('phase',)",1,0.027777777777777776,"('phase', '2')",1,0.02857142857142857,"('cant', 'pour', 'glass')",1.0,0.029411764705882353
25,"('2',)",1,0.027777777777777776,"('2', '11212020')",1,0.02857142857142857,"('means', 'cant', 'pour')",1.0,0.029411764705882353
26,"('means',)",1,0.027777777777777776,"('means', 'cant')",1,0.02857142857142857,"('11212020', 'means', 'cant')",1.0,0.029411764705882353
27,"('help',)",1,0.027777777777777776,"('help', 'amaze')",1,0.02857142857142857,"('2', '11212020', 'means')",1.0,0.029411764705882353
28,"('cant',)",1,0.027777777777777776,"('cant', 'pour')",1,0.02857142857142857,"('phase', '2', '11212020')",1.0,0.029411764705882353
29,"('pour',)",1,0.027777777777777776,"('pour', 'glass')",1,0.02857142857142857,"('wine', 'phase', '2')",1.0,0.029411764705882353
30,"('glass',)",1,0.027777777777777776,"('glass', 'ask')",1,0.02857142857142857,"('good', 'wine', 'phase')",1.0,0.029411764705882353
31,"('ask',)",1,0.027777777777777776,"('ask', 'friendly')",1,0.02857142857142857,"('seats', 'good', 'wine')",1.0,0.029411764705882353
32,"('friendly',)",1,0.027777777777777776,"('friendly', 'servers')",1,0.02857142857142857,"('comfy', 'seats', 'good')",1.0,0.029411764705882353
33,"('servers',)",1,0.027777777777777776,"('servers', 'help')",1,0.02857142857142857,"('treat', 'like', 'inconvenience')",1.0,0.029411764705882353
34,"('inconvenience',)",1,0.027777777777777776,"('like', 'inconvenience')",1,0.02857142857142857,,,
