,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",7.0,0.07291666666666667,"('nice', 'staff')",3.0,0.031578947368421054,"('spicy', 'kani', 'salad')",3,0.031914893617021274
1,"('good',)",7.0,0.07291666666666667,"('spicy', 'kani')",3.0,0.031578947368421054,"('nice', 'staff', 'good')",2,0.02127659574468085
2,"('nice',)",4.0,0.041666666666666664,"('kani', 'salad')",3.0,0.031578947368421054,"('good', 'great', 'hibachi')",2,0.02127659574468085
3,"('staff',)",4.0,0.041666666666666664,"('good', 'great')",2.0,0.021052631578947368,"('white', 'tuna', 'sushimi')",1,0.010638297872340425
4,"('hibachi',)",3.0,0.03125,"('great', 'hibachi')",2.0,0.021052631578947368,"('fresh', 'original', 'great')",1,0.010638297872340425
5,"('spicy',)",3.0,0.03125,"('staff', 'good')",2.0,0.021052631578947368,"('tasty', 'little', 'expensive')",1,0.010638297872340425
6,"('kani',)",3.0,0.03125,"('white', 'tuna')",1.0,0.010526315789473684,"('speed', 'tasty', 'little')",1,0.010638297872340425
7,"('salad',)",3.0,0.03125,"('great', 'presentation')",1.0,0.010526315789473684,"('good', 'speed', 'tasty')",1,0.010638297872340425
8,"('best',)",2.0,0.020833333333333332,"('little', 'expensive')",1.0,0.010526315789473684,"('staff', 'good', 'speed')",1,0.010638297872340425
9,"('roll',)",2.0,0.020833333333333332,"('tasty', 'little')",1.0,0.010526315789473684,"('presentation', 'nice', 'staff')",1,0.010638297872340425
10,"('tasty',)",2.0,0.020833333333333332,"('speed', 'tasty')",1.0,0.010526315789473684,"('great', 'presentation', 'nice')",1,0.010638297872340425
11,"('excellent',)",2.0,0.020833333333333332,"('good', 'speed')",1.0,0.010526315789473684,"('original', 'great', 'presentation')",1,0.010638297872340425
12,"('friendly',)",2.0,0.020833333333333332,"('presentation', 'nice')",1.0,0.010526315789473684,"('friendly', 'fresh', 'original')",1,0.010638297872340425
13,"('presentation',)",1.0,0.010416666666666666,"('fresh', 'original')",1.0,0.010526315789473684,"('expensive', 'side', 'mt')",1,0.010638297872340425
14,"('expensive',)",1.0,0.010416666666666666,"('original', 'great')",1.0,0.010526315789473684,"('clean', 'friendly', 'fresh')",1,0.010638297872340425
15,"('speed',)",1.0,0.010416666666666666,"('side', 'mt')",1.0,0.010526315789473684,"('order', 'clean', 'friendly')",1,0.010638297872340425
16,"('fresh',)",1.0,0.010416666666666666,"('friendly', 'fresh')",1.0,0.010526315789473684,"('will', 'order', 'clean')",1,0.010638297872340425
17,"('clean',)",1.0,0.010416666666666666,"('clean', 'friendly')",1.0,0.010526315789473684,"('enjoyed', 'will', 'order')",1,0.010638297872340425
18,"('little',)",1.0,0.010416666666666666,"('order', 'clean')",1.0,0.010526315789473684,"('staff', 'enjoyed', 'will')",1,0.010638297872340425
19,"('order',)",1.0,0.010416666666666666,"('will', 'order')",1.0,0.010526315789473684,"('nice', 'staff', 'enjoyed')",1,0.010638297872340425
20,"('will',)",1.0,0.010416666666666666,"('enjoyed', 'will')",1.0,0.010526315789473684,"('delivery', 'nice', 'staff')",1,0.010638297872340425
21,"('original',)",1.0,0.010416666666666666,"('staff', 'enjoyed')",1.0,0.010526315789473684,"('easy', 'delivery', 'nice')",1,0.010638297872340425
22,"('white',)",1.0,0.010416666666666666,"('expensive', 'side')",1.0,0.010526315789473684,"('little', 'expensive', 'side')",1,0.010638297872340425
23,"('side',)",1.0,0.010416666666666666,"('laurel', 'roll')",1.0,0.010526315789473684,"('side', 'mt', 'laurel')",1,0.010638297872340425
24,"('mt',)",1.0,0.010416666666666666,"('mt', 'laurel')",1.0,0.010526315789473684,"('great', 'super', 'easy')",1,0.010638297872340425
25,"('laurel',)",1.0,0.010416666666666666,"('recommend', 'bento')",1.0,0.010526315789473684,"('mt', 'laurel', 'roll')",1,0.010638297872340425
26,"('rocked',)",1.0,0.010416666666666666,"('deal', 'good')",1.0,0.010526315789473684,"('great', 'deal', 'good')",1,0.010638297872340425
27,"('service',)",1.0,0.010416666666666666,"('great', 'deal')",1.0,0.010526315789473684,"('tasty', 'great', 'deal')",1,0.010638297872340425
28,"('outstanding',)",1.0,0.010416666666666666,"('tasty', 'great')",1.0,0.010526315789473684,"('really', 'tasty', 'great')",1,0.010638297872340425
29,"('prices',)",1.0,0.010416666666666666,"('really', 'tasty')",1.0,0.010526315789473684,"('special', 'really', 'tasty')",1,0.010638297872340425
30,"('recommend',)",1.0,0.010416666666666666,"('special', 'really')",1.0,0.010526315789473684,"('lunch', 'special', 'really')",1,0.010638297872340425
31,"('bento',)",1.0,0.010416666666666666,"('lunch', 'special')",1.0,0.010526315789473684,"('box', 'lunch', 'special')",1,0.010638297872340425
32,"('box',)",1.0,0.010416666666666666,"('box', 'lunch')",1.0,0.010526315789473684,"('bento', 'box', 'lunch')",1,0.010638297872340425
33,"('lunch',)",1.0,0.010416666666666666,"('bento', 'box')",1.0,0.010526315789473684,"('recommend', 'bento', 'box')",1,0.010638297872340425
34,"('special',)",1.0,0.010416666666666666,"('prices', 'recommend')",1.0,0.010526315789473684,"('prices', 'recommend', 'bento')",1,0.010638297872340425
35,"('really',)",1.0,0.010416666666666666,"('easy', 'delivery')",1.0,0.010526315789473684,"('good', 'prices', 'recommend')",1,0.010638297872340425
36,"('deal',)",1.0,0.010416666666666666,"('good', 'prices')",1.0,0.010526315789473684,"('staff', 'good', 'prices')",1,0.010638297872340425
37,"('enjoyed',)",1.0,0.010416666666666666,"('outstanding', 'nice')",1.0,0.010526315789473684,"('outstanding', 'nice', 'staff')",1,0.010638297872340425
38,"('close',)",1.0,0.010416666666666666,"('service', 'outstanding')",1.0,0.010526315789473684,"('service', 'outstanding', 'nice')",1,0.010638297872340425
39,"('delivery',)",1.0,0.010416666666666666,"('good', 'service')",1.0,0.010526315789473684,"('good', 'service', 'outstanding')",1,0.010638297872340425
40,"('easy',)",1.0,0.010416666666666666,"('good', 'good')",1.0,0.010526315789473684,"('good', 'good', 'service')",1,0.010638297872340425
41,"('sushimi',)",1.0,0.010416666666666666,"('nice', 'good')",1.0,0.010526315789473684,"('nice', 'good', 'good')",1,0.010638297872340425
42,"('amazing',)",1.0,0.010416666666666666,"('rocked', 'nice')",1.0,0.010526315789473684,"('rocked', 'nice', 'good')",1,0.010638297872340425
43,"('beautiful',)",1.0,0.010416666666666666,"('roll', 'rocked')",1.0,0.010526315789473684,"('roll', 'rocked', 'nice')",1,0.010638297872340425
44,"('ambiance',)",1.0,0.010416666666666666,"('delivery', 'nice')",1.0,0.010526315789473684,"('laurel', 'roll', 'rocked')",1,0.010638297872340425
45,"('try',)",1.0,0.010416666666666666,"('great', 'super')",1.0,0.010526315789473684,"('super', 'easy', 'delivery')",1,0.010638297872340425
46,"('enjoy',)",1.0,0.010416666666666666,"('super', 'easy')",1.0,0.010526315789473684,"('great', 'great', 'super')",1,0.010638297872340425
47,"('also',)",1.0,0.010416666666666666,"('tuna', 'sushimi')",1.0,0.010526315789473684,"('tuna', 'sushimi', 'amazing')",1,0.010638297872340425
48,"('byob',)",1.0,0.010416666666666666,"('hibachi', 'best')",1.0,0.010526315789473684,"('salad', 'also', 'byob')",1,0.010638297872340425
49,"('dont',)",1.0,0.010416666666666666,"('know', 'hibachi')",1.0,0.010526315789473684,"('know', 'hibachi', 'best')",1,0.010638297872340425
50,"('mind',)",1.0,0.010416666666666666,"('everyone', 'know')",1.0,0.010526315789473684,"('everyone', 'know', 'hibachi')",1,0.010638297872340425
51,"('seeing',)",1.0,0.010416666666666666,"('seeing', 'everyone')",1.0,0.010526315789473684,"('seeing', 'everyone', 'know')",1,0.010638297872340425
52,"('everyone',)",1.0,0.010416666666666666,"('mind', 'seeing')",1.0,0.010526315789473684,"('mind', 'seeing', 'everyone')",1,0.010638297872340425
53,"('know',)",1.0,0.010416666666666666,"('dont', 'mind')",1.0,0.010526315789473684,"('dont', 'mind', 'seeing')",1,0.010638297872340425
54,"('curry',)",1.0,0.010416666666666666,"('great', 'dont')",1.0,0.010526315789473684,"('great', 'dont', 'mind')",1,0.010638297872340425
55,"('pink',)",1.0,0.010416666666666666,"('byob', 'great')",1.0,0.010526315789473684,"('byob', 'great', 'dont')",1,0.010638297872340425
56,"('lady',)",1.0,0.010416666666666666,"('also', 'byob')",1.0,0.010526315789473684,"('also', 'byob', 'great')",1,0.010638297872340425
57,"('delicious',)",1.0,0.010416666666666666,"('salad', 'also')",1.0,0.010526315789473684,"('kani', 'salad', 'also')",1,0.010638297872340425
58,"('perfect',)",1.0,0.010416666666666666,"('enjoy', 'spicy')",1.0,0.010526315789473684,"('best', 'spicy', 'kani')",1,0.010638297872340425
59,"('birthday',)",1.0,0.010416666666666666,"('salad', 'enjoy')",1.0,0.010526315789473684,"('enjoy', 'spicy', 'kani')",1,0.010638297872340425
60,"('avocado',)",1.0,0.010416666666666666,"('try', 'spicy')",1.0,0.010526315789473684,"('salad', 'enjoy', 'spicy')",1,0.010638297872340425
61,"('favorite',)",1.0,0.010416666666666666,"('ambiance', 'try')",1.0,0.010526315789473684,"('kani', 'salad', 'enjoy')",1,0.010638297872340425
62,"('tuna',)",1.0,0.010416666666666666,"('beautiful', 'ambiance')",1.0,0.010526315789473684,"('try', 'spicy', 'kani')",1,0.010638297872340425
63,"('super',)",1.0,0.010416666666666666,"('amazing', 'beautiful')",1.0,0.010526315789473684,"('ambiance', 'try', 'spicy')",1,0.010638297872340425
64,"('af',)",1.0,0.010416666666666666,"('sushimi', 'amazing')",1.0,0.010526315789473684,"('beautiful', 'ambiance', 'try')",1,0.010638297872340425
