,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('service',)",7.0,0.056,"('great', 'service')",2.0,0.016129032258064516,"('good', 'eat', 'nice')",1,0.008130081300813009
1,"('good',)",6.0,0.048,"('service', 'big')",2.0,0.016129032258064516,"('boyfriend', 'went', 'vacation')",1,0.008130081300813009
2,"('great',)",6.0,0.048,"('good', 'eat')",1.0,0.008064516129032258,"('great', 'great', 'boyfriend')",1,0.008130081300813009
3,"('fast',)",3.0,0.024,"('fly', 'oh')",1.0,0.008064516129032258,"('huge', 'great', 'great')",1,0.008130081300813009
4,"('big',)",3.0,0.024,"('great', 'great')",1.0,0.008064516129032258,"('meals', 'huge', 'great')",1,0.008130081300813009
5,"('ever',)",3.0,0.024,"('huge', 'great')",1.0,0.008064516129032258,"('average', 'meals', 'huge')",1,0.008130081300813009
6,"('best',)",3.0,0.024,"('meals', 'huge')",1.0,0.008064516129032258,"('fast', 'average', 'meals')",1,0.008130081300813009
7,"('cilantro',)",2.0,0.016,"('average', 'meals')",1.0,0.008064516129032258,"('delivery', 'fast', 'average')",1,0.008130081300813009
8,"('delicious',)",2.0,0.016,"('fast', 'average')",1.0,0.008064516129032258,"('ever', 'delivery', 'fast')",1,0.008130081300813009
9,"('little',)",2.0,0.016,"('delivery', 'fast')",1.0,0.008064516129032258,"('soup', 'ever', 'delivery')",1,0.008130081300813009
10,"('average',)",2.0,0.016,"('ever', 'delivery')",1.0,0.008064516129032258,"('best', 'soup', 'ever')",1,0.008130081300813009
11,"('eat',)",2.0,0.016,"('soup', 'ever')",1.0,0.008064516129032258,"('goodness', 'best', 'soup')",1,0.008130081300813009
12,"('chicken',)",2.0,0.016,"('best', 'soup')",1.0,0.008064516129032258,"('oh', 'goodness', 'best')",1,0.008130081300813009
13,"('went',)",2.0,0.016,"('goodness', 'best')",1.0,0.008064516129032258,"('fly', 'oh', 'goodness')",1,0.008130081300813009
14,"('curry',)",2.0,0.016,"('oh', 'goodness')",1.0,0.008064516129032258,"('little', 'fly', 'oh')",1,0.008130081300813009
15,"('excellent',)",2.0,0.016,"('little', 'fly')",1.0,0.008064516129032258,"('slow', 'little', 'fly')",1,0.008130081300813009
16,"('yummy',)",2.0,0.016,"('boyfriend', 'went')",1.0,0.008064516129032258,"('kind', 'slow', 'little')",1,0.008130081300813009
17,"('soup',)",2.0,0.016,"('slow', 'little')",1.0,0.008064516129032258,"('service', 'kind', 'slow')",1,0.008130081300813009
18,"('red',)",2.0,0.016,"('kind', 'slow')",1.0,0.008064516129032258,"('okay', 'service', 'kind')",1,0.008130081300813009
19,"('amazing',)",2.0,0.016,"('service', 'kind')",1.0,0.008064516129032258,"('regular', 'okay', 'service')",1,0.008130081300813009
20,"('salted',)",2.0,0.016,"('okay', 'service')",1.0,0.008064516129032258,"('im', 'regular', 'okay')",1,0.008130081300813009
21,"('kind',)",1.0,0.008,"('regular', 'okay')",1.0,0.008064516129032258,"('delicious', 'im', 'regular')",1,0.008130081300813009
22,"('oh',)",1.0,0.008,"('im', 'regular')",1.0,0.008064516129032258,"('service', 'delicious', 'im')",1,0.008130081300813009
23,"('fly',)",1.0,0.008,"('delicious', 'im')",1.0,0.008064516129032258,"('excellent', 'service', 'delicious')",1,0.008130081300813009
24,"('stay',)",1.0,0.008,"('service', 'delicious')",1.0,0.008064516129032258,"('take', 'excellent', 'service')",1,0.008130081300813009
25,"('slow',)",1.0,0.008,"('excellent', 'service')",1.0,0.008064516129032258,"('pretty', 'take', 'excellent')",1,0.008130081300813009
26,"('dont',)",1.0,0.008,"('take', 'excellent')",1.0,0.008064516129032258,"('eat', 'pretty', 'take')",1,0.008130081300813009
27,"('goodness',)",1.0,0.008,"('pretty', 'take')",1.0,0.008064516129032258,"('awesome', 'eat', 'pretty')",1,0.008130081300813009
28,"('okay',)",1.0,0.008,"('eat', 'pretty')",1.0,0.008064516129032258,"('pricey', 'awesome', 'eat')",1,0.008130081300813009
29,"('regular',)",1.0,0.008,"('awesome', 'eat')",1.0,0.008064516129032258,"('great', 'boyfriend', 'went')",1,0.008130081300813009
30,"('im',)",1.0,0.008,"('great', 'boyfriend')",1.0,0.008064516129032258,"('went', 'vacation', 'top')",1,0.008130081300813009
31,"('weve',)",1.0,0.008,"('went', 'vacation')",1.0,0.008064516129032258,"('everyone', 'little', 'pricey')",1,0.008130081300813009
32,"('coming',)",1.0,0.008,"('little', 'pricey')",1.0,0.008064516129032258,"('vacation', 'top', 'notch')",1,0.008130081300813009
33,"('always',)",1.0,0.008,"('dont', 'cilantro')",1.0,0.008064516129032258,"('weve', 'coming', 'years')",1,0.008130081300813009
34,"('meals',)",1.0,0.008,"('coming', 'years')",1.0,0.008064516129032258,"('delicious', 'weve', 'coming')",1,0.008130081300813009
35,"('delivery',)",1.0,0.008,"('weve', 'coming')",1.0,0.008064516129032258,"('always', 'delicious', 'weve')",1,0.008130081300813009
36,"('premise',)",1.0,0.008,"('delicious', 'weve')",1.0,0.008064516129032258,"('stay', 'always', 'delicious')",1,0.008130081300813009
37,"('huge',)",1.0,0.008,"('always', 'delicious')",1.0,0.008064516129032258,"('weekend', 'stay', 'always')",1,0.008130081300813009
38,"('boyfriend',)",1.0,0.008,"('stay', 'always')",1.0,0.008064516129032258,"('twice', 'weekend', 'stay')",1,0.008130081300813009
39,"('vacation',)",1.0,0.008,"('weekend', 'stay')",1.0,0.008064516129032258,"('beck', 'twice', 'weekend')",1,0.008130081300813009
40,"('top',)",1.0,0.008,"('twice', 'weekend')",1.0,0.008064516129032258,"('went', 'beck', 'twice')",1,0.008130081300813009
41,"('weekend',)",1.0,0.008,"('beck', 'twice')",1.0,0.008064516129032258,"('good', 'went', 'beck')",1,0.008130081300813009
42,"('notch',)",1.0,0.008,"('went', 'beck')",1.0,0.008064516129032258,"('premise', 'good', 'went')",1,0.008130081300813009
43,"('take',)",1.0,0.008,"('good', 'went')",1.0,0.008064516129032258,"('cilantro', 'premise', 'good')",1,0.008130081300813009
44,"('cashew',)",1.0,0.008,"('premise', 'good')",1.0,0.008064516129032258,"('dont', 'cilantro', 'premise')",1,0.008130081300813009
45,"('happy',)",1.0,0.008,"('cilantro', 'premise')",1.0,0.008064516129032258,"('cilantro', 'dont', 'cilantro')",1,0.008130081300813009
46,"('twice',)",1.0,0.008,"('cilantro', 'dont')",1.0,0.008064516129032258,"('love', 'cilantro', 'dont')",1,0.008130081300813009
47,"('beck',)",1.0,0.008,"('vacation', 'top')",1.0,0.008064516129032258,"('everything', 'love', 'cilantro')",1,0.008130081300813009
48,"('everything',)",1.0,0.008,"('love', 'cilantro')",1.0,0.008064516129032258,"('happy', 'everything', 'love')",1,0.008130081300813009
49,"('love',)",1.0,0.008,"('everything', 'love')",1.0,0.008064516129032258,"('service', 'happy', 'everything')",1,0.008130081300813009
50,"('thought',)",1.0,0.008,"('happy', 'everything')",1.0,0.008064516129032258,"('great', 'service', 'happy')",1,0.008130081300813009
51,"('ok',)",1.0,0.008,"('service', 'happy')",1.0,0.008064516129032258,"('excellent', 'great', 'service')",1,0.008130081300813009
52,"('pretty',)",1.0,0.008,"('excellent', 'great')",1.0,0.008064516129032258,"('chicken', 'excellent', 'great')",1,0.008130081300813009
53,"('sick',)",1.0,0.008,"('chicken', 'excellent')",1.0,0.008064516129032258,"('cashew', 'chicken', 'excellent')",1,0.008130081300813009
54,"('delish',)",1.0,0.008,"('cashew', 'chicken')",1.0,0.008064516129032258,"('good', 'cashew', 'chicken')",1,0.008130081300813009
55,"('tasted',)",1.0,0.008,"('good', 'cashew')",1.0,0.008064516129032258,"('thought', 'good', 'cashew')",1,0.008130081300813009
56,"('back',)",1.0,0.008,"('thought', 'good')",1.0,0.008064516129032258,"('service', 'thought', 'good')",1,0.008130081300813009
57,"('going',)",1.0,0.008,"('service', 'thought')",1.0,0.008064516129032258,"('great', 'service', 'thought')",1,0.008130081300813009
58,"('never',)",1.0,0.008,"('notch', 'great')",1.0,0.008064516129032258,"('notch', 'great', 'service')",1,0.008130081300813009
59,"('days',)",1.0,0.008,"('top', 'notch')",1.0,0.008064516129032258,"('top', 'notch', 'great')",1,0.008130081300813009
60,"('nasty',)",1.0,0.008,"('pricey', 'awesome')",1.0,0.008064516129032258,"('little', 'pricey', 'awesome')",1,0.008130081300813009
61,"('fresh',)",1.0,0.008,"('everyone', 'little')",1.0,0.008064516129032258,"('something', 'everyone', 'little')",1,0.008130081300813009
62,"('roll',)",1.0,0.008,"('eat', 'nice')",1.0,0.008064516129032258,"('eat', 'nice', 'people')",1,0.008130081300813009
63,"('dragon',)",1.0,0.008,"('something', 'everyone')",1.0,0.008064516129032258,"('fresh', 'big', 'khao')",1,0.008130081300813009
64,"('miso',)",1.0,0.008,"('ever', 'alway')",1.0,0.008064516129032258,"('ever', 'alway', 'fresh')",1,0.008130081300813009
65,"('edamame',)",1.0,0.008,"('best', 'ever')",1.0,0.008064516129032258,"('best', 'ever', 'alway')",1,0.008130081300813009
66,"('people',)",1.0,0.008,"('delish', 'best')",1.0,0.008064516129032258,"('delish', 'best', 'ever')",1,0.008130081300813009
67,"('nice',)",1.0,0.008,"('tasted', 'delish')",1.0,0.008064516129032258,"('tasted', 'delish', 'best')",1,0.008130081300813009
68,"('alway',)",1.0,0.008,"('ever', 'tasted')",1.0,0.008064516129032258,"('ever', 'tasted', 'delish')",1,0.008130081300813009
69,"('khao',)",1.0,0.008,"('curry', 'ever')",1.0,0.008064516129032258,"('curry', 'ever', 'tasted')",1,0.008130081300813009
70,"('awesome',)",1.0,0.008,"('best', 'curry')",1.0,0.008064516129032258,"('best', 'curry', 'ever')",1,0.008130081300813009
71,"('fantastic',)",1.0,0.008,"('amazing', 'best')",1.0,0.008064516129032258,"('amazing', 'best', 'curry')",1,0.008130081300813009
72,"('pricey',)",1.0,0.008,"('back', 'amazing')",1.0,0.008064516129032258,"('back', 'amazing', 'best')",1,0.008130081300813009
73,"('everyone',)",1.0,0.008,"('going', 'back')",1.0,0.008064516129032258,"('going', 'back', 'amazing')",1,0.008130081300813009
74,"('something',)",1.0,0.008,"('never', 'going')",1.0,0.008064516129032258,"('never', 'going', 'back')",1,0.008130081300813009
75,"('menu',)",1.0,0.008,"('days', 'never')",1.0,0.008064516129032258,"('days', 'never', 'going')",1,0.008130081300813009
76,"('lunch',)",1.0,0.008,"('sick', 'days')",1.0,0.008064516129032258,"('sick', 'days', 'never')",1,0.008130081300813009
77,"('innout',)",1.0,0.008,"('nasty', 'sick')",1.0,0.008064516129032258,"('nasty', 'sick', 'days')",1,0.008130081300813009
78,"('proportions',)",1.0,0.008,"('amazing', 'nasty')",1.0,0.008064516129032258,"('amazing', 'nasty', 'sick')",1,0.008130081300813009
79,"('soi',)",1.0,0.008,"('roll', 'amazing')",1.0,0.008064516129032258,"('roll', 'amazing', 'nasty')",1,0.008130081300813009
80,"('fair',)",1.0,0.008,"('dragon', 'roll')",1.0,0.008064516129032258,"('dragon', 'roll', 'amazing')",1,0.008130081300813009
81,"('parking',)",1.0,0.008,"('red', 'dragon')",1.0,0.008064516129032258,"('red', 'dragon', 'roll')",1,0.008130081300813009
82,"('poor',)",1.0,0.008,"('yummy', 'red')",1.0,0.008064516129032258,"('yummy', 'red', 'dragon')",1,0.008130081300813009
83,"('real',)",1.0,0.008,"('soup', 'yummy')",1.0,0.008064516129032258,"('soup', 'yummy', 'red')",1,0.008130081300813009
84,"('decent',)",1.0,0.008,"('miso', 'soup')",1.0,0.008064516129032258,"('miso', 'soup', 'yummy')",1,0.008130081300813009
85,"('word',)",1.0,0.008,"('salted', 'miso')",1.0,0.008064516129032258,"('salted', 'miso', 'soup')",1,0.008130081300813009
