,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('order',)",3.0,0.0410958904109589,"('check', 'sj')",1,0.013888888888888888,"('check', 'sj', '2')",1.0,0.014084507042253521
1,"('always',)",2.0,0.0273972602739726,"('sj', '2')",1,0.013888888888888888,"('especially', 'like', 'lunch')",1.0,0.014084507042253521
2,"('local',)",2.0,0.0273972602739726,"('taste', 'always')",1,0.013888888888888888,"('price', 'taste', 'always')",1.0,0.014084507042253521
3,"('get',)",2.0,0.0273972602739726,"('price', 'taste')",1,0.013888888888888888,"('great', 'price', 'taste')",1.0,0.014084507042253521
4,"('chinese',)",2.0,0.0273972602739726,"('great', 'price')",1,0.013888888888888888,"('decent', 'great', 'price')",1.0,0.014084507042253521
5,"('fast',)",2.0,0.0273972602739726,"('decent', 'great')",1,0.013888888888888888,"('menu', 'decent', 'great')",1.0,0.014084507042253521
6,"('spot',)",2.0,0.0273972602739726,"('menu', 'decent')",1,0.013888888888888888,"('lunch', 'menu', 'decent')",1.0,0.014084507042253521
7,"('lunch',)",1.0,0.0136986301369863,"('lunch', 'menu')",1,0.013888888888888888,"('like', 'lunch', 'menu')",1.0,0.014084507042253521
8,"('price',)",1.0,0.0136986301369863,"('like', 'lunch')",1,0.013888888888888888,"('time', 'especially', 'like')",1.0,0.014084507042253521
9,"('great',)",1.0,0.0136986301369863,"('especially', 'like')",1,0.013888888888888888,"('always', 'enjoy', 'local')",1.0,0.014084507042253521
10,"('decent',)",1.0,0.0136986301369863,"('time', 'especially')",1,0.013888888888888888,"('takeout', 'time', 'especially')",1.0,0.014084507042253521
11,"('menu',)",1.0,0.0136986301369863,"('takeout', 'time')",1,0.013888888888888888,"('order', 'takeout', 'time')",1.0,0.014084507042253521
12,"('check',)",1.0,0.0136986301369863,"('order', 'takeout')",1,0.013888888888888888,"('eating', 'order', 'takeout')",1.0,0.014084507042253521
13,"('like',)",1.0,0.0136986301369863,"('eating', 'order')",1,0.013888888888888888,"('love', 'eating', 'order')",1.0,0.014084507042253521
