,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('hour',)",9.0,0.08737864077669903,"('happy', 'hour')",9.0,0.08823529411764706,"('really', 'incredible', 'kind')",1,0.009900990099009901
1,"('happy',)",9.0,0.08737864077669903,"('really', 'incredible')",1.0,0.00980392156862745,"('hour', 'service', 'horrible')",1,0.009900990099009901
2,"('seat',)",2.0,0.019417475728155338,"('horrible', 'best')",1.0,0.00980392156862745,"('expect', 'seat', 'seat')",1,0.009900990099009901
3,"('favorite',)",2.0,0.019417475728155338,"('seat', 'seat')",1.0,0.00980392156862745,"('dont', 'expect', 'seat')",1,0.009900990099009901
4,"('dont',)",2.0,0.019417475728155338,"('expect', 'seat')",1.0,0.00980392156862745,"('japan', 'dont', 'expect')",1,0.009900990099009901
5,"('service',)",2.0,0.019417475728155338,"('dont', 'expect')",1.0,0.00980392156862745,"('whit', 'japan', 'dont')",1,0.009900990099009901
6,"('great',)",2.0,0.019417475728155338,"('japan', 'dont')",1.0,0.00980392156862745,"('fusion', 'whit', 'japan')",1,0.009900990099009901
7,"('town',)",2.0,0.019417475728155338,"('whit', 'japan')",1.0,0.00980392156862745,"('mexican', 'fusion', 'whit')",1,0.009900990099009901
8,"('really',)",2.0,0.019417475728155338,"('fusion', 'whit')",1.0,0.00980392156862745,"('town', 'mexican', 'fusion')",1,0.009900990099009901
9,"('mexican',)",1.0,0.009708737864077669,"('mexican', 'fusion')",1.0,0.00980392156862745,"('best', 'town', 'mexican')",1,0.009900990099009901
10,"('fusion',)",1.0,0.009708737864077669,"('town', 'mexican')",1.0,0.00980392156862745,"('horrible', 'best', 'town')",1,0.009900990099009901
11,"('best',)",1.0,0.009708737864077669,"('best', 'town')",1.0,0.00980392156862745,"('service', 'horrible', 'best')",1,0.009900990099009901
12,"('gets',)",1.0,0.009708737864077669,"('service', 'horrible')",1.0,0.00980392156862745,"('happy', 'hour', 'service')",1,0.009900990099009901
13,"('horrible',)",1.0,0.009708737864077669,"('kinda', 'thing')",1.0,0.00980392156862745,"('says', 'big', 'delicious')",1,0.009900990099009901
14,"('whit',)",1.0,0.009708737864077669,"('hour', 'service')",1.0,0.00980392156862745,"('love', 'happy', 'hour')",1,0.009900990099009901
15,"('love',)",1.0,0.009708737864077669,"('love', 'happy')",1.0,0.00980392156862745,"('favorite', 'love', 'happy')",1,0.009900990099009901
16,"('avocado',)",1.0,0.009708737864077669,"('favorite', 'love')",1.0,0.00980392156862745,"('avocado', 'favorite', 'love')",1,0.009900990099009901
