,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('good',)",18.0,0.0375,"('pad', 'thai')",5.0,0.010438413361169102,"('great', 'service', 'will')",2,0.0041841004184100415
1,"('great',)",15.0,0.03125,"('really', 'good')",5.0,0.010438413361169102,"('service', 'will', 'definitely')",2,0.0041841004184100415
2,"('thai',)",14.0,0.029166666666666667,"('great', 'service')",3.0,0.006263048016701462,"('leave', 'kids', 'home')",2,0.0041841004184100415
3,"('best',)",9.0,0.01875,"('best', 'around')",3.0,0.006263048016701462,"('time', 'best', 'around')",2,0.0041841004184100415
4,"('love',)",8.0,0.016666666666666666,"('excellent', 'service')",2.0,0.0041753653444676405,"('small', 'always', 'excellent')",1,0.0020920502092050207
5,"('really',)",7.0,0.014583333333333334,"('small', 'children')",2.0,0.0041753653444676405,"('always', 'excellent', 'portions')",1,0.0020920502092050207
6,"('amazing',)",7.0,0.014583333333333334,"('time', 'best')",2.0,0.0041753653444676405,"('excellent', 'portions', 'huge')",1,0.0020920502092050207
7,"('excellent',)",7.0,0.014583333333333334,"('amazing', 'great')",2.0,0.0041753653444676405,"('portions', 'huge', 'big')",1,0.0020920502092050207
8,"('service',)",7.0,0.014583333333333334,"('fresh', 'fresh')",2.0,0.0041753653444676405,"('huge', 'big', 'enough')",1,0.0020920502092050207
9,"('fresh',)",7.0,0.014583333333333334,"('will', 'definitely')",2.0,0.0041753653444676405,"('great', 'romantic', 'date')",1,0.0020920502092050207
10,"('pad',)",6.0,0.0125,"('service', 'will')",2.0,0.0041753653444676405,"('good', 'expensive', 'small')",1,0.0020920502092050207
11,"('delicious',)",6.0,0.0125,"('service', 'fresh')",2.0,0.0041753653444676405,"('big', 'enough', 'share')",1,0.0020920502092050207
12,"('go',)",5.0,0.010416666666666666,"('delicious', 'great')",2.0,0.0041753653444676405,"('enough', 'share', '28')",1,0.0020920502092050207
13,"('curry',)",5.0,0.010416666666666666,"('amazing', 'love')",2.0,0.0041753653444676405,"('share', '28', '2')",1,0.0020920502092050207
14,"('around',)",5.0,0.010416666666666666,"('red', 'curry')",2.0,0.0041753653444676405,"('28', '2', 'made')",1,0.0020920502092050207
15,"('home',)",4.0,0.008333333333333333,"('medium', 'spice')",2.0,0.0041753653444676405,"('2', 'made', 'careprice')",1,0.0020920502092050207
16,"('try',)",4.0,0.008333333333333333,"('screaming', 'brats')",2.0,0.0041753653444676405,"('expensive', 'small', 'always')",1,0.0020920502092050207
17,"('leave',)",4.0,0.008333333333333333,"('kids', 'home')",2.0,0.0041753653444676405,"('horrible', 'wasnt', 'good')",1,0.0020920502092050207
18,"('romantic',)",4.0,0.008333333333333333,"('leave', 'kids')",2.0,0.0041753653444676405,"('wasnt', 'good', 'expensive')",1,0.0020920502092050207
19,"('thier',)",4.0,0.008333333333333333,"('sooooo', 'good')",1.0,0.0020876826722338203,"('careprice', 'match', 'value')",1,0.0020920502092050207
20,"('run',)",3.0,0.00625,"('wasnt', 'good')",1.0,0.0020876826722338203,"('fresh', 'horrible', 'wasnt')",1,0.0020920502092050207
21,"('small',)",3.0,0.00625,"('portions', 'huge')",1.0,0.0020876826722338203,"('fresh', 'fresh', 'horrible')",1,0.0020920502092050207
22,"('everything',)",3.0,0.00625,"('excellent', 'portions')",1.0,0.0020876826722338203,"('fresh', 'fresh', 'fresh')",1,0.0020920502092050207
23,"('awesome',)",3.0,0.00625,"('chuck', 'e')",1.0,0.0020876826722338203,"('say', 'fresh', 'fresh')",1,0.0020920502092050207
24,"('places',)",3.0,0.00625,"('always', 'excellent')",1.0,0.0020876826722338203,"('can', 'say', 'fresh')",1,0.0020920502092050207
25,"('restaurant',)",3.0,0.00625,"('small', 'always')",1.0,0.0020876826722338203,"('best', 'can', 'say')",1,0.0020920502092050207
26,"('will',)",3.0,0.00625,"('expensive', 'small')",1.0,0.0020876826722338203,"('good', 'best', 'can')",1,0.0020920502092050207
27,"('definitely',)",3.0,0.00625,"('e', 'cheese')",1.0,0.0020876826722338203,"('sooooo', 'good', 'best')",1,0.0020920502092050207
28,"('time',)",3.0,0.00625,"('good', 'expensive')",1.0,0.0020876826722338203,"('grove', 'sooooo', 'good')",1,0.0020920502092050207
29,"('can',)",3.0,0.00625,"('fresh', 'horrible')",1.0,0.0020876826722338203,"('open', 'grove', 'sooooo')",1,0.0020920502092050207
30,"('wait',)",3.0,0.00625,"('horrible', 'wasnt')",1.0,0.0020876826722338203,"('made', 'careprice', 'match')",1,0.0020920502092050207
31,"('clean',)",3.0,0.00625,"('good', 'best')",1.0,0.0020876826722338203,"('value', 'simply', 'awesome')",1,0.0020920502092050207
