,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",13.0,0.034210526315789476,"('kim', 'chi')",5.0,0.013192612137203167,"('sea', 'salt', 'white')",2,0.005291005291005291
1,"('udon',)",12.0,0.031578947368421054,"('always', 'fresh')",3.0,0.0079155672823219,"('salt', 'white', 'fish')",2,0.005291005291005291
2,"('service',)",10.0,0.02631578947368421,"('yaki', 'udon')",3.0,0.0079155672823219,"('kim', 'chi', 'yaki')",2,0.005291005291005291
3,"('roll',)",8.0,0.021052631578947368,"('kimchee', 'udon')",3.0,0.0079155672823219,"('got', 'ta', 'try')",2,0.005291005291005291
4,"('always',)",7.0,0.018421052631578946,"('green', 'tea')",3.0,0.0079155672823219,"('chi', 'yaki', 'udon')",2,0.005291005291005291
5,"('love',)",7.0,0.018421052631578946,"('happy', 'birth')",2.0,0.005277044854881266,"('happy', 'birth', 'day')",2,0.005291005291005291
6,"('never',)",6.0,0.015789473684210527,"('birth', 'day')",2.0,0.005277044854881266,"('kim', 'chi', 'udon')",2,0.005291005291005291
7,"('excellent',)",6.0,0.015789473684210527,"('service', 'best')",2.0,0.005277044854881266,"('love', 'kim', 'chi')",2,0.005291005291005291
8,"('chi',)",5.0,0.013157894736842105,"('kimchee', 'seafood')",2.0,0.005277044854881266,"('reserve', 'karaoke', 'room')",1,0.0026455026455026454
9,"('get',)",5.0,0.013157894736842105,"('udon', 'die')",2.0,0.005277044854881266,"('excellent', 'excellent', 'service')",1,0.0026455026455026454
10,"('kimchee',)",5.0,0.013157894736842105,"('best', 'westbank')",2.0,0.005277044854881266,"('good', 'excellent', 'excellent')",1,0.0026455026455026454
11,"('kim',)",5.0,0.013157894736842105,"('great', 'service')",2.0,0.005277044854881266,"('friends', 'good', 'excellent')",1,0.0026455026455026454
12,"('best',)",5.0,0.013157894736842105,"('friendly', 'service')",2.0,0.005277044854881266,"('room', 'friends', 'good')",1,0.0026455026455026454
13,"('fresh',)",5.0,0.013157894736842105,"('kimchi', 'udon')",2.0,0.005277044854881266,"('karaoke', 'room', 'friends')",1,0.0026455026455026454
14,"('seafood',)",4.0,0.010526315789473684,"('chi', 'yaki')",2.0,0.005277044854881266,"('favoriteeee', 'reserve', 'karaoke')",1,0.0026455026455026454
15,"('fish',)",4.0,0.010526315789473684,"('can', 'get')",2.0,0.005277044854881266,"('service', 'best', 'westbank')",1,0.0026455026455026454
16,"('salad',)",4.0,0.010526315789473684,"('sea', 'salt')",2.0,0.005277044854881266,"('roll', 'favoriteeee', 'reserve')",1,0.0026455026455026454
17,"('friendly',)",4.0,0.010526315789473684,"('salt', 'white')",2.0,0.005277044854881266,"('special', 'roll', 'favoriteeee')",1,0.0026455026455026454
18,"('must',)",4.0,0.010526315789473684,"('white', 'fish')",2.0,0.005277044854881266,"('daiwa', 'special', 'roll')",1,0.0026455026455026454
19,"('order',)",4.0,0.010526315789473684,"('roll', 'awesome')",2.0,0.005277044854881266,"('wasabi', 'daiwa', 'special')",1,0.0026455026455026454
20,"('good',)",4.0,0.010526315789473684,"('cowboy', 'roll')",2.0,0.005277044854881266,"('fresh', 'wasabi', 'daiwa')",1,0.0026455026455026454
